rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_ep_length,eval/mean_reward
17.0,4,13.752862,3397,0,68,,,,,,
14.125,8,10.710274875,1142,0,113,0.001,0.3187069930136204,12,-0.7661793927351633,,
11.75,12,9.12672025,545,0,141,0.001,0.019505050166377,40,-0.9118012934923172,,
10.5625,16,8.333583375,402,0,169,0.001,0.006464518007955381,68,-0.9397261589765549,,
9.85,20,7.852440899999998,342,0,197,0.001,0.004680138280881303,96,-0.9749817103147507,,
9.375,24,7.526660958333333,309,0,225,0.001,0.002971446673784937,124,-1.0367719233036041,,
9.035714285714286,28,7.290759357142856,274,0,253,0.001,0.004187007334881595,152,-1.0670225918293,,
8.78125,32,7.116817875000001,260,1,281,0.001,0.0074155254821692195,180,-1.0979401469230652,,
8.583333333333334,36,6.981457416666668,249,1,309,0.001,0.005432579267237868,208,-1.1514069736003876,,
8.425,40,6.873481125,240,1,337,0.001,0.0046385888875062975,236,-1.1709461212158203,,
8.295454545454545,44,6.786929727272727,234,1,365,0.001,0.0029757279636604445,264,-1.2339251935482025,,
8.1875,48,6.7125484166666665,229,1,393,0.001,0.006765944018427815,292,-1.2618540823459625,,
8.096153846153847,52,6.648294269230769,225,1,421,0.001,0.004354555825037616,320,-1.2537195086479187,,
8.017857142857142,56,6.594697053571429,222,2,449,0.001,0.0049554768816701,348,-1.2937812805175781,,
7.95,60,6.547000583333333,219,2,477,0.001,0.009638950228691101,376,-1.3247609436511993,,
7.890625,64,6.509595640625001,217,2,505,0.001,0.006442003284714052,404,-1.3281734585762024,,
7.838235294117647,68,6.473709852941178,214,2,533,0.001,0.004879946620868785,432,-1.3733150959014893,,
7.791666666666667,72,6.445387152777778,212,2,561,0.001,0.003788604001913752,460,-1.4273527264595032,,
7.75,76,6.415153828947369,210,2,589,0.001,0.003960307521213379,488,-1.4827155470848083,,
7.7125,80,6.3911592125,208,2,617,0.001,0.007590770721435547,516,-1.485244244337082,,
7.678571428571429,84,6.366275333333332,206,3,645,0.001,0.010702445770480804,544,-1.5248184204101562,,
7.6477272727272725,88,6.344790125,204,3,673,0.001,0.0045979145049516645,572,-1.5217411816120148,,
7.619565217391305,92,6.325737010869567,203,3,701,0.001,0.004919906412916524,600,-1.5331484079360962,,
7.78125,96,6.702832520833333,206,3,747,0.001,0.011581519898027182,631,-1.7989749670028687,,
8.37,100,8.019963109999999,202,4,837,0.001,0.09199502496895465,720,-2.2009089643305,,
8.56,104,9.00462932,199,4,924,0.001,0.16078570772978393,808,-2.7317553000016646,,
,,,,,1000,0.001,0.14237087846479632,898,-3.065402962944724,22.1,38.89345170259476
9.02,108,10.299909240000002,190,5,1015,,,,,,
9.64,112,11.64417851,189,5,1105,0.001,0.26619686283495114,989,-3.5038753856312144,,
10.79,116,13.01938488,185,6,1248,0.001,0.26684692526857057,1136,-3.9978437423706055,,
11.31,120,12.78227033,185,7,1328,0.001,0.29483120308982,1208,-4.2125055525037975,,
12.25,124,13.534306530000002,183,7,1450,0.001,0.36156148359526036,1334,-4.326046770269221,,
12.85,128,14.83865542,183,8,1538,0.001,0.6987662315368652,1422,-4.661807616551717,,
13.44,132,16.1246985,182,8,1625,0.001,0.6623497486791827,1509,-5.081751563332298,,
14.05,136,17.444863839999996,181,9,1714,0.001,0.5364277631692265,1598,-5.514333128929138,,
14.65,140,18.74532686,181,9,1802,0.001,0.5456810352348146,1685,-5.951842308044434,,
15.26,144,20.05996255,180,10,1891,0.001,0.7983435638572859,1775,-6.14928657358343,,
15.86,148,21.36005126,180,10,1979,0.001,0.6514688337391074,1863,-6.444498105482622,,
,,,,,2000,0.001,0.49876864525404846,1885,-6.340597629547119,22.2,38.80439547300339
16.46,152,22.668123490000003,178,11,2067,0.001,0.507329095687185,1950,-6.781720985065807,,
17.06,156,23.97437353,178,12,2155,0.001,0.6256940771232952,2039,-7.068209301341664,,
17.65,160,25.268337750000004,177,12,2242,0.001,0.5538413429802115,2127,-7.408417701721191,,
18.25,164,26.567508739999997,177,13,2330,0.001,0.6200239970570519,2214,-7.687917535955256,,
18.86,168,27.88087,177,13,2419,0.001,0.5344049305371616,2303,-8.181944240223277,,
19.48,172,29.21162395,177,14,2509,0.001,0.6599476391618903,2392,-8.519690817052668,,
20.1,176,30.5397047,177,14,2599,0.001,0.7719667614860968,2482,-8.69763725454157,,
20.7,180,31.843471940000004,177,15,2687,0.001,0.38018290156667883,2571,-9.097363385287197,,
21.3,184,33.14789159000001,177,15,2775,0.001,0.3452285182746974,2660,-9.476990006186746,,
21.9,188,34.45067487000001,177,16,2863,0.001,0.38290769403631036,2747,-9.52678481015292,,
22.51,192,35.76865205,177,16,2952,0.001,0.5494762564247305,2835,-9.912222081964666,,
,,,,,3000,0.001,0.4332798333330588,2901,-10.02481764013117,22.2,38.80490913391113
22.93,196,36.69762703,175,17,3040,0.001,0.396706680888715,2924,-9.922550678253174,,
22.9,200,36.630963900000005,176,17,3127,0.001,0.6449063200326193,3010,-10.316940134221857,,
22.92,204,36.64902671,176,18,3216,0.001,0.29590317394052235,3099,-10.645065116882325,,
22.9,208,36.59524555,176,18,3305,0.001,0.539470792464588,3189,-11.116863684220748,,
22.87,212,36.536938490000004,175,19,3392,0.001,0.44801097498698667,3276,-11.276178013194691,,
22.32,216,36.47040457,175,19,3480,0.001,0.4662914015352726,3364,-11.502181399952281,,
22.41,220,38.03350785,175,20,3569,0.001,0.7421103837815198,3452,-12.204752748662775,,
22.08,224,38.60239529,175,20,3658,0.001,0.5416732903407968,3542,-12.597886006037394,,
22.08,228,38.61465623000001,175,21,3746,0.001,0.6316676792644319,3629,-12.887391281127929,,
22.1,232,38.65711977,175,21,3835,0.001,0.5317994091998447,3719,-13.212663303722035,,
22.08,236,38.62129347,175,22,3922,0.001,0.48594473234631796,3806,-13.599807565862482,,
,,,,,4000,0.001,0.47935449196533725,3895,-13.687903837724166,22.1,38.89345831871033
22.09,240,38.64700976,174,23,4011,,,,,,
22.08,244,38.64154834000001,174,23,4099,0.001,0.35677624290639703,3983,-13.859219637784092,,
22.07,248,38.65124975,174,24,4186,0.001,0.5241301588036797,4070,-14.13071363622492,,
22.07,252,38.659067289999996,174,24,4274,0.001,0.4455133392052217,4158,-14.255633700977672,,
22.08,256,38.677476760000005,174,24,4363,0.001,0.504165761850097,4246,-14.638792818242853,,
22.1,260,38.71113252000001,174,25,4452,0.001,0.4900405434044925,4336,-14.845733642578125,,
22.1,264,38.72091023,174,25,4540,0.001,0.4678758123646612,4424,-15.194945176442465,,
22.09,268,38.72243646,175,26,4628,0.001,0.5068642320958051,4512,-15.304536039179022,,
22.07,272,38.696995990000005,175,26,4716,0.001,0.40377744422717526,4599,-15.765068400989879,,
22.04,276,38.66375360999999,175,27,4803,0.001,0.43780726939439774,4686,-16.14572152224454,,
22.03,280,38.64524756,175,27,4890,0.001,0.542864169393267,4774,-15.996162761341441,,
22.05,284,38.686582679999994,175,28,4980,0.001,0.48159743574532593,4863,-16.289959994229402,,
,,,,,5000,0.001,0.4879324151122052,4886,-15.699588537216187,22.1,38.89345831871033
22.05,288,38.69130299,174,29,5068,0.001,0.46710569750178943,4952,-16.474537069147285,,
22.04,292,38.68704922999999,174,29,5156,0.001,0.39049221168864856,5041,-16.7234167619185,,
22.05,296,38.710522069999996,174,30,5245,0.001,0.44104652919552545,5129,-16.632779468189586,,
22.05,300,38.72055992,174,30,5332,0.001,0.48389706151051953,5217,-17.164337851784445,,
22.03,304,38.69492079,174,31,5419,0.001,0.43942941654296147,5303,-17.184599781036376,,
22.04,308,38.73272827999999,174,31,5509,0.001,0.4646662880073894,5392,-17.31279771978205,,
22.05,312,38.75176941000001,174,32,5597,0.001,0.49752180007371033,5480,-17.16066481850364,,
22.06,316,38.75959413,174,32,5686,0.001,0.514844692566178,5570,-17.55568434975364,,
22.04,320,38.731143380000006,174,33,5773,0.001,0.4769616817886179,5657,-17.96252406727184,,
22.02,324,38.70850558000001,174,33,5860,0.001,0.5181090858849612,5744,-17.885483828457918,,
22.02,328,38.708279160000004,174,34,5948,0.001,0.5763546594164588,5832,-17.61381894891912,,
,,,,,6000,0.001,0.4655821811069142,5898,-17.55477913943204,22.1,38.89345831871033
22.01,332,38.70123755,174,34,6036,0.001,0.5177272734316912,5920,-18.574157194657758,,
22.03,336,38.740483069999996,174,35,6125,0.001,0.48112698034806684,6009,-18.400143710049715,,
22.0,340,38.69638664,174,35,6211,0.001,0.5275861444798383,6096,-18.508216684514824,,
22.0,344,38.69481306,174,36,6299,0.001,0.47942308404228906,6183,-18.50536346435547,,
22.0,348,38.6827654,174,36,6386,0.001,0.4556742879477414,6271,-18.93581789190119,,
22.01,352,38.696399240000005,174,37,6475,0.001,0.5709476056306259,6360,-19.119130929311115,,
22.0,356,38.68454714000001,174,37,6563,0.001,0.4781859571283514,6447,-18.778167204423383,,
21.98,360,38.65606129999999,174,38,6650,0.001,0.4690415433474949,6534,-19.039109316739168,,
21.99,364,38.672587789999994,174,38,6739,0.001,0.512224044488824,6623,-18.736317201094195,,
22.01,368,38.70255731,174,39,6829,0.001,0.4122342091539632,6713,-19.48284912109375,,
22.02,372,38.72290621,174,39,6918,0.001,0.4933154677802866,6802,-19.34048912741921,,
,,,,,7000,0.001,0.5184585099870508,6892,-19.016199458729137,22.1,38.89345831871033
22.05,376,38.76990154,173,40,7008,,,,,,
22.07,380,38.80743946,174,40,7097,0.001,0.5594108506389286,6981,-19.305793935602363,,
22.05,384,38.76853737000001,174,41,7185,0.001,0.5333390278475625,7069,-19.35609188079834,,
22.05,388,38.77823325,174,41,7273,0.001,0.4858554547483271,7157,-19.256250381469727,,
22.06,392,38.791934440000006,174,42,7362,0.001,0.4578809711066159,7246,-19.427143096923828,,
22.06,396,38.78215436000001,174,42,7451,0.001,0.5332938852635297,7335,-20.053878784179688,,
22.07,400,38.804679730000004,174,43,7539,0.001,0.6198837364261801,7423,-19.97386984391646,,
22.08,404,38.82387761,174,43,7627,0.001,0.5862746523185209,7511,-19.94872942837802,,
22.06,408,38.78121488,174,44,7715,0.001,0.4773343246091496,7599,-19.901100505482066,,
22.06,412,38.78620525,174,44,7803,0.001,0.5528928594929832,7687,-19.610968780517577,,
22.05,416,38.782693900000005,174,45,7891,0.001,0.5496225614439357,7774,-20.144577373157848,,
22.04,420,38.76328991,174,45,7977,0.001,0.5051659901033748,7862,-20.236548683860086,,
,,,,,8000,0.001,0.4722223622458322,7883,-19.775120353698732,22.1,38.89345831871033
22.04,424,38.76005587,173,46,8064,0.001,0.5273053120999109,7949,-19.96919803619385,,
22.05,428,38.77477452,174,46,8153,0.001,0.5919445644725453,8036,-19.953108700838957,,
22.07,432,38.79658056,174,47,8243,0.001,0.5522969339204871,8126,-20.100433985392254,,
22.08,436,38.82081138,174,47,8333,0.001,0.605508758969929,8217,-20.306536934592508,,
22.1,440,38.84981909,174,48,8421,0.001,0.5720440650528128,8305,-20.034061258489434,,
22.12,444,38.87942914,174,48,8511,0.001,0.533519358738609,8395,-20.583101966164328,,
22.12,448,38.88020910000001,174,49,8598,0.001,0.5112359415401112,8483,-20.62987552989613,,
22.11,452,38.86304733,174,49,8686,0.001,0.5795721113681793,8569,-20.050487518310547,,
22.11,456,38.86420293,174,50,8774,0.001,0.5381997434989266,8658,-19.80265251795451,,
22.13,460,38.89731896,174,50,8863,0.001,0.5299569327722896,8746,-19.9478553425182,,
22.13,464,38.902117839999995,174,51,8952,0.001,0.6158607683398507,8836,-19.889650344848633,,
,,,,,9000,0.001,0.519896385344592,8902,-20.118586106733844,22.1,38.89345831871033
22.11,468,38.86896081,173,52,9040,0.001,0.6082314916632392,8924,-20.258927085182883,,
22.11,472,38.86973867,173,52,9129,0.001,0.5598614662885666,9013,-20.267229947176848,,
22.09,476,38.846148109999994,173,53,9217,0.001,0.5560343170707877,9101,-20.08550990711559,,
22.06,480,38.806039469999995,173,53,9303,0.001,0.596727919010889,9187,-20.291472053527833,,
