time/fps,rollout/ep_len_mean,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
2329,31.0,4,0,26.556051749999998,124,,,,,,
381,21.0,8,0,16.638140625,168,66,-1.010415866971016,0.027730732890112058,0.001,,
334,16.333333333333332,12,0,12.746794333333332,196,94,-1.0617389976978302,0.030298755105052675,0.001,,
305,14.0,16,0,10.80192375,224,122,-1.1209137439727783,0.031816134229302406,0.001,,
289,12.6,20,0,9.63388295,252,150,-1.1750930845737457,0.025552917005760328,0.001,,
277,11.666666666666666,24,1,8.854406416666667,280,178,-1.1790167689323425,0.03092908619769982,0.001,,
268,11.0,28,1,8.297674642857144,308,206,-1.1703899800777435,0.02215298797403063,0.001,,
250,10.5,32,1,7.880022562499999,336,234,-1.222094863653183,0.011854595504701138,0.001,,
246,10.11111111111111,36,1,7.5561739166666655,364,262,-1.2392443418502808,0.009100895774151598,0.001,,
242,9.8,40,1,7.2967299,392,290,-1.2706062495708466,0.0041802563105842894,0.001,,
239,9.545454545454545,44,1,7.085485045454546,420,318,-1.2793349027633667,0.005358982348947653,0.001,,
236,9.333333333333334,48,1,6.908175375,448,346,-1.2763996720314026,0.003716530178540519,0.001,,
232,9.153846153846153,52,2,6.758054307692307,476,374,-1.309612900018692,0.004899253736117056,0.001,,
229,9.0,56,2,6.6298080357142855,504,402,-1.3273606598377228,0.005514232724505875,0.001,,
228,8.866666666666667,60,2,6.518877866666667,532,430,-1.3400206863880157,0.005734842536704881,0.001,,
226,8.75,64,2,6.423027187499999,560,458,-1.358405590057373,0.003087608759025378,0.001,,
224,8.647058823529411,68,2,6.33656382352941,588,486,-1.395456701517105,0.00485214584374002,0.001,,
223,8.555555555555555,72,2,6.260371083333333,616,514,-1.4492296278476715,0.005336009132276688,0.001,,
221,8.473684210526315,76,2,6.191776763157894,644,542,-1.5075156688690186,0.005212202368836317,0.001,,
220,8.4,80,3,6.129451375,672,570,-1.427943229675293,0.0068247626602117506,0.001,,
219,8.333333333333334,84,3,6.072958452380952,700,598,-1.579729288816452,0.0039701724724311915,0.001,,
218,8.272727272727273,88,3,6.022996886363637,728,626,-1.5635713636875153,0.0027124297006853987,0.001,,
217,8.217391304347826,92,3,5.976952010869565,756,654,-1.532017081975937,0.00392858381383121,0.001,,
217,8.166666666666666,96,3,5.934979645833333,784,682,-1.4824075102806091,0.009398632749382938,0.001,,
217,8.12,100,3,5.896271909999999,812,710,-1.6051080524921417,0.0050007973331958055,0.001,,
217,7.16,104,3,5.03221368,840,738,-1.5831966996192932,0.0028589102273274746,0.001,,
215,7.0,108,4,4.96233024,868,766,-1.6425306499004364,0.005937075874369059,0.001,,
213,7.0,112,4,4.962903430000001,896,794,-1.5623826384544373,0.006399302743375301,0.001,,
212,7.0,116,4,4.96319545,924,822,-1.7591685056686401,0.003618952468968928,0.001,,
212,7.0,120,4,4.9634317900000005,952,850,-1.7082826495170593,0.0033389749670667307,0.001,,
211,7.0,124,4,4.96334384,980,878,-1.6662556827068329,0.004087623275284257,0.001,,
,,,,,1000,899,-1.7697592576344807,0.007300367395925734,0.001,7.0,4.9658633172512054
208,7.0,128,4,4.96391799,1008,906,-1.7838234305381775,0.00424384415548827,0.001,,
208,7.0,132,4,4.97747985,1036,934,-1.6329889595508575,0.011064752404178892,0.001,,
207,7.0,136,5,4.993579229999999,1064,962,-1.743808090686798,0.0038316884310916066,0.001,,
207,7.0,140,5,5.00777672,1092,990,-1.8143977224826813,0.014666851975822024,0.001,,
207,7.0,144,5,5.05270944,1120,1018,-1.7994444370269775,0.017987431825271676,0.001,,
206,7.0,148,5,5.13230456,1148,1046,-1.8778422176837921,0.046711230118359835,0.001,,
219,9.66,152,6,9.015817259999999,1442,1215,-2.5397169003119835,0.03859559733434829,0.001,,
211,14.36,156,9,16.04406562,1940,1720,-4.173817176972666,0.17382536821758315,0.001,,
,,,,,2000,1845,-4.538768322237076,0.24277492218464614,0.001,126.3,183.39368436336517
190,19.12,160,12,23.171637959999998,2444,2220,-5.7120167847835654,0.3245201791558443,0.001,,
192,24.05,164,15,30.503940689999993,2965,2749,-7.255924885089581,0.4892995955266115,0.001,,
,,,,,3000,2870,-7.584202735150447,0.4344320743044546,0.001,126.3,183.39368431568147
182,28.87,168,19,37.695335099999994,3475,3258,-8.69969819875864,0.4084105930649317,0.001,,
,,,,,4000,3776,-9.994460597182766,0.36503387047824537,0.001,126.3,183.39368431568147
176,33.89,172,22,45.13953596,4005,,,,,,
177,38.69,176,25,52.30092009,4513,4296,-11.409474402207595,0.35834201860886356,0.001,,
,,,,,5000,4806,-12.458082839624206,0.39629649276386447,0.001,126.3,183.39368431568147
170,43.55,180,29,59.547460310000005,5027,,,,,,
172,48.35,184,32,66.71354711,5535,5313,-13.623768284916878,0.4877180577022955,0.001,,
,,,,,6000,5828,-14.797595863911644,0.5471844421069425,0.001,126.3,183.39368431568147
167,53.32,188,36,74.08361996999999,6060,,,,,,
