rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
13.0,0,4,11.245141,52,3732,,,,,,
30.0,0,8,27.3140485,240,396,0.001,0.05070814106343392,119,-1.0870753870172016,,
27.416666666666668,1,12,31.19101383333334,329,325,0.001,0.027334507216106762,207,-1.7745447592301802,,
26.125,1,16,33.136075437500004,418,289,0.001,0.05849959083240141,297,-2.1900675730271773,,
25.8,1,20,32.747120550000005,516,275,0.001,0.06095606388281221,387,-2.7157146713950415,,
36.333333333333336,3,24,44.297751166666664,872,240,0.001,0.10705471619270569,750,-3.36405669559132,,
34.285714285714285,4,28,43.470861285714285,960,235,0.001,0.19012179225683212,840,-3.8123538494110107,,
,,,,1000,,0.001,0.24126372520219197,883,-4.011451721191406,38.76742123365402,22.2
32.8125,4,32,42.93671603125,1050,225,0.001,0.21334279571538386,929,-4.110755616968328,,
32.22222222222222,5,36,43.4587013888889,1160,227,0.001,0.2979686127408691,1018,-4.5773857434590655,,
32.35,5,40,44.61657625,1294,223,0.001,0.3302174453787944,1164,-5.2013375338386085,,
31.954545454545453,6,44,44.99564013636364,1406,221,0.001,0.2944632658073979,1285,-5.565082963307699,,
33.875,7,48,49.27086845833333,1626,223,0.001,0.3147895610395898,1474,-6.265837609767914,,
34.36538461538461,8,52,50.816827961538465,1787,218,0.001,0.3584843100385463,1666,-6.9633970856666565,,
34.94642857142857,8,56,52.40129542857143,1957,219,0.001,0.43591544619546485,1819,-7.4444397046015816,,
,,,,2000,,0.001,0.7321292459964752,1895,-7.876526090833876,70.40334278345108,40.8
34.85,9,60,52.769271350000004,2091,212,0.001,0.8571915596723556,1966,-8.048294417063396,,
34.34375,10,64,52.407743890625,2198,212,0.001,0.667461385684354,2072,-8.469473975045341,,
33.8235294117647,10,68,51.953919544117646,2300,212,0.001,0.7493873330262991,2175,-8.895617118248573,,
33.291666666666664,11,72,51.44283991666667,2397,212,0.001,0.9261659507950147,2272,-9.114598592122396,,
32.81578947368421,11,76,50.97729113157895,2494,212,0.001,0.9935793030261993,2373,-9.565436681111654,,
