time/total_timesteps,train/learning_rate,time/fps,train/n_updates,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,time/episodes,eval/mean_ep_length,eval/mean_reward
2346,0.001,189,2193,22.883231920000004,0.4729097693094185,18.45,-6.319631621951149,12,156,,
2871,0.001,188,2711,30.205700389999997,0.7067487017130074,23.42,-7.816272341686746,15,160,,
3000,0.001,,2965,,0.6216629513749673,,-8.501111115178754,,,126.3,183.39368431568147
3383,0.001,177,3230,37.361821299999995,0.6548785415961761,28.26,-9.310151114830603,19,164,,
3895,0.001,180,3727,44.506113000000006,0.5514255629098119,33.1,-10.741517368952433,21,168,,
4000,0.001,,3865,,0.5314738740739615,,-11.044519576473512,,,126.3,183.39368431568147
4408,0.001,171,4246,51.701878240000006,0.4361387402528808,37.95,-12.01469916389102,25,172,,
4925,0.001,173,4756,58.922864530000005,0.4368135494594814,42.84,-13.308835856119792,28,176,,
5000,0.001,,4895,,0.47264155724065765,,-13.502644746199898,,,126.3,183.39368431568147
5429,0.001,169,5275,65.98068279,0.44143614210188387,47.6,-14.45279302597046,31,180,,
5939,0.001,171,5780,73.13307375,0.5139194446520543,52.42,-15.731278628110886,34,184,,
6000,0.001,,5909,,0.5071179045494213,,-15.895234227180481,,,126.3,183.39368431568147
6453,0.001,171,6296,80.31005897,0.551317828707397,57.28,-16.869638323783875,37,188,,
6963,0.001,174,6805,87.43856961999998,0.5880716320346383,62.1,-17.71254623542398,40,192,,
7000,0.001,,6933,,0.5701558706350625,,-17.996387004852295,,,126.3,183.39368431568147
7489,0.001,173,7324,94.76947412999999,0.5860377109967745,67.08,-18.6617494729849,43,196,,
7988,0.001,174,7828,101.77684706999999,0.5884744664654136,71.79,-19.620661973953247,45,200,,
8000,0.001,,7958,,0.6181607299126112,,-19.848214545616738,,,126.3,183.39368431568147
8505,0.001,173,8346,108.99700748999997,0.5975965679615967,76.68,-20.546457642775316,49,204,,
8998,0.001,174,8846,115.91625959999999,0.6601084338294135,81.33,-21.253580729166668,51,208,,
9000,0.001,,8968,,0.6580630995211054,,-21.452432507374247,,,126.3,183.39368431568147
9514,0.001,172,9353,123.1476808,0.6849091532640159,86.21,-21.9718077480793,55,212,,
10000,0.001,,9869,,0.7294930326404856,,-22.639461204187192,,,126.3,183.39368431568147
10028,,170,,130.34426242,,91.07,,58,216,,
10533,0.001,172,10380,137.42287666000001,0.7052059899719935,95.84,-23.426420181516615,61,220,,
11000,0.001,,10879,,0.737581136726564,,-23.85606498102988,,,126.3,183.39368431568147
11045,,171,,144.58277778000001,,100.68,,64,224,,
11556,0.001,172,11393,151.72288712000002,0.7697874366259966,105.51,-24.347541715278002,67,228,,
12000,0.001,,11912,,0.7952131416446478,,-24.876541255070613,,,126.3,183.39368431568147
12068,,170,,158.87985504,,110.35,,70,232,,
12567,0.001,170,12414,165.883701,0.7924230048656463,115.06,-25.512216628543914,73,236,,
13000,0.001,,12917,,0.8503133409707121,,-26.09523782134056,,,126.3,183.39368431568147
13067,,168,,172.82567665,,119.71,,77,240,,
13571,0.001,168,13417,179.84005044000003,0.8586377824159493,124.42,-26.157992102883078,80,244,,
14000,0.001,,13939,,0.8377076909489876,,-26.716731183669147,,,126.3,183.39368431568147
14096,,166,,184.81087195,,127.65,,84,248,,
14606,0.001,166,14447,184.72911028000001,0.8513742633282192,127.58,-27.249516532534646,87,252,,
15000,0.001,,14964,,0.8081084929014507,,-27.618697066805257,,,126.3,183.39368431568147
15127,,165,,185.01436395999997,,127.81,,91,256,,
15644,0.001,165,15477,184.92008337,0.8924981196721394,127.73,-27.98325112660726,94,260,,
16000,0.001,,15868,,0.8609936725436234,,-28.154202789068222,,,126.3,183.39368431568147
16159,0.001,162,16000,184.96906347,0.8442401298970887,127.76,-27.906753973527387,99,264,,
16683,0.001,161,16523,185.13450022000004,0.887725088475407,127.88,-28.4061725727026,103,268,,
17000,0.001,,16913,,0.884103424327318,,-28.41091439127922,,,126.3,183.39368431568147
17192,0.001,156,17031,185.07290977999997,0.9206818650334568,127.84,-28.596636044777046,109,272,,
17701,0.001,156,17542,184.98625012,0.9231429443909571,127.76,-28.768711706308217,113,276,,
18000,0.001,,17912,,0.8980514747052153,,-29.166235001360782,,,126.3,183.39368431568147
18206,0.001,153,18051,185.01527320000002,0.9424371247668918,127.77,-29.188476479571797,118,280,,
18723,0.001,152,18563,185.08972178000005,0.9463086536550146,127.84,-29.595271700904483,123,284,,
19000,0.001,,18954,,0.9248694844711992,,-29.6563935066337,,,126.3,183.39368431568147
19252,0.001,149,19087,185.28395515,0.8905140291479298,127.99,-29.550347674976695,129,288,,
19759,0.001,148,19600,185.25842009999997,0.9694355519918295,127.96,-29.788073466374325,133,292,,
20000,0.001,,19856,,1.008492366535457,,-29.888162970542908,,,126.3,183.39368431568147
20269,0.001,145,20114,185.06439700999996,1.0140374199007496,127.8,-29.85860656969475,139,296,,
20764,0.001,144,20609,185.01312987999998,0.9708916723258852,127.76,-30.049509744795543,143,300,,
21000,0.001,,20866,,0.9887235963886435,,-30.06617609659831,,,126.3,183.39368431568147
21289,0.001,142,21125,185.11778488999997,0.9689650932947794,127.84,-30.037606012253534,149,304,,
21800,0.001,142,21644,185.35911961000002,0.9751391347128017,128.02,-30.350675814079516,153,308,,
22000,0.001,,21893,,1.050329028590908,,-30.348900748080894,,,126.3,183.39368431568147
22297,0.001,139,22144,185.09755975000004,1.0069477659005386,127.83,-30.557506414560173,159,312,,
22816,0.001,139,22659,185.15413598999996,1.022043850188865,127.88,-30.532382011413574,163,316,,
23000,0.001,,22916,,1.0221038763339703,,-30.658517661461463,,,126.3,183.39368431568147
23326,0.001,137,23170,185.21630633,1.0420520111797302,127.93,-30.601687462099136,169,320,,
23832,0.001,137,23676,185.14499246999995,1.0666042774222617,127.87,-30.550872215857872,173,324,,
24000,0.001,,23926,,1.1044324088481166,,-30.639580911205663,,,126.3,183.39368431568147
24346,0.001,135,24186,185.20755849000005,1.0870342407011448,127.9,-30.777421524275596,179,328,,
24841,0.001,135,24688,185.00898364,1.0779535298347473,127.73,-30.766781640431237,183,332,,
25000,0.001,,24941,,1.134339556327233,,-30.755349643413837,,,126.3,183.39368431568147
25361,0.001,133,25202,185.26902939999997,1.1520779027092842,127.94,-30.815775778985792,189,336,,
25871,0.001,133,25715,185.39271276,1.1605312426884968,128.04,-30.706338333361078,194,340,,
26000,0.001,,25966,,1.1240469655990601,,-30.77248243301634,,,126.3,183.39368431568147
26380,0.001,131,26220,185.45759545999996,1.1628742636615084,128.09,-30.577477079449277,200,344,,
26882,0.001,131,26723,185.18181546000002,1.1488373038314639,127.86,-30.647884066142733,204,348,,
27000,0.001,,26852,,1.1166589611260467,,-30.700179584209735,,,126.3,183.39368431568147
27383,0.001,130,27230,185.0578326,1.143005107130323,127.77,-30.60389754885719,210,352,,
27907,0.001,130,27746,185.11360403999998,1.2383642936906507,127.8,-30.664093294451312,214,356,,
28000,0.001,,27877,,1.165301350236849,,-30.7049564068134,,,126.3,183.39368431568147
28412,0.001,128,28253,184.96945545999998,1.155548518896103,127.68,-30.87356834411621,220,360,,
28922,0.001,128,28761,184.92029942999997,1.2069554241803977,127.63,-30.576715381328878,224,364,,
29000,0.001,,28892,,1.1689443196959168,,-30.751859347025555,,,126.3,183.39368431568147
29433,0.001,127,29287,184.75163725,1.2100631857481527,127.5,-30.895502060178725,230,368,,
29936,0.001,127,29785,184.6732962,1.1659335527155135,127.44,-30.841285190885028,234,372,,
30000,0.001,,29906,,1.2025161203274057,,-30.547021834576718,,,126.3,183.39368431568147
30446,0.001,126,30290,184.69186984999996,1.148806282043457,127.45,-30.821058606344558,240,376,,
30952,0.001,126,30795,184.70102879,1.1917536207474768,127.46,-30.619447648525238,244,380,,
31000,0.001,,30922,,1.2177371429646109,,-30.854021817445755,,,126.3,183.39368431568147
31452,0.001,125,31296,184.48727311000002,1.1694843759832456,127.29,-30.542908888596756,250,384,,
31963,0.001,125,31810,184.26961119,1.2132783986054934,127.11,-30.471555651151217,255,388,,
32000,0.001,,31933,,1.2296843892190514,,-30.670525879156394,,,126.3,183.39368431568147
32474,0.001,124,32321,184.32609814000003,1.275270122428273,127.15,-30.576321095228195,260,392,,
32981,0.001,124,32824,184.29121979999996,1.2544102957014178,127.12,-30.503493731139137,264,396,,
33000,0.001,,32951,,1.2447823342375868,,-30.42028566390749,,,126.3,183.39368431568147
33491,0.001,123,33339,184.48299364000002,1.1346279818942582,127.27,-30.591303037560504,270,400,,
34000,0.001,,33854,,1.176622779281051,,-30.57568415473489,,,126.3,183.39368431568147
34008,,122,,184.38397571000002,,127.19,,276,404,,
34508,0.001,122,34355,184.25154586999997,1.1402818989753722,127.08,-30.62827620967742,281,408,,
35000,0.001,,34866,,1.1476801740106686,,-30.223086547851562,,,126.3,183.39368431568147
35023,,122,,184.48683334,,127.26,,287,412,,
35537,0.001,122,35371,184.40011185,1.1703230778672802,127.21,-30.60762433863398,291,416,,
36000,0.001,,35899,,1.2041612188021342,,-30.472632963265944,,,126.3,183.39368431568147
36051,,121,,184.45460420999996,,127.25,,297,420,,
36563,0.001,121,36408,184.53697767999998,1.218673168666779,127.31,-30.52700975206163,301,424,,
37000,0.001,,36911,,1.175397573504597,,-30.289530634880066,,,126.3,183.39368431568147
37069,,120,,184.42925861999996,,127.23,,307,428,,
37577,0.001,120,37422,184.59727506,1.2155291502674421,127.36,-30.21158084869385,312,432,,
