rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,eval/mean_ep_length,eval/mean_reward
21.25,4,14.577585500000001,2780,0,85,,,,,,
16.125,8,12.18054775,75,1,129,0.03024118287222726,-0.7569753328959147,0.001,37,,
13.083333333333334,12,10.095588166666667,82,1,157,0.02985805193228381,-0.7702506383260092,0.001,65,,
11.5625,16,9.050376125,87,2,185,0.019603249483874867,-0.765718400478363,0.001,93,,
10.65,20,8.433431449999997,92,2,213,0.008150999168200153,-0.8047011892000834,0.001,121,,
10.041666666666666,24,8.011841291666666,96,2,241,0.003106496097253902,-0.8846798340479533,0.001,149,,
9.607142857142858,28,7.713457678571429,100,2,269,0.0017736555808889015,-0.8865848580996195,0.001,177,,
9.28125,32,7.49109415625,103,2,297,0.0019121413019352726,-0.9084779818852743,0.001,205,,
9.027777777777779,36,7.315978444444446,105,3,325,0.0020901095122098923,-0.9231699903806051,0.001,233,,
8.825,40,7.17740895,107,3,353,0.003408212647108095,-1.0110559463500977,0.001,261,,
8.659090909090908,44,7.064677181818182,109,3,381,0.0025082489009946585,-0.9964993000030518,0.001,289,,
8.520833333333334,48,6.968919729166667,111,3,409,0.0034556140724037376,-1.040174086888631,0.001,317,,
8.403846153846153,52,6.889305730769231,112,3,437,0.00715236591973475,-1.0799400011698406,0.001,345,,
9.160714285714286,56,8.669798089285715,118,4,513,0.03215048589151014,-1.5268710093064741,0.001,406,,
10.0,60,10.656411533333333,121,4,600,0.07642821561206471,-2.0081806724721734,0.001,493,,
10.734375,64,12.388328015625,124,5,687,0.11391305195336993,-2.3841277252544057,0.001,581,,
11.411764705882353,68,13.963556838235293,126,6,776,0.12054868618195708,-2.6191497282548384,0.001,669,,
11.972222222222221,72,15.294523000000002,127,6,862,0.14834043044935574,-3.0321629264137964,0.001,755,,
12.513157894736842,76,16.542883315789474,129,7,951,0.16937625882300464,-3.425006801431829,0.001,844,,
,,,,,1000,0.15427880429408766,-3.638055931438099,0.001,911,22.1,38.893456888198855
13.0,80,17.671799175,125,8,1040,0.135239426554604,-3.777655666524714,0.001,933,,
