time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
4,1.0405760000000002,24.0,96,0,3763,,,,,,
8,-3.1254958750000004,33.0,264,0,573,0.08043543200063355,0.033277668635812864,0.001,101,,
12,-7.617591583333334,30.0,360,1,349,0.03245067526586354,0.13212812940279642,0.001,240,,
16,-9.711809062499999,28.375,454,1,324,0.04420102030659715,0.3286679368466139,0.001,335,,
20,-11.0424285,27.5,550,1,307,0.030669705321391422,0.5858667691548666,0.001,430,,
24,-11.980658708333335,26.958333333333332,647,2,297,0.036057354286313056,0.7843806651922373,0.001,526,,
28,-12.637744535714287,26.571428571428573,744,2,290,0.044727322928931404,1.0241015878590671,0.001,623,,
,,,1000,,,0.024135787860115072,0.3853545891064586,0.001,849,-9.446946254171417,67.3
32,-12.04306859375,31.65625,1013,3,260,,,,,,
,,,2000,,,0.025579756166895524,0.3280004390022334,0.001,917,971.342202637461,1000.0
36,39.200936333333324,69.5,2502,15,159,0.2954064774513245,-4.056355414065448,0.001,2248,,
,,,3000,,,0.5128178623068583,-6.743627362781101,0.001,2866,268.7081640973687,149.1
40,63.184215625,78.225,3129,19,159,,,,,,
44,79.91754256818182,88.04545454545455,3874,23,167,0.33698330671226573,-9.29261536921485,0.001,3560,,
,,,4000,,,0.4069655898514144,-9.429532943515603,0.001,3778,301.0168691378203,312.9
48,90.30173958333334,97.45833333333333,4678,29,160,0.4576781653944468,-10.455946253634048,0.001,4396,,
,,,5000,,,0.39684616357275526,-11.97743068163908,0.001,4895,302.09581231474874,180.8
52,105.51006242307693,102.90384615384616,5351,33,161,0.4513447059675901,-12.413535580490574,0.001,5093,,
,,,6000,,,0.5235243170437488,-14.342185930772262,0.001,5798,325.9467891991138,204.9
56,116.28653926785715,109.33928571428571,6123,37,163,,,,,,
60,122.348159,110.48333333333333,6629,40,164,1.1565179189046224,-16.15414702097575,0.001,6436,,
,,,7000,,,0.987347067872505,-16.952068328857422,0.001,6756,224.6027441183105,158.6
64,130.24076889062502,114.46875,7326,43,166,0.8962246011216919,-17.817952540013696,0.001,7059,,
68,138.1168781029412,117.17647058823529,7968,47,168,0.963568583537972,-19.52433617560418,0.001,7795,,
,,,8000,,,1.2716256113021405,-19.40214333167443,0.001,7872,126.79291412271559,84.2
72,138.24465434722222,117.23611111111111,8441,50,168,1.3307083870089331,-19.880238109164768,0.001,8208,,
,,,9000,,,1.4274665628914285,-21.448735339300974,0.001,8793,325.5538528696867,211.4
76,142.90149082894737,119.96052631578948,9117,54,168,,,,,,
80,144.37037852500004,120.1375,9611,56,169,1.4672236745556195,-22.452125612894694,0.001,9384,,
,,,10000,,,1.6585589599987818,-23.345205518934463,0.001,9818,254.26465580910445,139.1
84,147.17464742857146,119.88095238095238,10070,59,169,,,,,,
88,154.56885175,123.2840909090909,10849,62,174,1.5178082476343426,-24.852633172815498,0.001,10444,,
,,,11000,,,1.6375357171092604,-25.2777521950858,0.001,10753,267.63555932492017,148.7
92,159.43514482608697,124.5,11454,66,173,1.6966939362410074,-26.90796697364663,0.001,11165,,
,,,12000,,,1.7808911706271924,-27.16205937934644,0.001,11783,309.25052248034626,258.6
96,164.00633709374998,128.14583333333334,12302,72,170,2.0386209768012056,-27.820379128133442,0.001,12049,,
100,166.39739813,129.25,12925,75,171,1.9186584095286716,-28.71050547346284,0.001,12696,,
,,,13000,,,2.2643989987839435,-28.496982458866004,0.001,12829,263.7946009657811,145.6
104,176.00612110000003,135.56,13652,79,171,2.766648270741657,-30.03742571230288,0.001,13409,,
,,,14000,,,3.108871533189501,-30.677174050467354,0.001,13766,548.8934385058703,543.7
108,188.86360731000002,145.69,14833,87,169,3.780013239183346,-31.10852885847332,0.001,14282,,
,,,15000,,,4.0546556422913,-32.32719807810598,0.001,14890,338.40087066181,221.6
112,195.41659730000003,148.74,15234,93,163,10.796730885138878,-38.023576736450195,0.001,15125,,
116,195.41911562999996,148.32,15286,93,163,15.608230920938345,-37.207963943481445,0.001,15177,,
120,195.42507743000002,147.88,15338,93,164,12.92560049203726,-39.43680508931478,0.001,15229,,
124,195.44309243000004,147.41,15388,93,164,11.955618088061993,-37.745571681431365,0.001,15280,,
128,195.47192046,146.94,15438,93,164,17.942840282733624,-38.994968959263396,0.001,15330,,
132,195.21030255999997,144.73,15486,94,164,20.245705048243206,-39.90875434875488,0.001,15378,,
136,176.66472629999996,130.32,15534,94,164,13.744190692901611,-40.81352742513021,0.001,15426,,
140,164.92254514000004,124.53,15582,94,164,15.016650080680847,-42.85064188639323,0.001,15474,,
144,154.43761802,117.56,15630,94,165,11.92414160569509,-44.715020497639976,0.001,15522,,
148,145.68663267000002,110.0,15678,94,165,12.347981373469034,-47.63144493103027,0.001,15570,,
152,133.53925945999998,103.75,15726,95,165,11.732706427574158,-48.53661855061849,0.001,15618,,
156,122.65350434,96.51,15774,95,165,11.033088684082031,-50.06724548339844,0.001,15666,,
160,113.72767322999998,91.93,15822,95,165,18.330552339553833,-54.26966921488444,0.001,15714,,
164,103.14352788999999,85.44,15870,95,165,13.450405438741049,-51.900821685791016,0.001,15762,,
168,91.92698440000002,79.47,15915,95,165,9.003194202076305,-54.90053621927897,0.001,15808,,
172,85.65052006000002,75.18,15959,96,166,11.147327163002707,-55.498023986816406,0.001,15852,,
,,,16000,,,9.822275335138494,-56.76032511393229,0.001,15896,-16.72432285249233,11.0
176,75.90840060000001,68.86,16003,96,166,,,,,,
180,68.34455441,64.36,16047,96,166,12.617566108703613,-54.572985331217446,0.001,15940,,
184,59.54201078999999,60.21,16091,96,166,11.249653296037154,-58.214300791422524,0.001,15984,,
188,46.47848175,52.86,16135,96,166,10.638625665144486,-57.46182378133138,0.001,16028,,
192,35.13263239,47.26,16180,97,166,11.72123690446218,-58.08698972066244,0.001,16073,,
196,23.69214420999999,39.22,16224,97,166,12.050190838900479,-59.15682830810547,0.001,16117,,
200,14.07226225,33.43,16268,97,166,11.880922490900213,-58.02194366455078,0.001,16161,,
204,3.7539694599999978,26.6,16312,97,166,10.731754996559836,-59.931190490722656,0.001,16205,,
208,-9.52646259,15.26,16359,97,167,10.045024394989014,-60.00540288289388,0.001,16251,,
212,-16.144178519999997,11.73,16407,98,167,12.022579630215963,-59.75443013509115,0.001,16299,,
216,-16.2338592,11.69,16455,98,167,11.086885531743368,-59.465956370035805,0.001,16347,,
220,-16.304574450000004,11.65,16503,98,167,10.17741048336029,-58.07869084676107,0.001,16395,,
224,-16.377991979999997,11.64,16552,98,167,14.451241691907247,-58.870477040608726,0.001,16444,,
228,-16.33854463,11.85,16623,99,167,12.927660417556762,-58.000587463378906,0.001,16506,,
232,-16.090834200000003,11.99,16685,99,168,12.624288976192474,-57.82205009460449,0.001,16573,,
236,-15.737283790000003,12.24,16758,99,168,12.098240592262961,-56.9932448647239,0.001,16647,,
240,-15.29508191,12.17,16799,99,168,14.163592624664307,-56.09324340820312,0.001,16693,,
244,-14.933082670000001,12.05,16835,100,168,12.146055380503336,-55.87333755493164,0.001,16730,,
248,-14.512353959999999,12.0,16878,100,168,11.256908633492209,-54.229244232177734,0.001,16770,,
,,,17000,,,11.13253854751587,-54.901773376464845,0.001,16852,8.402307284623385,50.9
252,-10.000032659999999,15.44,17270,101,169,12.14958160573786,-52.89255233911368,0.001,17061,,
256,-5.72160751,22.2,17994,104,172,8.930855493696908,-50.77263564251839,0.001,17701,,
,,,18000,,,7.950697468016958,-50.348350524902344,0.001,17898,16.98290036954568,155.8
260,-4.63434038,27.98,18620,108,172,7.297857652302661,-49.95084643673587,0.001,18310,,
,,,19000,,,7.41252063731758,-49.662645627374516,0.001,18815,128.63584103614556,174.3
264,-2.62917812,33.94,19264,111,172,7.627002235983505,-50.063310262319206,0.001,18962,,
268,2.82898253,40.7,19985,114,173,7.532922299624664,-49.479706943625274,0.001,19653,,
,,,20000,,,8.354028613890632,-50.75621756860765,0.001,19889,384.1332989425049,259.3
272,14.46955153,49.14,20873,120,173,10.70508491075956,-51.25558109672702,0.001,20488,,
,,,21000,,,9.24836368379296,-50.67053206761678,0.001,20777,317.8561010479927,179.0
276,31.3794806,59.22,21925,127,172,7.510011394962077,-50.85008195835909,0.001,21644,,
,,,22000,,,8.832821995503194,-50.92418007228685,0.001,21829,648.9513073189999,603.2
,,,23000,,,7.872934693720803,-50.893054697773245,0.001,22030,689.35352663831,697.0
,,,24000,,,8.679622754573822,-51.06086233520508,0.001,23030,576.9565004384843,559.9
280,57.258609150000005,82.14,24261,148,163,8.704202324390412,-51.72335034179687,0.001,24030,,
,,,25000,,,9.119287766908345,-52.77911802779796,0.001,24748,365.3205150155351,324.7
284,69.70369647000001,90.25,25116,153,163,,,,,,
,,,26000,,,9.085229458757992,-53.34984217975156,0.001,25752,417.86794758684346,326.6
288,81.5265962,99.35,26070,159,163,,,,,,
292,95.48817174000001,107.19,26899,163,164,8.777514208347425,-53.777487182617186,0.001,26654,,
,,,27000,,,10.015126013915811,-53.35238786645838,0.001,26803,225.10361431092025,129.9
296,104.61051576,111.9,27414,166,164,9.978764261518206,-54.144034249441965,0.001,27186,,
,,,28000,,,9.845239854521221,-54.736201180352104,0.001,27750,256.8413209438324,146.1
300,116.32013363999998,117.84,28052,169,165,,,,,,
304,126.60195354000001,122.38,28550,172,165,12.48122752318948,-54.4586232072216,0.001,28319,,
,,,29000,,,10.197988162075516,-54.81778208414713,0.001,28714,330.8558866864536,208.5
308,139.20646258,128.31,29190,175,165,10.006825227486459,-54.954308894642615,0.001,28942,,
312,153.84041121,135.38,29945,179,167,9.733153765899125,-55.454954263438346,0.001,29702,,
,,,30000,,,9.928306628246697,-56.3986930847168,0.001,29849,320.24424725472926,160.9
316,167.95340478999998,141.81,30636,183,167,9.024211007428457,-56.39806940469397,0.001,30395,,
,,,31000,,,10.075907289004716,-57.21407186789591,0.001,30814,355.3774590976536,165.7
320,181.9894948,147.7,31273,186,167,9.638699626123438,-57.35794191681937,0.001,30993,,
324,196.86591050000004,154.09,31961,189,168,10.500986678438037,-58.076025992945624,0.001,31695,,
,,,32000,,,10.441182565689086,-58.33089868882123,0.001,31865,261.6005818408914,138.8
328,209.61049755,159.07,32530,192,168,10.178837833025598,-58.94134049666555,0.001,32306,,
,,,33000,,,10.325536321062561,-58.71267512928356,0.001,32870,315.2393374934967,227.6
332,221.59936887,163.91,33076,196,168,,,,,,
336,234.48548816,169.79,33737,198,169,10.756095785672972,-59.82129972274989,0.001,33407,,
,,,34000,,,10.611271685141105,-59.85773855097153,0.001,33776,390.4692069240846,215.4
340,248.94303298999995,176.12,34411,202,169,10.610034382070294,-60.76974816755815,0.001,34100,,
,,,35000,,,10.902185106930668,-60.277787433971056,0.001,34718,399.7479275835678,191.6
344,255.83230652999998,184.76,35311,207,170,11.249215183513504,-60.303510257175994,0.001,34942,,
,,,36000,,,10.94476208064867,-61.15959113940858,0.001,35715,378.08394542708993,179.4
348,271.17696322000006,192.08,36086,211,170,,,,,,
352,284.33187836999997,196.34,36904,215,171,10.783012761595499,-61.24261258443197,0.001,36607,,
,,,37000,,,11.760742507763762,-62.15415244527382,0.001,36808,339.53702003657816,155.7
356,297.98617766,197.36,37730,219,171,13.00118441581726,-62.3992139339447,0.001,37415,,
,,,38000,,,13.474735124151135,-62.524088870273545,0.001,37813,421.2157062135637,190.0
360,312.89560366,198.45,38465,223,171,12.398568366625295,-62.74109859466553,0.001,38133,,
,,,39000,,,14.231727320050437,-64.27920345549887,0.001,38727,376.8701390649978,181.3
364,326.67436679,199.15,39179,228,171,13.459141272565592,-63.96533684108568,0.001,38911,,
368,332.54971118000003,197.25,39710,231,171,13.924123678451929,-64.71615742828887,0.001,39446,,
,,,40000,,,14.453571146691752,-65.98030193553251,0.001,39785,350.45951691586527,168.2
372,337.41319111000007,195.27,40400,235,171,14.202502437784702,-65.93744548363021,0.001,40142,,
,,,41000,,,13.515066039103727,-65.97100133162279,0.001,40733,390.3237639042316,221.9
376,338.0930212300001,193.07,41232,240,171,12.560550817629187,-65.98736375975378,0.001,40938,,
380,325.03560113,175.55,41816,244,171,13.913185284572577,-66.85026679039001,0.001,41620,,
,,,42000,,,14.219121608734131,-66.88688621520996,0.001,41720,324.6951634943951,176.6
384,329.34100082,175.07,42623,248,171,14.55729084991547,-67.02442821824407,0.001,42304,,
,,,43000,,,12.919671501911862,-67.58112866410585,0.001,42740,404.3566464490432,223.4
388,333.86906094,173.56,43426,253,171,13.235955686796279,-68.30574131011963,0.001,43141,,
,,,44000,,,13.369010734558106,-68.7147584018937,0.001,43724,424.83727197647096,204.7
392,336.54337916000003,173.32,44231,257,171,13.73017693267149,-68.781811022291,0.001,43928,,
396,340.91429424,174.6,44874,260,172,13.229883185841821,-68.99833093989979,0.001,44580,,
,,,45000,,,13.74879492172087,-69.64890235361426,0.001,44778,407.9644899874926,208.1
400,347.0772815600001,177.59,45811,265,172,14.019037298254064,-69.24963850575715,0.001,45557,,
,,,46000,,,14.367083984085276,-69.29891030999678,0.001,45715,337.3483750239364,180.8
404,350.53999174999984,181.41,46691,270,172,14.615794705020058,-69.76353076652244,0.001,46296,,
,,,47000,,,13.737440716136586,-70.09690149480646,0.001,46815,361.29303357230964,197.7
408,351.9889262700001,182.51,47441,274,172,13.618211111628023,-69.56568680948286,0.001,47136,,
,,,48000,,,14.207564055418768,-70.13294902769458,0.001,47828,390.8948586948216,204.4
412,355.9699872999999,184.34,48379,279,173,14.878519733375478,-69.82982642628322,0.001,48042,,
,,,49000,,,14.175344676187594,-70.32670932926544,0.001,48834,499.9633891403675,232.0
416,360.59229946,186.11,49247,284,173,,,,,,
,,,50000,,,14.091434687086679,-70.63621046936628,0.001,49806,508.5759381920099,236.3
420,364.62073191999997,188.37,50110,289,173,,,,,,
424,369.00121665,190.3,50991,293,173,14.810350106024618,-71.47908477783203,0.001,50647,,
,,,51000,,,14.621172303153623,-70.95600589629143,0.001,50895,492.61544089317323,244.5
,,,52000,,,14.106356481405404,-72.30574029775767,0.001,51589,523.1743092417717,273.6
428,376.83868925,195.01,52031,300,173,,,,,,
432,383.1291336499999,198.11,52887,304,173,15.056729041205513,-71.86325154262306,0.001,52564,,
,,,53000,,,15.003247641256728,-72.12935442629113,0.001,52791,449.49500275850295,221.8
436,388.41645012999993,200.05,53742,309,173,15.52396168618832,-71.74203993144788,0.001,53448,,
,,,54000,,,15.026610598272207,-71.9879794996612,0.001,53842,516.0371098071337,254.9
440,392.66089482999996,201.7,54581,314,173,15.271927586623601,-72.43310492379325,0.001,54289,,
,,,55000,,,16.288553369045257,-71.88142913818359,0.001,54894,401.85950337648393,188.9
444,402.84279926000005,200.66,55377,319,173,16.256349907126477,-72.31732054679624,0.001,55080,,
,,,56000,,,16.142615207651044,-72.08031120300294,0.001,55805,339.3412799369544,172.2
448,400.36103541999995,199.56,56042,323,173,,,,,,
452,399.42604668000007,199.6,56864,327,173,15.066384882540316,-72.25784514830993,0.001,56573,,
,,,57000,,,15.072136389903534,-72.01955557842643,0.001,56768,342.23621394634245,158.7
456,396.59684396999995,197.7,57500,331,173,15.370928179134022,-72.27607666362415,0.001,57239,,
,,,58000,,,15.199149670213034,-71.961157589867,0.001,57750,315.5264681720175,165.8
460,393.83700007,197.68,58233,335,173,16.03262541510842,-71.74048297436207,0.001,57904,,
464,388.34286468000005,197.93,58972,339,173,14.492170289898596,-71.88735521343392,0.001,58580,,
,,,59000,,,15.448898753604373,-71.3279918979954,0.001,58876,420.520507389307,243.9
