time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
2725,4,52,11.245141,13.0,0,,,,,,
302,8,240,27.314047375,30.0,0,0.05070813585800596,0.001,119,-1.0870753445867765,,
245,12,329,31.191012833333343,27.416666666666668,1,0.027334504210474817,0.001,207,-1.7745447592301802,,
225,16,418,33.1360745625,26.125,1,0.05849938602610068,0.001,297,-2.1900774999098345,,
212,20,519,32.8706155,25.95,2,0.06032119092086087,0.001,387,-2.7132937041195957,,
194,24,748,37.543507125,31.166666666666668,3,0.09760072146143232,0.001,612,-2.9853373368581138,,
186,28,847,38.021251428571425,30.25,4,0.19709286454952124,0.001,727,-3.447716847062111,,
183,32,938,38.218383125,29.3125,5,0.2619288545101881,0.001,817,-3.7753944993019104,,
,,1000,,,,0.2200102587432965,0.001,884,-4.064651052157084,39.08487924337387,22.4
177,36,1028,38.326253944444446,28.555555555555557,5,0.26481498632094136,0.001,907,-4.112648682160811,,
176,40,1117,38.372693299999995,27.925,6,0.34415188690890436,0.001,996,-4.544559955596924,,
177,44,1206,38.42130668181818,27.40909090909091,6,0.3304065187340197,0.001,1085,-4.943180647763339,,
178,48,1328,39.32820075,27.666666666666668,7,0.3243455713571504,0.001,1195,-5.3740483692714145,,
178,52,1466,39.94551503846154,28.192307692307693,8,0.4116814287708086,0.001,1331,-5.858989266788258,,
179,56,1660,43.08208042857142,29.642857142857142,9,0.4580530772606532,0.001,1514,-6.421075557840282,,
178,60,1809,44.46005771666666,30.15,10,0.6112573136423909,0.001,1670,-6.903517267920754,,
178,64,1957,45.63986757812499,30.578125,10,0.6546570220518679,0.001,1819,-7.481626805805025,,
,,2000,,,,0.6871629455467549,0.001,1899,-7.754823875427246,73.30914505124092,42.8
173,68,2120,47.0555110735294,31.176470588235293,12,0.7045471455901862,0.001,1982,-8.058529448509216,,
174,72,2278,48.196192833333335,31.63888888888889,13,0.8484062082492388,0.001,2140,-8.659416246414185,,
175,76,2437,49.21442946052632,32.06578947368421,13,0.6262654505851792,0.001,2298,-9.066032818385533,,
175,80,2596,50.121334375,32.45,14,0.5752496279776096,0.001,2457,-9.565582895278931,,
175,84,2754,50.92744266666668,32.785714285714285,15,0.5941588807851076,0.001,2615,-10.212869596481323,,
175,88,2917,51.783182056818184,33.14772727272727,16,0.7538952432572842,0.001,2775,-10.756207466125488,,
,,3000,,,,0.5515974259529358,0.001,2898,-11.221228981018067,73.16629399657249,42.8
172,92,3083,52.590432467391295,33.51086956521739,17,0.6117141771722924,0.001,2942,-11.38318395614624,,
173,96,3248,53.32574887500001,33.833333333333336,18,0.5822587282884688,0.001,3106,-11.830172084626698,,
173,100,3416,54.035475850000005,34.16,19,0.8430816767419257,0.001,3275,-12.321511507034302,,
174,104,3602,56.763441570000005,35.5,20,0.6804444706717203,0.001,3446,-12.92437254298817,,
173,108,3794,58.293779650000005,35.54,21,0.8069288973130432,0.001,3648,-13.649865223811222,,
174,112,3986,59.99435735000001,36.57,22,0.7531873896718025,0.001,3840,-14.174754447937012,,
,,4000,,,,0.7756711453833478,0.001,3887,-14.44560780732528,90.87464564442635,53.3
171,116,4191,61.936223340000005,37.73,24,0.6678535919297826,0.001,4044,-14.89629214150565,,
171,120,4397,64.18005743999998,38.78,25,0.9139155535136952,0.001,4246,-15.504331992222713,,
172,124,4600,65.20733703,38.52,26,0.9110652993743619,0.001,4448,-16.09556730588277,,
172,128,4822,67.33263668,39.75,27,1.1222032169843543,0.001,4661,-16.84658510931607,,
172,132,4970,68.31342196,40.32,28,0.709383276104927,0.001,4815,-17.100903511047363,,
,,5000,,,,1.0594276541045733,0.001,4871,-17.527421746935165,88.5981053173542,52.0
170,136,5219,71.02750323,41.91,30,1.2294381923145719,0.001,5068,-18.046209900467485,,
171,140,5470,73.70808647999999,43.53,31,1.2273378717271906,0.001,5314,-18.653703689575195,,
171,144,5719,76.36745411,45.13,33,1.8534067233403524,0.001,5562,-19.328170649210612,,
172,148,5990,79.01103957,46.62,34,1.937986715843803,0.001,5814,-19.830713774028577,,
,,6000,,,,1.80364732154004,0.001,5891,-20.056330078526546,116.30812349319459,69.0
169,152,6274,81.93835469,48.08,36,1.6262250008254215,0.001,6107,-20.633794916087183,,
170,156,6592,84.07545107,49.32,38,2.715232226219806,0.001,6415,-21.3616089714898,,
169,160,6879,86.4616635,50.7,40,2.209257242434165,0.001,6708,-22.20721637501436,,
,,7000,,,,2.810230780032373,0.001,6842,-22.669654477027155,113.83141131401062,67.4
167,164,7136,88.23754883,51.79,42,2.248582411896099,0.001,6972,-22.70491663614909,,
167,168,7381,89.62707546999998,52.61,43,2.6149632536595866,0.001,7214,-23.316852200415827,,
167,172,7629,91.15498045999999,53.51,45,2.697156141911234,0.001,7470,-23.872207369123185,,
167,176,7866,92.51112299999998,54.29,46,2.9259671178020414,0.001,7715,-24.2795202255249,,
,,8000,,,,3.3852013585702427,0.001,7877,-24.724498528700607,96.27896370887757,55.3
