rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_ep_length,eval/mean_reward
18.75,4,16.243347999999997,3403,0,75,,,,,,
15.75,8,13.820448375,803,0,126,0.001,0.10671149702234702,22,-0.9480818013350168,,
20.166666666666668,12,26.487969916666668,307,0,242,0.001,0.022396026136861605,123,-1.745975212617354,,
20.5625,16,29.471683,239,1,329,0.001,0.04888775809244676,212,-2.2816536860032515,,
20.85,20,31.32880995,221,1,417,0.001,0.09619881070795513,299,-2.6413073778152465,,
20.375,24,25.902247666666668,210,2,489,0.001,0.10997027386393812,375,-2.810022327635023,,
20.035714285714285,28,21.987582142857143,201,2,561,0.001,0.11497451571954621,447,-2.6718556351131864,,
19.71875,32,19.10411403125,197,3,631,0.001,0.13746491206042907,517,-2.809866279363632,,
19.52777777777778,36,16.84737527777778,194,3,703,0.001,0.18831707102557024,589,-2.748711003197564,,
19.35,40,15.031168500000001,191,4,774,0.001,0.1544465150903253,660,-2.629233227835761,,
19.204545454545453,44,13.54117327272727,188,4,845,0.001,0.15451766322884294,731,-2.664580398135715,,
19.083333333333332,48,12.296945812499999,185,4,916,0.001,0.23897118783659405,802,-2.5533751911587186,,
19.0,52,11.238059653846152,184,5,988,0.001,0.2491279641787211,874,-2.4918906688690186,,
,,,,,1000,0.001,0.13512388140790993,892,-2.4190333684285483,17.9,-1.315591473132372
18.910714285714285,56,10.339564982142857,174,6,1059,0.001,0.2589670042781269,945,-2.47682386636734,,
18.85,60,9.548403316666667,173,6,1131,0.001,0.2961054982410537,1017,-2.313882006539239,,
18.78125,64,8.862924218749999,172,6,1202,0.001,0.26040853384663076,1088,-2.355737156338162,,
18.705882352941178,68,8.27175561764706,172,7,1272,0.001,0.29507458648260904,1159,-2.208951324224472,,
18.666666666666668,72,7.728997875,171,7,1344,0.001,0.28076660219166016,1230,-2.062861760457357,,
18.61842105263158,76,7.245849802631579,171,8,1415,0.001,0.32873943489458823,1302,-2.063251601325141,,
18.575,80,6.816528525,172,8,1486,0.001,0.25034704845812583,1372,-1.6583961910671658,,
18.547619047619047,84,6.4228031309523805,171,9,1558,0.001,0.41644439846277237,1444,-1.915182842148675,,
18.511363636363637,88,6.076473784090909,171,9,1629,0.001,0.23614113964140415,1515,-1.7818206548690796,,
18.847826086956523,92,7.149465141304348,172,10,1734,0.001,0.479480000651058,1603,-2.2400021693285774,,
19.020833333333332,96,8.546661239583335,171,10,1826,0.001,0.6385459462180734,1708,-2.181955317656199,,
19.13,100,9.73334264,170,11,1913,0.001,0.9771899254549117,1795,-2.6645804166793825,,
19.22,104,10.55620271,169,11,1997,0.001,1.0432164037511462,1880,-3.3764637166803535,,
,,,,,2000,0.001,0.9525480976416951,1901,-3.6896042346954347,22.2,39.087079393863675
19.64,108,11.73364425,166,12,2090,0.001,1.2040974389423023,1971,-3.7116300842978736,,
19.39,112,11.261385480000001,165,13,2181,0.001,0.8861858614466407,2062,-4.699842474677346,,
19.42,116,11.31258446,165,13,2271,0.001,1.0024687583031862,2153,-5.296148300170898,,
20.18,120,12.6454857,168,14,2435,0.001,1.2782790437340736,2269,-5.523207505544026,,
22.25,124,18.01601934,170,15,2714,0.001,1.368304667295888,2532,-6.763748958706856,,
,,,,,3000,0.001,1.4911066413610832,2847,-8.553048610687256,85.2,165.16839957237244
24.66,128,24.06227002,163,18,3027,,,,,,
27.13,132,30.106095120000006,164,20,3344,0.001,1.6722015368651195,3167,-9.809006993363543,,
29.82,136,36.81152829,165,22,3685,0.001,1.7294924162238476,3502,-11.167963572910853,,
,,,,,4000,0.001,1.6966308646503536,3849,-12.54197291440742,85.8,167.3738830089569
32.57,140,43.59398903,160,25,4031,,,,,,
35.25,144,50.26471006,161,27,4370,0.001,2.113455435808967,4187,-14.015168871198382,,
37.71,148,56.48879121,161,29,4687,0.001,2.2463409191086177,4507,-14.946436266745291,,
,,,,,5000,0.001,2.410216178702212,4849,-16.439424492592035,85.9,169.42942589521408
40.43,152,63.31788568000001,157,31,5031,,,,,,
43.16,156,70.12442379,157,34,5375,0.001,2.5738896457261817,5193,-17.579037910283997,,
45.9,160,76.954635,157,36,5721,0.001,2.338218512206242,5538,-18.52456708387895,,
,,,,,6000,0.001,2.7116826281828037,5879,-19.627558980669296,82.1,156.42374802827834
48.51,164,83.39188754999999,153,39,6053,,,,,,
51.17,168,89.93170857000001,154,41,6389,0.001,3.3299674563024237,6206,-20.44795309413563,,
53.85,172,96.5734976,155,43,6729,0.001,3.63861626741432,6546,-21.498863129388717,,
,,,,,7000,0.001,2.745003229515119,6892,-22.723824457688764,86.1,167.7711457490921
56.58,176,103.29076056,153,46,7073,,,,,,
58.71,180,108.72416274999998,153,48,7357,0.001,3.3039177776802156,7228,-23.750132651556108,,
61.42,184,115.43789507000001,154,49,7700,0.001,3.9708323300569908,7517,-24.20727388248887,,
,,,,,8000,0.001,4.628835968673229,7849,-25.489716625213624,80.1,154.15486448407174
63.99,188,121.80114452,152,52,8028,,,,,,
66.3,192,127.14845822999997,153,54,8364,0.001,3.1728101727508364,8183,-26.132475262596493,,
68.74,196,132.13775705,154,56,8700,0.001,3.691273169657763,8519,-27.13824549175444,,
,,,,,9000,0.001,3.0244526315567106,8860,-27.969474215840183,84.5,165.84395426511765
71.29,200,137.32907975,152,59,9042,,,,,,
73.81,204,142.47959138000002,152,61,9378,0.001,4.4629731323829915,9197,-28.758913261945857,,
76.29,208,147.7079684,153,63,9719,0.001,4.194992050002603,9538,-29.055049541384676,,
,,,,,10000,0.001,3.8181434273719788,9877,-30.386776242937362,85.5,170.74489597082137
78.78,212,152.96729183999997,152,66,10059,,,,,,
81.28,216,158.12338866,151,68,10399,0.001,4.046780983139487,10218,-31.19980239868164,,
83.05,220,161.96569663000002,151,70,10740,0.001,4.725035650589887,10559,-31.671672185262043,,
,,,,,11000,0.001,3.158742974084966,10900,-32.11413423405137,85.5,171.2900244474411
83.68,224,163.49481317000001,150,73,11082,,,,,,
83.98,228,164.41313097000003,150,76,11425,0.001,3.8003715158895006,11243,-33.484915711158926,,
84.2,232,165.295508,150,78,11764,0.001,3.575608693852144,11583,-33.92261069161551,,
,,,,,12000,0.001,4.696033623639275,11838,-34.52378326238588,85.2,173.1302650809288
84.18,236,165.53067859000004,149,80,12103,0.001,3.29579826763698,11922,-34.21967874254499,,
84.15,240,165.69518903,150,82,12446,0.001,4.663547488839128,12264,-35.22775800838027,,
84.17,244,165.95801139,150,84,12787,0.001,4.294815666453783,12605,-35.765021390693136,,
,,,,,13000,0.001,4.414875295273093,12862,-35.986699658770895,85.4,173.5352508187294
84.41,248,166.69215706000003,150,87,13128,0.001,7.133241691308863,12947,-36.21533330281576,,
84.38,252,166.82767305999997,150,89,13469,0.001,4.372108951736899,13288,-36.74299470768418,,
84.36,256,166.94294872999998,150,91,13811,0.001,5.2955484646697375,13629,-37.08473187823628,,
,,,,,14000,0.001,5.045131014375126,13886,-37.5881101918775,84.4,173.9249612569809
84.3,260,167.09096405,150,94,14151,0.001,5.730036427577336,13970,-37.7613392784482,,
84.39,264,167.63944705000003,150,96,14492,0.001,4.8576366118220395,14311,-38.066846714463345,,
84.43,268,168.05225206,150,98,14832,0.001,5.638136980145476,14652,-38.30626057469568,,
,,,,,15000,0.001,3.6398981852190837,14820,-38.85125805082775,85.4,172.9501970410347
