train/critic_loss,time/time_elapsed,time/total_timesteps,train/n_updates,time/episodes,train/actor_loss,train/learning_rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward
0.03205926104315689,0,117,83,4,-1.3595588207244873,0.001,175,33.50756975,29.25,,
0.016112827828952243,0,145,111,8,-1.3219594955444336,0.001,175,18.629337,18.125,,
0.016030094719358852,0,173,139,12,-1.2938403685887654,0.001,177,13.636022833333334,14.416666666666666,,
0.01734535356185266,1,201,167,16,-1.281222899754842,0.001,177,11.1166780625,12.5625,,
0.014447304553219251,1,229,195,20,-1.2902759313583374,0.001,177,9.609382299999998,11.45,,
0.013576757561947619,1,257,223,24,-1.2349965174992878,0.001,176,8.603064458333334,10.708333333333334,,
0.01339250330680183,1,285,251,28,-1.3437795639038086,0.001,176,7.8958390000000005,10.178571428571429,,
0.012929979379155807,1,313,279,32,-1.250474174817403,0.001,176,7.37248959375,9.78125,,
0.015696945999349867,1,341,307,36,-1.2952587207158406,0.001,176,6.9496509444444445,9.472222222222221,,
0.019380799228591577,2,369,335,40,-1.2263013124465942,0.001,176,6.617612650000001,9.225,,
0.0274882305206524,2,419,374,44,-1.3955927557415433,0.001,182,6.126215840909091,9.522727272727273,,
0.025811693113711145,2,491,446,48,-1.2905507882436116,0.001,182,5.473203104166667,10.229166666666666,,
0.008114833876283633,3,815,518,52,-1.3605713579389784,0.001,250,10.68777923076923,15.673076923076923,,
0.26487536550987334,4,902,853,56,-2.47307950258255,0.001,185,12.675177125000001,16.107142857142858,,
0.33847864412448625,5,989,940,60,-2.9113657908006148,0.001,184,14.3839091,16.483333333333334,,
0.39741069688038394,,1000,962,,-2.972969965501265,0.001,,,,22.1,38.893418955802915
0.47921041636304423,6,1077,1028,64,-3.260760870846835,0.001,179,15.903572890625002,16.828125,,
0.5167099806395444,6,1165,1115,68,-3.7194777618754995,0.001,180,17.25054225,17.13235294117647,,
0.5261559408335459,6,1253,1203,72,-3.9213836193084717,0.001,181,18.445761625000003,17.40277777777778,,
0.4816087745130062,7,1341,1292,76,-4.305448098616167,0.001,182,19.508642223684213,17.644736842105264,,
0.5455289000556582,7,1428,1379,80,-4.785401391983032,0.001,181,20.454308987500003,17.85,,
0.44358945841139014,8,1516,1467,84,-4.946173624558882,0.001,182,21.320388500000004,18.047619047619047,,
0.46513884446837683,8,1606,1556,88,-5.3732171058654785,0.001,183,22.14787555681818,18.25,,
0.4381686625155536,9,1695,1646,92,-5.817241582003507,0.001,183,22.891581858695655,18.42391304347826,,
0.3729991069749782,9,1803,1765,96,-6.715225897337261,0.001,183,23.71436438541667,18.78125,,
0.7884634852409362,10,1841,1804,100,-7.4178766250610355,0.001,182,23.160717169999998,18.41,,
0.3364352070622974,10,1875,1839,104,-7.520436644554138,0.001,182,22.152773170000003,17.58,,
0.6444586679339409,10,1913,1876,108,-7.361846542358398,0.001,182,22.404779719999997,17.68,,
0.5827057719230652,10,1955,1916,112,-7.38905963897705,0.001,183,22.731081430000003,17.82,,
0.44081066955219617,10,1999,1960,116,-7.443753878275554,0.001,183,23.093264099999995,17.98,,
0.57709867755572,,2000,1972,,-7.955252091089885,0.001,,,,11.6,13.882071530818939
0.4453032836318016,11,2047,2008,120,-7.948527177174886,0.001,182,23.537916070000005,18.18,,
1.0246718362683342,12,2220,2162,124,-8.171308676401773,0.001,184,26.697910149999995,19.63,,
1.0875022997458776,12,2333,2282,128,-8.581047121683756,0.001,184,28.53939125999999,20.48,,
0.9326860577829422,13,2488,2438,132,-9.178183257579803,0.001,184,31.048053279999994,21.75,,
0.7490534292800086,14,2640,2583,136,-9.491168635232109,0.001,185,33.51607609999999,22.99,,
1.0434244788355298,14,2767,2712,140,-9.898847897847494,0.001,185,35.58951898,23.98,,
1.0757729783654213,15,2896,2835,144,-10.411299364907402,0.001,185,37.80616424,24.77,,
1.1868624961054004,,3000,2941,,-10.876340495215523,0.001,,,,35.9,61.159696185588835
1.0917280960727382,16,3037,2978,148,-11.233393669128418,0.001,182,40.29962217,25.46,,
1.1940804316717035,17,3172,3117,152,-11.439330437604118,0.001,182,39.737942419999996,23.57,,
1.2268224111918746,18,3299,3241,156,-12.127340044294085,0.001,183,40.43757869,23.97,,
1.740414256659838,18,3492,3424,160,-12.408358060396635,0.001,184,42.07069542,25.03,,
2.1406856846001188,20,3721,3643,164,-13.315148813971158,0.001,184,44.443792859999995,26.44,,
2.800020582973957,21,3958,3870,168,-14.271497760500226,0.001,185,46.81081507,27.93,,
2.7938644856703085,,4000,3931,,-14.822285683949788,0.001,,,,46.4,77.91953415870667
2.7304056024912633,23,4219,4119,172,-15.788557081511527,0.001,183,49.848132920000005,29.66,,
4.011544906798704,24,4524,4411,176,-16.878103685379028,0.001,184,54.05324561000001,31.83,,
4.307205436910902,25,4670,4610,180,-17.979464954800076,0.001,182,55.027426010000006,32.42,,
5.7630084650857105,26,4815,4753,184,-18.85603568133186,0.001,183,55.95447566,32.99,,
