rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,time/fps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,eval/mean_reward,eval/mean_ep_length
13.02575275,0,24.0,4,96,3327,,,,,,
23.53482225,0,22.625,8,181,393,0.001,-1.1596158544222515,64,0.010822769092476887,,
28.78383616666667,0,22.5,12,270,271,0.001,-1.6925140727650037,152,0.02966466292061589,,
31.374418125,1,22.4375,16,359,238,0.001,-2.1209650581533257,241,0.043546884236010636,,
32.9267101,2,22.4,20,448,217,0.001,-2.5047203302383423,330,0.07080505180941976,,
33.896621124999996,2,22.333333333333332,24,536,210,0.001,-2.9087409539656206,418,0.0893140064383095,,
35.77371007142857,3,22.892857142857142,28,641,207,0.001,-3.298776084726507,507,0.11028395000506531,,
33.235925875,3,21.5,32,688,195,0.001,-3.679586092631022,585,0.17346387462956564,,
30.202973833333335,3,19.88888888888889,36,716,193,0.001,-3.802864948908488,613,0.1417435844029699,,
27.775126475,3,18.6,40,744,190,0.001,-3.5926624139149985,641,0.18085227480956487,,
25.787993113636364,4,17.545454545454547,44,772,189,0.001,-3.8672455151875815,669,0.18237813455717905,,
24.13600925,4,16.666666666666668,48,800,187,0.001,-3.7343146006266275,697,0.19316457637718745,,
24.101669480769228,4,16.596153846153847,52,863,187,0.001,-3.9518874425154467,744,0.24444862168568832,,
,,,,1000,,0.001,-4.481849041852084,886,0.33614422021241025,72.67073942422867,41.0
29.261078357142857,6,19.160714285714285,56,1073,170,0.001,-4.8166935330345515,929,0.46915005078149397,,
31.45297168333333,7,20.2,60,1212,166,0.001,-5.562302242625844,1094,0.5945572897114537,,
32.584431171874996,8,20.6875,64,1324,164,0.001,-6.059987718408758,1207,0.7161331004039808,,
32.94806226470588,8,20.764705882352942,68,1412,164,0.001,-6.455460851842707,1294,0.8506468331271951,,
33.331546555555555,9,20.86111111111111,72,1502,164,0.001,-6.782400329907735,1384,1.0075189238009246,,
33.613929144736844,9,20.92105263157895,76,1590,165,0.001,-7.264994447881525,1472,0.8697949180548842,,
37.3684913625,10,22.8875,80,1831,168,0.001,-7.761134011404855,1660,0.8836265896047865,,
,,,,2000,,0.001,-8.697638312051463,1877,1.0262745549512464,166.0507543563843,85.4
42.75715879761905,13,25.535714285714285,84,2145,157,0.001,-8.998299288195232,1963,1.0747565880071286,,
48.01220193181819,15,28.170454545454547,88,2479,157,0.001,-10.321905649625338,2297,1.4625644016114971,,
51.46742583695653,17,29.934782608695652,92,2754,158,0.001,-11.446640381446251,2600,1.6038734568403912,,
,,,,3000,,0.001,-12.40962707079374,2839,1.2925410373852804,146.10522186756134,79.7
54.22189164583333,19,31.364583333333332,96,3011,157,,,,,,
58.029004379999996,20,33.33,100,3333,160,0.001,-13.33651111125946,3152,1.6075520040113715,,
64.01570514,22,35.79,104,3675,162,0.001,-14.5289370292841,3493,1.8303789517214133,,
,,,,4000,,0.001,-15.76197566986084,3828,1.7374017059803009,161.97741289138793,85.1
69.01449288000002,25,38.29,108,4010,155,,,,,,
74.04073155,27,40.83,112,4353,155,0.001,-16.973604290984397,4171,1.9763313317021658,,
79.00063937,30,43.36,116,4695,155,0.001,-17.98846049641454,4513,1.9582870242207548,,
