rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,eval/mean_ep_length,eval/mean_reward
13.0,4,11.245141,2530,0,52,,,,,,
30.0,8,27.3140485,239,1,240,0.05070814106343392,-1.0870753870172016,0.001,119,,
27.416666666666668,12,31.19101383333334,188,1,329,0.027334507216106762,-1.7745447592301802,0.001,207,,
26.125,16,33.136075437500004,171,2,418,0.05849959083240141,-2.1900675730271773,0.001,297,,
25.8,20,32.747120550000005,163,3,516,0.06095606388281221,-2.7157146713950415,0.001,387,,
36.333333333333336,24,44.297751166666664,146,5,872,0.10705471619270569,-3.36405669559132,0.001,750,,
34.285714285714285,28,43.470861285714285,145,6,960,0.19012179225683212,-3.8123538494110107,0.001,840,,
,,,,,1000,0.24126372520219197,-4.011451721191406,0.001,883,22.2,38.76742123365402
32.8125,32,42.93671603125,138,7,1050,0.21334279571538386,-4.110755616968328,0.001,929,,
32.22222222222222,36,43.4587013888889,139,8,1160,0.2979686127408691,-4.5773857434590655,0.001,1018,,
32.35,40,44.61657625,137,9,1294,0.3302174453787944,-5.2013375338386085,0.001,1164,,
31.954545454545453,44,44.99564013636364,134,10,1406,0.2944632658073979,-5.565082963307699,0.001,1285,,
33.875,48,49.27086845833333,136,11,1626,0.3147895610395898,-6.265837609767914,0.001,1474,,
34.36538461538461,52,50.816827961538465,133,13,1787,0.3584843100385463,-6.9633970856666565,0.001,1666,,
34.94642857142857,56,52.40129542857143,134,14,1957,0.43591544619546485,-7.4444397046015816,0.001,1819,,
,,,,,2000,0.7321292459964752,-7.876526090833876,0.001,1895,40.8,70.40334278345108
34.85,60,52.769271350000004,128,16,2091,0.8571915596723556,-8.048294417063396,0.001,1966,,
34.34375,64,52.407743890625,128,17,2198,0.667461385684354,-8.469473975045341,0.001,2072,,
