train/n_updates,train/actor_loss,rollout/ep_len_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
26182,-72.25526484047494,123.34,216,214,26446,123,29.64144686833481,0.001,222.80178192,,
26880,-73.88349337910496,,,,27000,,26.83074747961621,0.001,,171.0,338.0032967329025
,,125.96,220,220,27147,123,,,227.42083108999998,,
27597,-75.27302273114522,127.97,224,225,27870,123,32.5369216493992,0.001,230.16882163,,
27771,-76.12602374197422,,,,28000,,30.093382733991778,0.001,,174.5,344.1590642869472
28276,-76.75542355761115,129.3,228,231,28542,123,32.44871543505177,0.001,232.10117701,,
28785,-77.67445843718772,,,,29000,,33.561820824022234,0.001,,195.1,367.1552405655384
28987,-78.13828557080562,133.5,232,238,29305,122,26.742833766606775,0.001,241.24960446,,
29752,-79.7209820954696,,,,30000,,28.02872772709183,0.001,,160.3,322.2869137048721
,,136.23,236,245,30002,122,,,247.66308701999998,,
30382,-81.16428739107572,139.17,240,249,30630,122,29.199972692386126,0.001,255.97932221999997,,
30789,-81.7388936211081,,,,31000,,37.14531281046624,0.001,,124.0,268.5607638180256
30915,-81.83218662322514,139.32,244,254,31138,122,30.00020734847538,0.001,258.19644599,,
31396,-83.309571765718,139.98,248,257,31597,122,27.987530178070067,0.001,262.40318242,,
31856,-84.62349937702048,,,,32000,,26.454189111446514,0.001,,118.3,253.73868904709815
,,141.14,252,261,32073,122,,,268.39990971,,
32311,-85.84175095191368,142.65,256,264,32536,122,36.644417363863724,0.001,274.54209765,,
32793,-87.42615410133645,,,,33000,,34.5713053588514,0.001,,131.4,277.316960644722
,,143.79,260,269,33027,122,,,279.94142854,,
33268,-87.6364307750355,145.8,264,272,33490,123,40.56016477671537,0.001,286.50918918,,
33755,-88.36461542523097,146.24,268,275,33970,123,34.32789052002073,0.001,289.74794403,,
33871,-89.43098331319875,,,,34000,,34.17605816084763,0.001,,112.0,226.52351879477501
34197,-89.31076280126032,146.31,272,279,34408,123,36.42486133215562,0.001,292.15462784,,
34634,-90.7017260464755,145.85,276,282,34836,123,28.73381100134416,0.001,292.1297198,,
34842,-91.08591921824329,,,,35000,,30.210237734658378,0.001,,106.8,220.00304347872734
35056,-91.65844116210937,144.62,280,286,35265,123,38.033469191384974,0.001,289.43235609,,
35500,-91.6206328528268,143.59,284,289,35710,123,22.468247138702118,0.001,287.69535749,,
35836,-92.4353709973787,,,,36000,,25.890157058175685,0.001,,111.4,228.61702629327775
35946,-92.89835177334872,142.26,288,293,36169,123,41.19291953607039,0.001,285.01967024999993,,
36410,-93.6944299895188,140.79,292,296,36623,123,31.087334378012294,0.001,282.17406464,,
36867,-94.41991491485061,,,,37000,,31.863572046031123,0.001,,115.1,234.28915410637856
,,139.43,296,300,37081,123,,,279.32055649,,
37296,-95.45252741300143,138.09,300,303,37497,123,32.791225355405075,0.001,277.4667525,,
37716,-95.7017724609375,135.5,304,306,37921,123,41.14557622909546,0.001,272.97952246999995,,
37822,-95.52218440793595,,,,38000,,26.160850583382373,0.001,,102.0,219.4752122938633
38130,-96.60353088378906,132.77,308,310,38351,123,29.499500782984608,0.001,268.88022441,,
38614,-97.1451446032915,130.72,312,313,38840,123,31.58882016977988,0.001,266.70408066,,
38864,-97.57737510435042,,,,39000,,33.139841858933615,0.001,,115.2,267.6544024467468
39100,-97.7502311706543,128.67,316,317,39313,123,33.2152720451355,0.001,264.2281588,,
39566,-99.40833778986855,126.41,320,320,39788,123,43.93736902872721,0.001,261.40159100999995,,
39816,-100.03203403949738,,,,40000,,31.106836874653975,0.001,,121.7,280.81260562539103
40056,-99.45623588562012,124.06,324,325,40276,123,45.27275427650003,0.001,258.62266221999994,,
40574,-101.49853995186942,122.66,328,328,40808,124,35.72145533390182,0.001,257.01706619,,
40853,-101.8862722184923,,,,41000,,36.79123159249624,0.001,,134.6,292.3139608979225
41110,-102.59318333287393,120.32,332,333,41337,123,41.678187301082,0.001,254.13590879000003,,
41609,-103.87111276095031,118.36,336,337,41838,124,49.326264295421666,0.001,251.86589832000004,,
41870,-104.46201081709428,,,,42000,,33.72822281058508,0.001,,134.6,298.60867339372635
42138,-105.76513512454815,117.35,340,342,42365,123,39.5540830676717,0.001,250.95623500000002,,
42629,-105.77396059036255,117.3,344,345,42868,124,40.197554421979326,0.001,250.25871893,,
42863,-106.49295888048538,,,,43000,,36.562875767971605,0.001,,139.3,304.70039200186727
43142,-107.68112279327822,117.86,348,350,43383,123,46.44481703932856,0.001,250.67557809000002,,
43596,-108.76398801803589,117.52,352,353,43825,124,36.65460494192023,0.001,248.7270132,,
43868,-109.31431611826721,,,,44000,,34.70447170902306,0.001,,126.5,269.85868660211565
44136,-109.63058896745954,118.51,356,358,44387,123,39.21733389655463,0.001,250.88348944000006,,
44767,-110.97088947034862,119.72,360,362,44999,124,39.83982938609711,0.001,253.40273931000004,,
44900,-110.18535557077892,,,,45000,,36.13072242951931,0.001,,155.3,323.9471177279949
45389,-110.49791653951009,121.77,364,368,45667,123,39.78039882592196,0.001,257.59120009,,
45756,-110.98838262355073,,,,46000,,36.53553509204946,0.001,,193.5,364.357789170742
46130,-111.26309734842052,124.47,368,375,46417,123,35.11629510056126,0.001,261.98841515,,
46853,-111.47500652271313,,,,47000,,36.43345127000914,0.001,,182.0,354.6889830946922
,,127.29,372,382,47137,123,,,267.10513733000005,,
47553,-112.06056430016035,129.77,376,386,47813,123,43.28363682899946,0.001,271.74248386,,
47844,-111.55421729454628,,,,48000,,38.44726391205421,0.001,,132.0,291.69810715317726
48103,-111.73180330716647,130.72,380,391,48337,123,35.91418110505315,0.001,274.47382335,,
48702,-112.35307037353516,132.4,384,395,48950,123,31.76808261231288,0.001,278.31431593,,
48851,-113.17107391357422,,,,49000,,39.90499488779363,0.001,,144.6,306.718351984024
49265,-112.40966731104358,133.42,388,401,49511,123,32.68473778015528,0.001,281.24809001,,
49727,-114.02577010068026,,,,50000,,37.79047398675572,0.001,,164.1,331.2028640508652
49901,-112.95410533335017,135.71,392,407,50194,123,34.34750670948248,0.001,285.74278929,,
50592,-113.22851572281274,137.46,396,411,50827,123,38.215056696245746,0.001,289.34215047000004,,
50874,-112.835584666631,,,,51000,,35.654985937353686,0.001,,133.8,289.74709793329237
51154,-113.67328685038798,139.02,400,417,51399,123,40.61612781537633,0.001,292.62446566,,
51733,-114.77563402387831,140.5,404,421,51971,123,33.34010323820443,0.001,295.90933408,,
51872,-113.52137363978795,,,,52000,,44.149631905041154,0.001,,142.3,293.58233576416967
52293,-114.46519993373326,141.7,408,426,52521,123,34.8135601104574,0.001,298.1789313,,
52813,-113.85585497427678,,,,53000,,32.60173875136341,0.001,,135.8,291.7994178295136
,,142.1,412,431,53050,123,,,298.50486225000003,,
53371,-115.63447449172753,142.95,416,434,53608,123,34.60357123999287,0.001,299.34811628000006,,
53806,-115.60941764099957,,,,54000,,40.69552859868089,0.001,,126.7,272.2456351399422
53933,-114.00529274107917,143.76,420,440,54164,123,33.57686422002597,0.001,300.32599373999994,,
54454,-115.45661756727431,143.87,424,443,54663,123,33.485714572906495,0.001,300.24669345999996,,
54792,-116.09504829018803,,,,55000,,43.16662938778217,0.001,,116.5,261.311637532711
54912,-115.81405207316081,143.17,428,447,55125,123,31.37926080226898,0.001,298.90959489,,
55326,-116.8337210830377,141.95,432,450,55532,123,31.55679871372341,0.001,296.82765421,,
55738,-116.25652827048788,140.99,436,453,55937,123,41.83795349376718,0.001,295.04117717,,
55838,-116.96128311157227,,,,56000,,36.97187398433685,0.001,,105.4,247.48317084908484
56145,-116.68193906896255,139.9,440,456,56355,123,25.43011147368188,0.001,293.16338581,,
56571,-116.96088134765625,139.03,444,459,56771,123,37.10362342324587,0.001,292.55460276,,
56866,-116.53204154968262,,,,57000,,49.37089525659879,0.001,,95.6,224.04175901412964
56962,-116.84617598851521,137.72,448,463,57155,123,30.024701192975044,0.001,291.16527423,,
57372,-117.4716375942888,137.46,452,466,57571,123,45.34094143328459,0.001,292.43535558,,
57805,-117.68868979092302,,,,58000,,50.682530786237145,0.001,,107.6,242.98970572352408
,,136.23,456,470,58010,123,,,290.64673947,,
58227,-117.71919454847064,134.39,460,473,58438,123,38.42334520816803,0.001,287.80297623999996,,
58707,-118.18859638151575,132.34,464,476,58901,123,41.54320175530481,0.001,284.56008799000006,,
58802,-118.11921008427937,,,,59000,,45.489054745122004,0.001,,135.8,261.0269999027252
59167,-118.05527340635962,129.81,468,480,59398,123,31.71199543307526,0.001,280.1088837,,
59626,-118.53050912710337,126.9,472,483,59827,123,35.82276409356169,0.001,276.26780930000007,,
59826,-118.83960926289461,,,,60000,,45.410341000070375,0.001,,95.3,231.52135118842125
60025,-119.27312559240005,124.13,476,487,60226,123,37.698451667156036,0.001,272.39101244,,
60481,-120.04132282733917,123.73,480,490,60710,123,39.71045457199216,0.001,272.0767517,,
60885,-120.79231693433678,,,,61000,,41.1848701024227,0.001,,134.1,305.45951001048087
61019,-120.15569943100658,122.7,484,495,61220,123,36.234205324258376,0.001,270.94650365000007,,
61425,-121.62230979071722,121.23,488,498,61634,123,32.203858578646624,0.001,268.68031402,,
61850,-122.28412340272148,,,,62000,,35.73868540997775,0.001,,101.6,247.3417525947094
,,118.53,492,501,62047,123,,,264.9464519,,
62253,-121.41494016827278,116.41,496,504,62468,123,37.85713927700834,0.001,262.25061833999996,,
62709,-121.83972295125325,115.17,500,507,62916,123,37.79009508430411,0.001,260.80980045,,
62817,-121.41073170414677,,,,63000,,37.834415700700546,0.001,,101.6,251.0649211525917
63134,-122.12973374586839,113.69,504,511,63340,123,27.310759507692776,0.001,258.96666622,,
63546,-121.61985432017933,112.42,508,514,63763,123,42.57230714920464,0.001,257.49501112999997,,
63873,-121.0540359203632,,,,64000,,26.605886772700718,0.001,,106.8,265.32234053611757
63979,-122.25007010405918,111.27,512,518,64177,123,33.59307059701884,0.001,256.43401805999997,,
64378,-121.31985395781848,109.72,516,521,64580,123,36.115636757441926,0.001,254.68712464,,
64793,-122.19899368286133,,,,65000,,44.97567967141028,0.001,,110.9,242.6196974635124
,,108.42,520,524,65006,123,,,252.75673376000003,,
65270,-122.1178853434901,108.29,524,528,65492,124,30.158522175579535,0.001,252.58545644000003,,
65737,-122.33666372299194,108.35,528,531,65960,124,28.81192120470742,0.001,253.11774222,,
65861,-122.80209362891412,,,,66000,,31.223234761145807,0.001,,109.9,259.7524829506874
66228,-122.53907329852764,109.08,532,535,66440,124,34.54266818734102,0.001,253.70711330000003,,
66706,-123.10284721851349,109.85,536,538,66922,124,29.94740767031908,0.001,254.60247577999996,,
66823,-122.39710866993872,,,,67000,,36.18927776304066,0.001,,123.3,239.0159011721611
67206,-123.14001511082505,110.82,540,543,67437,124,25.887864535091488,0.001,254.78218071999996,,
67702,-123.48039877003637,111.49,544,546,67920,124,34.51820173678191,0.001,255.83719796999998,,
67821,-121.78263467045154,,,,68000,,27.92973899440605,0.001,,129.2,247.86898226737975
68188,-123.58142286358458,112.6,548,551,68415,124,36.625216195077606,0.001,257.01335534000003,,
68675,-123.74850197443887,113.1,552,554,68881,124,34.72047531415546,0.001,257.9031339,,
68782,-123.34037173235858,,,,69000,,21.091682180065973,0.001,,123.9,274.12810806036
69129,-123.7433291215163,113.56,556,559,69366,124,30.508354879342594,0.001,258.97113393,,
69653,-123.67660929361979,114.61,560,562,69899,124,27.94613106203395,0.001,260.99624646,,
69800,-124.5760509387867,,,,70000,,33.35389620268426,0.001,,143.8,312.30773624777794
70209,-123.70707918992683,115.52,564,567,70453,124,32.32222852066381,0.001,263.10766885,,
70777,-124.8470377161883,,,,71000,,34.48392411245816,0.001,,145.8,316.97201682329177
,,116.24,568,572,71022,123,,,265.65953668,,
71350,-125.82481651306152,117.63,572,576,71590,124,30.921423262357713,0.001,267.77348671000004,,
71895,-125.02669203281403,,,,72000,,34.37643538415432,0.001,,143.7,303.78900390565394
,,119.15,576,582,72141,123,,,269.70657208,,
72482,-125.02000081380208,120.1,580,586,72720,124,32.766837193171185,0.001,270.78709083999996,,
72876,-125.65546131134033,,,,73000,,29.888125739991665,0.001,,139.6,307.02302181720734
73024,-125.1718445855218,120.56,584,591,73276,123,34.18493320490863,0.001,271.24825501000004,,
73582,-124.6580138736301,121.83,588,595,73817,123,30.14621615740988,0.001,273.17093631,,
73857,-124.07096608479817,,,,74000,,35.04043971205787,0.001,,150.1,320.4124071538448
74152,-124.55435630066754,123.32,592,601,74379,123,28.48708004129344,0.001,275.71860668,,
74708,-124.18276626185367,124.63,596,604,74931,123,30.85947192970075,0.001,277.79171578,,
74832,-124.23848490561208,,,,75000,,24.091019576595677,0.001,,157.6,340.0040974766016
75263,-123.60421742184062,125.98,600,610,75514,123,31.861042192765883,0.001,279.91015139,,
75857,-124.0449610468167,,,,76000,,37.540968567577764,0.001,,130.0,291.77574986815455
,,127.41,604,615,76081,123,,,282.01181011000006,,
76390,-123.56475401577885,128.61,608,618,76624,123,21.509073033826105,0.001,283.63703087,,
76820,-125.0646538605561,,,,77000,,19.22361190576811,0.001,,129.9,291.9071853518486
76953,-124.99936999696673,129.28,612,623,77105,123,31.049649973560992,0.001,283.05092585,,
77401,-124.6666007408729,130.49,616,626,77629,123,28.28521865742807,0.001,284.48221666,,
77779,-124.8948996407645,,,,78000,,29.67452647742324,0.001,,124.1,276.3080728411675
77904,-124.69265771290613,131.21,620,631,78127,123,32.880719764709475,0.001,285.76551991,,
78412,-125.08387486384466,131.53,624,634,78645,123,25.446455375964824,0.001,286.54249074,,
78808,-124.85668644760594,,,,79000,,25.346871725475516,0.001,,138.6,309.32585446834565
78943,-124.35123101988835,132.16,628,639,79176,123,28.336903423733183,0.001,287.52670037,,
79537,-124.5389363735537,133.52,632,643,79792,123,31.783142965544695,0.001,290.4577756,,
79842,-124.48465260823568,,,,80000,,22.168146632661756,0.001,,144.8,314.3827324748039
80120,-123.98755024501256,134.52,636,649,80374,123,20.77046333721706,0.001,292.61836146999997,,
80701,-124.42379517025418,135.09,640,653,80946,123,21.475794987546074,0.001,294.96677274,,
80847,-124.21907053908257,,,,81000,,25.235195757591562,0.001,,151.3,321.2451861798763
81304,-123.8788671995464,136.32,644,658,81552,123,22.10435659206466,0.001,296.94854625,,
81856,-124.30992562430245,,,,82000,,23.66381707191467,0.001,,146.8,315.1662665903568
,,136.96,648,664,82111,123,,,298.71168189,,
82455,-122.16390384771886,138.18,652,667,82699,123,30.537820207767,0.001,300.74579322000005,,
82898,-122.863856032088,,,,83000,,30.37130255601844,0.001,,152.3,302.6120629251003
83046,-123.08971848358979,139.38,656,673,83304,123,28.32416724836504,0.001,302.00077949,,
83723,-123.38902401394314,,,,84000,,23.846245005395676,0.001,,182.2,340.604484552145
,,141.13,660,680,84012,123,,,303.24871501999996,,
84463,-122.78477000142192,142.89,664,684,84742,123,23.966447981328912,0.001,304.59091396,,
84822,-122.74766074286566,,,,85000,,25.80075314591051,0.001,,180.9,345.1910132467747
85183,-122.28162227977406,144.38,668,691,85460,123,24.61939237346757,0.001,305.70352818000003,,
85735,-122.31366900180248,,,,86000,,27.436434900507013,0.001,,184.2,347.69798043966296
85924,-122.49397334048622,146.15,672,698,86205,123,23.4627287577069,0.001,307.35234656999995,,
86652,-122.49870081150786,147.85,676,703,86926,123,26.2843818410914,0.001,309.4192705,,
86827,-121.92873803500471,,,,87000,,27.012612680707658,0.001,,169.5,327.3606273472309
87360,-121.80044186770262,149.08,680,710,87628,123,22.890293832641937,0.001,310.54575443000004,,
87717,-122.04290722786112,,,,88000,,22.579259387990263,0.001,,183.6,355.7257909834385
88084,-121.79924909803603,150.85,684,716,88361,123,16.15672819349501,0.001,312.50124652,,
88829,-121.82245398080477,,,,89000,,28.47577048367995,0.001,,188.1,357.7082583606243
,,152.97,688,723,89114,123,,,314.946013,,
89575,-121.89251587238718,154.77,692,728,89856,123,20.64731414986666,0.001,316.59678256999996,,
89757,-121.0163580087515,,,,90000,,25.4218986925188,0.001,,182.0,343.28463954925536
90312,-120.23597549606156,156.63,696,735,90594,123,19.73793120436616,0.001,318.24626159999997,,
90870,-121.6204126458419,,,,91000,,18.817268839635346,0.001,,192.1,360.5740294098854
91062,-121.55962705612183,158.33,700,742,91347,122,18.46916530902187,0.001,319.58332273,,
91806,-120.58596751454112,,,,92000,,28.613891764001533,0.001,,186.6,348.93239412903785
,,160.14,704,749,92095,122,,,321.22697706,,
92540,-119.95130806780875,162.07,708,754,92831,123,19.095925473911876,0.001,323.04869544999997,,
92732,-120.58198094367981,,,,93000,,21.64612304667632,0.001,,188.7,349.7019341230392
93293,-120.63569981118907,164.75,712,761,93580,122,16.783025616568487,0.001,327.39255716,,
93852,-121.13020115902549,,,,94000,,17.842877729315507,0.001,,184.4,342.1065779328346
94040,-121.07431160135472,167.02,716,768,94331,122,25.579298988301705,0.001,329.8816643100001,,
94787,-121.36800069394319,,,,95000,,18.079623275189785,0.001,,186.4,350.56589460968974
,,169.48,720,775,95075,122,,,332.61962992,,
95533,-122.28938019141722,171.54,724,780,95799,122,17.363796956046333,0.001,334.74239332999997,,
95872,-123.87423147157182,,,,96000,,20.12137130526609,0.001,,182.3,343.88926216363905
96251,-122.82398632875423,173.62,728,787,96538,122,23.885844228206537,0.001,336.6257230800001,,
96743,-123.5104239327567,170.98,732,790,96890,122,15.817840944256698,0.001,328.88467135999997,,
96877,-122.72152443819267,,,,97000,,26.877079691997793,0.001,,41.6,43.6303684592247
96963,-124.61305271495472,167.48,736,792,97122,122,29.766190138730135,0.001,318.82005532,,
97574,-124.64344667133533,169.11,740,796,97857,122,23.543414277374428,0.001,320.34325577,,
97758,-124.1885641346807,,,,98000,,22.230887687724568,0.001,,189.2,354.8692067563534
98333,-124.50288242576397,170.22,744,803,98574,122,18.526983487973656,0.001,321.20758933999997,,
98775,-125.43939217960133,,,,99000,,26.337006563298843,0.001,,150.7,300.75662955641747
98927,-124.1129103208843,170.36,748,809,99147,122,27.49492267872158,0.001,320.81323274,,
99481,-123.96455696301582,170.5,752,813,99749,122,25.644736946008766,0.001,320.52911088,,
99840,-124.154920638235,,,,100000,,20.20540193256579,0.001,,186.0,353.48121786117554
100198,-123.66428083784125,171.75,756,819,100479,122,20.92810269937677,0.001,322.13490156999995,,
100738,-123.87001651456987,,,,101000,,19.18672405088568,0.001,,180.5,347.19865904450415
100919,-123.57601894802518,171.93,760,826,101205,122,17.395877237478015,0.001,322.96043339,,
101697,-123.15876435260384,172.47,764,831,101989,122,23.65243124718569,0.001,323.8416184099999,,
101890,-124.19002352055816,,,,102000,,18.900314298936124,0.001,,188.9,357.477575725317
102447,-122.74487072488536,172.79,768,838,102739,122,21.976554680129755,0.001,324.4219587,,
102828,-123.66334071057908,,,,103000,,26.474605154483875,0.001,,188.3,356.23565524220464
103191,-123.23299085828992,172.77,772,845,103482,122,26.61719992690616,0.001,324.59590162,,
103807,-122.66539577268205,,,,104000,,28.91365226709618,0.001,,110.0,257.69968486428263
,,170.94,776,851,104020,122,,,322.37955844,,
104330,-122.64152375944369,169.89,780,854,104617,122,25.7556253527547,0.001,321.22971832999997,,
104895,-123.16322892712009,,,,105000,,21.23693657431373,0.001,,146.7,286.3974143579602
105078,-122.91647993999979,169.14,784,861,105275,122,19.189376419359217,0.001,320.13264812,,
105446,-123.14210575184923,165.19,788,863,105633,122,21.13772531991364,0.001,313.97477491,,
105824,-122.40446332036232,,,,106000,,24.692208601503957,0.001,,87.7,198.61198984384538
,,161.55,792,866,106011,122,,,308.7088705,,
106191,-123.52541257897202,157.95,796,869,106389,122,20.40703098942535,0.001,303.53407131999995,,
106577,-123.69534267078747,154.22,800,871,106769,122,18.843996487306743,0.001,298.24685347999997,,
106859,-123.48899614050033,,,,107000,,32.003119260706804,0.001,,101.0,237.37330597043038
106960,-124.48812611897786,150.58,804,875,107153,122,21.78219513845916,0.001,292.94759409,,
107350,-122.64716084798177,147.27,808,878,107558,122,24.31312285363674,0.001,288.57874347,,
107766,-124.34923274700458,143.94,812,880,107974,122,15.258215161470266,0.001,284.0857561,,
107875,-123.72039639508283,,,,108000,,15.096967189683827,0.001,,110.7,259.23506796360016
108207,-123.69405545321378,140.87,816,884,108418,122,14.922346085041493,0.001,280.4535542,,
108644,-123.50446981753943,137.72,820,887,108847,122,14.612746801016465,0.001,276.31583261,,
108858,-122.72999350807883,,,,109000,,19.82451892332597,0.001,,101.7,228.60854297876358
