time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
3671,4,85,14.577585500000001,21.25,0,,,,,,
574,8,129,12.18054775,16.125,0,0.030241184202688082,0.001,37,-0.7569753328959147,,
398,12,157,10.095588166666667,13.083333333333334,0,0.02985803729721478,0.001,65,-0.770250658194224,,
316,16,185,9.050376125,11.5625,0,0.01960326119193009,0.001,93,-0.7657183607419332,,
279,20,213,8.433431449999997,10.65,0,0.008150997571647167,0.001,121,-0.8047012289365133,,
255,24,241,8.011841291666666,10.041666666666666,0,0.003106497327930161,0.001,149,-0.8846797943115234,,
242,28,269,7.713457678571429,9.607142857142858,1,0.0017736554312120592,0.001,177,-0.8865848580996195,,
232,32,297,7.49109415625,9.28125,1,0.0019121392563517605,0.001,205,-0.9084779222806295,,
222,36,325,7.315978444444446,9.027777777777779,1,0.0020901154660220656,0.001,233,-0.9231699705123901,,
214,40,353,7.17740895,8.825,1,0.00340821424366108,0.001,261,-1.0110559066136677,,
209,44,381,7.064677181818182,8.659090909090908,1,0.0025083618903798716,0.001,289,-0.9964970946311951,,
205,48,409,6.968919770833334,8.520833333333334,1,0.0034551275561430623,0.001,317,-1.0401870012283325,,
202,52,437,6.8893088076923075,8.403846153846153,2,0.006686230123575244,0.001,345,-1.0788257122039795,,
202,56,513,8.670003107142858,9.160714285714286,2,0.03266104213385419,0.001,406,-1.536419304934415,,
196,60,600,10.656603183333337,10.0,3,0.07651908111504534,0.001,493,-2.0293931419199165,,
191,64,687,12.388507765625,10.734375,3,0.11272328414700249,0.001,581,-2.4148626761002974,,
188,68,776,13.963725985294118,11.411764705882353,4,0.11575554209676656,0.001,669,-2.659119974483143,,
187,72,862,15.294682708333331,11.972222222222221,4,0.1520981416106224,0.001,755,-3.074407945979725,,
187,76,951,16.54303460526316,12.513157894736842,5,0.17216562919996,0.001,844,-3.455342661250721,,
,,1000,,,,0.15752717750993642,0.001,911,-3.676319035616788,38.89345637559891,22.1
182,80,1040,17.6719428625,13.0,5,0.13684831830588254,0.001,933,-3.8163516738198022,,
182,84,1131,18.73719448809524,13.464285714285714,6,0.16603910652073947,0.001,1023,-4.1810923489657315,,
182,88,1219,19.64669918181818,13.852272727272727,6,0.17133807153864342,0.001,1112,-4.419393929568204,,
183,92,1310,20.53373704347826,14.23913043478261,7,0.1727682878465756,0.001,1202,-4.831500808397929,,
184,96,1396,21.252533416666665,14.541666666666666,7,0.2224868190559474,0.001,1289,-5.140065149827437,,
184,100,1483,21.93960767,14.83,8,0.1832243690097874,0.001,1376,-5.2530645890669385,,
184,104,1571,22.897790609999998,14.86,8,0.17682912742549722,0.001,1464,-5.711725581776012,,
183,108,1687,24.366627270000002,15.58,9,0.16357832551002502,0.001,1592,-6.5757301330566404,,
185,112,1799,25.97131734,16.42,9,0.16372840954311962,0.001,1687,-6.621294941220965,,
186,116,1987,29.006394619999995,18.02,10,0.40062240851314174,0.001,1852,-7.109362477841585,,
,,2000,,,,0.5016185420751572,0.001,1902,-7.3083152580261235,91.87916634082794,52.1
184,120,2257,33.66524504,20.44,12,0.6517800166090922,0.001,2086,-7.946193891413071,,
184,124,2562,39.232285229999995,23.21,13,0.8131306403875351,0.001,2392,-8.766425590515137,,
185,128,2781,43.11729674,25.12,14,0.9732977079994538,0.001,2613,-9.814639341263543,,
182,132,2886,44.72208963,25.89,15,1.419745413156656,0.001,2773,-10.666770861699032,,
,,3000,,,,1.8765294407353257,0.001,2897,-11.050775289535522,74.42698456048966,42.1
180,136,3024,46.886476310000006,26.99,16,,,,,,
180,140,3197,49.72984429,28.44,17,1.7395793828699324,0.001,3069,-11.951484940268777,,
179,144,3336,51.9354173,29.55,18,1.9400539965164372,0.001,3223,-12.443762493133544,,
180,148,3489,54.393272479999986,30.8,19,2.517893361490826,0.001,3362,-12.914509166370738,,
181,152,3663,57.23347795999999,32.26,20,2.257664901018143,0.001,3535,-13.63162426515059,,
183,156,3879,59.850970849999996,33.66,21,3.060000659303462,0.001,3717,-14.27595909782078,,
,,4000,,,,2.7730795090848748,0.001,3871,-14.781191123159308,84.07829916477203,46.7
181,160,4156,63.38111017999999,35.56,22,2.4950617591017172,0.001,3993,-15.102958227458753,,
182,164,4471,67.71864149,37.84,24,3.2151564275607085,0.001,4306,-15.96035813062619,,
183,168,4785,72.08421680000001,40.09,26,3.09614550910498,0.001,4618,-17.139582182231702,,
,,5000,,,,2.73142009247572,0.001,4864,-17.868021842760918,148.57318856716157,79.8
180,172,5114,76.77465038,42.52,28,3.155967948557455,0.001,4943,-18.1519960745787,,
180,176,5436,81.23702767,44.85,30,3.1965978817884313,0.001,5268,-19.056948994481285,,
181,180,5768,86.02318955000001,47.28,31,3.5688512429248456,0.001,5598,-19.966968181521395,,
,,6000,,,,3.301396333200987,0.001,5855,-20.810316839883495,164.99184466600417,85.2
179,184,6112,91.03843499,49.81,34,3.655784017817919,0.001,5941,-21.016814032266307,,
180,188,6452,96.06070862000003,52.33,35,3.997526978043949,0.001,6282,-21.966111294058866,,
180,192,6793,101.03827878,54.83,37,3.889518998918079,0.001,6622,-22.874279794238863,,
,,7000,,,,5.4405603297921115,0.001,6879,-23.553796635117642,167.04423588514328,84.9
178,196,7135,106.20188118,57.39,39,4.126574829567311,0.001,6965,-23.767593916072403,,
178,200,7475,111.29064039000001,59.92,41,5.845737148480243,0.001,7305,-24.762767093937573,,
179,204,7817,116.46573787,62.46,43,5.3996433776967665,0.001,7646,-25.465475215468295,,
,,8000,,,,5.689571100122788,0.001,7903,-26.01756055014474,167.7442742705345,85.1
177,208,8159,121.33225963999998,64.72,46,4.932477183120195,0.001,7989,-26.043457874031954,,
177,212,8469,125.45182126000002,66.7,47,5.418114026387532,0.001,8299,-27.046269028275102,,
178,216,8774,128.02514694,67.87,49,5.461208374001259,0.001,8603,-27.48625041163245,,
,,9000,,,,7.189446313240949,0.001,8860,-28.35546857257222,165.30779176950455,85.1
177,220,9116,129.78376156000002,68.59,51,7.4385050881740655,0.001,8946,-28.57171391331872,,
177,224,9456,130.51798473999997,68.94,53,6.09721100470599,0.001,9287,-29.06820556095668,,
176,228,9796,132.97327359,70.15,55,7.432051333259134,0.001,9627,-29.878748121715727,,
,,10000,,,,6.940600745818195,0.001,9882,-30.495542127032614,165.9623860478401,85.1
175,232,10138,137.81164335999998,72.52,57,6.827460555143134,0.001,9968,-30.336005854052168,,
175,236,10483,142.15306821000001,74.59,59,6.873362580935161,0.001,10312,-31.365075891668145,,
175,240,10821,145.64876037999997,76.24,61,5.527223952980929,0.001,10650,-31.79115778900856,,
,,11000,,,,6.897799789905548,0.001,10908,-31.70765073909316,165.7513912320137,85.0
174,244,11163,149.87930279999998,78.27,63,6.424533628282093,0.001,10992,-32.36941705431257,,
174,248,11503,153.83552613999998,80.14,65,5.911133978255959,0.001,11334,-32.89310415401015,,
174,252,11842,157.39315961,81.79,67,9.098570561686227,0.001,11674,-33.59157194093216,,
,,12000,,,,7.89711242179348,0.001,11830,-33.91751418242583,166.30362441539765,85.2
173,256,12152,159.28414136,82.73,70,6.7926681575022245,0.001,11993,-34.0628076854505,,
173,260,12461,159.93034819000002,83.05,71,8.736036930765424,0.001,12299,-34.451758535284746,,
172,264,12774,159.84622871000002,83.03,73,6.682202502142025,0.001,12611,-35.20728008563702,,
,,13000,,,,6.517519969444771,0.001,12843,-35.34159916325619,135.4199244260788,74.1
171,268,13078,159.5560119,82.93,76,7.11111073297997,0.001,12916,-35.63368539552431,,
171,272,13386,159.04802328,82.72,78,5.463615131068539,0.001,13224,-35.6589114849384,,
171,276,13699,158.88171892,82.63,79,7.586671765034016,0.001,13536,-36.18493417593149,,
,,14000,,,,8.477163823875221,0.001,13842,-36.722180237641204,147.6399111032486,78.8
170,280,14004,158.18484237,82.36,81,,,,,,
171,284,14313,157.30409818,82.01,83,6.455825672873968,0.001,14150,-37.26472816467285,,
171,288,14613,156.2662646,81.61,85,8.033712371190388,0.001,14456,-37.63039538734838,,
171,292,14922,155.37638052,81.29,87,7.150148357215681,0.001,14760,-37.835838518644636,,
,,15000,,,,6.230704151190721,0.001,14837,-38.006348860891244,140.63497507572174,76.1
169,296,15223,154.23464974,80.88,89,6.057137180681098,0.001,15065,-38.358076413472496,,
169,300,15529,153.27495824000002,80.54,91,9.630299687385559,0.001,15368,-38.638688111916565,,
169,304,15831,152.13155622,80.14,93,7.25908282824925,0.001,15673,-38.917030334472656,,
,,16000,,,,6.486563144545806,0.001,15899,-38.66112297459652,140.22477425336837,75.9
167,308,16134,151.00302814,79.75,96,8.099587378436572,0.001,15972,-39.23025636415224,,
