time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
1819,160,0,45.749433749999994,40.0,4,,,,,,
334,232,0,22.194041374999998,29.0,8,0.009967775265168812,0.001,-1.1442716783947415,118,,
272,304,1,14.362090583333332,25.333333333333332,12,0.007561586150485609,0.001,-1.0063036746448941,190,,
241,376,1,10.468486562499999,23.5,16,0.010695572037042843,0.001,-0.9500791364245944,262,,
225,446,1,8.130978549999998,22.3,20,0.017320638263805047,0.001,-0.8621853457556831,332,,
217,518,2,6.556847666666666,21.583333333333332,24,0.02883943822234869,0.001,-0.8324293030632867,404,,
212,590,2,5.397402857142857,21.071428571428573,28,0.031226739183896117,0.001,-0.5539266897572411,476,,
208,662,3,4.539042,20.6875,32,0.022537670149985287,0.001,-0.47314708100424874,548,,
206,734,3,3.8913823333333335,20.38888888888889,36,0.029883289606206946,0.001,-0.44272245466709137,620,,
204,806,3,3.3429220749999997,20.15,40,0.031585415152625904,0.001,-0.30933969219525653,692,,
203,878,4,2.9092092500000004,19.954545454545453,44,0.028260384117149644,0.001,-0.22549172242482504,764,,
,1000,,,,,0.02364113148959244,0.001,-0.35501306007305783,816,110.9,138.69026211500167
167,1046,6,6.354414208333334,21.791666666666668,48,0.05169429696564164,0.001,-0.9116050845810345,928,,
168,1134,6,8.857441173076923,21.807692307692307,52,0.2663276476616209,0.001,-1.4869267398660833,1016,,
169,1221,7,10.977341607142858,21.803571428571427,56,0.2647606429051269,0.001,-2.12519231709567,1103,,
169,1309,7,12.836357249999999,21.816666666666666,60,0.43671811846169556,0.001,-2.4478592655875464,1191,,
169,1398,8,14.480528218749999,21.84375,64,0.46789654886180704,0.001,-2.851148930462924,1280,,
170,1485,8,15.883092544117645,21.83823529411765,68,0.44853236458518286,0.001,-3.2877553593028677,1368,,
170,1573,9,17.150750055555555,21.84722222222222,72,0.4381312277506698,0.001,-3.878447099165483,1455,,
170,1662,9,18.295742973684213,21.86842105263158,76,0.4824757061221383,0.001,-4.502721179615367,1544,,
171,1750,10,19.317350937500002,21.875,80,0.4731581892286028,0.001,-4.91629729270935,1631,,
170,1838,10,20.23847742857143,21.88095238095238,84,0.5130225121974945,0.001,-5.307253187352961,1720,,
171,1929,11,21.128329261363636,21.920454545454547,88,0.43880076252895855,0.001,-5.960155129432678,1810,,
,2000,,,,,0.5060781904242255,0.001,-6.624468066475608,1899,22.1,38.8934586763382
168,2017,11,21.89392161956522,21.92391304347826,92,,,,,,
169,2105,12,22.59750645833334,21.927083333333332,96,0.41461108963597904,0.001,-6.814290696924383,1987,,
169,2196,12,23.28842642,21.96,100,0.452009124600369,0.001,-7.3746936971491035,2077,,
169,2287,13,23.05058994,21.27,104,0.4098099314648172,0.001,-7.916157046953837,2168,,
170,2375,13,24.65436683,21.43,108,0.4100392088294029,0.001,-8.517945506355979,2257,,
170,2463,14,26.260013000000004,21.59,112,0.642576704648408,0.001,-8.843062660910867,2345,,
170,2551,14,27.85941431,21.75,116,0.7106603189654972,0.001,-9.238385980779475,2433,,
171,2639,15,29.457369540000006,21.93,120,0.5076484842733904,0.001,-9.570677497170188,2520,,
171,2729,15,31.09361082,22.11,124,0.48148296838221344,0.001,-10.197845379511515,2610,,
172,2817,16,32.70400875,22.27,128,0.47134690767242793,0.001,-10.08628225326538,2699,,
172,2906,16,34.324363350000006,22.44,132,0.5922719415115274,0.001,-10.612184091047807,2789,,
173,2993,17,35.907033340000005,22.59,136,0.4475910024983542,0.001,-11.203247833251954,2875,,
,3000,,,,,0.6282096965746446,0.001,-11.097075375643643,2897,22.1,38.89345860481262
171,3082,17,37.53374621,22.76,140,0.697815858504989,0.001,-11.668877775018865,2964,,
172,3171,18,39.15814571,22.93,144,0.7001111351925394,0.001,-11.811944181268865,3053,,
172,3260,18,38.95539261,22.14,148,0.5686034702441909,0.001,-12.33334983478893,3142,,
173,3348,19,38.94539143,22.14,152,0.5910189354961569,0.001,-12.733719825744629,3230,,
173,3435,19,38.941714960000006,22.14,156,0.5790066534564609,0.001,-12.680884647369385,3317,,
173,3526,20,38.98309141,22.17,160,0.8258601576089859,0.001,-12.871428489685059,3407,,
174,3614,20,38.969430630000005,22.16,164,0.7896815673871473,0.001,-13.255811084400523,3497,,
174,3702,21,38.98100172,22.17,168,0.7214398004791953,0.001,-13.690742145885121,3584,,
175,3792,21,39.014679560000005,22.19,172,0.6581966958262704,0.001,-14.069413618607955,3673,,
175,3881,22,39.0191843,22.19,176,0.7362375622210295,0.001,-14.678981347517533,3763,,
175,3970,22,39.03374315000001,22.2,180,0.7957007681781595,0.001,-14.61326417055997,3852,,
,4000,,,,,0.8852010816335678,0.001,-15.174844741821289,3896,22.1,38.8934583067894
