time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
4,4.0770605,20.25,81,0,3916,,,,,,
8,-0.09904249999999992,41.0,328,0,453,0.13991065738273079,-0.1551517099269653,0.001,160,,
12,-6.915563083333333,52.333333333333336,628,2,307,0.05885038396983004,0.13263588978654958,0.001,463,,
16,-7.149206187499999,55.875,894,3,271,0.060920193652386094,0.26715189711574244,0.001,728,,
,,,1000,,,0.07395340788609056,0.36436521524892135,0.001,862,-8.480760697472215,66.7
20,-7.5801226,58.0,1160,5,228,0.06910984167321162,0.39082882192098733,0.001,994,,
24,-7.649993333333334,59.5,1428,6,224,0.09932223918722637,0.5796731977778322,0.001,1262,,
28,-7.718101714285715,60.5,1694,7,219,0.07223664343690694,0.6733147258108313,0.001,1529,,
32,-7.775579406249999,61.3125,1962,8,218,0.05399792463476978,0.8496380895376205,0.001,1796,,
,,,2000,,,0.04934248197545756,0.915860223047661,0.001,1863,-6.93718878023792,68.4
36,-1.4839904444444443,72.30555555555556,2603,11,222,0.20145557066726108,0.02079100553847609,0.001,2256,,
,,,3000,,,0.2541459946744684,-0.7478184475145047,0.001,2870,27.44818746796809,147.9
40,-0.6865844249999998,78.0,3120,15,203,,,,,,
44,1.9948030454545458,84.31818181818181,3710,18,199,0.28102398867408435,-0.8668227084974448,0.001,3470,,
,,,4000,,,0.3047545761920703,-0.8733100554643151,0.001,3767,23.386946740874556,145.5
48,4.754028916666668,90.1875,4329,22,193,0.3432839926528303,-0.8604677121988252,0.001,4067,,
,,,5000,,,0.2851105582214401,-0.869877419333501,0.001,4785,273.88220852527303,253.9
52,17.473541326923076,100.63461538461539,5233,27,193,,,,,,
,,,6000,,,0.6330345024513763,-2.5959167949310165,0.001,5756,377.72385941147803,201.0
56,49.55514158928572,119.26785714285714,6679,33,199,0.6240071681083985,-3.2610569578930013,0.001,5962,,
,,,7000,,,1.1463189343201745,-7.541187111212283,0.001,6878,245.26131109899143,239.0
60,53.739540716666674,121.06666666666666,7264,39,186,1.245898830985266,-7.389157915872241,0.001,7004,,
64,62.7158464375,119.921875,7675,41,186,1.9527701184801434,-8.746091137761654,0.001,7484,,
,,,8000,,,1.652586351375322,-9.365878826863057,0.001,7872,553.9931449539494,432.7
,,,9000,,,2.0552920501753196,-11.390838203430176,0.001,8531,631.7872410476208,322.2
