train/learning_rate,train/critic_loss,time/episodes,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.001,12.40224898338318,,70222,,,71000,,-99.9258272857666,,1000.0,951.3658736824989
,,428,,256.49,360.6942091,71313,638,,111,,
0.001,11.878409337759019,,71222,,,72000,,-100.44619570922852,,1000.0,1051.7836132764817
0.001,12.103665554523468,,72629,,,73000,,-101.43744407066932,,1000.0,951.1040708124638
,,432,,274.82,378.38341998,73720,678,,108,,
0.001,11.884687306404114,,73629,,,74000,,-102.35686151123046,,1000.0,897.2490803599358
0.001,9.725764732221107,,74902,,,75000,,-103.68553673959997,,1000.0,945.9399619400501
0.001,10.882401957988739,,75902,,,76000,,-104.18397586059571,,184.5,308.91490598917005
,,436,,293.66,395.07070154,76185,723,,105,,
0.001,10.996845864785934,,76711,,,77000,,-104.33198614244337,,645.0,718.1996427536011
0.001,10.955938005208969,,77711,,,78000,,-104.60243682861328,,374.9,460.28129645392767
0.001,10.063106335992888,440,78092,310.97,411.47578849999996,78569,750,-104.76325149935577,104,,
0.001,9.945268218206897,,78839,,,79000,,-105.01307665506998,,387.6,511.2904808759689
0.001,9.8169629067503,,79211,,,80000,,-104.81533452515961,,1000.0,1121.396767643094
0.001,10.330935567378997,,80211,,,81000,,-105.27156083679199,,1000.0,1001.2364467263221
,,444,,331.03,431.22751803000006,81302,793,,102,,
0.001,7.81581729108637,,81442,,,82000,,-106.07683556655357,,607.0,689.1818435609341
0.001,9.474447168111801,,82442,,,83000,,-105.98012725830078,,337.3,521.3441952288151
0.001,8.691128938067363,448,83208,329.39,431.41700728,83539,824,-106.57040373401293,101,,
0.001,10.463361094395319,,83448,,,84000,,-106.57961756388346,,706.0,869.2574944525957
0.001,9.555786715340368,,84642,,,85000,,-107.139610526488,,634.6,764.2422054886817
0.001,8.935559348316936,452,85027,336.17,440.3332795,85608,852,-106.61113373438518,100,,
0.001,10.045173936780788,,85774,,,86000,,-106.90298455999803,,355.2,491.5313719883561
0.001,9.207465439986564,,86391,,,87000,,-106.77709302035245,,589.1,682.6214118152857
0.001,9.098722644805909,456,87391,334.49,440.94762938,87859,878,-106.80524534606934,100,,
0.001,9.068372487389441,,87768,,,88000,,-106.62839334477823,,431.4,566.4261243283748
0.001,8.184166221648026,,88661,,,89000,,-106.57514196953166,,533.9,731.2721240878105
0.001,8.152161625820563,460,89097,344.81,452.8458897,89744,899,-105.8471054637104,99,,
0.001,8.92526858809183,,89653,,,90000,,-106.10542714510032,,394.8,528.4036220818758
0.001,10.917005543732763,,90710,,,91000,,-106.30242941008142,,274.5,412.48494862914083
0.001,8.091169590981591,464,91012,329.79,441.92670346,91354,920,-105.9984551739219,99,,
0.001,8.502200671876095,,91263,,,92000,,-105.61059899902344,,304.9,411.96205692589285
0.001,7.396834464221677,,92764,,,93000,,-106.11365587957974,,546.5,638.0214794166183
,,468,,350.03,461.78058425999996,93855,942,,99,,
0.001,7.8156658844947815,,93764,,,94000,,-106.22229479980469,,390.5,539.5824628353118
0.001,7.842116090229579,,94437,,,95000,,-106.09189649448274,,1000.0,1110.0118550151587
0.001,8.976151018261909,,95437,,,96000,,-106.00337023925782,,1000.0,1018.7529869556427
,,472,,371.36,482.87985073,96528,988,,97,,
0.001,9.448058426685822,,96851,,,97000,,-105.93500542394894,,176.6,322.0359773337841
0.001,9.569853010124334,476,97030,373.03,485.87328973999996,97301,1000,-105.6860843234592,97,,
0.001,5.590402369850253,480,97701,372.93,486.42309581999996,97960,1005,-105.92661417266469,97,,
0.001,8.929368080127807,,97869,,,98000,,-105.89996937343052,,180.2,312.8219817817211
0.001,6.509329601965453,484,98414,371.74,485.8331296099999,98671,1012,-105.76748681319387,97,,
0.001,7.802153769430223,,98762,,,99000,,-105.3149668934581,,174.0,310.09716616272925
0.001,8.189993613336716,488,99099,373.56,488.95173380999995,99514,1019,-105.35400531910084,97,,
0.001,6.995685648621365,,99664,,,100000,,-105.59557241644741,,483.3,785.6790779739619
0.001,8.473561405454364,492,100236,382.24,501.61648757,100955,1032,-106.00158275257458,97,,
0.001,7.271637210990213,,100864,,,101000,,-105.89805882447844,,286.2,464.31166764497755
0.001,7.72770272633075,,101882,,,102000,,-105.74674772129232,,923.2,1354.050174075365
0.001,6.39865321500255,,102345,,,103000,,-105.37887213240454,,941.7,1304.9790659427642
,,496,,401.15,528.49910751,103436,1071,,96,,
0.001,6.594972977422392,,103588,,,104000,,-106.08208290475314,,668.9,1002.4481009602547
0.001,6.373977648276909,500,104436,407.35,537.2337008499999,104625,1091,-105.65747504140816,95,,
0.001,10.890118197390908,,104764,,,105000,,-106.4206620401411,,134.0,239.9458353459835
0.001,6.341471718613213,504,104933,406.42,534.99765184,105147,1096,-106.0019069853283,95,,
0.001,5.600497097750894,508,105413,404.73,532.1743106,105725,1099,-105.21237463700145,96,,
0.001,11.807112487669913,,105789,,,106000,,-106.16072379768669,,176.4,310.2913851261139
0.001,10.611695127271528,512,106159,409.26,538.9890972400001,106913,1107,-106.0336036296806,96,,
0.001,9.643938643180766,,106822,,,107000,,-105.75895557633366,,317.5,476.8628729820251
0.001,14.59469437283396,516,107385,409.6,538.5902094400001,107622,1118,-106.01957112630208,96,,
0.001,10.551674512643663,,107783,,,108000,,-105.46501583523221,,136.1,200.57345182299613
0.001,9.847135861166592,520,108068,409.28,537.0004222299999,108296,1124,-105.59253786687981,96,,
0.001,10.3099999267514,524,108585,398.29,523.8909153,108796,1127,-105.68242800437798,96,,
0.001,10.624220649401346,,108705,,,109000,,-105.80948791503906,,267.3,447.4762560427189
0.001,11.174770070122673,528,109259,382.52,511.71681407999995,109565,1135,-106.0816890018087,96,,
0.001,21.94553987572833,,109817,,,110000,,-106.18398629165277,,155.8,284.513490319252
0.001,15.341639367271872,532,109987,365.08,497.9745347500001,110228,1141,-105.89038409064798,96,,
0.001,11.492924376017488,,110729,,,111000,,-106.04276120221174,,212.1,325.4334102683235
0.001,7.477226384563149,536,110922,349.96,488.0135372000001,111181,1149,-106.28196142137665,96,,
0.001,10.100968819925155,,111609,,,112000,,-107.28831990559895,,327.7,512.7380881160498
,,540,,334.68,474.64469863000005,112037,1157,,96,,
0.001,9.475406291098569,,112283,,,113000,,-107.15079686882791,,244.4,420.7356242507696
0.001,11.297323865815997,544,112923,319.76,464.75760327000006,113278,1168,-106.74958038330078,96,,
0.001,10.539128499681299,,113739,,,114000,,-106.95113560069692,,356.2,481.0476670116186
,,548,,306.65,452.19568711000005,114204,1178,,96,,
0.001,9.151492919846486,552,114686,293.85,440.7044386600001,114993,1184,-107.36350310318113,97,,
0.001,8.056849335078839,,114902,,,115000,,-107.18969189679181,,168.5,302.6224397301674
0.001,14.28809610806375,556,115490,278.79,427.58487612,115738,1191,-107.2611476085225,97,,
0.001,13.024709923667197,,115808,,,116000,,-107.76886918809679,,219.6,406.6254781603813
0.001,13.983997253469518,560,116175,268.4,417.48037848000007,116584,1198,-107.52644663271697,97,,
0.001,11.900240907171892,,116877,,,117000,,-107.11856144496373,,178.2,318.0086081683636
0.001,9.855917487605925,564,117032,259.98,407.68804799,117352,1206,-107.6536642221304,97,,
0.001,11.888384267773931,,117761,,,118000,,-106.77456744881563,,329.8,555.9808046340943
,,568,,245.42,397.5289552500001,118397,1215,,97,,
0.001,13.321504563331604,,118851,,,119000,,-107.38912133789063,,797.1,1245.0608875095845
0.001,9.914259900331498,,119851,,,120000,,-107.35856259155274,,640.6,1031.9780553162097
,,572,,240.9,401.58438505000004,120618,1244,,96,,
0.001,9.305406998365353,,120722,,,121000,,-107.72367781035754,,568.7,923.1456750750542
0.001,11.633689490143134,576,121279,245.25,408.7800432,121826,1259,-108.07803344726562,96,,
0.001,13.990911701269317,,121906,,,122000,,-108.15855150444563,,696.7,969.1892654776573
0.001,10.82504984664917,,122906,,,123000,,-107.8349697265625,,698.3,1174.4671570062637
0.001,9.608266718757962,580,123318,256.34,423.5560461,123594,1287,-108.17305107487059,95,,
0.001,7.736267366106548,,123808,,,124000,,-107.76098769338508,,332.6,530.3557620882988
0.001,11.51751754061381,584,124183,258.53,424.06962445000005,124524,1297,-108.51655672450754,95,,
0.001,14.103938393451996,,124852,,,125000,,-107.95240616998753,,818.2,1224.962477338314
0.001,9.85095850968361,,125852,,,126000,,-108.50544871520997,,342.2,531.9061012208462
,,588,,266.82,437.89902811,126196,1321,,95,,
0.001,12.292804206639213,,126866,,,127000,,-108.8558349609375,,225.2,351.65267608761786
,,592,,262.33,429.97626186,127188,1331,,95,,
0.001,9.722564896450766,,127767,,,128000,,-109.67536919803943,,268.8,385.80498098134996
,,596,,246.72,407.0916876,128108,1340,,95,,
0.001,11.08848801675635,,128795,,,129000,,-110.34898554004214,,942.0,1709.1488862156868
,,600,,252.61,419.6682347100001,129886,1359,,95,,
0.001,10.851288872718811,,129795,,,130000,,-111.47077601623535,,941.3,1715.2896690130233
0.001,12.064889894962311,,130795,,,131000,,-112.771728515625,,883.0,1568.5737535238266
0.001,13.87893245625496,,131795,,,132000,,-114.45617893981934,,159.6,283.53222317695617
0.001,10.9994383781187,604,131950,272.43,454.74387234,132390,1402,-114.69430952805739,94,,
0.001,10.382977502891816,,132744,,,133000,,-115.49430316162109,,451.9,767.8744416356087
0.001,12.69542041630812,,133312,,,134000,,-116.00908835505096,,1000.0,1021.1885143637658
,,608,,286.78,470.92913982,134403,1429,,93,,
0.001,11.989840817722408,,134886,,,135000,,-115.70608841289173,,178.9,323.82890193462373
,,612,,282.43,464.3978372900001,135156,1441,,93,,
0.001,10.799538007398851,616,135521,281.69,464.49448278000006,135791,1445,-116.2873777624679,93,,
0.001,13.891583577641901,,135859,,,136000,,-116.7656788886348,,166.0,294.83956590890887
0.001,11.24225713045169,620,136183,281.29,464.99210027999993,136425,1451,-117.58301152938452,93,,
0.001,11.333647412454297,,136830,,,137000,,-116.40434619358608,,147.1,274.41457830667497
,,624,,282.68,469.2830601500001,137064,1457,,94,,
0.001,9.495469885134916,628,137548,284.25,469.8804203700001,137990,1462,-116.31341020776591,94,,
0.001,10.65274903373501,,137899,,,138000,,-116.71750893729073,,615.9,709.187189412117
0.001,12.498204294419446,632,138515,285.71,470.60774997999994,138799,1476,-116.43455006917317,94,,
0.001,10.490489449525745,,138708,,,139000,,-117.09167700698696,,290.8,407.7297086775303
0.001,9.61154241323471,636,139453,285.85,469.19159676000004,139766,1486,-116.66753952026367,94,,
0.001,12.368394520721937,,139827,,,140000,,-116.75572194551167,,219.1,344.04143967032434
0.001,10.992546959738036,640,140262,285.02,468.95248618,140539,1493,-116.3507421875,94,,
0.001,11.137458474249453,,140794,,,141000,,-116.60525285875475,,186.7,364.0184384763241
0.001,10.155593600883304,644,141005,279.85,461.21724930999994,141263,1500,-116.95955105736142,94,,
0.001,11.24561046584835,648,141726,277.64,459.84290429,141968,1505,-116.38214179558483,94,,
0.001,12.988094345623294,,141877,,,142000,,-115.86677581787109,,171.0,320.5459806799889
0.001,11.539780180628707,652,142355,276.25,458.25176221000004,142618,1511,-117.29239905752787,94,,
0.001,9.346014279694785,,142857,,,143000,,-116.59381512233189,,224.0,352.7412978708744
0.001,10.572854949127544,656,143077,276.43,457.94357228999996,143381,1519,-116.29828976717862,94,,
0.001,9.962518809205395,,143897,,,144000,,-116.42148338664661,,195.3,338.55645779371264
,,660,,275.94,456.50040239000003,144178,1527,,94,,
0.001,10.749855622487809,,144776,,,145000,,-116.54432392806459,,562.5,681.8084723562002
,,664,,280.81,461.59746074000003,145433,1539,,94,,
0.001,8.723432775454228,,145868,,,146000,,-116.66488819737589,,322.8,490.9474458575249
0.001,11.362381724750295,668,146157,280.27,459.16187241000006,146424,1551,-116.60776000552707,94,,
0.001,9.477389361370694,,146333,,,147000,,-116.47585079886697,,785.7,971.789610260725
0.001,10.575499335787288,,147789,,,148000,,-116.40920850965712,,863.5,1119.1918874680996
,,672,,275.67,450.33148392000004,148185,1580,,93,,
0.001,10.154541070344019,,148094,,,149000,,-116.31086810741549,,637.2,1191.001950609684
0.001,10.07576278690888,,148968,,,150000,,-116.43189152209109,,93.1,161.3322482407093
