time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
2810,91,0,12.7314175,22.75,4,,,,,,
435,156,0,12.164606375,19.5,8,0.02370502632111311,0.001,-0.6571765661239624,55,,
330,196,0,9.92484225,16.333333333333332,12,0.003294856776483357,0.001,-0.7472144961357117,95,,
286,260,0,12.989530875,16.25,16,0.009590153984556144,0.001,-1.1155792691490867,147,,
246,350,1,18.290078049999998,17.5,20,0.027420258869163015,0.001,-1.6406957019459119,237,,
222,438,1,21.695840791666665,18.25,24,0.05541416862979531,0.001,-2.0802268331701104,325,,
214,527,2,24.201249107142853,18.821428571428573,28,0.07952015296640721,0.001,-2.539406191218983,414,,
210,616,2,24.8382750625,19.25,32,0.10040310973470862,0.001,-2.989047895778309,502,,
205,687,3,21.933309,19.083333333333332,36,0.09505047524968784,0.001,-3.0561459594302707,579,,
204,758,3,19.609959175,18.95,40,0.10467660953016843,0.001,-2.9735949635505676,649,,
201,829,4,17.714215636363637,18.84090909090909,44,0.15904100839462545,0.001,-2.8702246612972684,720,,
198,901,4,16.12959975,18.770833333333332,48,0.12536029455562434,0.001,-3.02825305196974,792,,
195,972,4,14.78979953846154,18.692307692307693,52,0.19179007493787342,0.001,-2.9825807677374945,864,,
,1000,,,,,0.2340539706980481,0.001,-3.051918294694689,898,17.9,-1.3231516383588313
186,1042,5,13.656471732142858,18.607142857142858,56,0.15617873892188072,0.001,-2.7593817114830017,933,,
185,1113,5,12.659931166666668,18.55,60,0.14325661067333487,0.001,-2.6988529364267984,1004,,
186,1184,6,11.795006734375,18.5,64,0.19114162565933335,0.001,-2.749618318345812,1075,,
185,1256,6,11.024747926470587,18.470588235294116,68,0.1887873336672783,0.001,-2.641748216417101,1147,,
185,1327,7,10.338738791666666,18.430555555555557,72,0.17070940399871154,0.001,-2.662479294670953,1218,,
185,1399,7,9.715958131578946,18.407894736842106,76,0.23689004530509314,0.001,-2.3830891450246177,1290,,
184,1471,7,9.1593811125,18.3875,80,0.2544209377633201,0.001,-2.497897254096137,1362,,
184,1543,8,8.655381261904763,18.36904761904762,84,0.18061371251112884,0.001,-2.3110089699427285,1434,,
183,1614,8,8.201198863636364,18.34090909090909,88,0.1976464767422941,0.001,-2.119800262980991,1505,,
183,1690,9,8.21443772826087,18.369565217391305,92,0.21367637109425333,0.001,-2.318564044104682,1577,,
185,1859,10,11.157870072916667,19.364583333333332,96,0.3664575167324232,0.001,-3.268762133338235,1741,,
185,1948,10,12.287951200000002,19.48,100,0.5884931550725646,0.001,-3.4682388088919898,1835,,
,2000,,,,,0.5711114399812438,0.001,-3.989696437662298,1901,22.2,39.096238303184506
182,2044,11,13.448035270000002,19.53,104,0.45364461974664166,0.001,-3.873690735210072,1923,,
183,2280,12,17.2180881,21.24,108,0.5030399235096615,0.001,-4.595170681817191,2121,,
185,2689,14,25.686903190000002,24.93,112,0.5872986566944,0.001,-5.935688840931859,2475,,
,3000,,,,,0.6871500504042568,0.001,-7.601562746639909,2829,122.9,272.19084471464157
170,3108,18,33.92787711,28.48,116,0.930473320001413,0.001,-7.881703134442939,2950,,
174,3572,20,42.282318329999995,32.22,120,1.202953394385986,0.001,-9.854021146893501,3360,,
172,3940,22,48.36871978,35.02,124,1.6339968691269557,0.001,-11.767668081789601,3751,,
,4000,,,,,1.423374485604617,0.001,-12.202071520746971,3849,98.1,205.68482086658477
169,4334,25,55.190961699999995,38.07,128,2.1827548735671574,0.001,-13.671094046698677,4141,,
168,4721,28,62.23539043999999,41.05,132,3.1711706908381716,0.001,-15.321714109304,4536,,
,5000,,,,,2.6639647985448933,0.001,-16.39870536804199,4825,103.0,225.30649774074556
163,5124,31,71.09565454,44.37,136,3.3379633381253195,0.001,-16.855399077793336,4930,,
163,5537,33,80.30262518,47.79,140,3.632391365101704,0.001,-18.788721561431885,5342,,
164,5967,36,89.88290684999998,51.38,144,4.497042172025926,0.001,-20.577514685836494,5754,,
,6000,,,,,4.108767312081134,0.001,-21.068344491427062,5876,99.9,217.84240361452103
161,6392,39,99.26371649000001,54.91,148,4.62850923429836,0.001,-22.29261652628581,6199,,
162,6812,41,108.59366720999998,58.4,152,3.79547368735075,0.001,-24.01827467404879,6615,,
,7000,,,,,5.13904872216469,0.001,-25.082381389180167,6842,120.7,265.09517394304277
160,7295,45,119.18620923999997,62.53,156,4.681747780007831,0.001,-26.081809544967392,7081,,
161,7782,48,129.85926339000002,66.69,160,4.747522765590299,0.001,-28.144866328085623,7567,,
,8000,,,,,4.914096133232117,0.001,-29.07710808042496,7816,121.1,265.6689372897148
159,8269,51,140.55916252,70.85,164,4.158635296741454,0.001,-29.99304021415064,8055,,
159,8749,54,151.13576842,74.93,168,4.314330105020218,0.001,-31.765327072143556,8538,,
,9000,,,,,5.105251089731852,0.001,-32.88279472986857,8901,122.0,267.3520518064499
158,9247,58,162.07292095999998,79.2,172,5.310187586649197,0.001,-33.572317481040955,9028,,
159,9737,61,172.95412572999993,83.38,176,5.257079947379328,0.001,-35.50579071044922,9525,,
,10000,,,,,4.177319041821135,0.001,-36.68870305206816,9891,115.3,250.87376724481584
157,10221,64,183.64160274999998,87.5,180,4.123336356194293,0.001,-37.02238232972192,10013,,
158,10697,67,194.31322584999998,91.54,184,5.00125333404541,0.001,-38.12598056177939,10485,,
,11000,,,,,4.681560963392258,0.001,-39.59633144255607,10833,130.9,286.43384087085724
156,11198,71,205.42565383999997,95.84,188,4.386223441492902,0.001,-39.541303275288016,10970,,
157,11718,74,216.48876309,100.28,192,5.340898331254721,0.001,-40.840489745140076,11494,,
,12000,,,,,4.70753389212393,0.001,-42.17162353761734,11857,129.2,283.69010639190674
156,12202,78,224.07636882,103.43,196,5.341967441141605,0.001,-42.320462346076965,11985,,
156,12692,80,233.41173141000002,107.44,200,5.255476453087547,0.001,-43.61001471317176,12478,,
,13000,,,,,5.05104297588742,0.001,-44.140920972067214,12857,112.0,255.79303797483445
155,13176,84,242.60671833,111.32,204,5.854345202445984,0.001,-44.753655751546226,12964,,
156,13631,87,248.55988437,113.51,208,5.283612692678297,0.001,-45.96020201274327,13432,,
,14000,,,,,5.912393576630922,0.001,-47.30565916817143,13879,107.8,242.33279601335525
154,14079,90,249.87378151999997,113.9,212,,,,,,
155,14512,93,250.35594201,114.04,216,4.456069344723666,0.001,-48.03963526973018,14312,,
155,14944,96,250.19243920999997,113.72,220,4.7631564603911505,0.001,-48.97636816236708,14746,,
,15000,,,,,4.433779458019221,0.001,-48.770434613497756,14853,107.8,241.1053230881691
