rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
24.0,3545,0,96,4,13.02575275,,,,,,
22.625,482,0,181,8,23.53482225,64,-1.1596158544222515,0.010822769092476887,0.001,,
22.5,316,0,270,12,28.78383616666667,152,-1.6925140727650037,0.02966466292061589,0.001,,
22.4375,270,1,359,16,31.374418125,241,-2.1209650581533257,0.043546884236010636,0.001,,
22.4,250,1,448,20,32.9267101,330,-2.5047203302383423,0.07080505180941976,0.001,,
22.333333333333332,237,2,536,24,33.896621124999996,418,-2.9087409539656206,0.0893140064383095,0.001,,
22.892857142857142,235,2,641,28,35.77371007142857,507,-3.298776084726507,0.11028395000506531,0.001,,
21.5,218,3,688,32,33.235925875,585,-3.679586092631022,0.17346387462956564,0.001,,
19.88888888888889,216,3,716,36,30.202973833333335,613,-3.802864948908488,0.1417435844029699,0.001,,
18.6,215,3,744,40,27.775126475,641,-3.5926624139149985,0.18085227480956487,0.001,,
17.545454545454547,214,3,772,44,25.787993113636364,669,-3.8672455151875815,0.18237813455717905,0.001,,
16.666666666666668,212,3,800,48,24.13600925,697,-3.7343146006266275,0.19316457637718745,0.001,,
16.596153846153847,212,4,863,52,24.101669480769228,744,-3.9518874425154467,0.24444862168568832,0.001,,
,,,1000,,,886,-4.481849041852084,0.33614422021241025,0.001,72.67073942422867,41.0
19.160714285714285,201,5,1073,56,29.261078357142857,929,-4.8166935330345515,0.46915005078149397,0.001,,
20.2,197,6,1212,60,31.45297168333333,1094,-5.562302242625844,0.5945572897114537,0.001,,
20.6875,199,6,1324,64,32.584431171874996,1207,-6.059987718408758,0.7161331004039808,0.001,,
20.764705882352942,198,7,1412,68,32.94806226470588,1294,-6.455460851842707,0.8506468331271951,0.001,,
20.86111111111111,199,7,1502,72,33.331546555555555,1384,-6.782400329907735,1.0075189238009246,0.001,,
20.92105263157895,200,7,1590,76,33.613929144736844,1472,-7.264994447881525,0.8697949180548842,0.001,,
22.8875,203,9,1831,80,37.3684913625,1660,-7.761134011404855,0.8836265896047865,0.001,,
,,,2000,,,1877,-8.697638312051463,1.0262745549512464,0.001,166.0507543563843,85.4
25.535714285714285,189,11,2145,84,42.75715879761905,1963,-8.998299288195232,1.0747565880071286,0.001,,
28.170454545454547,190,13,2479,88,48.01220193181819,2297,-10.321905649625338,1.4625644016114971,0.001,,
29.934782608695652,189,14,2754,92,51.46742583695653,2600,-11.446640381446251,1.6038734568403912,0.001,,
,,,3000,,,2839,-12.40962707079374,1.2925410373852804,0.001,146.10522186756134,79.7
31.364583333333332,183,16,3011,96,54.22189164583333,,,,,,
33.33,183,18,3333,100,58.029004379999996,3152,-13.33651111125946,1.6075520040113715,0.001,,
35.79,184,19,3675,104,64.01570514,3493,-14.5289370292841,1.8303789517214133,0.001,,
,,,4000,,,3828,-15.76197566986084,1.7374017059803009,0.001,161.97741289138793,85.1
38.29,178,22,4010,108,69.01449288000002,,,,,,
40.83,179,24,4353,112,74.04073155,4171,-16.973604290984397,1.9763313317021658,0.001,,
43.36,180,25,4695,116,79.00063937,4513,-17.98846049641454,1.9582870242207548,0.001,,
,,,5000,,,4857,-19.12812166435774,2.646056440680526,0.001,165.45233343243598,85.4
45.91,178,28,5039,120,84.09371764,,,,,,
48.42,179,29,5378,124,89.04517646000002,5199,-20.04890010470436,2.6729427313520793,0.001,,
50.81,180,31,5722,128,93.72936144,5540,-20.94074635172999,2.4554116323936817,0.001,,
,,,6000,,,5883,-21.889831055042354,2.84925193911375,0.001,163.89812936782837,85.2
53.76,177,34,6064,132,99.65163534,,,,,,
56.87,177,35,6403,136,105.86510417,6226,-22.95277351556822,2.897124838690425,0.001,,
59.89,178,37,6733,140,111.81328566000002,6553,-23.94148553384317,2.8753939166262343,0.001,,
,,,7000,,,6860,-24.704232268863255,3.795587054440673,0.001,148.92536640167236,80.0
62.62,176,39,7034,144,117.07317084000002,,,,,,
65.62,178,41,7362,148,123.01591918,7183,-25.53954243659973,3.6429382041096687,0.001,,
68.32,178,42,7695,152,128.3816954,7517,-26.14134127594704,3.4667832095955693,0.001,,
,,,8000,,,7844,-26.921265602111816,3.8043756334087515,0.001,160.73377161622048,84.7
69.53,177,45,8026,156,130.73887735,,,,,,
71.47,178,46,8359,160,134.52679667,8179,-27.783878415129905,4.054254468790321,0.001,,
73.63,179,48,8687,164,138.70709496999999,8505,-28.557079982757568,3.3833593644201754,0.001,,
,,,9000,,,8846,-29.37902268698049,3.927854432616123,0.001,154.96781783103944,82.4
76.11,177,50,9023,168,143.49657631000002,,,,,,
78.52,177,52,9354,172,148.16318561999998,9176,-29.722609065827868,4.218589439988136,0.001,,
81.04,178,54,9694,176,153.05755528999998,9512,-30.568377903529576,3.6130691284225103,0.001,,
,,,10000,,,9853,-31.145071916801985,4.268148420870989,0.001,159.45277407169343,83.8
82.02,176,56,10033,180,155.15873548,,,,,,
82.3,177,58,10375,184,155.68236919999998,10193,-32.123551080393234,3.375668217276418,0.001,,
82.34,177,60,10713,188,155.76879502999998,10532,-32.50360054193541,3.437905795433942,0.001,,
,,,11000,,,10867,-32.756782252614094,4.270513007439763,0.001,161.0197165966034,84.4
82.95,175,62,11049,192,157.06077127,,,,,,
83.77,176,64,11388,196,158.82705826999995,11208,-34.0057430267334,4.633499882050923,0.001,,
83.9,176,66,11723,200,159.22367642,11541,-34.52211249746927,4.183052492577855,0.001,,
,,,12000,,,11884,-34.96284192107444,3.8919019588204318,0.001,161.8751722574234,84.5
83.91,175,68,12066,204,159.27175395999998,,,,,,
83.92,176,70,12402,208,159.31700545,12222,-35.23779569353376,5.9231008348694765,0.001,,
83.88,176,72,12741,212,159.1984938,12560,-35.58255302615282,4.236133548544674,0.001,,
,,,13000,,,12902,-36.42962788426599,4.0416215907695685,0.001,162.16019839644431,84.5
83.85,175,74,13080,216,159.16499845,,,,,,
83.8,175,76,13419,220,158.99244647000003,13238,-37.227951503935316,4.412915560461226,0.001,,
83.81,176,78,13759,224,158.99299686,13580,-37.428561454595524,4.4682425066482185,0.001,,
,,,14000,,,13831,-37.930967470494714,4.6443150208657045,0.001,161.71653017401695,84.3
83.77,174,80,14099,228,158.91050232999999,13918,-38.05474732138894,4.966881808193251,0.001,,
83.68,175,82,14432,232,158.73663376,14255,-38.58856092180525,4.15849384807405,0.001,,
83.72,175,84,14775,236,158.87731646000003,14593,-38.89155342465355,4.352503868085997,0.001,,
,,,15000,,,14851,-38.97187523614792,4.377582833346199,0.001,163.4848740696907,84.8
83.8,175,86,15113,240,159.18230825000003,14935,-38.5179808480399,4.442157412568728,0.001,,
84.22,175,88,15456,244,160.30140956,15275,-39.37019241687863,8.001176268555398,0.001,,
84.36,175,89,15798,248,160.67949488,15616,-39.97234442067701,5.67557017747746,0.001,,
,,,16000,,,15870,-40.08250454493931,5.643612203853471,0.001,164.44406670928,85.2
84.42,174,92,16137,252,160.85026299999998,15955,-39.90033976236979,3.9669860075501835,0.001,,
84.52,175,93,16478,256,161.20585583,16297,-40.68738741990997,3.9780482139932105,0.001,,
84.63,175,95,16822,260,161.55486551,16641,-41.09967937025913,5.025863332803859,0.001,,
,,,17000,,,16897,-41.33582368007926,5.93479908205742,0.001,165.87159611582757,85.3
84.78,175,98,17165,264,162.09864894999998,16983,-40.75437767561092,4.010265644206557,0.001,,
84.81,175,99,17504,268,162.24374992000003,17323,-41.91209929330008,4.092622687419255,0.001,,
84.94,175,101,17848,272,162.60017092,17666,-41.95252351982649,4.777342544045559,0.001,,
,,,18000,,,17837,-41.98920758565267,5.7418559915879195,0.001,165.26920164227485,85.4
84.92,175,103,18186,276,162.70389063999997,18005,-41.62287995873428,3.7968085760093597,0.001,,
