train/learning_rate,train/actor_loss,time/total_timesteps,train/n_updates,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/fps,eval/mean_ep_length,eval/mean_reward
0.001,-7.522782192230225,14608,14468,264,39.24103076,90,0.21271535038948058,50.81,161,,
0.001,-7.27734253803889,14808,14667,268,39.201138289999996,91,0.1827485927817773,50.78,161,,
0.001,-7.239671266995943,15000,14873,,,,0.2434530733869626,,,50.2,38.558871385455134
,,15013,,272,39.29959478,93,,50.84,161,,
0.001,-7.21655809879303,15215,15074,276,39.13098649999999,94,0.21677246612186232,50.75,161,,
0.001,-7.3113112449646,15418,15277,280,39.06391656,95,0.22641958797780368,50.74,161,,
0.001,-7.187031917572021,15622,15482,284,39.04028945,96,0.15778980255126954,50.73,161,,
0.001,-7.408600275333111,15829,15688,288,39.148689790000006,97,0.1760537478213127,50.82,162,,
0.001,-7.197180976867676,16000,15894,,,,0.19117817372083665,,,50.2,38.558871385455134
,,16032,,292,39.11874953,98,,50.81,161,,
0.001,-6.958515014648437,16230,16093,296,38.9905941,100,0.24604484584985994,50.71,162,,
0.001,-7.516393368060772,16435,16295,300,38.98083410000001,101,0.21561082509847787,50.66,162,,
0.001,-7.507302989959717,16642,16502,304,38.99696151,102,0.17877057939767838,50.68,162,,
0.001,-7.610885696411133,16847,16708,308,39.10964900000001,103,0.17943539157509802,50.74,162,,
0.001,-7.552995853424072,17000,16911,,,,0.20239780857866885,,,50.2,38.55887109339237
,,17050,,312,39.1137078,104,,50.75,162,,
0.001,-7.660699806213379,17249,17111,316,39.05390961,106,0.2123689630627632,50.71,162,,
