rollout/ep_len_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_reward,eval/mean_ep_length
17.0,2958,0,68,4,13.752862,,,,,,
14.125,1153,0,113,8,10.710274875,12,-0.7661793927351633,0.3187069905300935,0.001,,
11.75,532,0,141,12,9.12672025,40,-0.9118012636899948,0.019505046840224947,0.001,,
10.5625,398,0,169,16,8.333583375,68,-0.9397261440753937,0.006464516278356314,0.001,,
9.85,341,0,197,20,7.852440899999998,96,-0.9749816954135895,0.004680264741182327,0.001,,
9.375,310,0,225,24,7.526660958333333,124,-1.0367715060710907,0.0029714608431926797,0.001,,
9.035714285714286,290,0,253,28,7.290759357142856,152,-1.0670220851898193,0.004187785188800522,0.001,,
8.78125,278,1,281,32,7.116817875000001,180,-1.0979392528533936,0.007415466010570526,0.001,,
8.583333333333334,266,1,309,36,6.981457416666668,208,-1.15140500664711,0.005418966590826001,0.001,,
8.425,259,1,337,40,6.873481125,236,-1.170944094657898,0.004660150967538357,0.001,,
8.295454545454545,253,1,365,44,6.786929727272727,264,-1.2339232861995697,0.0030407176985006246,0.001,,
8.1875,245,1,393,48,6.7125484166666665,292,-1.2619974315166473,0.006721796534423318,0.001,,
8.096153846153847,239,1,421,52,6.64829425,320,-1.2547312378883362,0.004451029002666473,0.001,,
8.017857142857142,235,1,449,56,6.594697035714286,348,-1.2944137752056122,0.004857371827321393,0.001,,
7.95,231,2,477,60,6.5470005,376,-1.331751435995102,0.014536254307521241,0.001,,
7.890625,227,2,505,64,6.5095954375,404,-1.3322061598300934,0.005400603038391897,0.001,,
7.838235294117647,223,2,533,68,6.473709588235294,432,-1.3651431798934937,0.005953872277002249,0.001,,
7.791666666666667,221,2,561,72,6.445386750000001,460,-1.4266722798347473,0.003718339738302997,0.001,,
7.75,219,2,589,76,6.415152960526316,488,-1.4787630140781403,0.004731632569538695,0.001,,
7.7125,217,2,617,80,6.391156975000001,516,-1.4928610622882843,0.00897850442145552,0.001,,
7.678571428571429,216,2,645,84,6.366269452380953,544,-1.5178068280220032,0.0181023338144379,0.001,,
7.6477272727272725,214,3,673,88,6.344770988636364,572,-1.527914583683014,0.007829927739554219,0.001,,
7.619565217391305,212,3,701,92,6.325515532608696,600,-1.5368817448616028,0.006309944737170424,0.001,,
7.59375,210,3,729,96,6.308902833333335,628,-1.561564415693283,0.005960181488522461,0.001,,
8.03,211,3,803,100,7.298244470000002,686,-1.9980011744932695,0.06341047411445867,0.001,,
8.22,208,4,890,104,8.28291068,774,-2.3591983318328857,0.12574545785107397,0.001,,
