rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
16.243347999999997,75,4,2979,18.75,0,,,,,,
13.820448375,126,8,537,15.75,0,0.10671149702234702,22,-0.9480818013350168,0.001,,
26.487969916666668,242,12,210,20.166666666666668,1,0.022396026136861605,123,-1.745975212617354,0.001,,
29.471683,329,16,168,20.5625,1,0.04888775809244676,212,-2.2816536860032515,0.001,,
31.32880995,417,20,154,20.85,2,0.09619881070795513,299,-2.6413073778152465,0.001,,
25.902247666666668,489,24,145,20.375,3,0.10997027386393812,375,-2.810022327635023,0.001,,
21.987582142857143,561,28,140,20.035714285714285,3,0.11497451571954621,447,-2.6718556351131864,0.001,,
19.10411403125,631,32,136,19.71875,4,0.13746491206042907,517,-2.809866279363632,0.001,,
16.84737527777778,703,36,134,19.52777777777778,5,0.18831707102557024,589,-2.748711003197564,0.001,,
15.031168500000001,774,40,131,19.35,5,0.1544465150903253,660,-2.629233227835761,0.001,,
13.54117327272727,845,44,130,19.204545454545453,6,0.15451766322884294,731,-2.664580398135715,0.001,,
12.296945812499999,916,48,129,19.083333333333332,7,0.23897118783659405,802,-2.5533751911587186,0.001,,
11.238059653846152,988,52,127,19.0,7,0.2491279641787211,874,-2.4918906688690186,0.001,,
,1000,,,,,0.13512388140790993,892,-2.4190333684285483,0.001,17.9,-1.315591473132372
10.339564982142857,1059,56,123,18.910714285714285,8,0.2589670042781269,945,-2.47682386636734,0.001,,
9.548403316666667,1131,60,124,18.85,9,0.2961054982410537,1017,-2.313882006539239,0.001,,
8.862924218749999,1202,64,125,18.78125,9,0.26040853384663076,1088,-2.355737156338162,0.001,,
8.27175561764706,1272,68,126,18.705882352941178,10,0.29507458648260904,1159,-2.208951324224472,0.001,,
7.728997875,1344,72,127,18.666666666666668,10,0.28076660219166016,1230,-2.062861760457357,0.001,,
