rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
19.50844175,4,22.0,3896,88,0,,,,,,
17.205629000000002,8,18.5,715,148,0,0.02659331847514425,-1.1033374865849812,41,0.001,,
13.801316833333333,12,14.666666666666666,525,176,0,0.011033356988004275,-1.167818307876587,69,0.001,,
12.0999130625,16,12.75,450,204,0,0.010344177085374082,-1.2580467462539673,97,0.001,,
11.078992750000001,20,11.6,398,232,0,0.010717687729213918,-1.335862159729004,125,0.001,,
10.391142125,24,10.833333333333334,364,260,0,0.016512993723154068,-1.3810415665308635,153,0.001,,
9.90006757142857,28,10.285714285714286,347,288,0,0.008270040952733584,-1.405409296353658,181,0.001,,
9.533695062500001,32,9.875,333,316,0,0.006815414609653609,-1.433097004890442,209,0.001,,
9.249290833333335,36,9.555555555555555,323,344,1,0.006128478529197829,-1.4854413270950317,237,0.001,,
9.0208481,40,9.3,315,372,1,0.005486548944775548,-1.514299790064494,265,0.001,,
8.83502275,44,9.090909090909092,307,400,1,0.014060730580240488,-1.5479663610458374,293,0.001,,
8.679089375,48,8.916666666666666,301,428,1,0.008451082544135196,-1.5836746295293171,321,0.001,,
8.546543692307692,52,8.76923076923077,295,456,1,0.009357227611222438,-1.6440606117248535,349,0.001,,
8.433601053571428,56,8.642857142857142,290,484,1,0.006093356991186738,-1.6787840922673543,377,0.001,,
8.335713199999999,60,8.533333333333333,284,512,1,0.006630690236176763,-1.6964106162389119,405,0.001,,
8.252404234375,64,8.4375,279,540,1,0.0070043092294197,-1.770921270052592,433,0.001,,
8.176633779411763,68,8.352941176470589,275,568,2,0.0057631131328110185,-1.7965797185897827,461,0.001,,
8.110801125000002,72,8.277777777777779,269,596,2,0.006538494456825512,-1.84806223710378,489,0.001,,
8.050659868421054,76,8.210526315789474,268,624,2,0.010203585361263581,-1.8640426794687908,517,0.001,,
7.9967264,80,8.15,266,652,2,0.0046392685534166435,-1.8696064551671345,545,0.001,,
7.946746916666665,84,8.095238095238095,264,680,2,0.002788407229153173,-1.9825955629348755,573,0.001,,
7.902295295454547,88,8.045454545454545,262,708,2,0.009457778318652086,-1.9522046248118083,601,0.001,,
7.86222320652174,92,8.0,260,736,2,0.006234142380500478,-1.9982564846674602,629,0.001,,
7.837422979166667,96,7.96875,259,765,2,0.010307162002261196,-2.05618155002594,657,0.001,,
,,,,1000,,0.0229410247738997,-2.269527466967702,793,0.001,126.3,183.39367229938506
15.05093699,100,12.87,235,1287,5,0.05948468282567485,-3.012033265734476,1049,0.001,,
21.48611581,104,16.94,232,1782,7,0.17995099733854014,-4.49140981704958,1555,0.001,,
,,,,2000,,0.2506564813020238,-5.2346658145680145,1819,0.001,126.3,183.3936796426773
28.620426009999996,108,21.72,218,2320,10,0.26514303349518686,-6.016835472800515,2085,0.001,,
35.90549934,112,26.69,219,2845,12,0.39917452409863474,-7.5089943739084095,2620,0.001,,
,,,,3000,,0.40112980670528486,-8.233979232609272,2873,0.001,79.3,110.4473115235567
39.62735926,116,29.7,213,3174,14,0.3680333743210543,-8.350920178673483,2972,0.001,,
46.81267637999999,120,34.57,217,3689,16,0.5435965758931898,-9.538342157999674,3464,0.001,,
,,,,4000,,0.6197026299815329,-10.476311123560345,3842,0.001,126.6,183.68342466950418
53.88713879,124,39.36,211,4196,19,0.514547023716874,-10.720726013183594,3969,0.001,,
60.92153777000001,128,44.13,212,4701,22,0.5886053416792673,-11.917909519488996,4473,0.001,,
,,,,5000,,0.6383093042683056,-12.554845535393918,4854,0.001,128.1,185.4640390396118
68.16482708,132,49.07,208,5223,25,0.6646817819785702,-12.962241545319557,4983,0.001,,
75.39602483,136,53.99,209,5743,27,0.6485780784248436,-13.841505658799324,5518,0.001,,
,,,,6000,,0.7124734128063376,-14.377899458914092,5775,0.001,138.1,196.64005375504493
82.72796096999998,140,59.01,205,6273,30,0.7040686955451966,-14.888425433446491,6036,0.001,,
90.03102749,144,64.0,206,6800,32,0.7950234909852346,-15.67360283346737,6566,0.001,,
,,,,7000,,0.8231203946329299,-16.074560589260525,6826,0.001,130.9,188.6064134836197
97.23722964000001,148,68.91,203,7319,35,0.8778983654849457,-16.548570387291186,7089,0.001,,
104.35986536,152,73.74,204,7830,38,0.9133991223006022,-17.277667711651514,7600,0.001,,
,,,,8000,,0.9584717750549316,-17.624349507418547,7862,0.001,128.3,185.5572288095951
111.76714328999998,156,78.81,203,8365,41,0.9086540645974523,-18.06193447113037,8132,0.001,,
119.25140746,160,83.95,204,8907,43,1.0013103159991177,-18.695574644840125,8677,0.001,,
,,,,9000,,0.9976054035700285,-18.669163689246545,8807,0.001,127.7,184.83033558130265
126.41199015999999,164,88.82,202,9422,46,1.028054675390554,-19.356998920440674,9197,0.001,,
134.05836548999997,168,94.13,204,9981,48,1.126552607996244,-19.88106907435826,9745,0.001,,
,,,,10000,,1.1206514305051636,-20.052417109994327,9881,0.001,130.1,187.62232853174208
141.51160203999999,172,99.25,202,10521,51,1.1902305469397576,-20.46869361016058,10276,0.001,,
,,,,11000,,1.2308540247953854,-20.986450664813702,10821,0.001,130.7,187.90351051688194
148.85662737999996,176,104.29,201,11053,54,,,,,,
156.21364366999998,180,109.32,201,11584,57,1.2428969132048744,-21.3534576688494,11354,0.001,,
,,,,12000,,1.2825672879363552,-22.019613526084207,11885,0.001,131.6,189.27445834875107
163.53824956,184,114.32,200,12112,60,,,,,,
170.98386065,188,119.43,201,12651,62,1.326912016593493,-22.317879104614256,12414,0.001,,
,,,,13000,,1.3623450838602507,-22.56303470318134,12815,0.001,131.4,188.8366691172123
178.25088591999997,192,124.42,200,13178,65,1.3423122871613158,-22.730394335760586,12953,0.001,,
185.57143853999995,196,129.42,201,13707,68,1.3083496193091075,-23.261765300363734,13473,0.001,,
,,,,14000,,1.384292964823544,-23.513990700244904,13863,0.001,132.8,191.1032753407955
185.36841861000002,200,129.26,199,14213,71,1.454238766529521,-23.509163152976114,13985,0.001,,
185.72913354,204,129.63,200,14745,73,1.5119246966911084,-23.769081780404754,14502,0.001,,
,,,,15000,,1.5367491916373923,-24.015573108897488,14780,0.001,129.2,186.6017933011055
185.53684096,208,129.5,198,15270,76,1.3952692826588948,-24.15149195053998,15044,0.001,,
185.31599212999998,212,129.33,199,15778,79,1.6166251374454033,-24.426901878849154,15548,0.001,,
,,,,16000,,1.4168734418021307,-24.6290465763637,15804,0.001,130.7,187.87334464788438
188.65987438999997,216,131.15,198,16289,82,1.520072254923082,-24.7565977650304,16062,0.001,,
188.64873895999997,220,131.19,199,16808,84,1.6373892720194831,-25.029419912808184,16572,0.001,,
,,,,17000,,1.4905193020900092,-24.898754342397055,16828,0.001,132.2,190.04119960069656
189.05081393999998,224,131.54,198,17350,87,1.5012179090052236,-25.192417118647327,17113,0.001,,
189.13533762000006,228,131.61,199,17862,89,1.598211705215334,-25.6391058725024,17635,0.001,,
,,,,18000,,1.4791280617713929,-25.664686910567745,17887,0.001,114.1,162.03965556025506
188.42520325,232,131.14,198,18337,92,1.5218035201413915,-25.767444229125978,18112,0.001,,
188.06081810000003,236,130.86,199,18829,94,1.8917993737591638,-26.026098554096524,18610,0.001,,
,,,,19000,,1.4758151416120857,-26.06921890990375,18874,0.001,132.4,190.31972405314445
188.09496904000002,240,130.89,198,19362,97,1.4397649837391717,-26.225114604404993,19136,0.001,,
187.97502852000002,244,130.8,199,19880,99,1.4712095907889307,-26.36682829260826,19646,0.001,,
,,,,20000,,1.4962608894305442,-26.400876970433476,19780,0.001,141.3,200.25019826292993
188.41284239000007,248,131.17,198,20436,102,1.7348195507372026,-26.523611538652062,20195,0.001,,
187.58392314000005,252,130.74,198,20904,105,1.6079955565147712,-26.850103315759878,20689,0.001,,
,,,,21000,,1.6596602367318194,-27.03385251143883,20804,0.001,133.8,191.65779946446418
186.85514456999996,256,130.21,197,21386,108,1.4970316713856113,-27.114309618549964,21201,0.001,,
186.81807018,260,130.22,198,21929,110,1.561862253529184,-27.319642627940457,21707,0.001,,
,,,,22000,,1.6579044539420331,-27.317785263061523,21829,0.001,117.1,167.72052589058876
187.15219293,264,130.56,198,22478,113,1.6225794619076872,-27.49252609357442,22231,0.001,,
185.70704866,268,129.47,198,22928,115,1.720808086650712,-27.75374593053545,22718,0.001,,
,,,,23000,,1.6800276160240173,-27.71191732233221,22828,0.001,115.4,167.892581397295
184.8145584,272,128.78,198,23399,118,1.818791097164154,-28.215694790794736,23176,0.001,,
183.96670112,276,128.1,198,23863,120,1.5719280105776492,-28.170499667786714,23640,0.001,,
,,,,24000,,1.6117321977744232,-28.547173466001237,23874,0.001,118.0,169.78347653746604
183.16355868,280,127.48,198,24332,122,1.5728893258354881,-28.735140158913353,24110,0.001,,
182.48817633,284,126.96,198,24808,124,1.6097974812580367,-28.871193029112735,24585,0.001,,
,,,,25000,,1.500657709544165,-29.086149383009527,24822,0.001,114.1,167.32770707011224
181.39785446000005,288,126.12,198,25263,127,1.6507722863863254,-28.975371525205414,25050,0.001,,
180.68618361,292,125.54,198,25732,129,1.662289646538821,-29.424931939442953,25523,0.001,,
,,,,26000,,1.6133281090220466,-29.81877899169922,25874,0.001,119.0,174.4368916451931
179.98584025,296,125.01,198,26208,132,1.5738016447099317,-29.793620319689733,25993,0.001,,
179.55010131,300,124.68,198,26681,134,1.6887039926092504,-30.1729279211012,26465,0.001,,
,,,,27000,,1.5798134924919625,-30.128142941382624,26824,0.001,120.1,178.47911329865457
178.99044574000004,304,124.11,197,27156,137,1.675586718579997,-29.82168920416581,26939,0.001,,
178.53912073,308,123.55,198,27625,139,1.4450406068194228,-30.43779754638672,27405,0.001,,
,,,,28000,,1.764960992952873,-30.955483732552363,27876,0.001,114.4,174.41674414873123
178.340711,312,123.18,197,28096,142,,,,,,
177.69809712999998,316,122.53,198,28542,144,1.48990289707269,-31.046956845692225,28330,0.001,,
176.98890684000003,320,121.78,198,28986,145,1.6027035207620688,-31.158471822738647,28773,0.001,,
,,,,29000,,1.8147753614239988,-31.11431794417532,28886,0.001,111.0,167.24521831870078
175.986761,324,120.85,198,29435,148,1.5617935582324192,-31.186563803932884,29219,0.001,,
175.44469399000002,328,120.22,198,29884,150,1.5139360528971468,-31.660064254488265,29672,0.001,,
,,,,30000,,1.6035056962623253,-31.72916499051181,29895,0.001,109.9,167.02793892621995
175.35963943,332,119.9,198,30327,153,1.4997194624161936,-31.49685675881126,30115,0.001,,
175.18471135,336,119.59,198,30788,155,1.5175474035112482,-31.694075233057927,30565,0.001,,
,,,,31000,,1.6225502268662528,-31.72454897562663,30814,0.001,119.6,183.20919117331505
173.79227644,340,118.64,197,31226,157,2.1598628560702005,-32.02533452938764,31013,0.001,,
173.42845136999998,344,118.19,198,31699,159,1.9775905104414109,-32.02457338763821,31480,0.001,,
,,,,32000,,1.6164605606783617,-32.29492337363107,31824,0.001,112.7,174.5936630010605
172.37435863,348,117.1,197,32146,162,1.863692272025927,-32.02551518167768,31937,0.001,,
172.75845824,352,116.95,198,32599,164,1.6010676238847816,-31.96579143918794,32388,0.001,,
,,,,33000,,1.667327454579728,-32.26916721888951,32833,0.001,112.2,174.14401049613951
172.76291430999999,356,116.61,198,33047,166,,,,,,
172.17735827000004,360,115.74,198,33503,168,1.7658216224185057,-32.37812832423619,33287,0.001,,
171.38409736000003,364,114.78,198,33956,170,1.617805769314637,-32.36088146482195,33744,0.001,,
,,,,34000,,1.804837210902146,-32.366562945502146,33856,0.001,113.0,179.00218350291252
171.99698685000004,368,114.79,198,34407,173,1.6032011908079897,-32.533487388065886,34196,0.001,,
172.36456327,372,114.66,198,34865,175,1.585899563698933,-32.745832673434556,34653,0.001,,
,,,,35000,,1.665692595844595,-32.69097292625298,34882,0.001,114.7,180.64688292741775
172.91171841,376,114.67,198,35330,178,1.537503813067053,-32.70971410027866,35115,0.001,,
173.52336743000004,380,114.64,198,35796,180,1.5548902750015259,-32.84069222919012,35581,0.001,,
,,,,36000,,1.4639151625592133,-32.85999081052583,35812,0.001,113.4,180.53649750351906
173.78398682,384,114.4,198,36248,182,1.5466732267939716,-32.98614983992143,36036,0.001,,
174.35348901,388,114.39,198,36702,184,1.4621710274530493,-33.32846855295116,36494,0.001,,
,,,,37000,,1.3782000693224243,-33.31378325769457,36835,0.001,113.9,182.49119326472282
174.89933377,392,114.29,198,37161,187,1.3310455563849053,-33.26149124011659,36948,0.001,,
175.39149568000002,396,114.12,198,37620,189,1.3883882945617743,-33.664843810232064,37406,0.001,,
,,,,38000,,1.4940008484480674,-33.74777181524979,37865,0.001,114.4,183.91950823664666
176.0459726,400,114.03,197,38084,192,,,,,,
176.29786626000003,404,113.79,198,38535,194,1.3972355241360872,-33.77010178147701,38321,0.001,,
176.54660572,408,113.64,198,38989,196,1.356131264673812,-34.002791098185945,38774,0.001,,
,,,,39000,,1.3195467736410058,-33.984136046024794,38889,0.001,115.7,187.0895805478096
176.68098637,412,113.45,198,39441,199,1.3051711210498103,-34.304538868091726,39224,0.001,,
177.50791850000002,416,113.71,198,39913,201,1.3827264968489037,-34.27817247734695,39691,0.001,,
,,,,40000,,1.3179273497862893,-34.35943784870085,39813,0.001,115.7,187.52839657068253
178.07426268999996,420,113.79,198,40365,203,1.3599481893851695,-34.41590656552996,40151,0.001,,
178.60012666000003,424,113.84,198,40819,205,1.343483850225672,-34.85236780984061,40606,0.001,,
,,,,41000,,1.6264932934652294,-34.82660306964004,40833,0.001,113.2,180.50428214073182
179.10656862999997,428,114.0,198,41284,208,1.384256931214497,-34.71328261802937,41062,0.001,,
179.88485499,432,114.31,198,41758,210,1.294699770562789,-34.69692799196405,41537,0.001,,
,,,,42000,,1.4374144781719556,-35.381848757384255,41896,0.001,113.5,181.06236172318458
180.31681722000005,436,114.35,198,42223,212,1.3652135301858952,-35.21230158312567,42013,0.001,,
181.40131537999997,440,114.54,198,42680,214,1.4587904024968106,-35.068566867283415,42463,0.001,,
,,,,43000,,1.4391487766120394,-35.43287865590241,42812,0.001,114.4,185.45777386426926
181.71200784999996,444,114.44,198,43143,217,1.5106956933514546,-35.40621178837146,42930,0.001,,
182.12730593,448,114.49,198,43595,219,1.400791843908023,-35.70252561569214,43383,0.001,,
,,,,44000,,1.4791048038424106,-35.62147956981993,43839,0.001,116.2,189.0411230504513
182.68602624000002,452,114.6,198,44059,222,,,,,,
183.22742637,456,114.74,198,44521,224,1.4502999578785694,-36.079698431080786,44309,0.001,,
183.70476242999996,460,114.85,198,44988,226,1.918960145168137,-35.91938969126919,44771,0.001,,
,,,,45000,,1.5535791322716281,-36.18594444404214,44888,0.001,116.3,189.69771733283997
184.30501193999996,464,115.02,198,45458,228,1.4343719176624132,-35.94863325974037,45240,0.001,,
