time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
2636,68,0,13.752862,17.0,4,,,,,,
958,113,0,10.710274875,14.125,8,0.3187069905300935,0.001,-0.7661793927351633,12,,
443,141,0,9.12672025,11.75,12,0.019505046840224947,0.001,-0.9118012636899948,40,,
327,169,0,8.333583375,10.5625,16,0.006464516278356314,0.001,-0.9397261440753937,68,,
282,197,0,7.852440899999998,9.85,20,0.004680264741182327,0.001,-0.9749816954135895,96,,
260,225,0,7.526660958333333,9.375,24,0.0029714608431926797,0.001,-1.0367715060710907,124,,
243,253,1,7.290759357142856,9.035714285714286,28,0.004187785188800522,0.001,-1.0670220851898193,152,,
231,281,1,7.116817875000001,8.78125,32,0.007415466010570526,0.001,-1.0979392528533936,180,,
221,309,1,6.981457416666668,8.583333333333334,36,0.005418966590826001,0.001,-1.15140500664711,208,,
214,337,1,6.873481125,8.425,40,0.004660150967538357,0.001,-1.170944094657898,236,,
207,365,1,6.786929727272727,8.295454545454545,44,0.0030407176985006246,0.001,-1.2339232861995697,264,,
203,393,1,6.7125484166666665,8.1875,48,0.006721796534423318,0.001,-1.2619974315166473,292,,
198,421,2,6.64829425,8.096153846153847,52,0.004451029002666473,0.001,-1.2547312378883362,320,,
193,449,2,6.594697035714286,8.017857142857142,56,0.004857371827321393,0.001,-1.2944137752056122,348,,
189,477,2,6.5470005,7.95,60,0.014536254307521241,0.001,-1.331751435995102,376,,
186,505,2,6.5095954375,7.890625,64,0.005400603038391897,0.001,-1.3322061598300934,404,,
183,533,2,6.473709588235294,7.838235294117647,68,0.005953872277002249,0.001,-1.3651431798934937,432,,
182,561,3,6.445386750000001,7.791666666666667,72,0.003718339738302997,0.001,-1.4266722798347473,460,,
180,589,3,6.415152960526316,7.75,76,0.004731632569538695,0.001,-1.4787630140781403,488,,
178,617,3,6.391156975000001,7.7125,80,0.00897850442145552,0.001,-1.4928610622882843,516,,
177,645,3,6.366269452380953,7.678571428571429,84,0.0181023338144379,0.001,-1.5178068280220032,544,,
176,673,3,6.344770988636364,7.6477272727272725,88,0.007829927739554219,0.001,-1.527914583683014,572,,
174,701,4,6.325515532608696,7.619565217391305,92,0.006309944737170424,0.001,-1.5368817448616028,600,,
174,729,4,6.308902833333335,7.59375,96,0.005960181488522461,0.001,-1.561564415693283,628,,
174,803,4,7.298244470000002,8.03,100,0.06341047411445867,0.001,-1.9980011744932695,686,,
171,890,5,8.28291068,8.22,104,0.12574545785107397,0.001,-2.3591983318328857,774,,
168,981,5,9.57819063,8.68,108,0.14252346872606061,0.001,-2.9272299246354536,864,,
,1000,,,,,0.16368735484454944,0.001,-2.9409867850216953,887,22.1,38.89345256090164
160,1071,6,10.92246065,9.3,112,0.21092002514911734,0.001,-3.2464853633533823,955,,
165,1215,7,13.104289549999997,10.46,116,0.24180477792802063,0.001,-3.698351188139482,1045,,
158,1313,8,13.589523219999998,11.16,120,0.36507492595248753,0.001,-4.260693920983209,1201,,
157,1385,8,13.29167055,11.6,124,0.37761668488383293,0.001,-4.296984063254462,1273,,
157,1457,9,12.992268860000003,12.04,128,0.40261254294051063,0.001,-4.478122181362576,1345,,
156,1528,9,12.70022715,12.47,132,0.312697880797916,0.001,-4.412653022342258,1417,,
156,1604,10,12.807203030000004,12.95,136,0.3721959951023261,0.001,-4.608035299513075,1488,,
155,1692,10,14.106864690000004,13.55,140,0.5165685064026287,0.001,-4.929110908508301,1575,,
154,1781,11,15.420504450000001,14.16,144,0.5146060067674388,0.001,-5.202171282334761,1665,,
154,1869,12,16.720561319999998,14.76,148,0.5402649376880039,0.001,-5.478649486194957,1753,,
154,1957,12,18.02774173,15.36,152,0.5017592388959158,0.001,-5.7178215980529785,1840,,
,2000,,,,,0.5295822017572143,0.001,-5.99342003735629,1885,22.2,38.78580940961838
151,2045,13,19.333084569999997,15.96,156,0.4983334622599862,0.001,-5.963124491951683,1929,,
151,2132,14,20.62622305,16.55,160,0.3603815236552195,0.001,-6.436395385048606,2017,,
151,2221,14,21.94387397,17.16,164,0.4893969361754981,0.001,-6.833169026808306,2105,,
151,2310,15,23.256652060000008,17.77,168,0.46151578879874683,0.001,-6.974763909975688,2194,,
151,2400,15,24.587579260000002,18.39,172,0.3885993395339359,0.001,-7.465067299929532,2283,,
151,2490,16,25.914941000000002,19.01,176,0.35745514556765556,0.001,-7.721478418870405,2373,,
151,2578,17,27.217918769999997,19.61,180,0.47585059702396393,0.001,-8.134688594124533,2462,,
151,2666,17,28.52163376,20.21,184,0.36798464540730824,0.001,-8.253207206726074,2551,,
151,2754,18,29.83337603,20.81,188,0.47872447019273584,0.001,-8.94678631695834,2638,,
151,2843,18,31.15872579000001,21.42,192,0.6609483171593059,0.001,-9.300309788097035,2726,,
151,2931,19,32.47209214,22.02,196,0.6278641755166261,0.001,-9.284885146401145,2815,,
,3000,,,,,0.6658575520628974,0.001,-9.725614166259765,2901,22.2,38.98573513031006
149,3018,20,32.754835799999995,22.15,200,,,,,,
149,3107,20,32.78278191,22.17,204,0.6650113562742869,0.001,-10.10925206271085,2990,,
149,3196,21,32.740587569999995,22.15,208,0.6679825277432151,0.001,-10.180175383885702,3080,,
149,3283,21,32.69040726,22.12,212,0.6847704662518068,0.001,-10.584853432395242,3167,,
149,3371,22,31.82096528,21.56,216,0.6052290472117338,0.001,-10.962624376470393,3255,,
148,3460,23,32.66023798,21.47,220,0.6167770928957246,0.001,-10.765938845547764,3343,,
148,3549,23,34.277211349999995,21.64,224,0.6586224151694257,0.001,-11.384756088256836,3433,,
148,3637,24,35.89147258999999,21.8,228,0.6208179869822094,0.001,-11.473196029663086,3520,,
148,3726,25,37.51018391,21.98,232,0.3959025259722363,0.001,-11.887903993779963,3610,,
148,3813,25,38.68644216,22.09,236,0.42443397505716846,0.001,-12.038842114535244,3697,,
148,3902,26,38.71115958,22.1,240,0.3943435021422126,0.001,-12.547689958052201,3786,,
148,3990,26,38.70476504,22.09,244,0.3566132851622321,0.001,-12.776700886813076,3874,,
,4000,,,,,0.4182160740548914,0.001,-13.016431374983354,3896,22.4,39.438951921463016
146,4078,27,38.73390678,22.09,248,0.3902529620311477,0.001,-12.842171062122691,3962,,
146,4166,28,38.74252797,22.09,252,0.266690693795681,0.001,-13.236215591430664,4050,,
146,4255,29,38.761379670000004,22.1,256,0.292506990107623,0.001,-13.190146793018688,4138,,
146,4344,29,38.79541273999999,22.12,260,0.24967133660208096,0.001,-13.741393956271084,4228,,
146,4432,30,38.78627815,22.11,264,0.2540080320575963,0.001,-13.878406206766764,4316,,
146,4520,30,38.78688927,22.1,268,0.26308395103974774,0.001,-14.089350006797098,4404,,
146,4609,31,38.780247370000005,22.09,272,0.26215084303509106,0.001,-14.393484462391246,4492,,
146,4697,31,38.767310970000004,22.07,276,0.2914258201013912,0.001,-14.518824317238547,4580,,
147,4785,32,38.76884857,22.07,280,0.2910591598067965,0.001,-15.165990569374777,4668,,
147,4874,33,38.79140316,22.08,284,0.3068020845001394,0.001,-14.70182904330167,4758,,
147,4990,33,39.108608509999996,22.36,288,0.6209176365406283,0.001,-16.060307562351227,4870,,
,5000,,,,,0.845800410096462,0.001,-16.109237084021935,4896,24.7,37.475794261693956
146,5086,34,39.00719236,22.43,292,1.3271806115905445,0.001,-16.436206499735516,4968,,
146,5182,35,38.90277093,22.51,296,1.3784457047780354,0.001,-16.51127250989278,5064,,
146,5278,36,38.82766447,22.6,300,1.6847278115650017,0.001,-16.902371168136597,5160,,
146,5374,36,38.71137249,22.67,304,1.538656714061896,0.001,-17.717051188151043,5256,,
146,5498,37,38.81699612,23.02,308,1.5705886483192444,0.001,-17.80985476175944,5373,,
147,5714,38,40.61780502,24.31,312,2.091554420609628,0.001,-18.04099544402092,5589,,
148,5906,39,41.78712297,25.35,316,2.249455181260904,0.001,-18.18729575475057,5743,,
,6000,,,,,2.655680768764936,0.001,-18.62480158683581,5890,78.9,138.5816542685032
145,6204,42,45.17110943000001,27.44,320,2.6190826955594515,0.001,-18.599030996623792,6043,,
145,6488,44,48.23189904,29.39,324,2.2209673213287138,0.001,-19.347031893048968,6323,,
145,6783,46,51.50030522,31.46,328,2.8355338785746325,0.001,-19.57196483096561,6612,,
,7000,,,,,2.7514553753534954,0.001,-20.19802407960634,6845,77.7,131.35434453487397
143,7089,49,55.11723043,33.63,332,2.6438152868496743,0.001,-20.25765629818565,6921,,
143,7408,51,59.02927387,35.95,336,3.1521562449634075,0.001,-20.8428373336792,7236,,
143,7707,53,62.54631845,38.05,340,3.9213612645487244,0.001,-21.449414443969726,7540,,
,8000,,,,,3.199546283012942,0.001,-21.948629429465846,7848,77.9,132.87978551387786
142,8021,56,66.33547268000001,40.31,344,,,,,,
142,8326,58,69.93073016999999,42.48,348,3.685851063383253,0.001,-22.269379465203535,8159,,
