rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_ep_length,eval/mean_reward
26.0,4,17.67479525,491,0,104,,,,,,
17.5,8,9.146378499999999,279,0,140,0.001,0.023812571747435465,55,-0.4334065169095993,,
15.0,12,7.862146333333333,250,0,180,0.001,0.01686560586094856,94,-0.5970073461532592,,
13.75,16,7.2508871875,235,0,220,0.001,0.01580422860570252,134,-0.6522996544837951,,
13.0,20,6.884070799999999,224,1,260,0.001,0.013707318250089884,174,-0.7611273050308227,,
12.5,24,6.641378458333333,217,1,300,0.001,0.01391767654567957,214,-0.8684046626091003,,
12.142857142857142,28,6.4663061428571424,213,1,340,0.001,0.017813814524561166,254,-0.8390898704528809,,
11.875,32,6.3336635,209,1,380,0.001,0.012530425563454628,294,-0.8939194917678833,,
11.666666666666666,36,6.229750694444444,206,2,420,0.001,0.011000728746876121,334,-0.9626226902008057,,
11.5,40,6.147712725,200,2,460,0.001,0.015357938455417752,374,-0.9595353722572326,,
11.363636363636363,44,6.079630863636364,198,2,500,0.001,0.014467367879115045,414,-0.968337333202362,,
11.25,48,6.024135333333334,196,2,540,0.001,0.014883433561772108,454,-1.0574814558029175,,
11.153846153846153,52,5.976576326923077,195,2,580,0.001,0.009294708725064993,494,-1.0395963430404662,,
11.071428571428571,56,5.935351053571429,194,3,620,0.001,0.007185575517360121,534,-1.094540524482727,,
11.0,60,5.899248216666667,193,3,660,0.001,0.0135410372633487,574,-1.1200997591018678,,
10.9375,64,5.869012968750001,194,3,700,0.001,0.007331340620294213,614,-1.2191532373428344,,
10.882352941176471,68,5.843688058823531,193,3,740,0.001,0.01074160085991025,654,-1.1824698209762574,,
10.833333333333334,72,5.82057161111111,193,4,780,0.001,0.01214078082703054,694,-1.1287989139556884,,
10.789473684210526,76,5.799705986842104,192,4,820,0.001,0.012210175767540932,734,-1.2417414665222168,,
10.75,80,5.783867625,192,4,860,0.001,0.012285203533247113,774,-1.242083764076233,,
11.285714285714286,84,7.358338571428571,193,4,948,0.001,0.07882190859791907,850,-2.1768133748661387,,
,,,,,1000,0.001,0.16433606720106167,917,-2.3281349052082407,22.4,39.31524931192398
11.795454545454545,88,8.816786136363636,185,5,1038,0.001,0.18882442655211146,939,-2.4553099112077192,,
13.5,92,10.51508254347826,185,6,1242,0.001,0.2529919132412899,1142,-3.1506761596316384,,
15.552083333333334,96,14.801495875,189,7,1493,0.001,0.27994553951014367,1359,-4.183319338730404,,
18.6,100,21.55285179,183,10,1860,0.001,0.5265233955449529,1721,-5.763186905119154,,
,,,,,2000,0.001,0.5644058637384676,1901,-6.421150223962192,81.4,158.09760493040085
21.3,104,28.509120350000003,177,12,2234,0.001,0.7167030045342061,2061,-7.197366545277257,,
23.57,108,33.39492992,176,14,2497,0.001,0.9156464567733189,2348,-8.537454813718796,,
24.1,112,34.83736826,174,14,2590,0.001,1.0936440121043811,2491,-9.07099368355491,,
25.92,116,38.99035359000001,175,16,2812,0.001,1.5149364200505344,2714,-9.7541129025546,,
,,,,,3000,0.001,2.0628408287700855,2894,-10.691545101634244,66.2,135.14173852205278
28.22,120,44.30313786,175,17,3082,,,,,,
32.18,124,53.42321625,176,19,3518,0.001,2.134443756882791,3334,-12.72064968391701,,
35.7,128,61.367659620000005,175,22,3910,0.001,2.327091216467894,3766,-14.648914869015034,,
,,,,,4000,0.001,2.5130015225971447,3834,-14.777336260851692,112.7,243.43695682287216
39.65,132,70.3740676,172,25,4345,0.001,2.33647261289033,4170,-16.30661855177446,,
43.5,136,79.22681095,173,27,4770,0.001,2.670233104987578,4585,-17.894290681318804,,
