rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_ep_length,eval/mean_reward
40.0,4,45.74943424999999,2516,0,160,,,,,,
29.0,8,22.194041624999997,355,0,232,0.001,0.009967770091154508,118,-1.144271691640218,,
25.333333333333332,12,14.362090749999998,298,1,304,0.001,0.007561619471137722,190,-1.0063035024536982,,
23.5,16,10.468486687499999,267,1,376,0.001,0.010695773125108745,262,-0.9500773549079895,,
22.3,20,8.130978649999998,252,1,446,0.001,0.01732052376286851,332,-0.8620710902743869,,
21.583333333333332,24,6.556847749999999,242,2,518,0.001,0.0289007514818675,404,-0.8325805730289884,,
21.071428571428573,28,5.397402928571429,235,2,590,0.001,0.031062647027687892,476,-0.5549089014530182,,
20.6875,32,4.539045874999999,230,2,662,0.001,0.02289405436668959,548,-0.4741443627410465,,
20.38888888888889,36,3.8913913611111104,226,3,734,0.001,0.029663758947410516,620,-0.4411903702550464,,
20.15,40,3.3429079,223,3,806,0.001,0.03169225803059009,692,-0.30891898771127063,,
19.954545454545453,44,2.9089074545454543,222,3,878,0.001,0.027689436502340768,764,-0.2241655538479487,,
19.75,48,2.5757983333333336,219,4,948,0.001,0.03367892482007543,834,-0.08903819860683547,,
,,,,,1000,0.001,0.178560118783604,894,-0.6034084301103245,22.1,38.893448781967166
19.884615384615383,52,4.626069076923077,211,4,1034,0.001,0.19277262823148208,916,-0.6270293471488085,,
20.017857142857142,56,7.048210410714286,210,5,1121,0.001,0.27876320921561937,1003,-1.2852765375917607,,
20.15,60,9.169168133333333,209,5,1209,0.001,0.32111216675151477,1091,-1.911548527804288,,
20.28125,64,11.042538375,209,6,1298,0.001,0.43982567570426245,1180,-2.3971856832504272,,
20.36764705882353,68,12.647337397058823,208,6,1385,0.001,0.4782413278113712,1268,-2.7076349475167016,,
20.458333333333332,72,14.094759041666666,207,7,1473,0.001,0.36237054521387274,1355,-3.362986998124556,,
20.55263157894737,76,15.400593631578946,206,7,1562,0.001,0.44858600334687665,1444,-3.757570895281705,,
20.625,80,16.56695905,205,8,1650,0.001,0.4220508486032486,1531,-4.669549870491028,,
20.69047619047619,84,17.61905660714286,204,8,1738,0.001,0.5366026840426705,1620,-4.975019801746715,,
20.78409090909091,88,18.62797302272727,204,8,1829,0.001,0.42443674154903577,1710,-5.37840211391449,,
20.83695652173913,92,19.50227654347826,203,9,1917,0.001,0.46177479082887823,1799,-5.869687080383301,,
,,,,,2000,0.001,0.4498690976337953,1887,-6.571764815937389,22.1,38.89345968961716
20.885416666666668,96,20.305513291666667,199,10,2005,,,,,,
20.96,100,21.08811299,199,10,2096,0.001,0.4730952835601309,1977,-7.06746582551436,,
20.27,104,20.85027651,199,10,2187,0.001,0.42147159576416016,2068,-7.474814335505168,,
20.43,108,22.45405343,198,11,2275,0.001,0.4375191703438759,2157,-7.818565932187167,,
20.59,112,24.059699650000002,199,11,2363,0.001,0.5151092525232922,2245,-8.467909422787754,,
20.75,116,25.65910108,199,12,2451,0.001,0.5593810152748356,2333,-8.832659981467508,,
20.93,120,27.25705643,199,12,2539,0.001,0.5785174545916644,2420,-9.051660017533736,,
21.11,124,28.893297719999996,199,13,2629,0.001,0.6129590564447901,2510,-9.897549708684286,,
21.27,128,30.50369748,199,13,2717,0.001,0.7281810839970907,2599,-9.737964630126953,,
21.07,132,31.11038173,198,13,2769,0.001,0.9275226652622223,2663,-11.917670631408692,,
20.75,136,31.37877815,198,14,2809,0.001,0.9308933913707733,2703,-11.224972534179688,,
20.43,140,31.659382539999996,198,14,2849,0.001,0.8369044631719589,2743,-11.246487808227538,,
20.11,144,31.932608330000004,197,14,2889,0.001,1.1462052583694458,2783,-11.381796073913574,,
19.86,148,32.288791749999994,198,14,2934,0.001,1.8121047616004944,2823,-13.197761917114258,,
,,,,,3000,0.001,2.125576576218009,2902,-12.89586228132248,90.3,176.82480428814887
22.19,152,37.09971023999999,194,16,3253,0.001,3.018537267540278,3081,-12.554729808460582,,
