rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
17.67479525,104,4,304,26.0,0,,,,,,
9.146378499999999,140,8,211,17.5,0,0.023812571747435465,55,-0.4334065169095993,0.001,,
7.862146333333333,180,12,200,15.0,0,0.01686560586094856,94,-0.5970073461532592,0.001,,
7.2508871875,220,16,188,13.75,1,0.01580422860570252,134,-0.6522996544837951,0.001,,
6.884070799999999,260,20,184,13.0,1,0.013707318250089884,174,-0.7611273050308227,0.001,,
6.641378458333333,300,24,180,12.5,1,0.01391767654567957,214,-0.8684046626091003,0.001,,
6.4663061428571424,340,28,177,12.142857142857142,1,0.017813814524561166,254,-0.8390898704528809,0.001,,
6.3336635,380,32,171,11.875,2,0.012530425563454628,294,-0.8939194917678833,0.001,,
6.229750694444444,420,36,167,11.666666666666666,2,0.011000728746876121,334,-0.9626226902008057,0.001,,
6.147712725,460,40,162,11.5,2,0.015357938455417752,374,-0.9595353722572326,0.001,,
6.079630863636364,500,44,159,11.363636363636363,3,0.014467367879115045,414,-0.968337333202362,0.001,,
6.024135333333334,540,48,156,11.25,3,0.014883433561772108,454,-1.0574814558029175,0.001,,
5.976576326923077,580,52,156,11.153846153846153,3,0.009294708725064993,494,-1.0395963430404662,0.001,,
5.935351053571429,620,56,155,11.071428571428571,3,0.007185575517360121,534,-1.094540524482727,0.001,,
5.899248216666667,660,60,153,11.0,4,0.0135410372633487,574,-1.1200997591018678,0.001,,
5.869012968750001,700,64,151,10.9375,4,0.007331340620294213,614,-1.2191532373428344,0.001,,
5.843688058823531,740,68,150,10.882352941176471,4,0.01074160085991025,654,-1.1824698209762574,0.001,,
5.82057161111111,780,72,150,10.833333333333334,5,0.01214078082703054,694,-1.1287989139556884,0.001,,
5.799705986842104,820,76,148,10.789473684210526,5,0.012210175767540932,734,-1.2417414665222168,0.001,,
5.783867625,860,80,147,10.75,5,0.012285203533247113,774,-1.242083764076233,0.001,,
7.358338571428571,948,84,147,11.285714285714286,6,0.07882190859791907,850,-2.1768133748661387,0.001,,
,1000,,,,,0.16433606720106167,917,-2.3281349052082407,0.001,22.4,39.31524931192398
8.816786136363636,1038,88,138,11.795454545454545,7,0.18882442655211146,939,-2.4553099112077192,0.001,,
10.51508254347826,1242,92,137,13.5,9,0.2529919132412899,1142,-3.1506761596316384,0.001,,
14.801495875,1493,96,137,15.552083333333334,10,0.27994553951014367,1359,-4.183319338730404,0.001,,
21.55285179,1860,100,136,18.6,13,0.5265233955449529,1721,-5.763186905119154,0.001,,
,2000,,,,,0.5644058637384676,1901,-6.421150223962192,0.001,81.4,158.09760493040085
28.509120350000003,2234,104,132,21.3,16,0.7167030045342061,2061,-7.197366545277257,0.001,,
33.39492992,2497,108,132,23.57,18,0.9156464567733189,2348,-8.537454813718796,0.001,,
34.83736826,2590,112,130,24.1,19,1.0936440121043811,2491,-9.07099368355491,0.001,,
