rollout/ep_rew_mean,time/total_timesteps,time/episodes,time/fps,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
12.7314175,91,4,3914,22.75,0,,,,,,
12.164606249999999,156,8,554,19.5,0,0.02370502445846796,55,-0.6571765661239624,0.001,,
9.924842166666666,196,12,411,16.333333333333332,0,0.003294857102446258,95,-0.7472144961357117,0.001,,
12.989530875,260,16,347,16.25,0,0.009590153137899259,147,-1.115579290823503,0.001,,
18.290078049999998,350,20,283,17.5,1,0.027420265938748013,237,-1.6406957019459119,0.001,,
21.695840791666665,438,24,253,18.25,1,0.05541396776044911,325,-2.0802261395887895,0.001,,
24.20124932142857,527,28,240,18.821428571428573,2,0.07940301341427998,414,-2.539180712266402,0.001,,
26.03617571875,616,32,234,19.25,2,0.10062294487248767,502,-2.960873408751054,0.001,,
27.438599305555552,704,36,226,19.555555555555557,3,0.22576272724704308,591,-3.363376812501387,0.001,,
28.60171335,793,40,221,19.825,3,0.20996177196502686,681,-3.8066064444455234,0.001,,
30.95147995454545,915,44,212,20.795454545454547,4,0.30138038098812103,817,-4.617728074391683,0.001,,
28.863094291666666,943,48,211,19.645833333333332,4,0.2791864776185581,845,-4.682316939036052,0.001,,
27.09481213461538,971,52,210,18.673076923076923,4,0.4143498050315039,873,-4.818869908650716,0.001,,
25.581422160714283,999,56,210,17.839285714285715,4,0.3892189988068172,901,-4.95553716023763,0.001,,
,1000,,,,,0.2511947729757854,908,-4.73730742931366,0.001,7.0,5.92168231010437
24.273057299999994,1027,60,207,17.116666666666667,4,0.43953139441353933,929,-4.632722695668538,0.001,,
23.126961734375,1055,64,207,16.484375,5,0.3814196458884648,957,-4.681737581888835,0.001,,
22.112499073529413,1083,68,206,15.926470588235293,5,0.3302491477557591,985,-4.741565227508545,0.001,,
21.211744125,1111,72,206,15.430555555555555,5,0.314574841942106,1013,-4.506330331166585,0.001,,
20.407698578947368,1139,76,206,14.986842105263158,5,0.3567316617284502,1041,-4.7098612785339355,0.001,,
19.6810605125,1167,80,205,14.5875,5,0.21812083678586142,1069,-4.969423770904541,0.001,,
19.024928142857146,1195,84,204,14.226190476190476,5,0.3272438049316406,1097,-4.8747232755025225,0.001,,
18.431535625000002,1223,88,203,13.897727272727273,6,0.2409136454973902,1125,-4.881234645843506,0.001,,
17.88787308695652,1251,92,202,13.597826086956522,6,0.31028734360422405,1153,-4.911361535390218,0.001,,
17.390899479166666,1279,96,202,13.322916666666666,6,0.3017282315662929,1181,-4.978997866312663,0.001,,
16.93271242,1307,100,201,13.07,6,0.24703229750905717,1209,-4.786582787831624,0.001,,
16.660414270000004,1335,104,201,12.44,6,0.12272413979683604,1237,-4.7900675137837725,0.001,,
16.4317594,1363,108,201,12.07,6,0.3320789358445576,1265,-4.970252990722656,0.001,,
16.45242614,1391,112,201,11.95,6,0.21519097153629577,1293,-5.145341396331787,0.001,,
15.803087230000001,1419,116,201,11.59,7,0.2696698137692043,1321,-4.8778072992960615,0.001,,
14.458198410000001,1447,120,201,10.97,7,0.18577191978693008,1349,-4.830288092295329,0.001,,
13.146168519999998,1475,124,201,10.37,7,0.19534518250397273,1377,-4.830812772115071,0.001,,
11.814439899999998,1503,128,201,9.76,7,0.1888119833809989,1405,-5.201087951660156,0.001,,
10.49491504,1531,132,201,9.15,7,0.18298361556870596,1433,-4.7568613688151045,0.001,,
9.184971100000002,1559,136,201,8.55,7,0.2714087984391621,1461,-5.03274393081665,0.001,,
7.856478429999999,1587,140,201,7.94,7,0.27820809185504913,1489,-4.963396390279134,0.001,,
5.91347292,1615,144,201,7.0,8,0.3341622182301113,1517,-5.064443429311116,0.001,,
5.912149979999999,1643,148,201,7.0,8,0.2560896469014032,1545,-4.99104658762614,0.001,,
5.91116937,1671,152,201,7.0,8,0.18346301040479115,1573,-4.866761048634847,0.001,,
5.91040132,1699,156,200,7.0,8,0.43928861724478857,1601,-5.107890764872233,0.001,,
5.907578309999998,1727,160,200,7.0,8,0.36135742919785635,1629,-5.2888773282368975,0.001,,
5.90602906,1755,164,200,7.0,8,0.24977842611925943,1657,-5.093940893809001,0.001,,
5.90799347,1783,168,200,7.0,8,0.18060715815850667,1685,-5.02203909556071,0.001,,
5.90823969,1811,172,200,7.0,9,0.3013439157179424,1713,-4.983308633168538,0.001,,
5.90574257,1839,176,200,7.0,9,0.25139498178447994,1741,-5.008785565694173,0.001,,
5.906392089999998,1867,180,200,7.0,9,0.25976190183843884,1769,-5.026017347971599,0.001,,
5.90577915,1895,184,200,7.0,9,0.24291525674717768,1797,-5.178266366322835,0.001,,
5.903584889999999,1923,188,200,7.0,9,0.23089889117649623,1825,-5.1594258944193525,0.001,,
5.903922550000001,1951,192,200,7.0,9,0.2661498337984085,1853,-4.988955497741699,0.001,,
5.90353048,1979,196,200,7.0,9,0.4878170724425997,1881,-4.8422220547993975,0.001,,
,2000,,,,,0.2970050126314163,1902,-4.947146534919739,0.001,7.0,5.921775203943253
5.90205143,2007,200,199,7.0,10,0.22126422077417374,1909,-5.293526331583659,0.001,,
5.9006642099999995,2035,204,200,7.0,10,0.2066862295780863,1937,-5.049472332000732,0.001,,
5.90191109,2063,208,200,7.0,10,0.2201685490352767,1965,-5.41475772857666,0.001,,
5.898781209999999,2091,212,200,7.0,10,0.2975709927933557,1993,-4.892239411671956,0.001,,
5.89836695,2119,216,200,7.0,10,0.19232107645698956,2021,-5.062575499216716,0.001,,
