train/learning_rate,time/episodes,time/total_timesteps,time/fps,time/time_elapsed,train/actor_loss,train/n_updates,rollout/ep_rew_mean,train/critic_loss,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
0.001,456,51561,128,402,-179.98502823069126,51385,342.3701968499999,100.84791367009001,261.46,,
0.001,,52000,,,-180.0338845147027,51911,,82.71785164939033,,319.78170082569125,149.6
0.001,460,52268,128,406,-178.66957333213404,52062,355.5272531300001,84.9189672785879,267.59,,
0.001,,53000,,,-178.8065201515375,52612,,100.02097002665202,,919.9748020529747,785.4
0.001,464,53916,128,419,-179.42324267578124,53612,377.01612274,95.17164355754852,283.02,,
0.001,,54000,,,-179.4074439449587,53889,,107.89850588223564,,398.5152691602707,210.7
0.001,468,54676,128,424,-177.63291150470113,54476,390.8215940900001,103.53014805150586,289.49,,
0.001,,55000,,,-178.15967735877405,54966,,80.6869874611879,,330.20423449873925,167.8
0.001,472,55406,129,429,-175.53732528686524,55126,401.78206146,73.44453915953636,294.71,,
0.001,,56000,,,-174.90108351934524,55962,,87.95558518909273,,352.6593601644039,190.0
,476,56180,129,434,,,415.44993879000003,,301.33,,
0.001,480,56933,129,437,-173.36801013317736,56666,428.44186053000004,86.58744733412188,307.81,,
0.001,,57000,,,-172.1838431040446,56906,,78.1399701754252,,371.465280777216,181.9
0.001,484,57668,130,443,-171.76419951698998,57451,442.00047228999995,64.78964432215287,314.11,,
0.001,,58000,,,-169.74790954589844,57803,,85.49799630671372,,377.00673576593397,190.7
0.001,488,58350,130,447,-170.20250533463118,58149,454.8780436699999,71.75972977551547,319.88,,
0.001,,59000,,,-168.14111750176613,58870,,66.82406572862105,,372.1285550415516,192.1
,492,59090,130,452,,,468.1823798699999,,326.22,,
0.001,,60000,,,-168.630969099565,59656,,52.61412588899786,,456.82165266871453,279.6
,496,60078,131,458,,,483.80112676,,334.94,,
0.001,500,60960,131,463,-165.64545213130484,60724,472.2852467,59.63665242132111,319.19,,
0.001,,61000,,,-167.29727451617902,60933,,55.55343653482684,,440.47520619630814,251.0
0.001,504,61847,131,469,-166.67679739898105,61613,466.90233731999996,72.773472439568,310.67,,
0.001,,62000,,,-164.4706858121432,61820,,59.655859795169555,,421.9049279689789,232.3
0.001,508,62750,132,475,-165.58350791587486,62494,461.8251027400001,57.04289933797475,305.01,,
0.001,,63000,,,-165.36488730447334,62723,,65.34924498395628,,866.7313963770866,844.0
0.001,,64000,,,-165.03570681485263,63942,,66.52148677442716,,1084.6249313533306,994.1
0.001,,65000,,,-164.41521072387695,64942,,53.84745526313782,,452.44928790926934,260.1
,512,65229,130,501,,,468.82115579,,314.4,,
0.001,,66000,,,-164.43479399504486,65752,,64.19661850752654,,464.79663314819334,273.3
0.001,516,66356,130,508,-163.6902984389685,66018,466.84266089000005,42.9046137565957,311.57,,
0.001,,67000,,,-163.41990133048662,66921,,51.723373319588454,,524.4776883542538,333.9
0.001,520,67660,130,517,-161.77895271487353,67249,469.0662741799999,48.86557334806861,312.37,,
0.001,,68000,,,-160.68852133379724,67967,,44.21153687288661,,659.0301098167896,463.6
0.001,,69000,,,-159.6732792225919,68918,,41.77738078682168,,609.8162467539311,420.2
,524,69371,130,531,,,463.73030736,,303.59,,
0.001,,70000,,,-158.15991929372152,69824,,50.19118630091349,,583.7143233716488,392.5
0.001,528,70968,130,542,-156.57963478172218,70576,460.13218580999995,42.616729218769336,297.3,,
0.001,,71000,,,-156.36659978510258,70941,,50.506092055856364,,641.8880931735039,445.9
0.001,,72000,,,-154.95942476571324,71725,,40.47024715808501,,487.6176989853382,312.4
0.001,532,72346,130,554,-154.16850017029563,72049,439.85524676,44.35802110624902,271.08,,
0.001,,73000,,,-153.30369775191596,72686,,47.28806537503443,,498.36886976361274,305.1
0.001,536,73836,131,563,-153.10890359393622,73456,437.48882943000007,50.87672803963825,261.15,,
0.001,,74000,,,-152.9183570688421,73809,,40.82831312644245,,539.3759702920913,351.9
0.001,,75000,,,-151.36547329551294,74943,,33.94683770307406,,502.21322934627534,310.1
,540,75362,130,575,,,440.06577288000005,,260.67,,
0.001,,76000,,,-149.4772918976105,75779,,41.83843123590624,,535.1927677929401,351.4
0.001,544,76778,131,585,-149.03193488192917,76489,449.41975741999994,41.43575020052081,269.87,,
0.001,,77000,,,-148.39224452826812,76751,,29.92185812870055,,706.1522416949272,518.0
0.001,,78000,,,-147.34074669915276,77885,,49.86505200878886,,1073.6809054017067,1000.0
,548,78912,130,602,,,463.88391802000007,,285.43,,
0.001,,79000,,,-147.39311015319825,78885,,33.12379306221008,,1022.8855676174164,881.3
0.001,,80000,,,-146.63577752051415,79654,,33.18413807914843,,1047.9378715634346,1000.0
0.001,,81000,,,-146.91061743164062,80654,,32.77276787614822,,1013.3210768401623,1000.0
0.001,,82000,,,-147.59794885253908,81654,,32.159152339458466,,1007.8112002193927,1000.0
,552,82681,127,646,,,490.81033622999996,,316.97,,
0.001,,83000,,,-148.36349884033203,82654,,35.663809006214144,,1006.3127017259598,1000.0
0.001,,84000,,,-147.7624790649414,83654,,40.397446481227874,,995.828988957405,1000.0
0.001,,85000,,,-147.7490113220215,84654,,33.70156743431091,,488.31422520279887,517.1
0.001,556,85721,125,680,-146.51278059525924,85204,507.71042940000007,31.242377557754516,341.6,,
0.001,,86000,,,-146.67959762884647,85694,,22.502361676157737,,747.4912837803364,775.7
0.001,,87000,,,-146.27624101573622,86573,,39.207624773387884,,992.8112143218517,1000.0
0.001,,88000,,,-146.33063626098632,87573,,30.218944462776186,,1003.1163870573043,1000.0
0.001,,89000,,,-145.5990235595703,88573,,29.61448021745682,,1011.757686305046,1000.0
,560,89600,123,722,,,532.03947839,,373.32,,
0.001,,90000,,,-144.68742208862304,89573,,29.817435342788695,,1015.0242031872273,1000.0
0.001,,91000,,,-144.096185546875,90573,,27.613212178707123,,1018.5427257061004,1000.0
0.001,,92000,,,-143.98749659729003,91573,,26.63721137714386,,1024.9235136270522,1000.0
0.001,,93000,,,-143.48602157592774,92573,,24.976814682483674,,1030.141545379162,1000.0
,564,93600,121,769,,,550.19937627,,396.84,,
0.001,,94000,,,-143.33615197753906,93573,,28.351188899993897,,1032.5595997154712,1000.0
0.001,,95000,,,-142.72927206420897,94573,,27.810037471771242,,1038.320312511921,1000.0
0.001,,96000,,,-142.72400122070312,95573,,22.670557782173155,,1036.430044424534,1000.0
0.001,,97000,,,-142.05325442504883,96573,,24.961171622276307,,1037.9650776326657,1000.0
,568,97600,119,816,,,576.4817356399999,,429.24,,
0.001,,98000,,,-142.25466664632162,97836,,21.927148290169544,,313.50739295482634,123.6
0.001,572,98139,119,823,-142.36553213331433,97981,575.14780498,27.23826576430222,427.33,,
0.001,576,98661,119,826,-141.6900082212506,98477,572.25877372,39.652214686075844,424.81,,
0.001,,99000,,,-141.25931418282644,98774,,17.32081835610526,,508.03443652391434,354.4
0.001,,100000,,,-141.79558016346618,99001,,23.337761927281182,,895.7047296106815,807.2
0.001,580,100146,118,842,-141.73553646850587,100001,578.21020453,29.012930292129518,432.13,,
0.001,,101000,,,-142.6611792522928,100472,,30.917314745213865,,1039.549524408579,1000.0
,584,101499,119,851,,,581.8744163099999,,438.31,,
0.001,,102000,,,-142.97628195389458,101826,,25.01159523354202,,359.40064779520037,152.7
0.001,588,102117,118,859,-141.65373794346638,101973,581.2967266600001,17.129844032988256,437.67,,
0.001,,103000,,,-141.1338210025076,102090,,18.62736463546753,,1061.3811882257462,1000.0
0.001,,104000,,,-144.70517636651863,103399,,20.523249342016978,,926.8558777570724,848.4
,592,104426,118,879,,,594.91834744,,453.36,,
0.001,,105000,,,-154.8944723195043,104729,,28.125144450961265,,716.8487371861935,607.1
0.001,,106000,,,-157.69668515523276,105113,,27.809327465792496,,1030.0246573746203,1000.0
,596,106140,117,899,,,599.63753474,,460.62,,
0.001,,107000,,,-158.43703628540038,106113,,30.272233077526092,,1031.8207696199418,1000.0
0.001,,108000,,,-157.6627035217285,107113,,30.311476231336595,,1021.9246638655662,1000.0
0.001,,109000,,,-157.45584838867188,108113,,30.754839451789856,,993.4702464818954,1000.0
0.001,,110000,,,-156.56757647705078,109113,,26.580574540138244,,1008.4107104122638,1000.0
,600,110140,116,943,,,624.6650761900001,,491.8,,
0.001,,111000,,,-156.26985107421876,110113,,26.90435899782181,,1002.2655842125416,1000.0
0.001,,112000,,,-155.24869686889647,111113,,25.094160720825194,,1007.2881892621517,1000.0
0.001,,113000,,,-154.84330377197264,112113,,31.024388673305513,,1042.2538822770118,1000.0
0.001,,114000,,,-154.27371560668945,113113,,25.224623554706575,,1037.237284219265,1000.0
,604,114140,115,985,,,649.1972873999999,,522.93,,
0.001,,115000,,,-153.70756988525392,114113,,27.253133182764053,,1021.7212883710861,1000.0
0.001,,116000,,,-153.38265200805665,115113,,25.31492041039467,,1004.1131839632988,1000.0
0.001,,117000,,,-153.03179931640625,116138,,18.590291290283204,,777.4265833673999,765.6
,608,117165,115,1015,,,663.35910571,,544.15,,
0.001,,118000,,,-153.09304846191407,117138,,26.718828398227693,,1008.458967924118,1000.0
0.001,,119000,,,-151.42605575561524,118138,,28.80084074139595,,997.4452331155538,1000.0
0.001,,120000,,,-151.22530654907226,119138,,27.085967148065567,,991.9216565310956,1000.0
0.001,,121000,,,-150.92674197387694,120138,,22.998009554624556,,1010.9434433817863,1000.0
,612,121165,114,1062,,,674.2324482700001,,559.36,,
0.001,,122000,,,-149.97784573364257,121138,,22.81974397134781,,993.1761781096459,1000.0
0.001,,123000,,,-148.00180888625812,122245,,14.408088742015519,,996.5533921420574,1000.0
0.001,,124000,,,-147.965813079834,123245,,21.41508036375046,,1024.5600862622262,1000.0
,616,124272,112,1101,,,686.3553023400001,,579.16,,
0.001,,125000,,,-146.91981958007813,124245,,21.70815713405609,,1027.1031623780727,1000.0
0.001,,126000,,,-146.16904272460937,125245,,19.212001156330107,,1031.527417230606,1000.0
0.001,,127000,,,-145.18236013793944,126245,,20.226361315250397,,1036.0282043278216,1000.0
0.001,,128000,,,-144.55272512817382,127245,,18.302996383309363,,1081.9179955303669,1000.0
,620,128272,111,1154,,,707.31281231,,606.12,,
0.001,,129000,,,-144.34639709472657,128245,,18.56755002093315,,1061.6006694734097,1000.0
0.001,624,129405,110,1172,-146.11147953913763,129344,694.09736567,32.72617430312961,600.34,,
0.001,,130000,,,-145.26341981976947,129855,,27.48152922639202,,1053.2619383215904,1000.0
0.001,,131000,,,-145.1999639892578,130855,,23.733112347602844,,1033.6399801194668,1000.0
,628,131882,110,1196,,,696.46496527,,609.14,,
0.001,,132000,,,-144.52220278930665,131855,,19.230054787635805,,1048.410595649481,1000.0
0.001,,133000,,,-143.9612389526367,132855,,17.843975051403046,,1068.3121646046638,1000.0
0.001,,134000,,,-143.06162185668944,133855,,21.767500656366348,,1017.3662045240402,1000.0
0.001,,135000,,,-142.2646272277832,134855,,19.909149615049362,,1038.795641207695,1000.0
,632,135882,109,1246,,,717.0550396800002,,635.36,,
0.001,,136000,,,-141.6687917175293,135855,,19.064030074596406,,1047.5734131336212,1000.0
0.001,,137000,,,-140.64831317138672,136855,,15.83960710656643,,1046.1762031674384,1000.0
0.001,,138000,,,-139.78215533447266,137855,,17.19606767177582,,1065.731030547619,1000.0
0.001,,139000,,,-138.5669317779541,138855,,17.350264302492143,,542.3585662126541,344.8
,636,139458,107,1291,,,734.11677125,,656.22,,
0.001,,140000,,,-137.79356847869025,139431,,12.727234948426485,,908.284561008215,704.5
0.001,,141000,,,-137.16274986075396,140226,,18.31384485352714,,1065.595907497406,1000.0
0.001,,142000,,,-136.0023983154297,141226,,17.28744992220402,,1051.5900831878184,1000.0
0.001,,143000,,,-135.4650808868408,142226,,16.48125883746147,,1052.7958137452601,1000.0
,640,143253,107,1335,,,753.176481,,678.91,,
0.001,,144000,,,-135.15457781982423,143226,,15.258452303290367,,1053.4833017230035,1000.0
0.001,644,144825,107,1353,-133.7121902010334,144743,752.2275033400002,10.226378212224192,680.47,,
0.001,,145000,,,-134.7344547140187,144857,,5.798002036951356,,368.39810076951983,172.7
0.001,648,145367,107,1356,-134.0527249764705,145208,736.4503219899999,15.687698654506518,664.55,,
0.001,,146000,,,-133.4629924043696,145853,,17.814575433414873,,369.2908294200897,168.0
0.001,652,146182,107,1362,-133.5208429530047,145991,712.4212598700001,17.801388771637626,635.01,,
0.001,,147000,,,-132.9098109654018,146633,,13.944464004039764,,456.811749458313,265.4
,656,147004,107,1367,,,698.34491537,,612.83,,
0.001,660,147543,107,1370,-132.8990296125412,147385,672.41407011,13.416478233744007,579.43,,
0.001,,148000,,,-131.8846083931301,147933,,12.542688827720477,,314.87844388484956,130.0
,664,148089,107,1374,,,644.9375814099999,,544.89,,
0.001,668,148604,107,1376,-132.21621627807616,148447,615.6561081699999,12.135205513238907,510.04,,
0.001,,149000,,,-132.0632412854363,148845,,14.455060916788439,,324.46143773794176,132.0
0.001,672,149133,108,1380,-132.06783722386217,148977,615.05540202,11.77846736980207,509.94,,
0.001,676,149675,108,1382,-131.85096468990795,149516,616.41990637,14.578684684348433,510.14,,
