rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,time/fps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,eval/mean_reward,eval/mean_ep_length
40.2772425,0,30.25,4,121,2649,,,,,,
23.110426,0,18.625,8,149,430,0.001,-1.5530434250831604,52,0.04385730358106749,,
17.37584325,0,14.75,12,177,336,0.001,-1.573898822069168,80,0.034786268536533625,,
14.497509125,0,12.8125,16,205,295,0.001,-1.6102610230445862,108,0.039955127984285355,,
12.77477005,0,11.65,20,233,273,0.001,-1.6153247654438019,136,0.041898246322359355,,
11.631054083333334,1,10.875,24,261,257,0.001,-1.6616676449775696,164,0.03765315083520753,,
14.328873000000002,1,11.928571428571429,28,334,249,0.001,-1.9520744979381561,222,0.057495074265676994,,
17.475951156249998,1,13.25,32,424,232,0.001,-2.421362356706099,313,0.06362395482542722,,
19.843875777777775,2,14.222222222222221,36,512,222,0.001,-2.8681482618505303,400,0.0909022418782115,,
21.7244293,2,15.0,40,600,215,0.001,-3.192696072838523,488,0.14523845436898145,,
23.200074295454545,3,15.590909090909092,44,686,210,0.001,-3.5478347648273814,574,0.1594351902604103,,
24.490948729166664,3,16.125,48,774,203,0.001,-3.9041581370613794,662,0.19024155356667258,,
25.56797071153846,4,16.557692307692307,52,861,201,0.001,-4.258835359053179,749,0.1713887986473062,,
26.453211071428573,4,16.910714285714285,56,947,202,0.001,-4.567570556293834,835,0.20821411738341505,,
,,,,1000,,0.001,-4.887247302315452,900,0.18248396282168952,38.892970287799834,22.1
27.291962316666666,5,17.266666666666666,60,1036,190,0.001,-4.880575266751376,923,0.1678374595940113,,
28.11836015625,6,17.71875,64,1134,187,0.001,-5.833309459686279,1035,0.23145075935509898,,
26.46260314705882,6,17.602941176470587,68,1197,187,0.001,-5.815051131778294,1089,0.6120965894725587,,
24.923941375000002,6,17.61111111111111,72,1268,188,0.001,-6.193449020385742,1160,0.3929385584261682,,
23.530921197368425,7,17.63157894736842,76,1340,188,0.001,-6.640356964535183,1232,0.6730233314964507,,
22.2889717625,7,17.65,80,1412,189,0.001,-6.6921874152289496,1304,0.7407750731541051,,
