time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss,eval/mean_ep_length,eval/mean_reward
3779,4,13.752862,0,17.0,68,,,,,,
1276,8,10.710274875,0,14.125,113,0.3187069930136204,0.001,12,-0.7661793927351633,,
630,12,9.12672025,0,11.75,141,0.019505050166377,0.001,40,-0.9118012934923172,,
471,16,8.333583375,0,10.5625,169,0.006464518007955381,0.001,68,-0.9397261589765549,,
387,20,7.852440899999998,0,9.85,197,0.004680138280881303,0.001,96,-0.9749817103147507,,
338,24,7.526660958333333,0,9.375,225,0.002971446673784937,0.001,124,-1.0367719233036041,,
303,28,7.290759357142856,0,9.035714285714286,253,0.004187007334881595,0.001,152,-1.0670225918293,,
288,32,7.116817875000001,0,8.78125,281,0.0074155254821692195,0.001,180,-1.0979401469230652,,
276,36,6.981457416666668,1,8.583333333333334,309,0.005432579267237868,0.001,208,-1.1514069736003876,,
266,40,6.873481125,1,8.425,337,0.0046385888875062975,0.001,236,-1.1709461212158203,,
256,44,6.786929727272727,1,8.295454545454545,365,0.0029757279636604445,0.001,264,-1.2339251935482025,,
247,48,6.7125484166666665,1,8.1875,393,0.006765944018427815,0.001,292,-1.2618540823459625,,
242,52,6.648294269230769,1,8.096153846153847,421,0.004354555825037616,0.001,320,-1.2537195086479187,,
237,56,6.594697053571429,1,8.017857142857142,449,0.0049554768816701,0.001,348,-1.2937812805175781,,
234,60,6.547000583333333,2,7.95,477,0.009638950228691101,0.001,376,-1.3247609436511993,,
231,64,6.509595640625001,2,7.890625,505,0.006442003284714052,0.001,404,-1.3281734585762024,,
228,68,6.473709852941178,2,7.838235294117647,533,0.004879946620868785,0.001,432,-1.3733150959014893,,
227,72,6.445387152777778,2,7.791666666666667,561,0.003788604001913752,0.001,460,-1.4273527264595032,,
225,76,6.415153828947369,2,7.75,589,0.003960307521213379,0.001,488,-1.4827155470848083,,
223,80,6.3911592125,2,7.7125,617,0.007590770721435547,0.001,516,-1.485244244337082,,
221,84,6.366275333333332,2,7.678571428571429,645,0.010702445770480804,0.001,544,-1.5248184204101562,,
220,88,6.344790125,3,7.6477272727272725,673,0.0045979145049516645,0.001,572,-1.5217411816120148,,
218,92,6.325737010869567,3,7.619565217391305,701,0.004919906412916524,0.001,600,-1.5331484079360962,,
221,96,6.702832510416666,3,7.78125,747,0.011581519898027182,0.001,631,-1.7989749670028687,,
218,100,8.01996307,3,8.37,837,0.09199498983269389,0.001,720,-2.2009089643305,,
