time/fps,rollout/ep_len_mean,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
3349,16.75,4,0,16.357763249999998,67,,,,,,
242,69.625,8,2,103.491156125,557,330,-2.757981130571076,0.054535950371769795,0.001,,
,,,,,1000,859,-4.510480699085054,0.1890472269609688,0.001,155.7,216.38284674286842
149,93.0,12,7,134.98115358333334,1116,,,,,,
149,105.8125,16,11,152.0451253125,1693,1465,-6.292283982496995,0.5771043917307487,0.001,,
,,,,,2000,1880,-7.516171760029263,0.8424189404903591,0.001,132.3,190.4153292119503
137,112.3,20,16,161.0937111,2246,2021,-7.9366322585514615,0.8120677146452961,0.001,,
140,115.58333333333333,24,19,165.91427845833334,2774,2549,-9.453297230734753,1.4320641088285553,0.001,,
,,,,,3000,2811,-10.280268426925417,1.5649996771235166,0.001,126.3,183.39370128512383
134,117.64285714285714,28,24,169.07970192857144,3294,3082,-11.062479585841082,1.46988442529292,0.001,,
134,114.40625,32,27,165.36263437499997,3661,3510,-12.719422315939878,1.734922018144038,0.001,,
135,107.63888888888889,36,28,152.8311835833333,3875,3722,-13.202854065668015,1.6893427350172183,0.001,,
,,,,,4000,3881,-13.47633010149002,1.7758100150773923,0.001,74.4,117.27706170082092
134,104.475,40,31,150.19301249999998,4179,4018,-13.845097571611404,2.0042495159875777,0.001,,
135,102.75,44,33,147.72619849999998,4521,4384,-14.788738678912727,1.9738723593098777,0.001,,
136,100.25,48,35,143.89233627083334,4812,4664,-15.744641664865854,2.2106201270142116,0.001,,
,,,,,5000,4836,-16.27442943348604,2.5183845848748176,0.001,109.4,161.18016449213027
134,99.0,52,38,141.8210601346154,5148,4940,-16.50411163843595,2.2026749428075094,0.001,,
135,97.07142857142857,56,40,138.89350151785715,5436,5220,-17.332727212172287,2.7179485828268763,0.001,,
135,97.45,60,43,139.64911244999996,5847,5693,-18.42461504936218,2.674533289891702,0.001,,
,,,,,6000,5898,-18.89147712444437,2.5676438500141274,0.001,59.5,92.28786332011222
134,95.6875,64,45,137.56516540625,6124,5973,-19.138975143432617,2.793439854780833,0.001,,
137,96.92647058823529,68,48,139.36633473529412,6591,6355,-19.85697364807129,3.3632708063795547,0.001,,
,,,,,7000,6850,-21.14887481689453,2.4293770879507064,0.001,114.3,165.90709894299508
134,98.19444444444444,72,52,141.23028694444443,7070,,,,,,
134,98.1842105263158,76,55,141.08885577631577,7462,7297,-22.288376101741083,2.7254051212911254,0.001,,
137,99.5875,80,58,144.26435921249998,7967,7701,-23.852352115843033,3.38269032124016,0.001,,
,,,,,8000,7877,-24.73486987027255,3.9566225788810034,0.001,59.8,93.86860914230347
135,97.60714285714286,84,60,141.67269908333333,8199,8053,-25.520609817504884,4.352776099653805,0.001,,
135,96.26136363636364,88,62,140.02852007954544,8471,8325,-25.71103313991002,4.928392411957325,0.001,,
135,95.08695652173913,92,64,139.2269514347826,8748,8604,-26.45925066687844,4.539436460911543,0.001,,
,,,,,9000,8870,-27.533092292579443,4.187681173956072,0.001,58.2,92.7051848232746
135,93.84375,96,66,138.0393974375,9009,,,,,,
135,92.19,100,67,135.89558549,9219,9067,-28.104364643926207,4.822184879729089,0.001,,
135,93.34,104,69,138.14350012,9401,9267,-28.38319544358687,4.519204253620572,0.001,,
136,90.57,108,70,133.87988821,9614,9476,-29.09760348002116,5.249677575296825,0.001,,
136,86.81,112,71,128.63619928999998,9797,9657,-29.501562309265136,6.0464672606165815,0.001,,
