time/fps,time/episodes,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
3253,4,91,12.7314175,22.75,0,,,,,,
424,8,156,12.164606249999999,19.5,0,0.02370502445846796,0.001,55,-0.6571765661239624,,
324,12,196,9.924842166666666,16.333333333333332,0,0.003294857102446258,0.001,95,-0.7472144961357117,,
280,16,260,12.98953075,16.25,0,0.00959015610119836,0.001,147,-1.1155792691490867,,
233,20,350,18.2900778,17.5,1,0.02742025980048559,0.001,237,-1.6406957019459119,,
213,24,438,21.6958405,18.25,2,0.05541420287706635,0.001,325,-2.0802269523794,,
202,28,527,24.201248749999998,18.821428571428573,2,0.07952008629217744,0.001,414,-2.5394059744748203,,
195,32,616,24.84138859375,19.25,3,0.10001116720112888,0.001,502,-2.989277406172319,,
189,36,687,21.936077083333334,19.083333333333332,3,0.09403960075643328,0.001,579,-3.055177847544352,,
185,40,758,19.612449950000002,18.95,4,0.10694854662698858,0.001,649,-2.976122885942459,,
183,44,829,17.7164795,18.84090909090909,4,0.15758230806224877,0.001,720,-2.8718800014919705,,
182,48,901,16.1316745,18.770833333333332,4,0.11633273503846592,0.001,792,-3.0328855514526367,,
181,52,972,14.7919255,18.692307692307693,5,0.19264329514569706,0.001,864,-2.9712621635860867,,
,,1000,,,,0.23269758066710303,0.001,898,-3.0422134929233127,-1.3215551853179932,17.9
175,56,1042,13.658610160714286,18.607142857142858,5,0.1551359017543933,0.001,933,-2.7479612827301025,,
174,60,1113,12.662178649999998,18.55,6,0.14094202779233456,0.001,1004,-2.684365736113654,,
174,64,1184,11.796941453125001,18.5,6,0.18867949023842812,0.001,1075,-2.7309141159057617,,
174,68,1256,11.026423764705882,18.470588235294116,7,0.18583853853245577,0.001,1147,-2.6189734405941434,,
174,72,1327,10.340186472222221,18.430555555555557,7,0.1636864959317095,0.001,1218,-2.631565067503187,,
178,76,1445,10.552161250000001,19.013157894736842,8,0.24042445090081957,0.001,1290,-2.453613903787401,,
175,80,1614,13.835682025,20.175,9,0.2840422047745614,0.001,1478,-3.4777210099356517,,
171,84,1732,15.689773666666664,20.61904761904762,10,0.5635124333202839,0.001,1619,-4.414204273905073,,
170,88,1821,16.75304914772727,20.693181818181817,10,0.5771191763606939,0.001,1708,-4.351568828929555,,
170,92,1908,17.68634910869565,20.73913043478261,11,0.7024954387119838,0.001,1795,-4.57165937423706,,
170,96,1996,18.561112177083334,20.791666666666668,11,0.8838059519018445,0.001,1882,-4.9800778952511875,,
,,2000,,,,0.8260110824004464,0.001,1905,-5.277160861275413,38.86628174781799,22.2
168,100,2136,20.32371443,21.36,12,0.8586079790478661,0.001,1991,-5.672515914553688,,
166,104,2348,23.964135619999997,22.57,14,0.9302206798033281,0.001,2235,-7.141618425195867,,
165,108,2439,25.1051926,22.83,14,1.1394979822635651,0.001,2326,-7.688778106982891,,
166,112,2527,26.442700489999993,23.31,15,0.9990502113387698,0.001,2413,-7.863083076477051,,
167,116,2645,27.599478189999996,23.85,15,1.3607265136458657,0.001,2500,-8.14046521620317,,
168,120,2943,31.710380130000008,25.93,17,1.5686646642930366,0.001,2734,-9.191452489179724,,
,,3000,,,,1.5868444258378724,0.001,2852,-9.67832993652861,186.69280133247375,92.1
161,124,3369,39.3688342,29.31,20,1.8752129926519878,0.001,3159,-10.908336299960895,,
162,128,3786,46.78078377,32.59,23,2.538423904951881,0.001,3572,-13.091927217882732,,
,,4000,,,,2.7866567150364077,0.001,3904,-14.541051464696084,277.05830719470976,123.2
158,132,4237,55.63935409999999,36.21,26,2.7056771574950798,0.001,4027,-14.88892861663318,,
