rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
24.0,0,4,13.02575275,96,2393,,,,,,
22.625,0,8,23.53482225,181,410,0.001,0.010822769092476887,64,-1.1596158544222515,,
22.5,0,12,28.78383616666667,270,283,0.001,0.02966466292061589,152,-1.6925140727650037,,
22.4375,1,16,31.374418125,359,245,0.001,0.043546884236010636,241,-2.1209650581533257,,
22.4,1,20,32.9267101,448,224,0.001,0.07080505180941976,330,-2.5047203302383423,,
22.333333333333332,2,24,33.896621124999996,536,211,0.001,0.0893140064383095,418,-2.9087409539656206,,
22.892857142857142,3,28,35.77371007142857,641,208,0.001,0.11028395000506531,507,-3.298776084726507,,
21.5,3,32,33.235925875,688,196,0.001,0.17346387462956564,585,-3.679586092631022,,
19.88888888888889,3,36,30.202973833333335,716,194,0.001,0.1417435844029699,613,-3.802864948908488,,
18.6,3,40,27.775126475,744,193,0.001,0.18085227480956487,641,-3.5926624139149985,,
17.545454545454547,4,44,25.787993113636364,772,192,0.001,0.18237813455717905,669,-3.8672455151875815,,
16.666666666666668,4,48,24.13600925,800,191,0.001,0.19316457637718745,697,-3.7343146006266275,,
16.596153846153847,4,52,24.101669480769228,863,192,0.001,0.24444862168568832,744,-3.9518874425154467,,
,,,,1000,,0.001,0.33614422021241025,886,-4.481849041852084,72.67073942422867,41.0
19.160714285714285,6,56,29.261078357142857,1073,178,0.001,0.46915005078149397,929,-4.8166935330345515,,
20.2,6,60,31.45297168333333,1212,174,0.001,0.5945572897114537,1094,-5.562302242625844,,
20.6875,7,64,32.584431171874996,1324,173,0.001,0.7161331004039808,1207,-6.059987718408758,,
20.764705882352942,8,68,32.94806226470588,1412,173,0.001,0.8506468331271951,1294,-6.455460851842707,,
20.86111111111111,8,72,33.331546555555555,1502,173,0.001,1.0075189238009246,1384,-6.782400329907735,,
20.92105263157895,9,76,33.613929144736844,1590,173,0.001,0.8697949180548842,1472,-7.264994447881525,,
22.8875,10,80,37.3684913625,1831,176,0.001,0.8836265896047865,1660,-7.761134011404855,,
,,,,2000,,0.001,1.0262745549512464,1877,-8.697638312051463,166.0507543563843,85.4
25.535714285714285,12,84,42.75715879761905,2145,165,0.001,1.0747565880071286,1963,-8.998299288195232,,
28.170454545454547,14,88,48.01220193181819,2479,165,0.001,1.4625644016114971,2297,-10.321905649625338,,
29.934782608695652,16,92,51.46742583695653,2754,164,0.001,1.6038734568403912,2600,-11.446640381446251,,
,,,,3000,,0.001,1.2925410373852804,2839,-12.40962707079374,146.10522186756134,79.7
31.364583333333332,18,96,54.22189164583333,3011,160,,,,,,
33.33,20,100,58.029004379999996,3333,163,0.001,1.6075520040113715,3152,-13.33651111125946,,
35.79,22,104,64.01570514,3675,164,0.001,1.8303789517214133,3493,-14.5289370292841,,
,,,,4000,,0.001,1.7374017059803009,3828,-15.76197566986084,161.97741289138793,85.1
38.29,24,108,69.01449288000002,4010,160,,,,,,
40.83,26,112,74.04073155,4353,161,0.001,1.9763313317021658,4171,-16.973604290984397,,
43.36,28,116,79.00063937,4695,162,0.001,1.9582870242207548,4513,-17.98846049641454,,
,,,,5000,,0.001,2.646056440680526,4857,-19.12812166435774,165.45233343243598,85.4
45.91,31,120,84.09371764,5039,159,,,,,,
48.42,33,124,89.04517646000002,5378,160,0.001,2.6729427313520793,5199,-20.04890010470436,,
50.81,35,128,93.72936144,5722,160,0.001,2.4554116323936817,5540,-20.94074635172999,,
,,,,6000,,0.001,2.84925193911375,5883,-21.889831055042354,163.89812936782837,85.2
53.76,38,132,99.65163534,6064,158,,,,,,
56.87,40,136,105.86510417,6403,158,0.001,2.897124838690425,6226,-22.95277351556822,,
59.89,42,140,111.81328566000002,6733,158,0.001,2.8753939166262343,6553,-23.94148553384317,,
,,,,7000,,0.001,3.795587054440673,6860,-24.704232268863255,148.92536640167236,80.0
62.62,44,144,117.07317084000002,7034,157,,,,,,
65.62,46,148,123.01591918,7362,157,0.001,3.6429382041096687,7183,-25.53954243659973,,
68.32,48,152,128.3816954,7695,158,0.001,3.4667832095955693,7517,-26.14134127594704,,
,,,,8000,,0.001,3.8043756334087515,7844,-26.921265602111816,160.73377161622048,84.7
69.53,51,156,130.73887735,8026,156,,,,,,
