time/fps,time/time_elapsed,train/n_updates,train/actor_loss,rollout/ep_len_mean,train/critic_loss,time/total_timesteps,time/episodes,rollout/ep_rew_mean,train/learning_rate,eval/mean_reward,eval/mean_ep_length
,,9897,-39.59933649698893,,15.639013662443055,10000,,,0.001,196.92050053477288,106.3
185,53,,,81.96,,10009,212,151.00849301,,,
186,55,10242,-40.95674272862876,83.74,18.047976720623854,10351,216,154.72626574,0.001,,
188,57,10574,-41.678783507574174,84.36,19.178479993199726,10752,220,155.8922221,0.001,,
,,10890,-43.487083168916925,,16.861592141319722,11000,,,0.001,161.58620696663857,82.7
186,59,10974,-43.85123234703427,84.34,17.59911801133837,11086,224,155.98193578000001,0.001,,
187,61,11315,-44.216391216624864,84.49,17.900883864272725,11431,228,156.53673652,0.001,,
187,62,11671,-45.47374369303385,84.79,16.693981726964314,11788,232,157.46767696999999,0.001,,
,,11940,-45.82287495930989,,16.411334164937337,12000,,,0.001,179.25921643972396,89.6
186,65,12031,-46.40132319132487,85.34,20.047864599542304,12146,236,159.05202462999998,0.001,,
187,66,12379,-47.01602451975753,85.62,16.970809982483644,12483,240,159.90352051,0.001,,
187,68,12696,-48.465878582000734,85.88,18.15581020116806,12808,244,160.64634938,0.001,,
,,12955,-49.010043299475385,,17.78814596908037,13000,,,0.001,177.58385482430458,89.2
186,70,13047,-48.37583757483441,86.53,18.29595871593641,13162,248,162.29155867999998,0.001,,
187,72,13411,-49.28568392214568,87.59,18.04016093284853,13531,252,164.84733068000003,0.001,,
187,73,13777,-49.13966539171007,88.33,18.796604580349392,13894,256,166.69443849000004,0.001,,
,,13957,-50.0970472547743,,18.003411716885036,14000,,,0.001,181.9636242210865,91.1
187,76,14140,-50.71438026428223,88.61,18.39813076413196,14258,260,167.61266593,0.001,,
187,77,14505,-51.4714804304407,88.87,16.39811376772429,14623,264,168.44946196,0.001,,
