time/fps,time/episodes,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss,eval/mean_ep_length,eval/mean_reward
172,220,310.89248253,89,120.14,15442,11.207363503067581,0.001,15229,-57.477135444754985,,
173,224,319.31549717,92,122.3,15980,12.33304151802352,0.001,15768,-59.595275936704695,,
,,,,,16000,11.10291588306427,0.001,15904,-59.77328019983628,136.0,378.59345549941065
172,228,326.76868633,95,124.08,16526,12.13597065862948,0.001,16313,-60.724304367514215,,
,,,,,17000,14.538964043315659,0.001,16838,-61.7562644441249,136.0,378.90918469429016
171,232,333.1216454,99,125.51,17051,,,,,,
172,236,340.33719857000006,102,127.25,17600,12.210043505798998,0.001,17385,-63.095752052638844,,
,,,,,18000,12.753917862387265,0.001,17795,-63.436244403614715,136.3,376.7082672417164
171,240,347.55847594999983,105,128.84,18159,12.902500574537319,0.001,17934,-63.87908586774554,,
172,244,356.8742115900001,108,130.7,18750,16.036166973114014,0.001,18531,-65.47386016845704,,
,,,,,19000,14.595249408000225,0.001,18822,-65.82490245715992,148.6,459.15473675131796
171,248,365.27934337,112,132.38,19344,13.11017147482258,0.001,19121,-66.75934444061697,,
172,252,372.13595537999987,115,133.73,19914,12.273804802472899,0.001,19707,-67.61998492724275,,
,,,,,20000,15.832591042263818,0.001,19838,-68.24026633753921,138.9,406.84812488555906
171,256,378.15983544000005,119,135.13,20452,14.370104754052194,0.001,20243,-68.66165406736609,,
,,,,,21000,13.328070283705188,0.001,20825,-69.2619248427354,141.1,420.2775618851185
171,260,383.7350719099999,122,136.38,21033,,,,,,
171,264,387.11659695,125,137.06,21597,15.668853881252799,0.001,21386,-71.24820776830745,,
,,,,,22000,16.193685541414236,0.001,21816,-71.45279808566995,150.0,468.04970222711563
171,268,391.3832937999999,129,137.82,22201,17.025673838038195,0.001,21968,-71.85670280456543,,
171,272,394.77496148000006,132,138.4,22798,17.018537829903995,0.001,22573,-73.09380441553452,,
,,,,,23000,16.30589167571362,0.001,22884,-73.95037606321735,138.5,393.0764997661114
171,276,398.01759941999995,136,138.88,23393,16.156754940748215,0.001,23159,-74.40182569291856,,
171,280,399.79750749000004,139,139.16,23963,17.77833307954602,0.001,23756,-74.98316249562733,,
,,,,,24000,17.27608282511471,0.001,23887,-75.05504842904898,133.0,366.5687097430229
171,284,399.56525547999996,143,139.17,24498,14.844826741326123,0.001,24288,-76.022356858894,,
,,,,,25000,18.08860782448572,0.001,24814,-76.5375133861195,129.7,352.09537851214407
170,288,399.14670601,146,139.02,25019,,,,,,
171,292,398.79173771999996,149,138.93,25543,16.141209908114135,0.001,25337,-77.72828509990985,,
,,,,,26000,18.45492891382288,0.001,25859,-78.22182396276673,134.9,374.5524479985237
170,296,398.8916668199999,152,138.84,26068,,,,,,
171,300,398.51686240999993,155,138.76,26596,15.75280398448915,0.001,26389,-78.46289884127103,,
,,,,,27000,18.24726779120309,0.001,26920,-79.56816362978807,133.5,368.0510697185993
170,304,397.94129785999996,158,138.62,27130,,,,,,
170,308,397.31457467000007,161,138.39,27654,18.65255295411321,0.001,27447,-80.10076857346755,,
,,,,,28000,18.207704153276026,0.001,27843,-80.89009510387073,135.0,370.50209521651266
170,312,397.09416136,165,138.35,28191,18.94569408806571,0.001,27980,-80.51566690638445,,
170,316,396.76644667999994,168,138.29,28727,17.42070528642455,0.001,28518,-81.41631419623076,,
,,,,,29000,16.22541603865447,0.001,28922,-81.55880737304688,134.4,373.96970224380493
170,320,396.66377295,172,138.24,29266,16.258629364437528,0.001,29057,-82.13299526385407,,
170,324,398.07404213999996,174,138.53,29833,17.854913660458156,0.001,29599,-82.40816072736467,,
,,,,,30000,15.463615212685022,0.001,29913,-82.80084981673804,145.8,437.8983289957047
169,328,402.41069530999994,179,139.23,30449,17.890765281239894,0.001,30227,-83.0664178897173,,
,,,,,31000,17.02568899240709,0.001,30825,-82.88114929199219,154.6,487.772975975275
169,332,406.93982582000007,183,140.08,31059,,,,,,
169,336,410.86936575,186,140.68,31668,17.971996852775025,0.001,31439,-83.70965335243626,,
,,,,,32000,19.770400555305233,0.001,31898,-84.45739518202744,154.4,484.20662654042246
169,340,414.0373959199999,190,141.24,32283,16.54253301080668,0.001,32057,-84.34725691396979,,
169,344,415.08091881,194,141.45,32895,15.845399431630868,0.001,32671,-84.8020196156959,,
,,,,,33000,15.736333315436905,0.001,32819,-85.37080249270878,155.1,489.038930028677
168,348,416.51429486000006,198,141.75,33519,16.718957079956862,0.001,33293,-85.03677185058594,,
,,,,,34000,17.791999095446105,0.001,33911,-85.57696008062982,158.9,505.7821815311909
168,352,419.3155318100001,202,142.34,34148,,,,,,
168,356,423.0482240900001,206,143.08,34760,17.33522185157327,0.001,34529,-86.4889010379189,,
,,,,,35000,19.382504165172577,0.001,34844,-86.20657882690429,155.3,491.3484973073006
168,360,422.6376850499999,210,142.96,35329,16.68829029760053,0.001,35162,-86.78210752438277,,
168,364,426.2319439799999,213,143.71,35968,13.583910215191725,0.001,35733,-87.02132964715724,,
,,,,,36000,18.78928673342339,0.001,35892,-86.90977325439454,157.3,498.0404260575771
168,368,425.82763080999996,217,143.69,36570,19.869048995736204,0.001,36359,-87.859142633132,,
,,,,,37000,16.082428683405336,0.001,36793,-88.44751596450806,155.2,485.0654526591301
167,372,425.44085697,221,143.66,37164,15.842230196352359,0.001,36955,-88.04431934121214,,
168,376,427.2975025099999,224,143.99,37792,14.794576966838472,0.001,37557,-88.69304119012294,,
,,,,,38000,15.090051638534646,0.001,37869,-89.04803557144969,160.0,511.37436517477033
168,380,430.29079362000004,228,144.55,38418,22.23267095471606,0.001,38186,-89.47204401463638,,
,,,,,39000,14.174550564058366,0.001,38814,-89.91622279240535,157.5,499.93528108596803
167,384,435.72747822,232,145.54,39052,,,,,,
168,388,441.39300889000003,235,146.67,39686,17.11416879930804,0.001,39447,-90.59789969704367,,
,,,,,40000,13.891114705725562,0.001,39768,-89.85596871677834,158.4,504.02623841762545
167,392,446.69299447,240,147.66,40309,16.350483517241635,0.001,40079,-90.55522908662495,,
168,396,451.98907742999995,243,148.65,40933,17.284972773657906,0.001,40702,-90.62386143672002,,
,,,,,41000,18.046812605088757,0.001,40857,-90.64814619584517,155.4,487.0866057097912
167,400,455.19935723,247,149.27,41523,16.942071616649628,0.001,41312,-91.02761145199047,,
,,,,,42000,16.460970011353492,0.001,41916,-91.15557918548583,151.1,466.20648697018623
167,404,460.24116668000005,251,150.15,42145,,,,,,
168,408,464.3483817999999,254,150.97,42751,15.949170244657076,0.001,42516,-91.78069481482872,,
,,,,,43000,15.01685698624629,0.001,42832,-91.7244104312945,148.8,448.1225097179413
167,412,468.37720800999995,258,151.73,43364,21.231243662717866,0.001,43126,-91.89154034126096,,
167,416,470.88320912,262,152.16,43943,18.374127538898325,0.001,43737,-92.1655840330486,,
,,,,,44000,13.937018130375789,0.001,43867,-92.53092698317307,150.1,453.4236417412758
166,420,474.7795834700001,266,152.88,44554,16.24337559757811,0.001,44321,-92.40955410581647,,
,,,,,45000,16.461743825854676,0.001,44909,-93.10279557763076,148.7,446.846007168293
166,424,475.93856210999996,270,153.14,45147,,,,,,
166,428,474.99550397,273,153.02,45751,15.544483915159974,0.001,45519,-92.86909282056591,,
,,,,,46000,18.60753019452095,0.001,45835,-93.24124794006347,147.5,443.1501816511154
166,432,471.63503517999993,278,152.43,46302,20.40979519034877,0.001,46094,-93.34947932850231,,
166,436,470.22816282,281,152.26,46894,16.26988015523771,0.001,46686,-93.51765544240068,,
,,,,,47000,20.14991757363984,0.001,46818,-92.98381944136186,148.3,445.65545679926873
166,440,471.5409918200001,286,152.53,47536,18.80426901542336,0.001,47302,-93.2669732628799,,
,,,,,48000,16.277005398273467,0.001,47913,-93.75512857437134,146.2,437.2150166511536
165,444,470.97637615,290,152.53,48148,,,,,,
165,448,469.96201582000003,294,152.39,48758,17.58502945210199,0.001,48551,-93.98410333560992,,
,,,,,49000,19.25905958450202,0.001,48814,-93.7472126122677,147.5,443.103728723526
165,452,465.60245356,298,151.63,49311,18.588524075864836,0.001,49107,-94.13348200871394,,
165,456,462.06906587000003,301,151.07,49867,16.241104878319636,0.001,49660,-94.7657309139476,,
,,,,,50000,17.493553205300834,0.001,49791,-94.14621288592998,147.5,442.28838009238245
165,460,463.89763817000005,305,151.54,50483,18.902084991009566,0.001,50248,-94.33081795512766,,
,,,,,51000,14.48230783027761,0.001,50859,-95.70090305103975,135.1,372.3110135614872
164,464,461.17378718,309,151.03,51071,,,,,,
164,468,459.03922944,313,150.72,51642,13.87317295572651,0.001,51400,-94.62630109644648,,
,,,,,52000,18.4457510471344,0.001,51831,-95.0126481276292,140.6,403.21107014417646
164,472,455.39071427000005,317,150.09,52173,13.549132433152737,0.001,51964,-94.56130377926044,,
164,476,449.37796930999997,320,149.02,52694,18.966124215463953,0.001,52488,-94.93947672843933,,
,,,,,53000,15.12551398520922,0.001,52893,-95.13062174179974,143.8,423.2439242005348
164,480,445.65059622,324,148.42,53260,16.24798528609737,0.001,53048,-95.3725098830003,,
164,484,440.18645836,327,147.47,53799,20.089335503944984,0.001,53587,-94.63870509221003,,
,,,,,54000,16.137529167815718,0.001,53860,-94.70406020897022,138.8,390.4736283004284
164,488,434.5888888199999,331,146.5,54336,17.413827657699585,0.001,54128,-95.25131373618966,,
164,492,429.62288992000003,334,145.65,54874,16.32928626217059,0.001,54663,-94.29926846632317,,
,,,,,55000,19.105373986562093,0.001,54798,-95.50285204719094,143.3,418.86467387080194
163,496,425.90459023000005,338,145.03,55436,15.403658978641033,0.001,55224,-94.67898797988892,,
,,,,,56000,17.71146135260589,0.001,55793,-95.26981555714326,133.4,361.67589849829676
163,500,424.34211535000003,342,144.8,56003,,,,,,
163,504,418.50212403,344,143.78,56523,12.57448077386664,0.001,56312,-95.59336571326622,,
,,,,,57000,13.62094836384058,0.001,56879,-95.46753377914429,133.2,359.1245814979076
163,508,415.8687254900001,349,143.35,57086,,,,,,
163,512,411.73222975,352,142.62,57626,12.862126855289235,0.001,57418,-95.6856549206902,,
,,,,,58000,14.2955548412116,0.001,57815,-95.82284104824066,132.7,358.4637859642506
163,516,409.14224288,355,142.17,58160,15.781220704989325,0.001,57948,-95.70034220681262,,
163,520,404.77839115999996,358,141.37,58691,16.925977834756825,0.001,58488,-95.52261640023494,,
,,,,,59000,16.285526272049523,0.001,58882,-95.77777395675432,135.2,368.06509069800376
163,524,401.45408587000003,361,140.76,59223,15.049531774167662,0.001,59017,-95.9526658698694,,
163,528,399.09681075000003,364,140.37,59788,14.832583493964616,0.001,59575,-96.08183526992798,,
,,,,,60000,14.030812432800515,0.001,59850,-96.15719880919525,132.9,358.6846034348011
163,532,397.9931679399999,368,140.21,60323,14.556251450018449,0.001,60114,-95.58439578432025,,
163,536,394.98245949999995,371,139.66,60860,13.112044621916379,0.001,60648,-96.09638876073501,,
,,,,,61000,14.860996560616927,0.001,60916,-96.58999206080581,133.4,359.03106118440627
163,540,388.77665310000003,374,138.53,61389,14.333496347831113,0.001,61187,-95.99220533931957,,
164,544,384.27893811,377,137.71,61919,16.326275481317275,0.001,61710,-96.29250119337395,,
,,,,,62000,13.623258698255496,0.001,61843,-96.56508359042081,132.9,358.99224319458006
163,548,379.9655448099999,381,136.94,62452,16.255113870378526,0.001,62239,-96.10004158625527,,
164,552,379.4882512400001,383,136.81,62992,14.12395420372486,0.001,62793,-96.24844932556152,,
,,,,,63000,14.013400678712179,0.001,62916,-96.30793836039882,135.9,375.13181765079497
164,556,380.15932653999994,387,136.99,63566,13.705262554225637,0.001,63354,-96.47389403385903,,
,,,,,64000,15.497747540473938,0.001,63895,-96.30120109109318,132.8,358.588027203083
163,560,375.84892534,391,136.24,64107,,,,,,
164,564,368.9975452200001,393,134.42,64513,16.991379831719588,0.001,64306,-96.71197807788849,,
,,,,,65000,15.81761674235638,0.001,64836,-96.96035151695138,143.6,418.35242713689803
163,568,367.09452660999995,396,134.06,65048,,,,,,
164,572,366.8713047700001,399,134.0,65573,14.969501853942871,0.001,65363,-96.40545949628276,,
,,,,,66000,21.453099373508902,0.001,65887,-96.07306996513816,147.1,440.15762333869935
164,576,368.5123895600001,402,134.33,66127,,,,,,
164,580,368.20262664999996,405,134.23,66683,14.67089737061974,0.001,66445,-96.15966188734856,,
,,,,,67000,17.79284960684115,0.001,66875,-96.8276216843549,147.0,440.73197543025015
164,584,369.51703536,409,134.45,67244,16.80111711472273,0.001,67003,-96.05297315120697,,
164,588,371.48269532,412,134.83,67819,18.069779014587404,0.001,67604,-96.2151147024972,,
,,,,,68000,17.55779580026865,0.001,67871,-95.88392734527588,132.8,358.7077012717724
164,592,370.5795272700001,416,134.67,68341,18.849932339355234,0.001,68130,-95.93715690843987,,
164,596,372.0899464800001,419,134.95,68931,14.750109394704262,0.001,68693,-96.09312596396795,,
,,,,,69000,16.40879389680462,0.001,68855,-96.82540902973693,147.6,444.08158656954765
164,600,377.02032456999996,424,135.84,69587,17.782570213806338,0.001,69346,-96.39436545023104,,
,,,,,70000,17.949493489120947,0.001,69834,-96.32217140657356,132.8,359.0266101241112
163,604,382.49248406,429,136.89,70212,13.824344621188398,0.001,69972,-96.74669934701228,,
163,608,380.68825662,432,136.53,70739,17.23437520435878,0.001,70530,-96.46376493083896,,
,,,,,71000,13.333569102817112,0.001,70798,-96.29445524776683,145.0,429.0625954568386
163,612,385.46920361,436,137.39,71365,14.350519311137315,0.001,71125,-96.4410684166885,,
163,616,384.77252054,439,137.22,71882,12.916244540627547,0.001,71678,-96.11955523490906,,
,,,,,72000,13.778665363788605,0.001,71806,-96.64100921154022,146.9,438.9889094054699
163,620,389.9685279699999,443,138.18,72509,17.995727930009735,0.001,72284,-95.97247738308377,,
,,,,,73000,16.07560989146924,0.001,72854,-95.96826379949397,146.3,438.3486267209053
163,624,392.56972122,447,138.63,73086,,,,,,
163,628,393.75414178,450,138.8,73668,15.034684017414355,0.001,73431,-96.06882664607122,,
,,,,,74000,14.701281827824717,0.001,73880,-95.30535125732422,135.9,376.43170474767686
163,632,395.24440014,454,139.08,74231,16.370951388004052,0.001,74017,-96.30241573558135,,
163,636,397.6666236599999,457,139.48,74808,14.582445901117207,0.001,74570,-96.06827121310764,,
,,,,,75000,15.599898663119994,0.001,74870,-96.4476943085159,132.2,355.9087197124958
163,640,397.93393987999997,461,139.53,75342,13.352000764308086,0.001,75137,-95.63342543381911,,
163,644,400.88607527,464,140.06,75925,16.407510494840317,0.001,75727,-95.88288956794186,,
,,,,,76000,16.208406592978807,0.001,75849,-96.20550562123783,132.5,357.09710559248924
163,648,402.15279811,468,140.27,76479,14.098120588244814,0.001,76272,-96.22280902173145,,
,,,,,77000,14.56801495267384,0.001,76789,-95.84876171510611,138.3,390.31241857409475
163,652,401.02405555999997,472,140.1,77002,,,,,,
163,656,399.08646576000007,474,139.69,77535,13.81611074670388,0.001,77338,-96.16014264977497,,
,,,,,78000,14.09201556071639,0.001,77845,-96.05523145198822,146.2,435.21485753059386
163,660,398.35855938000003,478,139.48,78055,,,,,,
163,664,403.3028075699999,481,140.9,78603,15.178129517754844,0.001,78399,-95.74057245254517,,
,,,,,79000,16.358226377516985,0.001,78910,-94.43241596221924,139.9,401.9477924883366
163,668,402.45187283,484,140.65,79113,,,,,,
163,672,402.64877808000006,487,140.68,79641,14.695918765381306,0.001,79435,-95.26771758584415,,
,,,,,80000,16.481914025895737,0.001,79829,-96.42662059559541,132.6,357.4909751594067
163,676,401.03038555,491,140.36,80163,16.660885359494742,0.001,79960,-94.63253067478989,,
163,680,399.3116164500001,493,140.04,80687,15.872912663966417,0.001,80481,-94.9483711719513,,
,,,,,81000,14.075342409852622,0.001,80882,-95.68368651901466,132.8,358.2740398466587
163,684,397.88377123,497,139.79,81223,18.710860516903175,0.001,81019,-95.39461663190056,,
163,688,395.52498739000004,500,139.29,81748,13.931297594613403,0.001,81542,-95.54275767008464,,
,,,,,82000,19.50302979911583,0.001,81810,-94.80346757087155,142.1,409.68047202825545
163,692,395.7249379799999,504,139.31,82272,16.809333226037403,0.001,82063,-95.383787609282,,
163,696,392.35112232,507,138.7,82801,13.465050206148534,0.001,82588,-94.59835542137944,,
,,,,,83000,14.20035291409147,0.001,82863,-94.50492626687755,133.2,360.97526651620865
163,700,386.26328116999997,510,137.59,83346,13.82288012681184,0.001,83135,-94.54039263369432,,
163,704,381.8550509900001,513,136.77,83889,16.363663473550012,0.001,83677,-94.9334945678711,,
,,,,,84000,14.502959903548746,0.001,83813,-94.9128189086914,134.8,370.5759217381477
163,708,385.8276273700001,517,137.51,84490,15.619885735395478,0.001,84278,-95.10616451356469,,
,,,,,85000,14.317448661275154,0.001,84856,-94.35973192297894,134.8,367.8877609848976
163,712,383.10109231000007,521,137.05,85070,,,,,,
163,716,386.5909540100001,524,137.75,85657,14.311535390455331,0.001,85445,-94.44674671230031,,
,,,,,86000,13.70248245481235,0.001,85876,-94.00981128749562,135.0,369.82079922556875
163,720,385.02202869,528,137.45,86254,16.236179508431984,0.001,86013,-94.83145197700051,,
163,724,383.2650841599999,531,137.19,86805,12.972851492192623,0.001,86591,-93.8815938164206,,
,,,,,87000,14.852715191633806,0.001,86867,-93.60623920827672,135.3,369.3693554878235
163,728,380.98228674999996,535,136.81,87349,17.016159331097324,0.001,87140,-94.37630743138931,,
163,732,380.31064484999996,537,136.69,87900,15.78900350695071,0.001,87686,-93.46505361363508,,
,,,,,88000,19.59835160296896,0.001,87824,-94.36216647383095,147.6,437.1248408794403
163,736,380.20914763,541,136.73,88481,12.947037504731322,0.001,88269,-93.42820983002152,,
,,,,,89000,15.65225651298744,0.001,88816,-93.7868116074714,145.5,428.94837792515756
163,740,382.52397621999995,545,137.15,89057,,,,,,
163,744,380.27550597000004,548,136.77,89602,15.337441576658374,0.001,89391,-93.30190546372357,,
,,,,,90000,15.947769265243972,0.001,89798,-93.13262740425442,143.3,416.99176684618
163,748,381.08846814,552,136.96,90175,14.649725832090787,0.001,89961,-93.26331009099513,,
163,752,383.61142738,555,137.44,90746,13.930106744533632,0.001,90535,-93.39328319270436,,
,,,,,91000,17.877654783865985,0.001,90806,-93.0442688885857,135.0,369.28865683078766
163,756,383.96647488,559,137.54,91289,14.63661746387064,0.001,91077,-93.47517092087689,,
163,760,386.6434161,562,138.11,91866,16.258308352742876,0.001,91629,-92.49556187220982,,
,,,,,92000,15.80593338664274,0.001,91790,-93.14197182360991,135.6,371.79260184168817
163,764,387.6803088700001,566,138.35,92438,16.679296458468716,0.001,92198,-92.94393775042366,,
,,,,,93000,14.474760897838287,0.001,92796,-92.21587769881539,136.7,377.04817100167276
162,768,390.31661531,570,138.93,93006,,,,,,
163,772,391.1867833800001,573,139.11,93552,13.474186517896444,0.001,93339,-92.81132024877212,,
,,,,,94000,15.726548892610213,0.001,93911,-92.64419555664062,152.8,470.487010627985
162,776,395.15488424999995,577,139.84,94147,,,,,,
162,780,396.42500800999994,581,140.1,94697,14.230248442656702,0.001,94482,-91.94625854492188,,
,,,,,95000,15.547258124118898,0.001,94921,-91.86189530535442,138.0,380.6044783949852
162,784,398.48623217,585,140.48,95271,13.796427809673807,0.001,95059,-92.67008397199106,,
162,788,400.81061774999995,588,140.92,95840,13.354627032338836,0.001,95627,-92.23166430438006,,
,,,,,96000,15.566017853952673,0.001,95764,-92.08860590838003,143.9,423.22214072942734
162,792,404.39338926999994,592,141.58,96430,14.495264436625227,0.001,96218,-91.643547927277,,
162,796,405.28585682000005,595,141.72,96973,18.020559651010178,0.001,96760,-91.08305628159466,,
,,,,,97000,15.07478344353446,0.001,96897,-91.69744861827178,136.4,379.09932032823565
162,800,405.25892222000004,599,141.69,97515,16.622325115344104,0.001,97305,-91.48356437683105,,
,,,,,98000,13.170348816058215,0.001,97873,-92.1416602415197,136.1,373.7567435860634
162,804,406.8938147299999,603,141.96,98085,,,,,,
162,808,405.4940323,606,141.7,98660,14.567682630044443,0.001,98418,-91.51688082077924,,
,,,,,99000,17.80422409842996,0.001,98857,-90.72892951965332,137.6,381.6886855006218
162,812,404.09946041,610,141.38,99208,17.66330924137033,0.001,98996,-91.13893563406808,,
162,816,402.20067523,613,141.0,99757,14.838680701785618,0.001,99545,-91.32632901775303,,
,,,,,100000,17.9559043870456,0.001,99819,-90.95328764984573,136.7,379.08643863201144
162,820,399.3519162,617,140.5,100304,14.741842406637529,0.001,100092,-91.4630781061509,,
162,824,399.4309035099999,620,140.48,100853,14.242287698914023,0.001,100641,-91.17308683956371,,
,,,,,101000,14.24340654985748,0.001,100914,-91.35442728236102,136.9,377.22070310115816
162,828,401.41045718999993,624,140.83,101432,14.46664007621653,0.001,101188,-91.36386916216682,,
162,832,401.36186302000004,627,140.87,101987,14.382711555940885,0.001,101772,-91.5141753075828,,
,,,,,102000,14.347210434700946,0.001,101911,-90.97051670240319,138.3,384.5063455581665
162,836,399.82185663999996,631,140.61,102542,13.429754113121856,0.001,102329,-91.0693741950436,,
,,,,,103000,13.088948453173918,0.001,102877,-91.37711917652803,142.9,415.59062457084656
162,840,398.37861669,635,140.33,103090,,,,,,
162,844,398.7820520899999,638,140.4,103642,13.145639766965594,0.001,103426,-90.732383619036,,
,,,,,104000,14.973980226937462,0.001,103841,-91.0494260226979,136.2,378.28552531003953
