time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
4,6.0275625,24.0,96,0,3989,,,,,,
8,0.4837881249999998,20.125,161,0,628,0.32994080809029663,-0.021494288590144028,0.001,52,,
12,-2.96950825,16.833333333333332,202,0,440,0.07016957066953182,0.3316284239292145,0.001,94,,
16,-5.4442325625,16.75,268,0,384,0.042034827172756195,0.4128764532506466,0.001,146,,
20,-7.590344149999998,18.15,363,1,330,0.03481256946300467,0.40330235411723453,0.001,243,,
24,-8.343856583333332,22.875,549,1,316,0.04997715102913587,0.4155956904803004,0.001,386,,
28,-8.438620321428571,29.107142857142858,815,2,285,0.027529881836207054,0.2104873393634052,0.001,653,,
,,,1000,,,0.03974002140803613,0.1492644218461854,0.001,858,-10.37789289993525,68.4
32,-8.872204562499999,34.09375,1091,4,245,0.046852281371104545,0.065761881051859,0.001,927,,
36,-9.005229583333332,37.916666666666664,1365,5,242,0.05174595455004685,-0.01650859585164913,0.001,1200,,
40,8.719870225,49.625,1985,7,255,0.173216800752186,-1.3727295979475365,0.001,1678,,
,,,2000,,,0.21837543693516775,-2.073893811589196,0.001,1889,288.9626822590828,168.2
44,34.86364904545455,61.0,2684,12,221,0.20026864986866713,-4.398284686936273,0.001,2435,,
,,,3000,,,0.14529200202652387,-5.745450398017621,0.001,2763,196.63770535493967,183.3
48,57.45378385416666,74.875,3594,17,210,0.30798231463171677,-6.652389450896558,0.001,3291,,
,,,4000,,,0.2966327252504709,-7.633181847317118,0.001,3811,187.04228266959544,203.9
52,64.96856084615385,84.75,4407,21,205,0.3579222350585751,-8.148345674125894,0.001,4016,,
,,,5000,,,0.33628270999666604,-9.368437712009136,0.001,4861,260.7194848708808,251.4
56,79.34883005357142,98.23214285714286,5501,27,200,0.3158577426369466,-9.588956580162048,0.001,5060,,
,,,6000,,,0.3589170123491667,-11.816163991404846,0.001,5864,381.71029071211814,256.1
60,95.85445324999999,105.55,6333,34,183,0.3895212561428118,-12.606794652321355,0.001,6142,,
,,,7000,,,0.540203487621018,-14.38601954460144,0.001,6813,275.85374667048455,157.7
64,105.123022265625,110.5625,7076,38,184,,,,,,
68,115.29206057352941,113.57352941176471,7723,41,187,0.8996272783079547,-16.197452579225814,0.001,7490,,
,,,8000,,,0.7197748543624591,-17.606678863069906,0.001,7760,275.9215026676655,159.8
72,125.14584648611111,117.01388888888889,8425,44,187,0.668166926256696,-18.43000837582261,0.001,8092,,
76,131.77037846052633,118.05263157894737,8972,47,188,0.6115950436093086,-20.21351981163025,0.001,8727,,
,,,9000,,,0.6876996835606211,-20.525602111816408,0.001,8876,233.31819494962693,123.2
80,137.94756485,119.125,9530,50,187,0.6579226897313044,-22.088049120373196,0.001,9294,,
,,,10000,,,0.6571088119903031,-23.631280422210693,0.001,9847,253.01322720646857,138.4
84,143.13506261904763,119.78571428571429,10062,54,185,,,,,,
88,148.2078558068182,120.69318181818181,10621,56,187,0.6956943987178154,-25.157286772856843,0.001,10384,,
