rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
40.0,0,4,45.749433749999994,160,2649,,,,,,
29.0,0,8,22.194041374999998,232,423,0.001,0.009967775265168812,118,-1.1442716783947415,,
25.333333333333332,0,12,14.362090583333332,304,353,0.001,0.007561586150485609,190,-1.0063036746448941,,
23.5,1,16,10.468486562499999,376,315,0.001,0.010695572037042843,262,-0.9500791364245944,,
22.3,1,20,8.130978549999998,446,298,0.001,0.017320638263805047,332,-0.8621853457556831,,
21.583333333333332,1,24,6.556847666666666,518,287,0.001,0.02883943822234869,404,-0.8324293030632867,,
21.071428571428573,2,28,5.397402857142857,590,276,0.001,0.031226739183896117,476,-0.5539266897572411,,
20.6875,2,32,4.539042,662,271,0.001,0.022537670149985287,548,-0.47314708100424874,,
20.38888888888889,2,36,3.8913823333333335,734,267,0.001,0.029883289606206946,620,-0.44272245466709137,,
20.15,3,40,3.3429220749999997,806,262,0.001,0.031585415152625904,692,-0.30933969219525653,,
19.954545454545453,3,44,2.9092092500000004,878,260,0.001,0.028260384117149644,764,-0.22549172242482504,,
,,,,1000,,0.001,0.02364113148959244,816,-0.35501306007305783,138.69026211500167,110.9
21.791666666666668,4,48,6.354414208333334,1046,219,0.001,0.05169429696564164,928,-0.9116050845810345,,
21.807692307692307,5,52,8.857441173076923,1134,219,0.001,0.2663276476616209,1016,-1.4869267398660833,,
21.803571428571427,5,56,10.977341607142858,1221,220,0.001,0.2647606429051269,1103,-2.12519231709567,,
21.816666666666666,5,60,12.836357249999999,1309,221,0.001,0.43671811846169556,1191,-2.4478592655875464,,
21.84375,6,64,14.480528218749999,1398,221,0.001,0.46789654886180704,1280,-2.851148930462924,,
21.83823529411765,6,68,15.883092544117645,1485,222,0.001,0.44853236458518286,1368,-3.2877553593028677,,
21.84722222222222,7,72,17.150750055555555,1573,222,0.001,0.4381312277506698,1455,-3.878447099165483,,
21.86842105263158,7,76,18.295742973684213,1662,223,0.001,0.4824757061221383,1544,-4.502721179615367,,
21.875,7,80,19.317350937500002,1750,224,0.001,0.4731581892286028,1631,-4.91629729270935,,
21.88095238095238,8,84,20.23847742857143,1838,224,0.001,0.5130225121974945,1720,-5.307253187352961,,
21.920454545454547,8,88,21.128329261363636,1929,224,0.001,0.43880076252895855,1810,-5.960155129432678,,
,,,,2000,,0.001,0.5060781904242255,1899,-6.624468066475608,38.8934586763382,22.1
21.92391304347826,9,92,21.89392161956522,2017,221,,,,,,
21.927083333333332,9,96,22.59750645833334,2105,220,0.001,0.41461108963597904,1987,-6.814290696924383,,
21.96,9,100,23.28842642,2196,220,0.001,0.452009124600369,2077,-7.3746936971491035,,
21.27,10,104,23.05058994,2287,220,0.001,0.4098099314648172,2168,-7.916157046953837,,
21.43,10,108,24.65436683,2375,220,0.001,0.4100392088294029,2257,-8.517945506355979,,
21.59,11,112,26.260013000000004,2463,220,0.001,0.642576704648408,2345,-8.843062660910867,,
21.75,11,116,27.85941431,2551,219,0.001,0.7106603189654972,2433,-9.238385980779475,,
21.93,12,120,29.457369540000006,2639,218,0.001,0.5076484842733904,2520,-9.570677497170188,,
22.11,12,124,31.09361082,2729,219,0.001,0.48148296838221344,2610,-10.197845379511515,,
22.27,12,128,32.70400875,2817,219,0.001,0.47134690767242793,2699,-10.08628225326538,,
22.44,13,132,34.324363350000006,2906,220,0.001,0.5922719415115274,2789,-10.612184091047807,,
22.59,13,136,35.907033340000005,2993,220,0.001,0.4475910024983542,2875,-11.203247833251954,,
,,,,3000,,0.001,0.6282096965746446,2897,-11.097075375643643,38.89345860481262,22.1
22.76,14,140,37.53374621,3082,218,0.001,0.697815858504989,2964,-11.668877775018865,,
22.93,14,144,39.15814571,3171,218,0.001,0.7001111351925394,3053,-11.811944181268865,,
22.14,14,148,38.95539261,3260,219,0.001,0.5686034702441909,3142,-12.33334983478893,,
22.14,15,152,38.94539143,3348,219,0.001,0.5910189354961569,3230,-12.733719825744629,,
