time/time_elapsed,rollout/ep_rew_mean,time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/critic_loss,train/n_updates,train/learning_rate,eval/mean_ep_length,eval/mean_reward
267,136.37790503,147,300,116.24,39450,-35.11843943240038,8.45694919515539,38977,0.001,,
,,,,,40000,-35.229533479020404,8.0713769692142,39596,0.001,201.2,363.3234220762737
274,148.56009925,146,304,122.86,40192,-34.71633785573681,8.528444257812883,39994,0.001,,
278,160.13446747,146,308,128.87,40874,-34.203581963816,8.11659552451761,40599,0.001,,
,,,,,41000,-34.36546907926861,8.47060897661292,40897,0.001,176.9,354.1636369975284
284,164.15098916,145,312,130.77,41457,-34.41633203294542,8.37133781115214,41211,0.001,,
287,168.6947832,145,316,132.53,41978,-33.84179699273757,8.436726590607064,41801,0.001,,
,,,,,42000,-33.355128842730856,8.523201639512006,41886,0.001,73.8,130.60731370887953
290,173.84667694999996,145,320,133.45,42367,-34.44890047374525,7.766608606685292,42197,0.001,,
293,179.89544851000002,145,324,133.77,42862,-33.80199855869099,8.353633811918355,42623,0.001,,
,,,,,43000,-33.784654056324676,8.730167609803816,42906,0.001,91.0,164.60716301914073
297,191.25128424,145,328,134.26,43313,-33.574218134726245,7.744876182556152,43105,0.001,,
299,194.02037122,145,332,133.57,43725,-33.73487971045754,8.529747767394849,43531,0.001,,
,,,,,44000,-34.02863793624075,8.003706919436423,43784,0.001,140.0,332.20939616503017
304,201.80480102,145,336,134.51,44281,-34.159073190128105,7.750968107810388,44110,0.001,,
306,206.02108749999996,145,340,134.19,44691,-34.305010380952254,9.252636873203775,44437,0.001,,
,,,,,45000,-33.758100827534996,8.818157767256102,44783,0.001,102.8,193.3564218730782
310,208.80376456,145,344,134.92,45140,-34.3102171482184,7.690730428084349,44939,0.001,,
312,211.76002672,145,348,135.5,45506,-34.565185035147316,7.755793835743364,45323,0.001,,
314,217.00761408999995,145,352,136.09,45852,-34.55529951280163,8.219629695338588,45659,0.001,,
,,,,,46000,-34.34042872938999,7.819177030146807,45847,0.001,68.2,122.11881512082182
316,218.34100597,145,356,135.17,46164,-34.557002782821655,7.02040908485651,45975,0.001,,
318,223.03908031999998,146,360,135.28,46565,-34.54851081154563,8.742894252141317,46350,0.001,,
321,227.88593602999998,146,364,136.14,46987,-34.46286477713749,8.042255935505924,46773,0.001,,
,,,,,47000,-34.34105741782267,8.009751163545202,46895,0.001,99.3,185.7756915528793
324,228.18298439000003,146,368,135.23,47416,-34.55898063659668,7.59913694268406,47197,0.001,,
326,230.17686304999998,146,372,132.37,47786,-34.487716833750405,7.854196796814601,47589,0.001,,
,,,,,48000,-34.33790518313038,7.825165722105238,47879,0.001,95.3,179.52520015491172
329,228.35176659,146,376,127.73,48167,-34.85689197540283,7.459326811511107,47978,0.001,,
331,225.60100687000002,146,380,124.84,48583,-34.284450434022034,7.308570899883239,48391,0.001,,
333,217.59129387999997,146,384,120.43,48932,-34.09431232876248,7.35375628846415,48750,0.001,,
,,,,,49000,-34.721544138590495,7.097016236517164,48840,0.001,91.9,174.86122153941542
335,213.25145451,146,388,118.19,49278,-35.020626068115234,7.175034129619599,49096,0.001,,
337,212.10713010999999,147,392,117.41,49636,-34.893429193741234,7.201784360103118,49446,0.001,,
,,,,,50000,-34.63765228771773,7.131653482263738,49850,0.001,118.7,225.46620490988715
340,206.01852190000005,146,396,114.77,50061,,,,,,
343,202.12326645999997,147,400,110.23,50473,-34.74247708527938,6.997213693765493,50286,0.001,,
345,197.94133235,147,404,107.03,50895,-34.01273688673973,7.028932759142298,50710,0.001,,
,,,,,51000,-34.88997060060501,6.5838325917720795,50867,0.001,76.2,138.14697383241727
347,191.57048299999994,147,408,103.02,51176,-34.78909071897849,6.777134299278259,51002,0.001,,
349,188.87214877,147,412,100.9,51547,-34.62612308502197,7.481496232928651,51360,0.001,,
351,186.26694868,147,416,99.48,51926,-34.815008254278276,6.65204199722835,51723,0.001,,
,,,,,52000,-34.89925285748073,6.508031162055763,51834,0.001,91.9,168.10983266388067
354,184.16606844999998,147,420,98.47,52214,-34.87396430969238,7.343201383759704,52055,0.001,,
356,181.9008019,147,424,96.98,52560,-34.38337856292725,7.18189451429579,52392,0.001,,
357,178.34334467,147,428,95.28,52841,-34.21054337241433,7.265696823596954,52683,0.001,,
,,,,,53000,-35.30840367284314,6.3716782783639845,52883,0.001,72.3,144.48105163760482
359,175.73060170999997,147,432,93.92,53117,-35.20779698689778,7.129947598775228,52943,0.001,,
361,168.94540643000005,147,436,91.22,53403,-35.491573698977206,6.834129351063779,53251,0.001,,
362,166.15251165999996,148,440,89.91,53682,-35.270857783726285,6.682494757831961,53506,0.001,,
363,163.08362856,148,444,88.07,53947,-35.79076970418294,6.611505101938716,53773,0.001,,
,,,,,54000,-35.32731735415575,6.461792931324098,53855,0.001,74.3,141.85051303692163
366,161.93674083999997,148,448,87.14,54220,-35.514585925686745,6.7555816635008785,54069,0.001,,
367,160.50257014,148,452,86.24,54476,-35.1943772055886,6.052409115122326,54321,0.001,,
369,163.17732645,148,456,87.17,54881,-35.243462032741974,6.668892988997899,54640,0.001,,
,,,,,55000,-35.5320795694987,6.357798317731437,54848,0.001,123.4,252.87412322764285
372,162.44164627,148,460,86.82,55247,-35.13824423876676,6.087617993354797,55033,0.001,,
374,160.46630574,148,464,85.83,55570,-35.80221176147461,6.693813582598152,55419,0.001,,
,,,,,56000,-35.48119473890825,6.87685891046916,55832,0.001,108.7,211.86846423801035
378,166.60600386,148,468,87.81,56197,-35.86105918884277,6.530736449059476,55921,0.001,,
381,171.05846674999998,148,472,89.34,56720,-36.17095927703075,5.801582617095754,56475,0.001,,
,,,,,57000,-35.625046885290814,6.052630114000897,56828,0.001,151.0,306.31908129351507
384,170.49148667,148,476,88.93,57060,,,,,,
385,167.11880705,148,480,87.21,57304,-36.11815655231476,6.490497093352061,57146,0.001,,
387,167.88814596,148,484,86.98,57630,-35.92492912555563,6.009299094216866,57482,0.001,,
,,,,,58000,-35.89612236022949,5.734991824040647,57883,0.001,159.1,329.824985524395
391,172.88029508,148,488,88.93,58171,,,,,,
393,170.76407433,148,492,87.91,58427,-36.908498764038086,6.163446776072184,58253,0.001,,
394,169.55007377,148,496,86.87,58748,-36.02193779780947,6.445651950507329,58599,0.001,,
396,166.15564150999998,148,500,85.14,58987,-36.348749818473024,5.964323265799161,58836,0.001,,
