rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,time/total_timesteps,time/time_elapsed,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
30.25,40.2772425,2202,4,121,0,,,,,,
18.625,23.110426,504,8,149,0,0.001,0.04385730464543615,52,-1.5530434250831604,,
14.75,17.37584325,427,12,177,0,0.001,0.03478627146354744,80,-1.5738988518714905,,
12.8125,14.497509125,373,16,205,0,0.001,0.03995512904865401,108,-1.6102610230445862,,
11.65,12.774770100000001,341,20,233,0,0.001,0.04189821971314294,136,-1.6153247654438019,,
10.875,11.631054166666667,320,24,261,0,0.001,0.03765313646623066,164,-1.6616678535938263,,
11.928571428571429,14.328873035714286,302,28,334,1,0.001,0.05749511815931486,222,-1.9520744383335114,,
13.25,17.475951124999998,279,32,424,1,0.001,0.06362308586097282,313,-2.4214102138172495,,
14.222222222222221,19.843875777777775,264,36,512,1,0.001,0.09110888483172114,400,-2.8692407608032227,,
15.0,21.724429075,250,40,600,2,0.001,0.14538027752529492,488,-3.191520777615634,,
15.590909090909092,23.20007425,241,44,686,2,0.001,0.15967879156497392,574,-3.549217094074596,,
16.125,24.490948916666667,237,48,774,3,0.001,0.18987267498265614,662,-3.9029200727289375,,
16.557692307692307,25.56797105769231,234,52,861,3,0.001,0.17199543677270412,749,-4.264838738874956,,
16.910714285714285,26.45321080357143,231,56,947,4,0.001,0.20770261978561227,835,-4.570847901430997,,
,,,,1000,,0.001,0.18206521276045928,900,-4.895003795623779,38.89345405101776,22.1
17.266666666666666,27.29195956666667,219,60,1036,4,0.001,0.1668205423199612,923,-4.887169491161,,
17.578125,28.019968796875,216,64,1125,5,0.001,0.18609357690033707,1013,-5.16651539369063,,
17.83823529411765,28.64808995588235,218,68,1213,5,0.001,0.17319021848115054,1102,-5.544468489560214,,
18.083333333333332,29.235035736111108,220,72,1302,5,0.001,0.1670781888745048,1190,-5.948853362690318,,
18.289473684210527,29.741574657894734,222,76,1390,6,0.001,0.2056156640703028,1278,-6.23535797812722,,
18.475,30.1875875125,224,80,1478,6,0.001,0.13153642940927635,1366,-6.726936210285533,,
18.642857142857142,30.59384045238095,225,84,1566,6,0.001,0.19389419759745183,1454,-6.87550687789917,,
18.806818181818183,30.97094128409091,226,88,1655,7,0.001,0.21619868684898724,1543,-7.128176429054954,,
18.5,30.1992747826087,226,92,1702,7,0.001,0.2815686408430338,1604,-8.207312822341919,,
18.135416666666668,29.091159510416663,227,96,1741,7,0.001,1.0099753826856612,1640,-8.32012062072754,,
17.92,28.001020369999996,228,100,1792,7,0.001,0.6575649976730347,1684,-8.752575874328613,,
17.42,26.335592740000003,229,104,1863,8,0.001,1.2631039689568913,1755,-9.29452133178711,,
17.86,26.042284430000006,230,108,1935,8,0.001,2.2679417928059897,1827,-9.848882887098524,,
,,,,2000,,0.001,1.9754220738130457,1898,-10.183147748311361,-1.318452288210392,17.9
18.28,25.76336992,228,112,2005,8,,,,,,
18.71,25.469514450000002,229,116,2076,9,0.001,2.20005131761233,1968,-10.567347314622667,,
19.14,25.175164569999996,229,120,2147,9,0.001,2.203158578451942,2039,-10.721777200698853,,
19.58,24.877313530000002,230,124,2219,9,0.001,1.9639685418870714,2111,-11.182859526740181,,
19.56,23.6035113,231,128,2290,9,0.001,2.2659082445833416,2182,-11.179042604234484,,
19.37,21.9723676,231,132,2361,10,0.001,2.7574264903863273,2254,-11.461283047993978,,
19.2,20.36101058,232,136,2432,10,0.001,2.287640346421136,2324,-12.00187439388699,,
19.04,18.75073236,233,140,2504,10,0.001,3.2385506398148007,2396,-12.090348773532444,,
18.9,17.18128951,233,144,2576,11,0.001,2.9537871016396418,2468,-12.116806454128689,,
18.73,15.58085478,233,148,2647,11,0.001,2.7849681289757,2539,-12.21143352985382,,
18.57,13.98535345,233,152,2718,11,0.001,2.4276439679993524,2610,-12.214083671569824,,
18.43,12.413202470000002,233,156,2790,11,0.001,2.828718129131529,2682,-12.322655253940159,,
18.26,10.799111980000003,234,160,2862,12,0.001,2.4411274194717407,2754,-12.259079933166504,,
18.09,9.184135730000001,234,164,2934,12,0.001,3.038116157054901,2826,-12.15385733710395,,
,,,,3000,,0.001,3.123417447010676,2898,-12.811539649963379,-1.3185633890330792,17.9
17.93,7.581796549999999,233,168,3006,12,,,,,,
17.74,5.96107797,233,172,3076,13,0.001,2.9216696830356823,2968,-12.781413820054796,,
17.58,4.35724041,234,176,3148,13,0.001,3.788288543621699,3040,-12.7006622950236,,
17.42,2.7462430600000003,234,180,3220,13,0.001,3.5893772310680814,3112,-12.846922344631619,,
17.26,1.1367226000000001,235,184,3292,14,0.001,2.282177531056934,3184,-12.78931670718723,,
17.09,-0.4756356000000001,234,188,3364,14,0.001,3.893292291296853,3256,-12.691810290018717,,
17.33,-1.0633311100000002,233,192,3435,14,0.001,4.247085038353415,3327,-12.697255849838257,,
17.65,-1.2529337500000002,233,196,3506,15,0.001,3.8266945547527738,3398,-12.158596356709799,,
17.85,-1.3838322899999997,232,200,3577,15,0.001,2.7814866370624967,3469,-12.079834408230251,,
17.86,-1.3866783499999997,232,204,3649,15,0.001,3.7233943376276226,3541,-11.727201249864367,,
17.85,-1.38166262,231,208,3720,16,0.001,2.5821880201498666,3613,-12.158520910474989,,
17.87,-1.3975339899999997,231,212,3792,16,0.001,2.553836554288864,3684,-11.70588853624132,,
17.86,-1.38441571,230,216,3862,16,0.001,2.600479672352473,3755,-11.165349536471897,,
17.85,-1.37577371,230,220,3932,17,0.001,2.828431024270899,3824,-11.625053299797905,,
,,,,4000,,0.001,2.5665653314855366,3896,-11.655887603759766,-1.3185625821352005,17.9
17.85,-1.3734819299999999,228,224,4004,17,,,,,,
17.86,-1.38212672,228,228,4076,17,0.001,3.57728041211764,3968,-11.193168110317654,,
17.85,-1.37990746,228,232,4146,18,0.001,2.9339236550860934,4039,-10.975140465630425,,
17.86,-1.3817509899999998,228,236,4218,18,0.001,2.9411280188295574,4110,-10.278638733757866,,
17.85,-1.37197064,228,240,4289,18,0.001,2.745808752144084,4181,-10.271085500717163,,
17.84,-1.3693554300000002,228,244,4360,19,0.001,2.9964607093069286,4252,-10.946596993340385,,
17.85,-1.3809340400000003,227,248,4432,19,0.001,2.3016353646914163,4324,-9.991076787312826,,
17.86,-1.3756819600000003,227,252,4504,19,0.001,2.6339220768875546,4396,-9.791890568203396,,
17.85,-1.3668287699999997,227,256,4575,20,0.001,1.68800255159537,4467,-9.533841345045301,,
17.89,-0.9561527799999999,227,260,4651,20,0.001,4.9566340545813246,4539,-9.429909017350939,,
18.07,0.66587074,227,264,4741,20,0.001,3.1816280924755596,4629,-10.07579534704035,,
18.24,2.27850692,226,268,4830,21,0.001,4.118301540613174,4717,-10.598799532110041,,
18.41,3.84610015,226,272,4917,21,0.001,3.8215118178299496,4805,-11.199156951904296,,
,,,,5000,,0.001,2.89647794417713,4895,-10.39718211780895,38.80482933521271,22.2
18.59,5.468576039999999,225,276,5007,22,,,,,,
18.76,7.085452610000001,225,280,5096,22,0.001,4.9308167479254985,4984,-11.15591031854803,,
18.92,8.6936847,224,284,5184,23,0.001,2.7979976291006263,5072,-11.034384554082697,,
19.12,10.34626332,224,288,5276,23,0.001,2.9785983225573665,5163,-11.686352122913707,,
19.28,11.928961830000002,224,292,5363,23,0.001,3.2963781158129373,5250,-11.112837141210383,,
19.46,13.51974544,223,296,5452,24,0.001,2.7592026676450456,5340,-11.995682282881303,,
19.65,15.144370720000001,224,300,5542,24,0.001,2.205547712065957,5430,-11.539795875549316,,
19.83,16.7706686,224,304,5632,25,0.001,2.2999960712411185,5519,-12.408329616893422,,
20.01,18.36966547,224,308,5721,25,0.001,1.7756679925051602,5608,-12.864758404818447,,
20.16,19.94941649,225,312,5808,25,0.001,2.6028817119923504,5696,-11.641277660023082,,
20.33,21.522327529999995,225,316,5895,26,0.001,1.7924822744998066,5783,-13.10333199934526,,
20.52,23.13189592,225,320,5984,26,0.001,2.2569463415579363,5872,-13.913456049832432,,
,,,,6000,,0.001,1.7744567854837938,5894,-13.983837821266867,38.804872727394105,22.2
20.69,24.747729210000006,224,324,6073,27,0.001,1.853054995122163,5961,-13.585084394975143,,
20.85,26.347966329999995,224,328,6161,27,0.001,1.7679206010970203,6048,-14.930862946943803,,
21.04,27.9535404,224,332,6250,27,0.001,1.6706482713872737,6138,-15.017311356284402,,
21.22,29.580646049999995,225,336,6340,28,0.001,1.0001578601923855,6227,-15.190168207341975,,
21.38,31.164799860000002,225,340,6427,28,0.001,1.2678172439336777,6315,-15.17955259843306,,
21.54,32.74161892,225,344,6514,28,0.001,0.9052136933261697,6403,-14.698352813720703,,
21.72,34.37631359,225,348,6604,29,0.001,0.8953305333852768,6491,-15.160724813287908,,
21.88,35.97188756999999,225,352,6692,29,0.001,0.8023206361315467,6580,-15.533434000882236,,
22.07,37.582009899999996,225,356,6782,30,0.001,1.191931434653022,6669,-16.259444410150703,,
22.19,38.764327570000006,224,360,6870,30,0.001,0.6457971944695428,6758,-16.162898410450328,,
22.16,38.733081580000004,224,364,6957,30,0.001,0.5575109918912252,6845,-16.480449199676514,,
,,,,7000,,0.001,0.6392756519110306,6890,-15.79765280087789,38.80514363050461,22.2
22.16,38.725308870000006,223,368,7046,31,0.001,0.4974867091937499,6934,-15.705942327325994,,
22.17,38.757282169999996,223,372,7134,31,0.001,0.48802353035319934,7022,-16.478187821128152,,
22.14,38.7068798,222,376,7221,32,0.001,0.4557483440095728,7109,-15.852602611888539,,
22.14,38.71261286000001,222,380,7310,32,0.001,0.448710480874235,7198,-16.83754721554843,,
22.15,38.721848269999995,223,384,7399,33,0.001,0.5471205384958358,7287,-16.96726131439209,,
22.13,38.68801761,223,388,7489,33,0.001,0.44543763995170593,7377,-15.97529393976385,,
22.14,38.70634862,223,392,7577,33,0.001,0.5198873606595126,7465,-17.032522895119406,,
22.14,38.71987746,223,396,7666,34,0.001,0.48647572777488013,7554,-16.78910038687966,,
22.11,38.67456877000001,223,400,7753,34,0.001,0.5279371034015309,7641,-16.341260043057527,,
22.07,38.610392829999995,222,404,7839,35,0.001,0.6140307526696812,7727,-16.592726187272504,,
22.07,38.62007135,222,408,7928,35,0.001,0.6973621086640791,7815,-17.177294557744805,,
,,,,8000,,0.001,0.517885915257714,7903,-16.816283746199176,38.805452454090116,22.2
22.06,38.608032550000004,221,412,8014,36,,,,,,
22.07,38.614872729999995,221,416,8102,36,0.001,0.5900470188685826,7990,-17.334486961364746,,
22.07,38.6069046,221,420,8191,37,0.001,0.604599118232727,8078,-18.29768943786621,,
22.07,38.59930294,220,424,8280,37,0.001,0.5618553705837416,8168,-16.709628025690716,,
22.07,38.60604099,221,428,8368,37,0.001,0.5767377736893567,8256,-17.592533111572266,,
22.06,38.57940283,220,432,8456,38,0.001,0.6063726165077903,8344,-17.34569705616344,,
22.04,38.551447270000004,220,436,8544,38,0.001,0.6401174894788049,8432,-16.910204453901812,,
22.06,38.57088312,220,440,8633,39,0.001,0.6128453382036902,8521,-17.786466858603738,,
22.07,38.58292724,220,444,8721,39,0.001,0.6663313806056976,8610,-17.38205164129084,,
22.06,38.558699860000004,220,448,8810,40,0.001,0.7150938050313429,8698,-17.467796499078926,,
22.09,38.60547563,220,452,8901,40,0.001,0.64409488050834,8788,-17.81388266881307,,
22.06,38.563600009999995,219,456,8988,40,0.001,0.6815668181939558,8876,-17.855290499600496,,
,,,,9000,,0.001,0.5797913453795693,8898,-17.45744332400235,38.80492594242096,22.2
22.07,38.574336939999995,218,460,9077,41,0.001,0.7000248341456704,8965,-17.495464585044168,,
22.1,38.61069329,218,464,9167,41,0.001,0.6715262125838887,9055,-17.39622618935325,,
22.09,38.596525230000005,219,468,9255,42,0.001,0.6652159634090605,9143,-17.230070495605467,,
22.09,38.585496930000005,218,472,9343,42,0.001,0.5896633384020432,9231,-17.214332753961738,,
22.13,38.645599780000005,218,476,9434,43,0.001,0.6963259740309282,9322,-17.84314389662309,,
22.13,38.64542388,218,480,9523,43,0.001,0.6567276905883442,9410,-17.641558387062766,,
22.15,38.673644929999995,218,484,9614,43,0.001,0.7774213227358732,9501,-18.169918060302734,,
22.12,38.628910180000005,218,488,9701,44,0.001,0.8310847553339872,9590,-18.051366892727938,,
22.13,38.63811633,218,492,9790,44,0.001,0.7005729467972465,9679,-18.3606444272128,,
22.11,38.607768730000004,218,496,9877,45,0.001,0.6134224495162135,9766,-17.699820200602215,,
22.12,38.625047620000004,219,500,9965,45,0.001,0.7098844295198267,9853,-18.27754644914107,,
,,,,10000,,0.001,0.7801962080209152,9898,-17.89667510986328,36.915900367498395,21.1
22.7,39.744308630000006,219,504,10109,46,0.001,1.2352697745312091,9963,-17.292731012616837,,
23.22,40.678600380000006,219,508,10250,46,0.001,1.2273730944309915,10137,-17.861194951193674,,
23.32,40.85908232999999,219,512,10346,47,0.001,3.3799748371044793,10232,-17.8011736869812,,
23.39,40.98797661,219,516,10441,47,0.001,1.9648486557214155,10329,-18.474441528320312,,
23.47,41.148125730000004,219,520,10538,47,0.001,1.2889071082075436,10424,-18.85077206293742,,
23.44,41.05365822000001,219,524,10624,48,0.001,0.9758549292882284,10510,-18.901570558547974,,
