time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
3162,96,0,13.02575275,24.0,4,,,,,,
387,181,0,23.53482225,22.625,8,0.010822769092476887,0.001,-1.1596158544222515,64,,
260,270,1,28.78383616666667,22.5,12,0.02966466292061589,0.001,-1.6925140727650037,152,,
222,359,1,31.374418125,22.4375,16,0.043546884236010636,0.001,-2.1209650581533257,241,,
203,448,2,32.9267101,22.4,20,0.07080505180941976,0.001,-2.5047203302383423,330,,
193,536,2,33.896621124999996,22.333333333333332,24,0.0893140064383095,0.001,-2.9087409539656206,418,,
190,641,3,35.77371007142857,22.892857142857142,28,0.11028395000506531,0.001,-3.298776084726507,507,,
178,688,3,33.235925875,21.5,32,0.17346387462956564,0.001,-3.679586092631022,585,,
177,716,4,30.202973833333335,19.88888888888889,36,0.1417435844029699,0.001,-3.802864948908488,613,,
175,744,4,27.775126475,18.6,40,0.18085227480956487,0.001,-3.5926624139149985,641,,
175,772,4,25.787993113636364,17.545454545454547,44,0.18237813455717905,0.001,-3.8672455151875815,669,,
174,800,4,24.13600925,16.666666666666668,48,0.19316457637718745,0.001,-3.7343146006266275,697,,
175,863,4,24.101669480769228,16.596153846153847,52,0.24444862168568832,0.001,-3.9518874425154467,744,,
,1000,,,,,0.33614422021241025,0.001,-4.481849041852084,886,41.0,72.67073942422867
162,1073,6,29.261078357142857,19.160714285714285,56,0.46915005078149397,0.001,-4.8166935330345515,929,,
158,1212,7,31.45297168333333,20.2,60,0.5945572897114537,0.001,-5.562302242625844,1094,,
159,1324,8,32.584431171874996,20.6875,64,0.7161331004039808,0.001,-6.059987718408758,1207,,
158,1412,8,32.94806226470588,20.764705882352942,68,0.8506468331271951,0.001,-6.455460851842707,1294,,
158,1502,9,33.331546555555555,20.86111111111111,72,1.0075189238009246,0.001,-6.782400329907735,1384,,
158,1590,10,33.613929144736844,20.92105263157895,76,0.8697949180548842,0.001,-7.264994447881525,1472,,
161,1831,11,37.3684913625,22.8875,80,0.8836265896047865,0.001,-7.761134011404855,1660,,
,2000,,,,,1.0262745549512464,0.001,-8.697638312051463,1877,85.4,166.0507543563843
150,2145,14,42.75715879761905,25.535714285714285,84,1.0747565880071286,0.001,-8.998299288195232,1963,,
151,2479,16,48.01220193181819,28.170454545454547,88,1.4625644016114971,0.001,-10.321905649625338,2297,,
150,2754,18,51.46742583695653,29.934782608695652,92,1.6038734568403912,0.001,-11.446640381446251,2600,,
,3000,,,,,1.2925410373852804,0.001,-12.40962707079374,2839,79.7,146.10522186756134
145,3011,20,54.22189164583333,31.364583333333332,96,,,,,,
146,3333,22,58.029004379999996,33.33,100,1.6075520040113715,0.001,-13.33651111125946,3152,,
147,3675,24,64.01570514,35.79,104,1.8303789517214133,0.001,-14.5289370292841,3493,,
,4000,,,,,1.7374017059803009,0.001,-15.76197566986084,3828,85.1,161.97741289138793
143,4010,28,69.01449288000002,38.29,108,,,,,,
144,4353,30,74.04073155,40.83,112,1.9763313317021658,0.001,-16.973604290984397,4171,,
144,4695,32,79.00063937,43.36,116,1.9582870242207548,0.001,-17.98846049641454,4513,,
,5000,,,,,2.646056440680526,0.001,-19.12812166435774,4857,85.4,165.45233343243598
141,5039,35,84.09371764,45.91,120,,,,,,
141,5378,37,89.04517646000002,48.42,124,2.6729427313520793,0.001,-20.04890010470436,5199,,
142,5722,40,93.72936144,50.81,128,2.4554116323936817,0.001,-20.94074635172999,5540,,
,6000,,,,,2.84925193911375,0.001,-21.889831055042354,5883,85.2,163.89812936782837
140,6064,43,99.65163534,53.76,132,,,,,,
140,6403,45,105.86510417,56.87,136,2.897124838690425,0.001,-22.95277351556822,6226,,
141,6733,47,111.81328566000002,59.89,140,2.8753939166262343,0.001,-23.94148553384317,6553,,
,7000,,,,,3.795587054440673,0.001,-24.704232268863255,6860,80.0,148.92536640167236
139,7034,50,117.07317084000002,62.62,144,,,,,,
139,7362,52,123.01591918,65.62,148,3.6429382041096687,0.001,-25.53954243659973,7183,,
139,7695,55,128.3816954,68.32,152,3.4667832095955693,0.001,-26.14134127594704,7517,,
,8000,,,,,3.8043756334087515,0.001,-26.921265602111816,7844,84.7,160.73377161622048
137,8026,58,130.73887735,69.53,156,,,,,,
138,8359,60,134.52679667,71.47,160,4.054254468790321,0.001,-27.783878415129905,8179,,
138,8687,62,138.70709496999999,73.63,164,3.3833593644201754,0.001,-28.557079982757568,8505,,
,9000,,,,,3.927854432616123,0.001,-29.37902268698049,8846,82.4,154.96781783103944
136,9023,66,143.49657631000002,76.11,168,,,,,,
136,9354,68,148.16318561999998,78.52,172,4.218589439988136,0.001,-29.722609065827868,9176,,
136,9694,70,153.05755528999998,81.04,176,3.6130691284225103,0.001,-30.568377903529576,9512,,
,10000,,,,,4.268148420870989,0.001,-31.145071916801985,9853,83.8,159.45277407169343
134,10033,74,155.15873548,82.02,180,,,,,,
134,10375,76,155.68236919999998,82.3,184,3.375668217276418,0.001,-32.123551080393234,10193,,
134,10713,79,155.76879502999998,82.34,188,3.437905795433942,0.001,-32.50360054193541,10532,,
,11000,,,,,4.270513007439763,0.001,-32.756782252614094,10867,84.4,161.0197165966034
133,11049,83,157.06077127,82.95,192,,,,,,
133,11388,85,158.82705826999995,83.77,196,4.633499882050923,0.001,-34.0057430267334,11208,,
133,11723,87,159.22367642,83.9,200,4.183052492577855,0.001,-34.52211249746927,11541,,
,12000,,,,,3.8919019588204318,0.001,-34.96284192107444,11884,84.5,161.8751722574234
132,12066,91,159.27175395999998,83.91,204,,,,,,
132,12402,93,159.31700545,83.92,208,5.9231008348694765,0.001,-35.23779569353376,12222,,
132,12741,96,159.1984938,83.88,212,4.236133548544674,0.001,-35.58255302615282,12560,,
,13000,,,,,4.0416215907695685,0.001,-36.42962788426599,12902,84.5,162.16019839644431
131,13080,99,159.16499845,83.85,216,,,,,,
131,13419,101,158.99244647000003,83.8,220,4.412915560461226,0.001,-37.227951503935316,13238,,
132,13759,104,158.99299686,83.81,224,4.4682425066482185,0.001,-37.428561454595524,13580,,
,14000,,,,,4.6443150208657045,0.001,-37.930967470494714,13831,84.3,161.71653017401695
131,14099,107,158.91050232999999,83.77,228,4.966881808193251,0.001,-38.05474732138894,13918,,
131,14432,109,158.73663376,83.68,232,4.15849384807405,0.001,-38.58856092180525,14255,,
131,14775,112,158.87731646000003,83.72,236,4.352503868085997,0.001,-38.89155342465355,14593,,
,15000,,,,,4.377582833346199,0.001,-38.97187523614792,14851,84.8,163.4848740696907
130,15113,115,159.18230825000003,83.8,240,4.442157412568728,0.001,-38.5179808480399,14935,,
130,15456,118,160.30140956,84.22,244,8.001176268555398,0.001,-39.37019241687863,15275,,
131,15798,120,160.67949488,84.36,248,5.67557017747746,0.001,-39.97234442067701,15616,,
,16000,,,,,5.643612203853471,0.001,-40.08250454493931,15870,85.2,164.44406670928
130,16137,123,160.85026299999998,84.42,252,3.9669860075501835,0.001,-39.90033976236979,15955,,
130,16478,126,161.20585583,84.52,256,3.9780482139932105,0.001,-40.68738741990997,16297,,
130,16822,128,161.55486551,84.63,260,5.025863332803859,0.001,-41.09967937025913,16641,,
,17000,,,,,5.93479908205742,0.001,-41.33582368007926,16897,85.3,165.87159611582757
129,17165,132,162.09864894999998,84.78,264,4.010265644206557,0.001,-40.75437767561092,16983,,
129,17504,134,162.24374992000003,84.81,268,4.092622687419255,0.001,-41.91209929330008,17323,,
130,17848,137,162.60017092,84.94,272,4.777342544045559,0.001,-41.95252351982649,17666,,
,18000,,,,,5.7418559915879195,0.001,-41.98920758565267,17837,85.4,165.26920164227485
129,18186,140,162.70389063999997,84.92,276,3.7968085760093597,0.001,-41.62287995873428,18005,,
129,18528,142,162.87455544,84.95,280,4.410446939773338,0.001,-42.406426274499225,18348,,
130,18862,145,162.69029187,84.87,284,4.699246552083399,0.001,-42.63100483542994,18681,,
,19000,,,,,5.035912681193579,0.001,-42.47885286240351,18850,85.2,165.84221902489662
129,19205,148,162.95754180000003,84.92,288,3.252906706444053,0.001,-43.20667941071267,19023,,
129,19547,150,163.23825636,84.98,292,5.060995507240295,0.001,-43.187766585239146,19366,,
129,19886,153,163.35791929,84.98,296,4.942696800065595,0.001,-43.148798476817994,19707,,
,20000,,,,,5.365933818476541,0.001,-42.78388468424479,19874,75.6,137.23151829242707
129,20216,156,163.22650946,84.93,300,6.523403694232305,0.001,-43.1249205271403,20035,,
129,20530,158,162.48939052,84.64,304,3.9801240249260053,0.001,-43.91466047957137,20350,,
129,20829,160,161.68349031,84.27,308,4.697513996338357,0.001,-43.407583713531494,20641,,
,21000,,,,,4.396640472412109,0.001,-43.370668462804844,20853,74.9,135.6124569952488
129,21104,163,160.16232733,83.63,312,5.36777809937795,0.001,-43.55725820440995,20928,,
129,21322,164,157.46424364,82.42,316,3.856884177850217,0.001,-43.1333056640625,21146,,
129,21515,166,154.24844231999998,80.96,320,6.217243087788423,0.001,-44.09897104899088,21370,,
129,21858,168,154.06634983,80.99,324,7.581872218533566,0.001,-44.45254536678917,21676,,
,22000,,,,,5.635681235790253,0.001,-43.73215698242188,21861,55.0,95.1594761788845
129,22059,170,151.01794962,79.6,328,8.022976816784253,0.001,-43.594752175467356,21916,,
129,22234,172,147.62306866,78.02,332,9.135931946337223,0.001,-44.90695730845133,22092,,
