time/fps,rollout/ep_len_mean,time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
2200,28.75,4,0,24.608995,115,,,,,,
416,17.875,8,0,15.58160775,143,38,-0.9837220013141632,0.03513488333140101,0.001,,
317,14.25,12,0,12.455225749999999,171,66,-1.0608247220516205,0.010302717797458172,0.001,,
265,12.4375,16,0,10.897861,199,94,-1.1801114082336426,0.015926786831447055,0.001,,
239,11.35,20,0,9.956680200000001,227,122,-1.233041226863861,0.014210906944104604,0.001,,
222,10.625,24,1,9.323405583333335,255,150,-1.3153071105480194,0.018307378515601158,0.001,,
212,10.107142857142858,28,1,8.877641250000002,283,178,-1.3448630571365356,0.015815431784306253,0.001,,
175,15.375,32,2,16.13786015625,492,384,-1.8476837886558783,0.015938274269069425,0.001,,
171,14.777777777777779,36,3,15.34632586111111,532,424,-2.147413730621338,0.0068538262974470856,0.001,,
168,14.325,40,3,14.741299399999999,573,464,-2.2024613857269286,0.013265336770564318,0.001,,
177,20.954545454545453,44,5,24.024842545454547,922,666,-2.54899096205121,0.03111662141357859,0.001,,
,,,,,1000,824,-3.0093122252935096,0.07163495032847682,0.001,159.1,218.45735841989517
141,32.604166666666664,48,11,40.35346735416667,1565,1310,-4.427851052660691,0.18764624309522526,0.001,,
,,,,,2000,1778,-5.804645673728284,0.31531951524731183,0.001,159.1,218.45006687641143
127,42.11538461538461,52,17,53.818751326923085,2190,1927,-6.204692363739014,0.35622607005272533,0.001,,
132,50.732142857142854,56,21,65.88376733928571,2841,2588,-8.071763416995173,0.3459866316022117,0.001,,
,,,,,3000,2743,-8.561435470333347,0.31842616289373366,0.001,159.1,218.45006687641143
127,58.38333333333333,60,27,76.54033929999999,3503,3242,-9.911832355317616,0.3152088840891208,0.001,,
,,,,,4000,3739,-11.153628085033002,0.3432611678531784,0.001,159.1,218.45006687641143
124,65.3125,64,33,86.10888568749999,4180,3913,-11.688537794968177,0.3724099264919073,0.001,,
127,71.33823529411765,68,37,94.45339829411765,4851,4580,-13.377993890608865,0.46506405296339387,0.001,,
,,,,,5000,4753,-13.686962970467501,0.4473402079819255,0.001,159.1,218.45006687641143
123,76.06944444444444,72,44,101.19676933333332,5477,5229,-14.827825837019013,0.5295449703028707,0.001,,
,,,,,6000,5860,-16.313280081748964,0.5772649838864429,0.001,159.1,218.45006687641143
121,80.52631578947368,76,50,107.45918611842104,6120,,,,,,
122,84.675,80,55,113.2561577875,6774,6519,-17.685425662994383,0.64955482479208,0.001,,
,,,,,7000,6825,-18.41429040238664,0.6785680933686711,0.001,159.1,218.45006687641143
120,87.83333333333333,84,61,117.84777564285717,7378,7124,-18.828074078810843,0.6299598114074845,0.001,,
,,,,,8000,7764,-20.075711054679676,0.6894910003130252,0.001,159.1,218.45006687641143
119,91.22727272727273,88,67,122.60419396590909,8028,,,,,,
121,94.55434782608695,92,71,127.20427652173912,8699,8437,-21.094519701871004,0.7386278279420346,0.001,,
,,,,,9000,8770,-21.634296731387867,0.777636254327537,0.001,159.1,218.45006687641143
119,97.61458333333333,96,78,131.41316091666667,9371,9113,-22.21988028149272,0.800043583609337,0.001,,
,,,,,10000,9749,-23.072904339084378,0.7901099486784502,0.001,159.1,218.45006687641143
118,100.08,100,84,134.90644414,10008,,,,,,
120,105.68,104,88,143.08051197,10683,10439,-23.942976774171342,0.877200297193031,0.001,,
,,,,,11000,10746,-24.308832003746502,0.850297548756096,0.001,159.1,218.45006687641143
