rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
22.75,0,4,12.7314175,91,3856,,,,,,
19.5,0,8,12.164606375,156,609,0.001,0.02370502632111311,55,-0.6571765661239624,,
16.333333333333332,0,12,9.92484225,196,460,0.001,0.003294856776483357,95,-0.7472144961357117,,
16.25,0,16,12.989530875,260,382,0.001,0.009590153984556144,147,-1.1155792691490867,,
17.5,1,20,18.290078049999998,350,306,0.001,0.027420258869163015,237,-1.6406957019459119,,
18.25,1,24,21.695840791666665,438,290,0.001,0.05541416862979531,325,-2.0802268331701104,,
18.821428571428573,1,28,24.201249107142853,527,272,0.001,0.07952015296640721,414,-2.539406191218983,,
19.25,2,32,24.8382750625,616,264,0.001,0.10040310973470862,502,-2.989047895778309,,
19.083333333333332,2,36,21.933309,687,257,0.001,0.09505047524968784,579,-3.0561459594302707,,
18.95,2,40,19.609959175,758,254,0.001,0.10467660953016843,649,-2.9735949635505676,,
18.84090909090909,3,44,17.714215636363637,829,251,0.001,0.15904100839462545,720,-2.8702246612972684,,
18.770833333333332,3,48,16.12959975,901,247,0.001,0.12536029455562434,792,-3.02825305196974,,
18.692307692307693,3,52,14.78979953846154,972,246,0.001,0.19179007493787342,864,-2.9825807677374945,,
,,,,1000,,0.001,0.2340539706980481,898,-3.051918294694689,-1.3231516383588313,17.9
18.607142857142858,4,56,13.656471732142858,1042,238,0.001,0.15617873892188072,933,-2.7593817114830017,,
18.55,4,60,12.659931166666668,1113,238,0.001,0.14325661067333487,1004,-2.6988529364267984,,
18.5,4,64,11.795006734375,1184,238,0.001,0.19114162565933335,1075,-2.749618318345812,,
18.470588235294116,5,68,11.024747926470587,1256,238,0.001,0.1887873336672783,1147,-2.641748216417101,,
18.430555555555557,5,72,10.338738791666666,1327,238,0.001,0.17070940399871154,1218,-2.662479294670953,,
18.407894736842106,5,76,9.715958131578946,1399,237,0.001,0.23689004530509314,1290,-2.3830891450246177,,
18.3875,6,80,9.1593811125,1471,237,0.001,0.2544209377633201,1362,-2.497897254096137,,
18.36904761904762,6,84,8.655381261904763,1543,237,0.001,0.18061371251112884,1434,-2.3110089699427285,,
18.34090909090909,6,88,8.201198863636364,1614,237,0.001,0.1976464767422941,1505,-2.119800262980991,,
18.369565217391305,7,92,8.21443772826087,1690,237,0.001,0.21367637109425333,1577,-2.318564044104682,,
19.364583333333332,7,96,11.157870072916667,1859,237,0.001,0.3664575167324232,1741,-3.268762133338235,,
19.48,8,100,12.287951200000002,1948,236,0.001,0.5884931550725646,1835,-3.4682388088919898,,
,,,,2000,,0.001,0.5711114399812438,1901,-3.989696437662298,39.096238303184506,22.2
19.53,8,104,13.448035270000002,2044,232,0.001,0.45364461974664166,1923,-3.873690735210072,,
21.24,9,108,17.2180881,2280,232,0.001,0.5030399235096615,2121,-4.595170681817191,,
24.93,11,112,25.686903190000002,2689,236,0.001,0.5872986566944,2475,-5.935688840931859,,
,,,,3000,,0.001,0.6871500504042568,2829,-7.601562746639909,272.19084471464157,122.9
28.48,14,116,33.92787711,3108,218,0.001,0.930473320001413,2950,-7.881703134442939,,
32.22,16,120,42.282318329999995,3572,222,0.001,1.202953394385986,3360,-9.854021146893501,,
35.02,17,124,48.36871978,3940,222,0.001,1.6339968691269557,3751,-11.767668081789601,,
,,,,4000,,0.001,1.423374485604617,3849,-12.202071520746971,205.68482086658477,98.1
38.07,19,128,55.190961699999995,4334,216,0.001,2.1827548735671574,4141,-13.671094046698677,,
41.05,21,132,62.23539043999999,4721,217,0.001,3.1711706908381716,4536,-15.321714109304,,
,,,,5000,,0.001,2.6639647985448933,4825,-16.39870536804199,225.30649774074556,103.0
44.37,24,136,71.09565454,5124,211,0.001,3.3379633381253195,4930,-16.855399077793336,,
47.79,25,140,80.30262518,5537,213,0.001,3.632391365101704,5342,-18.788721561431885,,
51.38,27,144,89.88290684999998,5967,214,0.001,4.497042172025926,5754,-20.577514685836494,,
,,,,6000,,0.001,4.108767312081134,5876,-21.068344491427062,217.84240361452103,99.9
54.91,30,148,99.26371649000001,6392,210,0.001,4.62850923429836,6199,-22.29261652628581,,
58.4,32,152,108.59366720999998,6812,211,0.001,3.79547368735075,6615,-24.01827467404879,,
,,,,7000,,0.001,5.13904872216469,6842,-25.082381389180167,265.09517394304277,120.7
62.53,34,156,119.18620923999997,7295,208,0.001,4.681747780007831,7081,-26.081809544967392,,
66.69,37,160,129.85926339000002,7782,209,0.001,4.747522765590299,7567,-28.144866328085623,,
,,,,8000,,0.001,4.914096133232117,7816,-29.07710808042496,265.6689372897148,121.1
70.85,40,164,140.55916252,8269,206,0.001,4.158635296741454,8055,-29.99304021415064,,
74.93,42,168,151.13576842,8749,207,0.001,4.314330105020218,8538,-31.765327072143556,,
,,,,9000,,0.001,5.105251089731852,8901,-32.88279472986857,267.3520518064499,122.0
79.2,45,172,162.07292095999998,9247,204,0.001,5.310187586649197,9028,-33.572317481040955,,
83.38,47,176,172.95412572999993,9737,204,0.001,5.257079947379328,9525,-35.50579071044922,,
,,,,10000,,0.001,4.177319041821135,9891,-36.68870305206816,250.87376724481584,115.3
87.5,50,180,183.64160274999998,10221,201,0.001,4.123336356194293,10013,-37.02238232972192,,
91.54,52,184,194.31322584999998,10697,202,0.001,5.00125333404541,10485,-38.12598056177939,,
,,,,11000,,0.001,4.681560963392258,10833,-39.59633144255607,286.43384087085724,130.9
95.84,55,188,205.42565383999997,11198,201,0.001,4.386223441492902,10970,-39.541303275288016,,
100.28,58,192,216.48876309,11718,201,0.001,5.340898331254721,11494,-40.840489745140076,,
,,,,12000,,0.001,4.70753389212393,11857,-42.17162353761734,283.69010639190674,129.2
103.43,60,196,224.07636882,12202,200,0.001,5.341967441141605,11985,-42.320462346076965,,
107.44,63,200,233.41173141000002,12692,200,0.001,5.255476453087547,12478,-43.61001471317176,,
,,,,13000,,0.001,5.05104297588742,12857,-44.140920972067214,255.79303797483445,112.0
111.32,65,204,242.60671833,13176,199,0.001,5.854345202445984,12964,-44.753655751546226,,
113.51,68,208,248.55988437,13631,200,0.001,5.283612692678297,13432,-45.96020201274327,,
,,,,14000,,0.001,5.912393576630922,13879,-47.30565916817143,242.33279601335525,107.8
113.9,70,212,249.87378151999997,14079,199,,,,,,
114.04,72,216,250.35594201,14512,200,0.001,4.456069344723666,14312,-48.03963526973018,,
113.72,74,220,250.19243920999997,14944,201,0.001,4.7631564603911505,14746,-48.97636816236708,,
,,,,15000,,0.001,4.433779458019221,14853,-48.770434613497756,241.1053230881691,107.8
114.38,76,224,252.40013571,15378,200,0.001,4.542709071327139,15178,-48.95304693999114,,
114.72,78,228,253.6139857,15806,200,0.001,7.278285935239972,15607,-50.427819665872825,,
,,,,16000,,0.001,5.060378340406156,15824,-50.83859024047852,235.489044547081,105.7
115.13,81,232,254.86414624,16234,199,0.001,6.958874984014602,16035,-51.099257175739,,
115.47,83,236,256.00698481,16671,200,0.001,4.413199237727244,16469,-52.17078731678151,,
,,,,17000,,0.001,5.693091331330021,16804,-52.43811978791889,250.8724445104599,109.9
115.77,85,240,257.06896439,17114,199,0.001,5.06302371540585,16915,-52.765000291304155,,
115.79,87,244,257.38022943,17546,199,0.001,5.787572962266427,17346,-53.308651253029154,,
