rollout/ep_len_mean,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
30.25,0,4,40.2772425,121,2519,,,,,,
18.625,0,8,23.110426,149,438,0.001,0.04385730358106749,52,-1.5530434250831604,,
14.75,0,12,17.37584325,177,358,0.001,0.034786268536533625,80,-1.573898822069168,,
12.8125,0,16,14.497509125,205,308,0.001,0.039955127984285355,108,-1.6102610230445862,,
11.65,0,20,12.77477005,233,279,0.001,0.041898246322359355,136,-1.6153247654438019,,
10.875,1,24,11.631054083333334,261,256,0.001,0.03765315083520753,164,-1.6616676449775696,,
11.928571428571429,1,28,14.328873000000002,334,242,0.001,0.057495074265676994,222,-1.9520744979381561,,
13.25,1,32,17.475951156249998,424,222,0.001,0.06362395482542722,313,-2.421362356706099,,
14.222222222222221,2,36,19.843875777777775,512,215,0.001,0.0909022418782115,400,-2.8681482618505303,,
15.0,2,40,21.7244293,600,209,0.001,0.14523845436898145,488,-3.192696072838523,,
15.590909090909092,3,44,23.200074295454545,686,206,0.001,0.1594351902604103,574,-3.5478347648273814,,
16.125,3,48,24.490948729166664,774,204,0.001,0.19024155356667258,662,-3.9041581370613794,,
16.557692307692307,4,52,25.56797071153846,861,201,0.001,0.1713887986473062,749,-4.258835359053179,,
16.910714285714285,4,56,26.453211071428573,947,201,0.001,0.20821411738341505,835,-4.567570556293834,,
,,,,1000,,0.001,0.18248396282168952,900,-4.887247302315452,38.892970287799834,22.1
17.266666666666666,5,60,27.291962316666666,1036,191,0.001,0.1678374595940113,923,-4.880575266751376,,
17.71875,6,64,28.11836015625,1134,187,0.001,0.23145075935509898,1035,-5.833309459686279,,
17.602941176470587,6,68,26.46260314705882,1197,187,0.001,0.6120965894725587,1089,-5.815051131778294,,
17.61111111111111,6,72,24.923941375000002,1268,186,0.001,0.3929385584261682,1160,-6.193449020385742,,
17.63157894736842,7,76,23.530921197368425,1340,186,0.001,0.6730233314964507,1232,-6.640356964535183,,
17.65,7,80,22.2889717625,1412,186,0.001,0.7407750731541051,1304,-6.6921874152289496,,
17.666666666666668,7,84,21.15921436904762,1484,185,0.001,0.6382078991995918,1376,-6.8839395840962725,,
17.670454545454547,8,88,20.139718647727275,1555,185,0.001,0.7593922093510628,1447,-7.278346008724636,,
17.67391304347826,8,92,19.21699422826087,1626,186,0.001,1.0590804169575374,1518,-7.448721249898274,,
17.6875,9,96,18.353719302083334,1698,186,0.001,0.7963103809290462,1590,-7.360104295942518,,
17.7,9,100,17.55819185,1770,187,0.001,0.9449697815709643,1662,-7.297834025488959,,
17.2,9,104,15.89333262,1841,187,0.001,0.786152638056699,1733,-7.739942669868469,,
17.64,10,108,15.600192139999999,1913,187,0.001,0.974114254117012,1805,-7.614704291025798,,
18.06,10,112,15.32180356,1983,187,0.001,1.4605299374636482,1876,-7.459698412153456,,
,,,,2000,,0.001,1.3558071956915014,1893,-7.471901893615723,-1.3299116231501102,17.9
18.49,11,116,15.028366570000001,2054,184,0.001,1.266887765791681,1946,-7.550210581885444,,
18.92,11,120,14.73429615,2125,184,0.001,1.5319129281184252,2017,-7.711938977241516,,
19.36,11,124,14.436935099999998,2197,184,0.001,1.159327314959632,2089,-7.65731143951416,,
19.34,12,128,13.163373960000001,2268,183,0.001,0.8334444090723991,2160,-7.499558554755317,,
19.15,12,132,11.532509439999998,2339,183,0.001,1.0731408248345058,2232,-7.982853518591987,,
18.98,13,136,9.9214432,2410,183,0.001,1.01640784740448,2302,-7.561278767055935,,
18.82,13,140,8.311405270000002,2482,182,0.001,1.5164581073655024,2374,-7.869385189480251,,
18.68,13,144,6.74219563,2554,182,0.001,1.5006933493746653,2446,-7.325725078582764,,
18.51,14,148,5.14231071,2625,182,0.001,1.1628408059477806,2517,-7.850434422492981,,
18.35,14,152,3.54732535,2696,182,0.001,1.3523988094594743,2588,-7.397613737318251,,
18.21,15,156,1.9756351000000003,2768,181,0.001,2.2595748785469265,2660,-7.620944764879015,,
18.04,15,160,0.36176087999999995,2840,181,0.001,1.0340078920125961,2732,-7.823862340715197,,
