time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,eval/mean_ep_length,eval/mean_reward
0,79,4,2.55379425,19.75,2752,,,,,,
2,410,8,35.672046249999994,51.25,186,0.001,-1.660571687149279,240,0.05370165550938019,,
4,679,12,20.705927333333328,56.583333333333336,154,0.001,-1.10881964004401,515,0.08023307895037665,,
6,952,16,12.541236937499999,59.5,148,0.001,-1.4761505176623662,790,0.13575293263420463,,
,1000,,,,,0.001,-1.4443255178630352,855,0.10202753389110931,66.0,-18.46708109173924
9,1356,20,17.4921467,67.8,144,0.001,-1.516109146722933,1075,0.19551562845527407,,
,2000,,,,,0.001,-2.3103631263555484,1817,0.2032927710541411,197.0,83.64855611440143
16,2113,24,27.174743249999995,88.04166666666667,125,,,,,,
22,2793,28,39.90860632142857,99.75,124,0.001,-5.032349975903829,2685,0.5848429102867966,,
22,2838,32,33.175113625,88.6875,124,0.001,-5.171284914016724,2730,0.5959356752308932,,
23,2882,36,27.941325527777778,80.05555555555556,125,0.001,-4.025163555145264,2775,0.8580480990084735,,
23,2924,40,23.7984618,73.1,125,0.001,-3.691979503631592,2817,0.5713357403874397,,
23,2958,44,20.60255306818182,67.22727272727273,125,0.001,-3.873580884933472,2854,0.5344124684731165,,
23,2986,48,18.111966770833334,62.208333333333336,125,0.001,-2.912014424800873,2882,0.344081420983587,,
,3000,,,,,0.001,-3.406385898590088,2896,0.24329369408743723,8.0,-10.45797563418746
24,3017,52,15.940501596153844,58.01923076923077,125,0.001,-3.1321966648101807,2912,0.42730071395635605,,
24,3047,56,14.10947794642857,54.410714285714285,125,0.001,-2.8719353675842285,2942,0.273217641881534,,
24,3079,60,12.422767849999996,51.31666666666667,125,0.001,-2.714519292116165,2974,0.3378951158374548,,
24,3113,64,10.91288459375,48.640625,126,0.001,-2.514457106590271,3007,0.4862813419765896,,
24,3201,68,10.372474249999998,47.0735294117647,128,0.001,-3.9752709600660534,3053,0.9986534448046434,,
29,3945,72,14.970651944444446,54.791666666666664,135,0.001,-4.771511895983827,3695,0.6195157823682416,,
,4000,,,,,0.001,-5.032917168233301,3848,0.568648241752503,184.9,85.10986416085215
37,4696,76,18.53128115789474,61.78947368421053,125,0.001,-5.548990733415177,4424,0.5091356193845712,,
,5000,,,,,0.001,-5.7884339874173385,4761,0.7404662135666535,190.0,64.03330849021295
46,5416,80,21.4941271125,67.7,116,0.001,-5.9376451192900195,5121,0.6603728719270987,,
,6000,,,,,0.001,-6.253751666729267,5449,0.8785852229365936,522.5,510.62976710748626
66,6964,84,36.85630521428571,82.9047619047619,103,0.001,-9.285113535675348,6653,1.002939549073869,,
,7000,,,,,0.001,-9.656802208624153,6867,1.260312653033533,330.4,291.1281335733831
76,7374,88,41.153343,83.79545454545455,96,0.001,-13.134102971930252,7246,2.1903118893906877,,
77,7469,92,39.89524197826087,81.18478260869566,96,0.001,-12.829388512505425,7358,2.736033551833209,,
77,7557,96,38.16669594791667,78.71875,96,0.001,-13.006346782048544,7441,2.3655119438966117,,
,8000,,,,,0.001,-13.627321619506276,7853,3.795807550259686,237.1,206.93980277355294
86,8271,100,46.59708947000001,82.71,95,0.001,-14.49029855892576,8084,3.1029867258938877,,
,9000,,,,,0.001,-15.79446672476255,8813,2.303045477022965,128.4,32.05116775655188
95,9146,104,54.422919889999996,90.67,95,0.001,-16.18546887694812,8935,2.3129304867298877,,
100,9798,108,59.442275849999994,93.88,97,0.001,-17.7655733956231,9560,3.1124630078436835,,
,10000,,,,,0.001,-18.63082048055288,9849,3.9513888818186684,127.5,14.994223340414464
107,10376,112,65.05583157999999,96.97,96,0.001,-18.40224136246575,10098,4.139043269885911,,
,11000,,,,,0.001,-20.377851210918625,10790,3.212588764957546,166.8,86.55919614602462
118,11288,116,74.59474218,103.36,95,0.001,-20.811835562828744,10992,3.745076831024472,,
,12000,,,,,0.001,-22.087508100144408,11735,4.034839121162468,260.9,238.2731293320976
129,12244,120,84.09137835000001,108.88,94,,,,,,
,13000,,,,,0.001,-23.689936132992017,12590,4.253067272550919,239.3,183.76107870778068
142,13203,124,92.86484212,110.9,92,0.001,-24.59660040248524,12942,5.147411573678255,,
,14000,,,,,0.001,-25.469061018715443,13390,5.719061429231939,146.8,174.07064828015865
159,14754,128,105.31989908999998,119.61,92,0.001,-28.32290859783397,14526,5.174647669581806,,
,15000,,,,,0.001,-28.651478002100816,14819,5.380306697186128,764.5,806.3939986209385
176,15575,132,118.62068563999999,127.37,88,0.001,-29.93048032801202,15304,4.911819927195177,,
,16000,,,,,0.001,-31.306712907614166,15850,5.0099392551736734,285.1,268.6319184327731
,17000,,,,,0.001,-32.065576431274415,16850,4.818465500593185,198.5,192.93807069826943
197,17947,136,145.97690586999997,150.65,91,,,,,,
,18000,,,,,0.001,-33.49528030014038,17850,5.008545279502869,116.3,181.01749648158437
209,18453,140,153.70792555999998,155.29,88,0.001,-34.619668688092915,18248,6.644751262321747,,
,19000,,,,,0.001,-36.021648156015495,18733,6.6013099833538655,313.5,375.76320072253003
217,19161,144,162.51577344999998,162.03,87,,,,,,
,20000,,,,,0.001,-37.05524368286133,19786,6.204090998570124,350.4,381.92951876981823
231,20075,148,173.63916938,170.89,86,,,,,,
,21000,,,,,0.001,-38.36626276288714,20523,6.321057069301605,253.4,319.7938689351271
241,21620,152,193.27927327,186.03,89,,,,,,
,22000,,,,,0.001,-39.65825460148954,21696,5.821646413362095,181.2,268.31930793323556
257,22380,156,203.24282391999998,193.33,86,0.001,-39.63441006548993,22108,6.465612547738211,,
,23000,,,,,0.001,-40.37000350572576,22841,7.247078310467173,194.1,199.51880369179418
268,23330,160,214.40109015,202.51,86,0.001,-41.404627078047426,23054,7.6632506612321025,,
,24000,,,,,0.001,-41.847283363342285,23801,8.661948637932724,271.6,257.0624510622118
278,24167,164,221.19140190999994,210.54,86,,,,,,
286,24917,168,228.9385597,217.16,87,0.001,-41.55238989125127,24599,8.862889498904131,,
,25000,,,,,0.001,-41.78846273336325,24820,9.418668596992665,185.6,219.44745304189854
971,25595,172,234.11330772000002,216.5,26,0.001,-42.03459666325496,25353,8.778591512323736,,
,26000,,,,,0.001,-43.05423619196965,25843,8.304463431075378,187.0,329.1309075832367
979,26321,176,243.63034033999998,216.25,26,0.001,-43.073124166120564,26070,9.229412211195488,,
,27000,,,,,0.001,-44.29516338720554,26886,9.543819471236763,208.6,387.8579047009349
989,27217,180,255.52922933999997,218.01,27,,,,,,
,28000,,,,,0.001,-45.291981514054115,27696,9.605451341812985,549.5,576.7319475907832
1003,28200,184,257.46562463000004,212.36,28,,,,,,
,29000,,,,,0.001,-46.73261421203613,28510,9.112106461524963,249.2,392.1913413014263
1017,29320,188,269.64639471999993,219.46,28,0.001,-47.50320592977233,28982,9.633106215525482,,
1023,29948,192,280.39504877,224.79,29,0.001,-48.632036636124795,29687,8.878155386269983,,
,30000,,,,,0.001,-49.024195089572814,29851,9.071669343041211,132.9,256.68277327418326
1033,30894,196,293.23846855999994,233.37,29,0.001,-49.832732888155206,30576,10.286416898402132,,
,31000,,,,,0.001,-50.09580005298961,30797,9.159002364490906,214.6,369.88876473903656
1044,31667,200,297.79268342999995,233.96,30,0.001,-50.7423610862242,31452,9.378758254688456,,
,32000,,,,,0.001,-51.498365913949364,31816,8.756526196875223,231.4,419.4631067842245
1053,32409,204,303.39475453,232.63,30,0.001,-51.88883479436239,32206,9.630249824788836,,
,33000,,,,,0.001,-52.90135696286061,32728,9.461470637165132,212.6,387.9873760603368
1063,33569,208,314.09707962,237.71,31,0.001,-53.056446413840014,32977,9.554388061584717,,
,34000,,,,,0.001,-54.15149474929977,33654,8.217313935468486,278.1,477.52880223095417
1079,34429,212,324.42222115,240.53,31,0.001,-54.71914814427956,34145,8.169602352533586,,
,35000,,,,,0.001,-55.667118581136066,34693,8.965272771354527,227.5,391.9091385748237
1091,35338,216,331.27892984000005,240.5,32,0.001,-56.05173694656556,35087,9.356131914150284,,
,36000,,,,,0.001,-56.52309056332237,35735,8.134555864084453,177.5,323.13888572454454
1100,36024,220,333.7387193299999,237.8,32,,,,,,
1106,36652,224,334.45950783999984,234.49,33,0.001,-58.16933893274378,36431,8.552714361084831,,
,37000,,,,,0.001,-58.6517506475034,36845,8.286437902519172,166.4,321.94078261852263
1114,37266,228,329.65530565,225.12,33,0.001,-58.65643629186294,37014,8.11371399806096,,
1119,37848,232,328.4005340599999,222.73,33,0.001,-59.56954109668732,37608,8.287501405924559,,
,38000,,,,,0.001,-59.82622198331154,37869,8.000813512478844,140.3,272.9017170071602
1126,38379,236,311.78351059999994,204.32,34,0.001,-60.34008744475129,38119,8.08643808767393,,
1130,38879,240,314.50304603,204.26,34,0.001,-60.559636323348336,38637,9.091993383181993,,
,39000,,,,,0.001,-61.9218067369963,38897,8.224814153754194,136.5,283.51973123550414
1137,39445,244,317.42784217999997,202.84,34,0.001,-60.924157778422035,39179,8.321523735920588,,
,40000,,,,,0.001,-62.12977672073076,39750,8.402244567871094,152.7,284.40932659506797
1144,40009,248,317.93635577,199.34,34,,,,,,
