train/learning_rate,train/critic_loss,time/episodes,train/n_updates,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/actor_loss,time/fps,eval/mean_ep_length,eval/mean_reward
0.001,0.016559587658516,4,133,42.75,49.311246,171,0,-1.6326968272527058,212,,
0.001,0.032916649377771785,8,161,24.875,28.15409475,199,0,-1.6913113196690877,201,,
0.001,0.044803360743182044,12,189,18.916666666666668,21.09161233333333,227,1,-1.8048247893651326,196,,
0.001,0.05938081656183515,16,217,15.9375,17.554417875,255,1,-1.80177108446757,190,,
0.001,0.055544939424310415,20,245,14.15,15.43584325,283,1,-1.8992224136988323,186,,
0.001,0.04284975092325892,24,273,12.958333333333334,14.026974708333332,311,1,-1.8918569087982178,184,,
0.001,0.023488439619541168,28,301,12.107142857142858,13.014924107142855,339,1,-1.9180757999420166,181,,
0.001,0.019074592606297562,32,329,11.46875,12.26067209375,367,2,-1.9860843817392986,179,,
0.001,0.009613602555223874,36,357,10.972222222222221,11.673562777777777,395,2,-2.0263665119806924,177,,
0.001,0.004243266103523118,40,385,10.575,11.205865724999999,423,2,-2.1089119911193848,176,,
0.001,0.007839585654437542,44,413,10.25,10.820612545454544,451,2,-2.0948530038197837,175,,
0.001,0.0042912304135305545,48,441,9.979166666666666,10.496880354166665,479,2,-2.1486469904581704,173,,
0.001,0.006027692296941366,52,469,9.75,10.224149903846154,507,2,-2.217425982157389,172,,
0.001,0.007259197034207838,56,497,9.553571428571429,9.991361178571427,535,3,-2.2476422786712646,170,,
0.001,0.005946310137265495,60,525,9.383333333333333,9.790039799999999,563,3,-2.243581215540568,170,,
0.001,0.00674435356631875,64,553,9.234375,9.611677812499998,591,3,-2.264824390411377,169,,
0.001,0.012358661741018295,68,581,9.102941176470589,9.457219470588234,619,3,-2.3354408740997314,169,,
0.001,0.005458104823316846,72,609,8.98611111111111,9.319671597222221,647,3,-2.3874797026316323,167,,
0.001,0.01663417462259531,76,637,8.881578947368421,9.19676052631579,675,4,-2.46736749013265,166,,
0.001,0.009704149394695247,80,665,8.7875,9.085500087499998,703,4,-2.4199156761169434,166,,
0.001,0.006082114364419665,84,693,8.702380952380953,8.985600559523807,731,4,-2.4983018239339194,165,,
0.001,0.010279516423387187,88,721,8.625,8.892438931818182,759,4,-2.5496115684509277,164,,
0.001,0.011548392940312624,92,749,8.554347826086957,8.80946693478261,787,4,-2.5212074915568032,164,,
0.001,0.017966756730207374,96,777,8.489583333333334,8.73273721875,815,4,-2.6062796910603843,163,,
0.001,0.01773551439068147,100,805,8.43,8.661509389999999,843,5,-2.7105488777160645,162,,
0.001,0.013844036763267857,104,833,7.0,6.967667639999999,871,5,-2.699288527170817,162,,
0.001,0.017149209710104123,108,861,7.01,6.979356280000001,900,5,-2.76499875386556,161,,
0.001,0.011915603012312204,,869,,,1000,,-2.8067492246627808,,126.7,184.4202140569687
0.001,0.05177077290912469,112,1065,8.86,9.48090586,1113,8,-3.349938358579363,132,,
0.001,0.12600671994899001,116,1141,9.63,10.28074331,1218,8,-3.459361931856941,135,,
0.001,0.15780005598854688,120,1287,10.78,11.418695599999996,1361,9,-3.7603688107596502,138,,
0.001,0.2243975908918814,124,1404,11.59,12.234569079999998,1470,10,-4.000958464362404,138,,
0.001,0.43738248829024934,,1841,,,2000,,-5.355858988232082,,200.0,367.3278868854046
,,128,,17.32,22.17235776,2071,15,,129,,
0.001,0.6097555856724255,132,2240,20.0,25.20493159,2367,18,-6.681946046890751,128,,
0.001,1.0971217048836166,,2799,,,3000,,-8.521094985391901,,189.1,349.3863916397095
,,136,,26.23,36.35260623,3018,24,,125,,
0.001,1.6301457192843336,140,3555,33.57,49.62784447000001,3780,29,-11.77425836057079,129,,
