time/fps,time/total_timesteps,train/learning_rate,train/critic_loss,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/actor_loss,time/episodes,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
195,2536,0.001,1.9312189926119412,26.416666666666668,2424,39.0194305,-9.808495144511378,96,12,,
196,2880,0.001,2.6613830067645545,28.8,2767,44.14180775,-11.472532871157624,100,14,,
,3000,0.001,2.923423849303147,,2940,,-12.319072008132935,,,167.59135078191758,85.7
191,3221,0.001,3.0508495647282827,31.04,3111,49.45023332000001,-13.195195379711333,104,16,,
195,3561,0.001,3.2548628586462174,34.16,3447,55.92630206,-14.702788530394088,108,18,,
192,3833,0.001,3.1666145741221414,36.6,3788,61.01058209000001,-16.133594422113326,112,19,,
193,3924,0.001,3.9964471107179467,37.23,3876,62.45814964,-16.73107658733021,116,20,,
,4000,0.001,2.942468377676877,,3965,,-16.90411203557795,,,37.66154318451881,21.5
192,4014,,,37.85,,63.89833251000001,,120,20,,
193,4104,0.001,3.503185976635326,38.47,4053,65.34281803,-17.400330110029742,124,21,,
193,4192,0.001,3.2273837707259436,39.07,4143,66.72624603,-17.55463912270286,128,21,,
196,4344,0.001,3.028418177908117,40.31,4232,69.44884969,-18.122764414007012,132,22,,
197,4681,0.001,3.541800916896147,43.4,4570,76.15228148,-19.632971031721247,136,23,,
,5000,0.001,3.687683806532905,,4907,,-20.965282576424734,,,170.65631155371665,83.7
194,5019,,,46.5,,82.88152222000001,,140,25,,
195,5357,0.001,3.274831980116227,49.38,5245,89.59274466000002,-22.590312866937545,144,27,,
196,5693,0.001,4.053536549736472,52.02,5582,96.53435609000002,-23.71011050911837,148,28,,
,6000,0.001,4.933187368336846,,5920,,-24.96626037775084,,,169.63068360686302,84.9
192,6032,,,53.0,,101.76347363000001,,152,31,,
193,6370,0.001,4.266802169294918,55.51,6259,107.01512147000001,-26.176217578706286,156,32,,
193,6706,0.001,4.451107771999864,58.0,6595,112.32356879999999,-27.446622243741665,160,34,,
,7000,0.001,4.504470750864814,,6934,,-28.564761671909068,,,170.09281811118126,84.5
190,7046,,,60.52,,117.60712776,,164,37,,
191,7386,0.001,4.71966056738581,62.93,7273,122.69057349000002,-29.964697065807524,168,38,,
191,7725,0.001,4.563145695697694,65.95,7613,129.20320486999998,-30.56172956739153,172,40,,
,8000,0.001,4.380830417076747,,7954,,-31.401389394487655,,,169.0903079867363,85.0
189,8066,,,67.74,,133.02258487999998,,176,42,,
