train/n_updates,time/fps,rollout/ep_len_mean,time/episodes,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,time/time_elapsed,eval/mean_ep_length,eval/mean_reward
11900,,,,0.001,12000,,0.14023573696613312,-0.16313218496118984,,11.0,-6.173623321950435
11922,166,26.79,216,0.001,12022,-8.22694482,0.14708432826128873,-0.14562813813487688,72,,
11966,166,24.49,220,0.001,12066,-8.070686779999999,0.11622503196651285,-0.23017217218875885,72,,
12010,166,22.18,224,0.001,12110,-7.88967033,0.10482465882192958,-0.34838023285071057,72,,
12054,166,19.87,228,0.001,12154,-7.698294579999999,0.10628859631039879,-0.17120847975214323,72,,
12098,166,17.59,232,0.001,12198,-7.577961160000001,0.10953876172954385,0.0772038201491038,73,,
12142,166,15.28,236,0.001,12242,-7.405410269999999,0.1231646104292436,0.17502962611615658,73,,
12186,166,12.99,240,0.001,12286,-7.258834809999999,0.09364524991674857,0.21274637058377266,73,,
12230,166,11.49,244,0.001,12330,-7.48872332,0.11446200853044336,0.035040305306514107,73,,
12274,166,10.85,248,0.001,12374,-7.59269547,0.0841278616677631,0.15808281768113375,74,,
12318,167,10.81,252,0.001,12418,-7.43230009,0.09590611877766522,0.32705622414747876,74,,
12362,167,10.81,256,0.001,12462,-7.35669363,0.11482551287521016,0.2933115816364686,74,,
12406,167,10.81,260,0.001,12506,-7.060202960000002,0.11004491353576834,0.4824850658575694,74,,
12450,167,10.81,264,0.001,12550,-6.77709657,0.1143486120484092,0.21741703152656555,75,,
12510,169,13.11,268,0.001,12824,-5.38386807,0.1033722142930384,-0.0006272196769714355,75,,
12903,,,,0.001,13000,,0.14384968343767382,-0.8413296776513258,,132.0,-32.862702247701236
13216,164,18.23,272,0.001,13380,-1.4324438400000006,0.1421585617881072,-0.8312187125024043,81,,
13683,165,23.33,276,0.001,13934,0.35494202999999963,0.1617603658437729,-0.7854002042600299,83,,
13845,,,,0.001,14000,,0.15913059176118285,-0.9854798170703428,,146.9,34.37708478787681
14276,164,29.11,280,0.001,14552,4.49545853,0.20603985156004245,-1.1548197709597074,88,,
14779,,,,0.001,15000,,0.24110707170834209,-1.6029005635243196,,164.0,282.8978287577629
14938,163,35.19,284,0.001,15200,15.943383579999999,0.27015545626856247,-1.7689304329454898,92,,
15859,,,,0.001,16000,,0.26647527436954416,-3.6341197441278963,,156.4,273.79841976761816
16009,162,45.41,288,0.001,16262,29.241778200000002,0.3193687382340431,-4.342934617996216,99,,
16752,163,51.9,292,0.001,16952,37.75312761,0.2620504050412112,-5.453192949295044,103,,
16863,,,,0.001,17000,,0.29902622372180493,-5.459199914065274,,157.5,109.25721195226069
17079,162,55.31,296,0.001,17333,42.04392725,0.3837826912527654,-5.734771750190041,106,,
17833,,,,0.001,18000,,0.3498026879422693,-6.203623529434204,,237.5,205.82710117099342
,161,63.47,300,,18193,51.60555995000001,,,112,,
18711,,,,0.001,19000,,0.4170901267593648,-7.040054092888071,,170.2,236.47127234191285
,160,71.41,304,,19031,60.86378215000001,,,118,,
19394,,,,0.001,20000,,0.41772099668370155,-8.401382745201907,,329.9,399.2584842363838
,161,82.15,308,,20149,76.99113668,,,125,,
20228,158,84.14,312,0.001,20392,76.76240337,0.5406364525357882,-10.945069313049316,128,,
20445,158,85.49,316,0.001,20571,77.04475498000001,0.7705077400078645,-10.39278342988756,129,,
20901,,,,0.001,21000,,0.7375497646250967,-11.252622279253872,,145.2,57.47362027862109
,157,90.08,320,,21074,83.44653813999999,,,133,,
21456,158,95.32,324,0.001,21642,86.72699328000003,0.8759218966183455,-11.766472173773725,136,,
21907,,,,0.001,22000,,0.8879556848296841,-12.82306645217451,,179.5,82.8072152311579
22146,158,102.98,328,0.001,22452,92.82180256,0.9139595643995198,-13.165586304664611,141,,
22726,,,,0.001,23000,,0.9766205301607288,-13.223550484730648,,198.9,95.1788086464745
22975,157,110.61,332,0.001,23259,97.21123055,0.9278664342370857,-13.482215804438438,147,,
23837,,,,0.001,24000,,0.958085723473254,-14.385503148569644,,253.8,271.89804497538137
,157,120.17,336,,24259,105.46545597000001,,,153,,
24813,,,,0.001,25000,,1.1443600598722696,-15.809138059616089,,178.2,270.7541589693748
,156,127.8,340,,25066,118.49047686999998,,,160,,
25523,157,134.76,344,0.001,25806,130.89490123999997,1.0332309398701582,-16.887549948185047,164,,
25896,,,,0.001,26000,,0.9834227926571276,-17.3735915184021,,172.0,289.4626892507076
26247,156,141.29,348,0.001,26503,142.92855759,1.0405592568610844,-17.900425077739516,169,,
26816,,,,0.001,27000,,1.044166214571098,-19.02885593335653,,170.8,296.11282257437705
26981,155,148.36,352,0.001,27254,155.80506900999998,1.1312515341874325,-18.83109239252602,175,,
27710,156,155.27,356,0.001,27989,168.47248022,1.3143092220422452,-20.687807143361944,179,,
27900,,,,0.001,28000,,1.3056200573318884,-20.544578311317846,,166.2,284.7426635205746
28455,155,162.1,360,0.001,28716,180.98873200000003,1.3758205200987632,-21.489698872421727,184,,
28819,,,,0.001,29000,,1.373040554113686,-22.108442187309265,,179.3,306.9323958218098
29152,155,168.56,364,0.001,29406,193.70189362000005,1.421276889029582,-22.919940369038642,189,,
29863,,,,0.001,30000,,1.6936714348136162,-24.01371909161003,,190.3,375.2840377628803
,155,173.14,368,,30138,207.22006236000001,,,194,,
30412,,,,0.001,31000,,2.885478359095904,-24.736459420651805,,240.0,251.44220724927726
31093,155,180.02,372,0.001,31382,218.94788410999993,2.2065960190719793,-25.368167215235093,202,,
31706,,,,0.001,32000,,2.160893516057098,-27.13534792628857,,219.3,404.30817103385925
31931,155,183.09,376,0.001,32243,233.73632439000005,2.188165562417772,-27.441901785986765,208,,
32895,,,,0.001,33000,,2.1111594727358867,-29.72574497498188,,209.9,377.60659554004667
,154,186.3,380,,33182,246.20875408999996,,,214,,
33742,,,,0.001,34000,,2.2475812397391546,-31.16322811229809,,268.9,370.943323628651
,153,189.07,384,,34107,250.98565835000002,,,222,,
34825,,,,0.001,35000,,2.058064598001932,-32.83898590489438,,204.0,366.16428963541983
,152,188.44,388,,35106,254.61710434,,,229,,
35785,,,,0.001,36000,,2.129849774203277,-34.433106545174475,,228.2,402.1947638988495
,152,191.35,392,,36087,263.05182637999997,,,236,,
36603,153,195.5,396,0.001,36883,273.81083862,1.8826279987409278,-36.03961481631381,240,,
36794,,,,0.001,37000,,2.151603221581244,-36.58982785542806,,207.4,382.2166742742062
37459,153,195.56,400,0.001,37749,280.16379776,2.0409406713313527,-37.26967235847756,246,,
37866,,,,0.001,38000,,2.1689557381046627,-38.1033066314401,,198.6,369.80198647379876
38262,152,195.24,404,0.001,38555,286.17700277000006,2.133178195187465,-38.63382921513823,252,,
38830,,,,0.001,39000,,2.4232951130783347,-39.5215827587039,,256.7,291.0504422514699
38995,152,191.41,408,0.001,39290,280.25290824,2.6492112636566163,-39.289612793340915,257,,
39798,,,,0.001,40000,,2.3475674850184745,-39.692062118678415,,207.5,402.85827469825745
,152,196.97,412,,40089,296.32037977999994,,,263,,
40632,152,203.75,416,0.001,40946,312.77286096000006,2.3941676077517595,-40.57913984818892,267,,
40857,,,,0.001,41000,,2.3070567433039346,-41.03797500474112,,214.8,401.6543715298176
41483,152,207.26,420,0.001,41800,323.03148233,2.276905108316272,-41.532352559706744,273,,
41711,,,,0.001,42000,,2.2250172571654905,-42.24403568736294,,360.0,588.8394232094288
42604,151,212.42,424,0.001,42884,339.19040137,2.5097648810296165,-43.12379811976078,282,,
42795,,,,0.001,43000,,2.217134314369781,-43.723816359670536,,309.2,279.8244912656257
43606,151,214.38,428,0.001,43890,348.19255964999996,2.295380379947914,-43.83636201030076,289,,
43801,,,,0.001,44000,,2.4969800643431834,-44.208209126266006,,219.1,418.6383876144886
44342,151,214.1,432,0.001,44669,358.28631728,2.50145274742196,-44.659825682640076,295,,
44813,,,,0.001,45000,,3.1345722199509582,-44.49695439174258,,363.2,437.17375391673414
45433,150,214.76,436,0.001,45735,365.40449189,2.9299765756497016,-44.543823132148155,304,,
45646,,,,0.001,46000,,2.8410637983134097,-44.578791965948085,,258.3,516.5513494253158
46374,150,216.07,440,0.001,46673,371.44121989000007,2.6700128840237127,-45.576993368204356,311,,
46817,,,,0.001,47000,,2.759366542996255,-45.99711760159197,,227.8,478.95205997228624
47274,149,217.73,444,0.001,47579,378.71073613999994,3.143145256001374,-46.522445119660475,317,,
47757,,,,0.001,48000,,3.2817439858833057,-47.101881414427794,,234.6,494.5493325471878
48196,149,219.85,448,0.001,48488,385.35756286,3.3405542131783306,-47.2224482022799,324,,
48829,,,,0.001,49000,,3.6789750728739024,-47.99839500144676,,221.7,424.74702436327937
49056,149,221.18,452,0.001,49372,389.94531477,3.903531826540237,-48.263298770837615,330,,
49731,,,,0.001,50000,,4.078670348142432,-49.10459049961023,,253.9,455.35329352021216
50008,149,223.44,456,0.001,50333,395.56298692999997,4.1910690185395385,-49.197084001499974,337,,
50716,,,,0.001,51000,,4.855326781630987,-49.85466465987558,,217.4,401.32798007130623
50924,148,225.49,460,0.001,51265,399.90076356000003,4.745054831871619,-50.279535660376915,344,,
51764,,,,0.001,52000,,4.79933324956894,-50.56329296875,,237.5,406.90304057002066
52013,148,229.5,464,0.001,52356,405.13027773999994,4.574396435036717,-50.8657808303833,352,,
52786,,,,0.001,53000,,4.809597051056632,-51.349375564686575,,202.6,272.71828592931854
53071,148,232.94,468,0.001,53432,407.0237413599999,5.0477043218779984,-51.15236301153478,359,,
53817,,,,0.001,54000,,4.74881256189872,-51.202924683338075,,272.4,448.6204658508301
54102,148,230.89,472,0.001,54471,409.08602797,4.69896247010482,-51.30954427652426,367,,
54867,,,,0.001,55000,,4.795468250518949,-51.39935272518951,,251.3,422.91529433131217
55111,148,232.32,476,0.001,55475,407.6216384999999,4.636603583077916,-51.59262466430664,374,,
55909,,,,0.001,56000,,4.322465123344656,-50.926349170391376,,273.3,443.80060409903524
56176,147,233.19,480,0.001,56501,408.30309408,4.549579338188028,-51.25072874951719,381,,
56696,,,,0.001,57000,,4.3235312633111445,-50.878645050693564,,322.6,488.4663656949997
57256,147,234.99,484,0.001,57606,409.90577826000003,4.404429498893111,-51.425534632668565,389,,
57828,,,,0.001,58000,,4.595096565902808,-51.73138092725705,,284.4,419.27483158120884
58383,147,235.97,488,0.001,58703,410.75584267000005,4.235806277394294,-51.39036772251129,397,,
58873,,,,0.001,59000,,4.232308959408616,-51.74027030412541,,269.9,427.25348007082937
59571,147,238.11,492,0.001,59898,412.90961280000005,4.174107488014605,-51.58489071557281,406,,
59809,,,,0.001,60000,,4.513162027887938,-51.78351734065208,,253.1,426.01306421756743
60590,147,240.39,496,0.001,60922,412.19288287999996,5.392083969859569,-51.8458715207649,413,,
60833,,,,0.001,61000,,5.378536930300081,-51.98989969048618,,243.7,414.4697138786316
61561,147,241.38,500,0.001,61887,413.00592392000004,5.353525791208115,-52.43841761100192,420,,
61798,,,,0.001,62000,,5.488588579596346,-52.415953628155364,,230.8,407.21205825805663
62574,147,243.48,504,0.001,62903,415.00353713,4.668749661940448,-52.7082079401556,427,,
62814,,,,0.001,63000,,5.247572271029155,-52.211490567525225,,266.2,444.93962572813035
63535,146,245.94,508,0.001,63884,422.35718684000005,5.038356684819823,-52.28146214320742,434,,
63795,,,,0.001,64000,,4.698118933347556,-52.307123888455905,,236.1,420.7701425552368
64508,146,247.38,512,0.001,64827,423.0797433800001,5.052788041202898,-52.58213830566406,441,,
64738,,,,0.001,65000,,5.035784400027731,-52.386321059517236,,229.0,412.6417789876461
65434,146,248.4,516,0.001,65786,424.37067143,5.6090640439673765,-52.28650733020818,448,,
65697,,,,0.001,66000,,4.692613299808575,-52.773590641167324,,234.5,431.2546065032482
66418,146,249.18,520,0.001,66718,425.70190967999997,4.520439411624003,-52.92001045356363,454,,
66895,,,,0.001,67000,,4.8370998586927145,-52.67354707072552,,209.4,107.85845645778026
67480,146,249.21,524,0.001,67805,419.33378673000004,4.64415846701722,-52.38008253453142,461,,
67716,,,,0.001,68000,,5.067522408598561,-52.365850642576056,,510.8,344.44403696569753
68383,146,248.45,528,0.001,68735,408.74841521999997,4.980657666144164,-51.9498255190642,470,,
68881,,,,0.001,69000,,5.1620283126831055,-51.70117448334001,,318.1,435.45100540991405
69574,146,253.24,532,0.001,69993,408.99296336,5.382243305323075,-51.50977381264291,479,,
69904,,,,0.001,70000,,5.330482854987636,-51.767850771817294,,247.9,425.44610634294804
70743,,,,0.001,71000,,4.9264496884256035,-50.98285420735677,,272.3,442.1602899300866
,145,253.77,536,,71112,409.83403613,,,489,,
71789,,,,0.001,72000,,4.529350970024453,-50.518469903702126,,288.9,475.3894243523479
,145,255.18,540,,72191,406.71639568,,,496,,
72663,,,,0.001,73000,,4.848969870985153,-50.15631341614179,,302.8,313.6799626702741
72940,145,257.03,544,0.001,73282,405.59555048000004,4.786958277010315,-49.9926574761919,505,,
73862,,,,0.001,74000,,4.834646274303568,-48.93742494254277,,309.2,488.5617723751813
74205,145,260.45,548,0.001,74533,404.56124749,4.825813430738866,-49.215205164680704,513,,
74693,,,,0.001,75000,,4.2813627571465975,-49.00814317887829,,276.9,424.76634992286563
75255,145,263.3,552,0.001,75702,405.1571079,4.423211321469737,-48.77431309374073,521,,
75900,,,,0.001,76000,,4.672718005313275,-48.14669338862101,,235.2,410.4444837331772
76758,,,,0.001,77000,,4.230163296402211,-48.08388337634859,,311.2,461.0834208113141
,144,268.36,556,,77169,408.24749184,,,533,,
77846,,,,0.001,78000,,4.430020274477524,-47.81940860748291,,252.5,451.5463813047856
,144,269.14,560,,78179,409.8423019100001,,,540,,
78763,,,,0.001,79000,,4.297672495863954,-47.36277131681089,,283.8,515.1910408198834
,144,267.6,564,,79116,410.0511848399999,,,547,,
79629,144,264.96,568,0.001,79928,404.36291679999994,3.975358485029294,-47.42589803842398,552,,
79839,,,,0.001,80000,,4.063659803072611,-47.53960287911551,,244.5,443.6702374994755
80540,,,,0.001,81000,,4.007780076980591,-47.312522552490236,,157.4,127.80414789278875
,91,265.29,572,,81000,405.84030728000005,,,888,,
81639,,,,0.001,82000,,4.142362725443956,-47.077675548026235,,358.4,530.2546245701611
82007,91,267.66,576,0.001,82241,409.93654332,4.261969842664573,-46.67754813899165,898,,
82675,,,,0.001,83000,,3.8822270343080163,-46.91967651247978,,260.5,482.7872174620628
82940,91,267.56,580,0.001,83257,411.7584434300001,3.932819177069754,-46.675592006597306,905,,
83877,,,,0.001,84000,,3.9579810975980356,-46.48536146789038,,262.5,395.90931397713723
,92,267.08,584,,84314,412.45449816,,,912,,
84895,,,,0.001,85000,,3.7943252058078847,-46.68329521020254,,244.1,379.77161505986004
,92,264.91,588,,85194,410.55990282,,,919,,
85884,,,,0.001,86000,,3.9446651527375884,-46.509595304546934,,282.8,327.09136692946777
,93,263.34,592,,86232,408.66988537000003,,,926,,
86826,,,,0.001,87000,,4.0043371548632525,-46.98456127904043,,286.2,334.6041908116546
,93,261.93,596,,87115,405.28953559000007,,,933,,
87848,,,,0.001,88000,,4.147682020830554,-46.75658904321936,,301.8,480.7705144387204
,93,263.96,600,,88283,403.5178535499999,,,941,,
88779,,,,0.001,89000,,3.825989309790099,-47.14572090677696,,551.9,881.875322300871
,94,264.9,604,,89393,402.5016005600001,,,950,,
89729,,,,0.001,90000,,4.106987622403007,-46.60624374506128,,234.7,422.7460354328156
89935,94,264.89,608,0.001,90373,401.6267930800001,3.9806682218625706,-47.06187694512525,957,,
90829,,,,0.001,91000,,3.717394147673224,-47.42185491578192,,249.2,434.3152939915657
91070,94,266.41,612,0.001,91468,406.13523483999995,3.9129037960930977,-47.6908874826983,965,,
91625,,,,0.001,92000,,3.9419522435684513,-47.719962422440695,,336.1,655.8019846081734
92272,95,269.07,616,0.001,92693,410.95454867,3.9803035529721686,-47.72510631144548,973,,
92604,,,,0.001,93000,,3.833559067852526,-47.429523215236436,,269.2,513.2010794483125
93455,95,270.94,620,0.001,93812,415.27575716,3.6714854457600397,-48.22155628359415,981,,
93723,,,,0.001,94000,,3.8783696258246008,-47.902107124897974,,306.6,585.4361404240132
94609,,,,0.001,95000,,4.154983157222554,-48.321133464372075,,825.8,1131.7945171746892
,95,273.76,624,,95181,425.20310190000004,,,996,,
95679,,,,0.001,96000,,4.059161741134019,-48.18330981159768,,287.0,515.562458819151
96040,95,276.34,628,0.001,96369,441.09285457,3.9274424099856136,-48.124321805838065,1005,,
96673,,,,0.001,97000,,4.194888740398805,-48.49003281885264,,244.6,470.4127316951752
97239,96,276.63,632,0.001,97656,448.24810242,3.891925290642139,-48.57452248046117,1013,,
97567,,,,0.001,98000,,3.828073039287474,-48.36091250908084,,419.9,607.9621253640966
98482,96,277.36,636,0.001,98848,453.02118383999994,3.8072130855632156,-48.25981822079175,1023,,
98759,,,,0.001,99000,,3.8558464566723103,-48.62964693705241,,258.8,497.1012184023857
99652,96,277.92,640,0.001,99983,457.62691601000006,3.990181663002766,-48.715240821409765,1030,,
99894,,,,0.001,100000,,3.905557490084782,-48.65700792675176,,317.6,532.3240363235585
100658,,,,0.001,101000,,3.7349870923237924,-48.39419809977213,,299.8,524.1854413151741
,97,277.36,644,,101018,459.08945372,,,1040,,
101683,,,,0.001,102000,,3.6023836058955037,-48.42750458751651,,240.8,361.8868516256101
,97,275.14,648,,102047,461.0709523,,,1047,,
102778,,,,0.001,103000,,3.888432222649567,-48.91591503745631,,355.0,585.7076439338707
,97,274.71,652,,103173,464.40683322999996,,,1055,,
103898,,,,0.001,104000,,3.8952674635921616,-48.37905426025391,,269.1,440.95193239046495
,98,270.86,656,,104255,460.09554834999994,,,1063,,
104794,,,,0.001,105000,,3.8372993188491766,-48.22142554020536,,349.3,348.2106334450247
,98,270.79,660,,105258,452.3615094600001,,,1070,,
105657,,,,0.001,106000,,3.817674226593226,-48.471201717853546,,235.4,456.17643971443175
105939,98,274.11,664,0.001,106527,453.46780426,3.9342514361050114,-48.182328379746025,1078,,
106692,,,,0.001,107000,,3.8474394862107406,-48.196252477450635,,282.2,258.5905367563246
107309,98,277.2,668,0.001,107648,457.80098148,4.084308436347379,-48.42092378934225,1087,,
107817,,,,0.001,108000,,3.834400467170301,-48.53182947912882,,287.9,385.12677841148104
108226,99,275.35,672,0.001,108535,449.1501353399999,4.225091248443446,-48.33068989232643,1094,,
108617,,,,0.001,109000,,3.8720533980263605,-48.32767329496496,,259.5,442.5929168498231
109110,99,271.31,676,0.001,109372,439.96446360000004,3.745438946935231,-48.315729050409224,1100,,
109604,,,,0.001,110000,,3.793377143571681,-48.38284950967161,,221.7,329.9369614213705
110225,99,273.3,680,0.001,110587,443.35865435,3.9280639479335506,-48.08414632846148,1108,,
110663,,,,0.001,111000,,3.8476407303954616,-48.43129823266006,,309.9,560.4295713961125
111227,100,272.86,684,0.001,111600,442.04662529999996,3.6700894232276533,-48.81819987125534,1115,,
111790,,,,0.001,112000,,3.7818880824632544,-48.60694367544992,,269.5,485.2053523004055
112348,100,274.76,688,0.001,112670,445.44809885999996,3.8036209806701207,-48.71715449655293,1123,,
112829,,,,0.001,113000,,3.903432159654556,-48.539580222099055,,331.3,410.6867854504846
113327,100,275.29,692,0.001,113761,444.68445825000003,3.837088978876833,-48.257827959562604,1131,,
113672,,,,0.001,114000,,3.7473959857139034,-48.573410276732695,,263.1,460.4841614663601
114373,100,276.66,696,0.001,114781,451.78539016,3.6389555393810005,-48.31278905328715,1138,,
114692,,,,0.001,115000,,3.6636527941144745,-48.11753611564636,,306.8,427.64851670281496
115763,,,,0.001,116000,,3.8869039680485207,-48.25812678677695,,312.3,367.1553845100105
,101,279.48,700,,116231,460.48528305,,,1149,,
116609,,,,0.001,117000,,3.8332869467398933,-47.67133220036825,,318.6,545.0274588346481
116939,101,278.8,704,0.001,117273,462.5121753299999,3.9303902528502723,-48.23540494514234,1157,,
117910,,,,0.001,118000,,4.0153058709167855,-47.72759795770413,,266.3,468.0771641075611
,101,278.83,708,,118256,463.64287467,,,1164,,
118905,,,,0.001,119000,,3.9250800288640537,-48.03450067960299,,255.2,422.156108212471
,101,277.66,712,,119234,459.71293585000006,,,1171,,
119909,,,,0.001,120000,,4.27558615395637,-48.08334608078003,,259.5,488.54606359004976
,102,275.39,716,,120232,454.41079945999996,,,1178,,
120886,,,,0.001,121000,,4.231735092837636,-47.60915424377938,,243.5,448.6772901237011
,102,273.95,720,,121207,449.99350061999996,,,1185,,
121663,,,,0.001,122000,,3.9727940718332926,-47.64214948018392,,283.9,447.27228186130526
121912,102,270.57,724,0.001,122238,445.13433762999995,4.165953500203818,-47.626699432373044,1192,,
122883,,,,0.001,123000,,4.192766031760762,-47.169831085205075,,238.0,436.0749242603779
,102,268.33,728,,123202,442.74168204999995,,,1199,,
123858,,,,0.001,124000,,3.9435215973316278,-47.54209985948147,,277.2,436.0802745457739
,102,265.62,732,,124218,439.35069132999996,,,1207,,
124854,,,,0.001,125000,,3.9308838203841563,-47.07646954059601,,236.8,447.25384985804556
,103,263.21,736,,125169,435.83198574999994,,,1214,,
125863,,,,0.001,126000,,3.835502375131366,-46.694904532799356,,292.1,463.4477311491966
,103,262.81,740,,126264,433.98875482000005,,,1221,,
126685,,,,0.001,127000,,3.976057499852674,-46.53335029338968,,286.6,441.7538543189876
