rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,time/total_timesteps,time/time_elapsed,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
24.0,13.02575275,3879,4,96,0,,,,,,
22.625,23.53482225,528,8,181,0,0.001,0.010822770165522461,64,-1.1596158544222515,,
22.5,28.783835833333338,357,12,270,0,0.001,0.029665216761217875,152,-1.6925196864388206,,
22.4375,31.37441775,316,16,359,1,0.001,0.04346735860136422,241,-2.1209498752247202,,
22.4,32.9267097,285,20,448,1,0.001,0.0730227787533532,330,-2.5054948727289834,,
22.333333333333332,33.896620750000004,272,24,536,1,0.001,0.09009895998645913,418,-2.910807739604603,,
23.178571428571427,36.315567071428575,269,28,649,2,0.001,0.11100727014920929,507,-3.319258624857122,,
21.15625,32.50371125,249,32,677,2,0.001,0.15275033456938608,574,-3.8010184168815613,,
19.583333333333332,29.551675472222218,247,36,705,2,0.001,0.15368769424302237,602,-3.6352455615997314,,
18.325,27.188327199999996,245,40,733,2,0.001,0.22512757565293992,630,-3.776253044605255,,
17.295454545454547,25.25366411363636,244,44,761,3,0.001,0.13662836807114737,658,-3.6978879570961,,
16.4375,23.643208666666666,242,48,789,3,0.001,0.17836854127900942,686,-3.9247117042541504,,
15.711538461538462,22.279832846153848,241,52,817,3,0.001,0.17726121842861176,714,-4.000324249267578,,
15.089285714285714,21.111174178571428,240,56,845,3,0.001,0.16302449575492314,742,-3.8251028656959534,,
14.55,20.101592666666665,239,60,873,3,0.001,0.22317830686058318,770,-3.8507208824157715,,
14.078125,19.214975875,238,64,901,3,0.001,0.3344303922993796,798,-3.864782929420471,,
13.661764705882353,18.43201623529412,237,68,929,3,0.001,0.37817191226141794,826,-3.865984261035919,,
13.583333333333334,18.294682166666668,241,72,978,4,0.001,0.34237173199653625,854,-4.100222229957581,,
,,,,1000,,0.001,0.3363452191863741,882,-4.237444843564715,38.78739402294159,22.2
14.026315789473685,19.357469434210525,231,76,1066,4,0.001,0.732983956282789,948,-4.413698759945956,,
14.425,20.3294125125,231,80,1154,4,0.001,0.41452199897982855,1036,-4.8805645162409,,
14.797619047619047,21.204897226190475,230,84,1243,5,0.001,0.5681106854568828,1125,-5.305361617695201,,
15.136363636363637,22.021891056818184,229,88,1332,5,0.001,0.43417447873137216,1214,-5.7381573156877,,
