rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,time/total_timesteps,time/time_elapsed,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,eval/mean_reward,eval/mean_ep_length
18.75,16.243347999999997,3766,4,75,0,,,,,,
15.75,13.820448375,963,8,126,0,0.001,0.10671075501225212,22,-0.9480819801489512,,
20.166666666666668,26.48796866666667,410,12,242,0,0.001,0.022392200856384905,123,-1.7459727742455222,,
20.5625,29.471681874999998,313,16,329,1,0.001,0.048832550052214756,212,-2.2816419384696265,,
20.85,31.3288046,278,20,417,1,0.001,0.09632666479973566,299,-2.6419526100158692,,
20.375,25.89944625,262,24,489,1,0.001,0.11076127986113231,375,-2.8053668869866266,,
20.035714285714285,21.985180964285714,258,28,561,2,0.001,0.11635896584226026,447,-2.6659922864702015,,
19.71875,19.09559734375,253,32,631,2,0.001,0.13867126054623546,517,-2.7824501991271973,,
19.52777777777778,16.833509305555555,252,36,703,2,0.001,0.19034966888527075,589,-2.761435455746121,,
19.35,15.017255225,251,40,774,3,0.001,0.15792061213184805,660,-2.6067886617448597,,
19.204545454545453,13.528660568181817,249,44,845,3,0.001,0.15741211217310694,731,-2.660290002822876,,
19.083333333333332,12.285485458333333,244,48,916,3,0.001,0.24139158469107416,802,-2.5481373733944364,,
19.0,11.22737003846154,240,52,988,4,0.001,0.25115267508145833,874,-2.4842733807033963,,
,,,,1000,,0.001,0.1378095301075114,892,-2.4030730459425182,-1.3156464278697968,17.9
18.910714285714285,10.329723696428571,232,56,1059,4,0.001,0.2617255392320016,945,-2.461865931749344,,
18.85,9.539276816666668,232,60,1131,4,0.001,0.2991696513361401,1017,-2.283426708645291,,
18.78125,8.8543683125,230,64,1202,5,0.001,0.2599649407407817,1088,-2.3375556733873157,,
18.705882352941178,8.263721676470587,229,68,1272,5,0.001,0.2994545198538724,1159,-2.184759810566902,,
18.666666666666668,7.721393777777779,229,72,1344,5,0.001,0.2832631708847152,1230,-2.0339764621522693,,
18.61842105263158,7.238632210526318,227,76,1415,6,0.001,0.32987963284055394,1302,-2.0379150443606906,,
18.575,6.8097661,227,80,1486,6,0.001,0.24943672782844967,1372,-1.6248678498797946,,
18.547619047619047,6.4163946547619055,226,84,1558,6,0.001,0.40922728429238003,1444,-1.8650826613108318,,
18.511363636363637,6.070017409090909,225,88,1629,7,0.001,0.23696087507738006,1515,-1.730540050400628,,
18.47826086956522,5.749925673913043,225,92,1700,7,0.001,0.32538624480366707,1586,-1.820789999432034,,
18.71875,6.2461597187499995,229,96,1797,7,0.001,0.3894716663395657,1657,-1.7502039223909378,,
19.9,9.55424001,229,100,1990,8,0.001,0.40294777763926465,1833,-2.7478417591615156,,
,,,,2000,,0.001,0.6495307718144089,1894,-2.827491521835327,39.08985874652863,22.2
20.08,10.538028919999999,219,104,2083,9,0.001,0.9584886191979699,1964,-3.6458731094996133,,
