rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,time/fps,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,eval/mean_reward,eval/mean_ep_length
17.67479525,0,26.0,4,104,3367,,,,,,
9.146378499999999,0,17.5,8,140,517,0.001,-0.4334065243601799,55,0.023812573817041185,,
7.862146333333333,0,15.0,12,180,402,0.001,-0.5970073223114014,94,0.01686560660600662,,
7.2508871875,0,13.75,16,220,351,0.001,-0.6522996068000794,134,0.015804228326305746,,
6.884070799999999,0,13.0,20,260,319,0.001,-0.7611273407936097,174,0.013707310333848,,
6.641378458333333,0,12.5,24,300,306,0.001,-0.8684047102928162,214,0.013917671283707023,,
6.4663061428571424,1,12.142857142857142,28,340,291,0.001,-0.8390899538993836,254,0.017813706956803798,,
6.3336635,1,11.875,32,380,277,0.001,-0.8937521815299988,294,0.012552274391055107,,
6.229750694444444,1,11.666666666666666,36,420,267,0.001,-0.9620200634002686,334,0.011030659871175885,,
6.147712725,1,11.5,40,460,258,0.001,-0.9596800804138184,374,0.015227458160370588,,
6.079630863636364,1,11.363636363636363,44,500,253,0.001,-0.9654156923294067,414,0.014994034357368947,,
6.024135333333334,2,11.25,48,540,247,0.001,-1.05355064868927,454,0.014180790074169636,,
5.976576307692308,2,11.153846153846153,52,580,243,0.001,-1.0393214225769043,494,0.009512430196627975,,
5.935351196428571,2,11.071428571428571,56,620,239,0.001,-1.0950379252433777,534,0.0073705201502889395,,
5.899248683333332,2,11.0,60,660,237,0.001,-1.1191016912460328,574,0.013968841591849922,,
5.869013921875,2,10.9375,64,700,235,0.001,-1.2173965215682983,614,0.00690273279324174,,
5.8436900147058815,3,10.882352941176471,68,740,235,0.001,-1.185250997543335,654,0.010721915145404637,,
5.820574958333334,3,10.833333333333334,72,780,234,0.001,-1.1333324670791627,694,0.01070534884929657,,
5.7997132763157895,3,10.789473684210526,76,820,233,0.001,-1.2422497987747192,734,0.012060506828129291,,
5.784261262500001,3,10.75,80,860,233,0.001,-1.2425561428070069,774,0.011257572704926134,,
7.358725202380954,4,11.285714285714286,84,948,235,0.001,-2.1705850037661465,850,0.079382437704639,,
,,,,1000,,0.001,-2.3330291618000376,917,0.16266088881953197,46.62414175271988,27.7
8.567729295454546,4,12.045454545454545,88,1060,225,0.001,-2.570152163505554,945,0.17796182233308042,,
12.463536358695654,6,14.717391304347826,92,1354,222,0.001,-3.5759290998632256,1250,0.23816355470229278,,
12.189483052083332,6,14.395833333333334,96,1382,219,0.001,-3.918654282887777,1299,0.2645233614104135,,
13.833300229999997,6,15.05,100,1505,229,0.001,-4.108905613422394,1345,0.3496411392092705,,
18.59066006,8,16.85,104,1789,223,0.001,-5.370243582614632,1664,0.42346715095431303,,
,,,,2000,,0.001,-6.183540802735549,1875,0.4315979407643372,95.32521881461143,51.5
22.543253930000002,9,18.62,108,2002,215,,,,,,
26.435013350000006,10,20.43,112,2223,216,0.001,-7.061209449061641,2087,0.4002863366018843,,
31.13967621,11,22.68,116,2488,217,0.001,-8.082585280282157,2340,0.5735509683904441,,
37.14653171,12,25.44,120,2804,218,0.001,-9.3359672965073,2648,0.8526840368058624,,
,,,,3000,,0.001,-10.426832036274236,2897,1.1630826020022718,155.81745792031288,79.2
43.40310033000001,14,28.32,124,3132,211,0.001,-10.749554711419183,2970,1.1729853757440227,,
49.74158208,16,31.22,128,3462,211,0.001,-12.07440329706946,3310,1.6722902548174525,,
55.04594396,17,33.73,132,3753,213,0.001,-13.140853274952281,3591,1.8300807218660007,,
,,,,4000,,0.001,-14.372536803736832,3885,2.2833957929502833,159.92085359096527,80.7
60.431617720000006,19,36.26,136,4046,208,,,,,,
65.10851432999999,20,38.52,140,4312,207,0.001,-15.43638698032924,4172,2.8664827549803085,,
70.58070572,22,41.06,144,4606,208,0.001,-16.502770991552445,4469,2.2992060230058784,,
76.21837194999999,23,43.68,148,4908,211,0.001,-17.66453626078944,4746,2.4808657638362197,,
,,,,5000,,0.001,-17.96098451053395,4901,3.656624832878942,168.83998115062712,85.7
81.98741343999998,25,46.38,152,5218,207,0.001,-18.58831400190081,5057,3.2834769240447454,,
88.36003249999997,26,49.32,156,5552,208,0.001,-19.65809608641125,5391,3.728353064200457,,
95.01877121,28,52.36,160,5896,209,0.001,-20.87710109976835,5734,3.6167204109735267,,
,,,,6000,,0.001,-21.36803112473599,5906,4.131586511467779,169.0539934337139,85.9
101.55939717,30,55.41,164,6241,206,0.001,-22.035693862221457,6078,3.894281374997106,,
108.22122886999999,31,58.47,168,6587,206,0.001,-23.061105381358754,6424,3.6477712968300127,,
114.90215619,33,61.55,172,6935,207,0.001,-24.43483131582087,6772,4.263172153768869,,
,,,,7000,,0.001,-24.515443225239597,6859,4.080752291898618,170.29497310519218,86.1
121.40830289000002,35,64.59,176,7279,205,0.001,-25.232075713401617,7117,4.137293489866479,,
127.85451542999999,37,67.6,180,7620,205,0.001,-26.38503819420224,7459,3.757025224321029,,
133.04864016,38,70.14,184,7962,206,0.001,-27.514690887096318,7799,3.85014654869257,,
,,,,8000,,0.001,-27.64158535003662,7886,4.451061974996808,168.94041393399237,86.0
138.39542806999998,40,72.45,188,8305,204,0.001,-28.331286896106807,8143,3.8812784594158796,,
141.18043195,42,72.95,192,8649,204,0.001,-29.566871007283527,8487,4.0035728328368245,,
147.54629622000002,43,76.08,196,8990,205,0.001,-30.382790747142973,8829,4.313605261700494,,
,,,,9000,,0.001,-30.661278613778048,8914,4.288962681153241,166.05703455209732,85.2
152.12378907999997,45,78.26,200,9331,203,0.001,-30.929826827276322,9169,4.689185564658221,,
153.32461841,47,78.85,204,9674,204,0.001,-32.154884870662244,9514,4.209711383941562,,
,,,,10000,,0.001,-32.867779266002564,9852,4.616892039074617,168.9134488940239,85.8
155.98439575000003,49,80.12,208,10014,203,,,,,,
160.15579646,50,82.51,212,10474,205,0.001,-33.419611553813134,10196,3.8616201822147813,,
156.30202034,51,80.76,216,10564,203,0.001,-33.56398344039917,10451,12.285568153156953,,
156.7634505,53,81.03,220,10907,204,0.001,-34.93542604668196,10747,6.255314536478328,,
,,,,11000,,0.001,-35.12868395718661,10918,5.714196809406938,168.07946944236755,85.9
157.10559648999998,55,81.23,224,11255,203,0.001,-35.87915732643821,11092,5.325271661254181,,
157.12636749,56,81.32,228,11594,204,0.001,-36.33300590515137,11433,5.472267392135802,,
158.21792428999998,58,81.82,232,11935,204,0.001,-36.915880839029946,11773,6.41078979344595,,
,,,,12000,,0.001,-37.14110254686932,11859,5.551089121851811,167.26895761489868,86.0
159.11286843999997,60,82.25,236,12271,203,0.001,-37.366248061017295,12111,5.545349802912735,,
160.95206026000002,62,83.05,240,12617,203,0.001,-38.243825247121414,12454,4.436639383259942,,
161.95038562,63,83.56,244,12962,203,0.001,-38.79796715669854,12798,4.47083554688622,,
,,,,13000,,0.001,-38.84178898551247,12886,6.2418446215716274,166.67223030924796,85.9
162.77686682999996,65,83.98,248,13306,202,0.001,-39.026896650140934,13145,5.2675829909064555,,
163.58074950999998,67,84.35,252,13653,202,0.001,-39.83147696561591,13489,5.959010795615185,,
,,,,14000,,0.001,-39.873269687999375,13838,5.229666209768975,169.30867372155188,86.6
163.81434982,69,84.49,256,14001,200,,,,,,
163.68076676,71,84.5,260,14346,201,0.001,-40.63697451636905,14184,4.46634132172688,,
163.58326203000001,72,84.44,264,14685,201,0.001,-41.17990811665853,14521,7.072407826071694,,
,,,,15000,,0.001,-41.31036807329227,14891,5.707417559929383,156.2619282901287,78.5
163.82831388,74,84.59,268,15046,200,,,,,,
163.22033907000002,76,84.27,272,15362,201,0.001,-41.909510001158104,15207,7.227730233458024,,
162.62216411,77,83.95,276,15674,201,0.001,-41.96242024348332,15520,4.549933311266777,,
,,,,16000,,0.001,-42.949779882663634,15843,3.7036859029676856,197.9471340894699,90.9
162.8576599,79,83.9,280,16010,200,,,,,,
163.25655847,81,83.91,284,16353,200,0.001,-43.33218719845726,16189,6.408466361550724,,
165.79695477999996,83,85.01,288,16806,200,0.001,-44.14163166543712,16619,4.943456115261201,,
,,,,17000,,0.001,-44.51083198547363,16830,7.0898893404006955,255.87573407888414,136.2
168.75888846,87,86.52,292,17301,198,0.001,-44.72250865055965,17137,4.99751972922912,,
172.37417076000003,89,88.52,296,17842,199,0.001,-45.11425887213813,17592,6.135694914764458,,
,,,,18000,,0.001,-45.64629579201723,17923,5.71610195090057,288.964608502388,168.2
175.82228809999998,93,90.73,300,18404,197,0.001,-46.08874958439877,18239,5.935403104675443,,
177.42795719000003,95,91.62,304,18836,198,0.001,-46.59795820448134,18672,6.536734002359798,,
,,,,19000,,0.001,-46.98508461661961,18852,5.397120097409124,188.75373224020004,95.0
179.31340756000006,97,92.56,308,19270,197,0.001,-47.21054258800688,19102,6.192780856575284,,
178.93122527000003,99,91.7,312,19644,198,0.001,-47.234157805747174,19474,7.017018247157969,,
,,,,20000,,0.001,-48.19953893578571,19849,5.715368760529385,199.6311986207962,93.6
185.70646756999994,101,94.55,316,20019,197,,,,,,
187.14868244000002,102,94.95,320,20402,198,0.001,-48.07504544939314,20230,4.606514107320726,,
188.91004834999995,104,95.38,324,20793,198,0.001,-48.340779207190685,20618,6.127084734513588,,
