time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/learning_rate,train/actor_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
172,104,0,17.67479525,26.0,4,,,,,,
160,140,0,9.146378499999999,17.5,8,0.023812573817041185,0.001,-0.4334065243601799,55,,
164,180,1,7.862146333333333,15.0,12,0.01686560660600662,0.001,-0.5970073223114014,94,,
169,220,1,7.2508871875,13.75,16,0.015804228326305746,0.001,-0.6522996068000794,134,,
173,260,1,6.884070799999999,13.0,20,0.013707310333848,0.001,-0.7611273407936097,174,,
176,300,1,6.641378458333333,12.5,24,0.013917671283707023,0.001,-0.8684047102928162,214,,
179,340,1,6.4663061428571424,12.142857142857142,28,0.017813706956803798,0.001,-0.8390899538993836,254,,
182,380,2,6.3336635,11.875,32,0.012552274391055107,0.001,-0.8937521815299988,294,,
185,420,2,6.229750694444444,11.666666666666666,36,0.011030659871175885,0.001,-0.9620200634002686,334,,
186,460,2,6.147712725,11.5,40,0.015227458160370588,0.001,-0.9596800804138184,374,,
188,500,2,6.079630863636364,11.363636363636363,44,0.014994034357368947,0.001,-0.9654156923294067,414,,
190,540,2,6.024135333333334,11.25,48,0.014180790074169636,0.001,-1.05355064868927,454,,
192,580,3,5.976576307692308,11.153846153846153,52,0.009512430196627975,0.001,-1.0393214225769043,494,,
192,620,3,5.935351196428571,11.071428571428571,56,0.0073705201502889395,0.001,-1.0950379252433777,534,,
193,660,3,5.899248683333332,11.0,60,0.013968841591849922,0.001,-1.1191016912460328,574,,
195,700,3,5.869013921875,10.9375,64,0.00690273279324174,0.001,-1.2173965215682983,614,,
195,740,3,5.8436900147058815,10.882352941176471,68,0.010721915145404637,0.001,-1.185250997543335,654,,
196,780,3,5.820574958333334,10.833333333333334,72,0.01070534884929657,0.001,-1.1333324670791627,694,,
196,820,4,5.7997132763157895,10.789473684210526,76,0.012060506828129291,0.001,-1.2422497987747192,734,,
195,860,4,5.784261262500001,10.75,80,0.011257572704926134,0.001,-1.2425561428070069,774,,
198,948,4,7.358725202380954,11.285714285714286,84,0.079382437704639,0.001,-2.1705850037661465,850,,
,1000,,,,,0.16266088881953197,0.001,-2.3330291618000376,917,27.7,46.62414175271988
193,1060,5,8.567729295454546,12.045454545454545,88,0.17796182233308042,0.001,-2.570152163505554,945,,
