time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,time/fps,train/critic_loss,train/actor_loss,train/learning_rate,train/n_updates,eval/mean_reward,eval/mean_ep_length
4,7.912879500000001,23.25,93,0,3991,,,,,,
8,2.6678275000000005,28.5,228,1,180,0.03853788040578365,-0.2848048249588293,0.001,101,,
12,-1.4139885833333328,30.166666666666668,362,1,197,0.038005982401470344,-0.05716497500737508,0.001,233,,
16,-2.2993676875,31.5625,505,2,198,0.00881280596109314,0.1899231824403008,0.001,376,,
20,-3.1326409,32.4,648,3,202,0.015113386610108945,0.27364799587263,0.001,519,,
24,-3.967558916666667,38.166666666666664,916,4,213,0.021158692079471117,-0.16916488714838018,0.001,756,,
,,,1000,,,0.02585891581404565,-0.2685575662728618,0.001,890,-8.516892398712661,66.7
28,-4.546898285714287,42.285714285714285,1184,6,191,0.03373292352615008,-0.2944348202470471,0.001,1024,,
32,-5.0679055625,45.375,1452,7,199,0.029592279622803874,-0.2359832854503218,0.001,1292,,
36,4.241619833333333,52.22222222222222,1880,9,205,0.20579455425696713,-1.3885251777512686,0.001,1715,,
,,,2000,,,0.20081262311465303,-1.6763240562544928,0.001,1858,70.89076329446398,72.0
40,10.95190895,54.15,2166,10,197,0.24496165499703526,-2.034363385793325,0.001,2002,,
44,16.40696222727273,55.81818181818182,2456,12,202,0.1510978864741997,-2.780835943089591,0.001,2290,,
48,20.945128604166666,57.145833333333336,2743,13,205,0.29644251914901865,-3.363020380338033,0.001,2579,,
,,,3000,,,0.17223923787888554,-4.122492737240261,0.001,2866,70.89017951518763,72.0
52,24.74960159615385,58.26923076923077,3030,14,202,,,,,,
56,25.504732035714287,62.0,3472,16,207,0.13904169825374657,-4.525951882483254,0.001,3222,,
60,28.183908366666667,62.86666666666667,3772,18,202,0.4275467804074287,-5.271233759428325,0.001,3604,,
,,,4000,,,0.5297131419181824,-5.984575215138887,0.001,3902,64.82930273083039,75.1
