rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,time/fps,time/time_elapsed,train/learning_rate,train/actor_loss,train/n_updates,train/critic_loss,eval/mean_ep_length,eval/mean_reward
12.7314175,22.75,91,4,3103,0,,,,,,
12.164606375,19.5,156,8,165,0,0.001,-0.6571765661239624,55,0.02370502632111311,,
9.92484225,16.333333333333332,196,12,172,1,0.001,-0.7472144961357117,95,0.003294856776483357,,
12.989530875,16.25,260,16,183,1,0.001,-1.1155792691490867,147,0.009590153984556144,,
18.290078049999998,17.5,350,20,182,1,0.001,-1.6406957019459119,237,0.027420258869163015,,
21.695840791666665,18.25,438,24,187,2,0.001,-2.0802268331701104,325,0.05541416862979531,,
24.201249107142853,18.821428571428573,527,28,185,2,0.001,-2.539406191218983,414,0.07952015296640721,,
24.8382750625,19.25,616,32,189,3,0.001,-2.989047895778309,502,0.10040310973470862,,
21.933309,19.083333333333332,687,36,190,3,0.001,-3.0561459594302707,579,0.09505047524968784,,
19.609959175,18.95,758,40,191,3,0.001,-2.9735949635505676,649,0.10467660953016843,,
17.714215636363637,18.84090909090909,829,44,192,4,0.001,-2.8702246612972684,720,0.15904100839462545,,
16.12959975,18.770833333333332,901,48,191,4,0.001,-3.02825305196974,792,0.12536029455562434,,
14.78979953846154,18.692307692307693,972,52,191,5,0.001,-2.9825807677374945,864,0.19179007493787342,,
,,1000,,,,0.001,-3.051918294694689,898,0.2340539706980481,17.9,-1.3231516383588313
13.656471732142858,18.607142857142858,1042,56,186,5,0.001,-2.7593817114830017,933,0.15617873892188072,,
12.659931166666668,18.55,1113,60,186,5,0.001,-2.6988529364267984,1004,0.14325661067333487,,
11.795006734375,18.5,1184,64,186,6,0.001,-2.749618318345812,1075,0.19114162565933335,,
11.024747926470587,18.470588235294116,1256,68,186,6,0.001,-2.641748216417101,1147,0.1887873336672783,,
10.338738791666666,18.430555555555557,1327,72,186,7,0.001,-2.662479294670953,1218,0.17070940399871154,,
9.715958131578946,18.407894736842106,1399,76,186,7,0.001,-2.3830891450246177,1290,0.23689004530509314,,
9.1593811125,18.3875,1471,80,187,7,0.001,-2.497897254096137,1362,0.2544209377633201,,
8.655381261904763,18.36904761904762,1543,84,187,8,0.001,-2.3110089699427285,1434,0.18061371251112884,,
8.201198863636364,18.34090909090909,1614,88,188,8,0.001,-2.119800262980991,1505,0.1976464767422941,,
8.21443772826087,18.369565217391305,1690,92,189,8,0.001,-2.318564044104682,1577,0.21367637109425333,,
11.157870072916667,19.364583333333332,1859,96,191,9,0.001,-3.268762133338235,1741,0.3664575167324232,,
12.287951200000002,19.48,1948,100,190,10,0.001,-3.4682388088919898,1835,0.5884931550725646,,
,,2000,,,,0.001,-3.989696437662298,1901,0.5711114399812438,22.2,39.096238303184506
13.448035270000002,19.53,2044,104,188,10,0.001,-3.873690735210072,1923,0.45364461974664166,,
17.2180881,21.24,2280,108,193,11,0.001,-4.595170681817191,2121,0.5030399235096615,,
25.686903190000002,24.93,2689,112,197,13,0.001,-5.935688840931859,2475,0.5872986566944,,
,,3000,,,,0.001,-7.601562746639909,2829,0.6871500504042568,122.9,272.19084471464157
33.92787711,28.48,3108,116,177,17,0.001,-7.881703134442939,2950,0.930473320001413,,
42.282318329999995,32.22,3572,120,181,19,0.001,-9.854021146893501,3360,1.202953394385986,,
48.36871978,35.02,3940,124,182,21,0.001,-11.767668081789601,3751,1.6339968691269557,,
,,4000,,,,0.001,-12.202071520746971,3849,1.423374485604617,98.1,205.68482086658477
55.190961699999995,38.07,4334,128,179,24,0.001,-13.671094046698677,4141,2.1827548735671574,,
62.23539043999999,41.05,4721,132,179,26,0.001,-15.321714109304,4536,3.1711706908381716,,
,,5000,,,,0.001,-16.39870536804199,4825,2.6639647985448933,103.0,225.30649774074556
71.09565454,44.37,5124,136,175,29,0.001,-16.855399077793336,4930,3.3379633381253195,,
80.30262518,47.79,5537,140,176,31,0.001,-18.788721561431885,5342,3.632391365101704,,
89.88290684999998,51.38,5967,144,178,33,0.001,-20.577514685836494,5754,4.497042172025926,,
,,6000,,,,0.001,-21.068344491427062,5876,4.108767312081134,99.9,217.84240361452103
99.26371649000001,54.91,6392,148,175,36,0.001,-22.29261652628581,6199,4.62850923429836,,
108.59366720999998,58.4,6812,152,176,38,0.001,-24.01827467404879,6615,3.79547368735075,,
,,7000,,,,0.001,-25.082381389180167,6842,5.13904872216469,120.7,265.09517394304277
119.18620923999997,62.53,7295,156,173,41,0.001,-26.081809544967392,7081,4.681747780007831,,
129.85926339000002,66.69,7782,160,175,44,0.001,-28.144866328085623,7567,4.747522765590299,,
,,8000,,,,0.001,-29.07710808042496,7816,4.914096133232117,121.1,265.6689372897148
140.55916252,70.85,8269,164,175,47,0.001,-29.99304021415064,8055,4.158635296741454,,
151.13576842,74.93,8749,168,176,49,0.001,-31.765327072143556,8538,4.314330105020218,,
,,9000,,,,0.001,-32.88279472986857,8901,5.105251089731852,122.0,267.3520518064499
162.07292095999998,79.2,9247,172,176,52,0.001,-33.572317481040955,9028,5.310187586649197,,
172.95412572999993,83.38,9737,176,178,54,0.001,-35.50579071044922,9525,5.257079947379328,,
,,10000,,,,0.001,-36.68870305206816,9891,4.177319041821135,115.3,250.87376724481584
183.64160274999998,87.5,10221,180,177,57,0.001,-37.02238232972192,10013,4.123336356194293,,
194.31322584999998,91.54,10697,184,178,59,0.001,-38.12598056177939,10485,5.00125333404541,,
,,11000,,,,0.001,-39.59633144255607,10833,4.681560963392258,130.9,286.43384087085724
205.42565383999997,95.84,11198,188,178,62,0.001,-39.541303275288016,10970,4.386223441492902,,
216.48876309,100.28,11718,192,179,65,0.001,-40.840489745140076,11494,5.340898331254721,,
,,12000,,,,0.001,-42.17162353761734,11857,4.70753389212393,129.2,283.69010639190674
224.07636882,103.43,12202,196,179,68,0.001,-42.320462346076965,11985,5.341967441141605,,
233.41173141000002,107.44,12692,200,180,70,0.001,-43.61001471317176,12478,5.255476453087547,,
,,13000,,,,0.001,-44.140920972067214,12857,5.05104297588742,112.0,255.79303797483445
242.60671833,111.32,13176,204,180,72,0.001,-44.753655751546226,12964,5.854345202445984,,
248.55988437,113.51,13631,208,181,74,0.001,-45.96020201274327,13432,5.283612692678297,,
,,14000,,,,0.001,-47.30565916817143,13879,5.912393576630922,107.8,242.33279601335525
249.87378151999997,113.9,14079,212,181,77,,,,,,
250.35594201,114.04,14512,216,182,79,0.001,-48.03963526973018,14312,4.456069344723666,,
250.19243920999997,113.72,14944,220,184,81,0.001,-48.97636816236708,14746,4.7631564603911505,,
,,15000,,,,0.001,-48.770434613497756,14853,4.433779458019221,107.8,241.1053230881691
252.40013571,114.38,15378,224,183,83,0.001,-48.95304693999114,15178,4.542709071327139,,
253.6139857,114.72,15806,228,184,85,0.001,-50.427819665872825,15607,7.278285935239972,,
,,16000,,,,0.001,-50.83859024047852,15824,5.060378340406156,105.7,235.489044547081
254.86414624,115.13,16234,232,184,88,0.001,-51.099257175739,16035,6.958874984014602,,
256.00698481,115.47,16671,236,185,89,0.001,-52.17078731678151,16469,4.413199237727244,,
,,17000,,,,0.001,-52.43811978791889,16804,5.693091331330021,109.9,250.8724445104599
257.06896439,115.77,17114,240,184,92,0.001,-52.765000291304155,16915,5.06302371540585,,
257.38022943,115.79,17546,244,185,94,0.001,-53.308651253029154,17346,5.787572962266427,,
257.76596358,115.86,17978,248,186,96,0.001,-54.20359122536399,17779,5.188008497427176,,
,,18000,,,,0.001,-54.094868695294416,17887,5.452997114923265,105.2,234.79466401338578
258.42463818000004,115.96,18408,252,186,98,0.001,-54.66736553333424,18207,5.848695973555247,,
257.74051310000004,115.45,18840,256,187,100,0.001,-55.306835313276814,18640,8.107497899904164,,
,,19000,,,,0.001,-54.89929631071271,18855,8.070576645293325,108.3,247.4927549958229
256.86484674,114.8,19262,260,186,103,0.001,-56.17665905422635,19071,6.714704303829758,,
256.42435932,114.58,19727,264,187,105,0.001,-55.76254181634812,19515,7.008494887764998,,
,,20000,,,,0.001,-56.75575904846191,19879,6.890644145011902,123.2,270.69755004644395
256.71415543,114.67,20216,268,187,107,0.001,-57.333203715662805,20002,5.97346258841879,,
256.55571362,114.56,20703,272,187,110,0.001,-57.50831005389874,20492,7.550762335459392,,
,,21000,,,,0.001,-57.93842309521091,20854,6.136520618392575,122.8,270.4254988670349
256.48917381,114.52,21189,276,187,112,0.001,-57.7411693572998,20975,8.009036574481932,,
256.83633962999994,114.62,21683,280,188,115,0.001,-57.663025568402006,21466,6.004109516976372,,
,,22000,,,,0.001,-58.751177080215946,21836,6.162064120052307,123.8,275.90552790164946
257.28424062,114.69,22166,284,188,117,0.001,-59.117568539034934,21960,6.326776846762626,,
257.15012107999996,114.47,22645,288,189,119,0.001,-58.86708048770302,22424,6.510927018866075,,
,,23000,,,,0.001,-59.717166137695315,22891,6.3115841453725645,126.2,279.8437463760376
256.25961884000003,113.89,23107,292,188,122,,,,,,
256.57656956000005,113.83,23585,296,189,124,0.001,-59.83212668555124,23365,8.851423658100904,,
,,24000,,,,0.001,-60.233139946347194,23877,6.624191594502283,123.1,280.32122297286986
257.05311654,113.91,24083,300,189,127,,,,,,
258.50114260000004,114.94,24670,304,189,129,0.001,-60.79522288929332,24455,7.23045861989932,,
,,25000,,,,0.001,-61.48313856124878,24820,6.040052637457848,130.2,282.4685992956162
259.4556419,115.33,25164,308,189,132,0.001,-61.05145388841629,24949,7.463815644729969,,
259.26140319,115.44,25623,312,189,135,0.001,-61.80325386172435,25448,5.833900445797404,,
,,26000,,,,0.001,-62.4825553894043,25903,7.986175716432751,127.8,279.85486499071123
260.94962872,116.13,26125,316,189,137,,,,,,
262.13978156,116.45,26589,320,190,139,0.001,-62.21462983351488,26385,6.399981811756396,,
,,27000,,,,0.001,-62.75804804021662,26836,7.74641978523948,114.5,272.6431111454964
263.32265214,116.64,27042,324,190,142,,,,,,
264.92758771000007,116.94,27500,328,190,144,0.001,-62.92612443651472,27297,6.246283176725945,,
266.44740248,117.15,27949,332,191,146,0.001,-63.502272823400666,27746,8.297167000017668,,
,,28000,,,,0.001,-63.1203692981175,27858,6.817754100475993,116.2,283.88710963726044
267.94212445999995,117.45,28416,336,190,148,0.001,-63.25933603654828,28208,6.7044000815501255,,
268.90913822000005,117.58,28872,340,191,150,0.001,-63.95125920431955,28667,6.867170589160075,,
,,29000,,,,0.001,-64.32757186889648,28891,6.829270512407477,114.9,275.42712888717654
269.8232547,117.78,29324,344,191,153,0.001,-64.57305960819639,29125,8.223012200717267,,
261.46943306000003,115.76,29554,348,191,154,0.001,-64.86057879130045,29411,8.102817948659261,,
255.88915406,115.43,29951,352,192,155,0.001,-64.6429109284372,29686,7.270030532822465,,
,,30000,,,,0.001,-64.79788703479986,29860,9.992677170654822,107.2,91.72118430696428
252.83218744,115.78,30418,356,191,158,0.001,-64.56800554876457,30216,7.673791717660838,,
253.21192949,117.13,30975,360,191,161,0.001,-64.69512849105031,30747,10.323091804981232,,
,,31000,,,,0.001,-64.85019717009172,30884,11.333982300584333,151.1,266.7491351112723
252.25182736,117.78,31505,364,189,165,0.001,-65.13108539581299,31335,11.881457168804971,,
,,32000,,,,0.001,-65.69992886649237,31838,9.619009873250148,137.8,282.1226763904095
252.59445205999998,118.52,32068,368,189,169,,,,,,
252.91424866,119.14,32617,372,189,172,0.001,-66.16931316669171,32379,6.151168111654428,,
,,33000,,,,0.001,-65.84150822957356,32855,10.288576897330906,109.9,204.50698570609092
249.89857984000002,118.53,33042,376,188,175,,,,,,
249.93019527,118.84,33567,380,188,178,0.001,-66.37105637788773,33344,12.53764685495632,,
245.06560309,117.73,33939,384,188,180,0.001,-66.11230054108992,33754,11.316402673721313,,
,,34000,,,,0.001,-66.19130244153611,33848,11.366043557511999,91.0,153.7941740691662
240.82065251,116.78,34323,388,188,182,0.001,-66.36035670404848,34124,9.72311785687571,,
239.5157891,116.93,34800,392,188,184,0.001,-67.00125036568477,34577,12.200936621070927,,
,,35000,,,,0.001,-67.09414559222282,34803,12.961248108681213,121.3,249.46934942007064
237.86389551999997,116.93,35278,396,188,187,0.001,-66.83992010263296,35050,10.945812742839488,,
235.57156031,116.57,35740,400,188,189,0.001,-67.25322008132935,35533,8.863524282972017,,
,,36000,,,,0.001,-66.69959710439046,35897,8.689029149772708,123.1,254.2788186311722
233.56342648,115.6,36230,404,187,192,0.001,-66.88281903948102,36008,8.476967558130488,,
233.49724774999996,115.29,36693,408,188,195,0.001,-67.42263892601277,36484,7.961010158061981,,
,,37000,,,,0.001,-66.68942826369712,36831,12.600103957899686,114.3,268.9336688876152
234.32180426,115.25,37148,412,187,198,0.001,-66.96601900561103,36946,12.707629680633545,,
233.53490280999995,114.76,37601,416,187,200,0.001,-66.81770351476837,37394,13.20726046309007,,
,,38000,,,,0.001,-67.54536417910927,37848,12.513273960665652,113.9,265.2746502995491
232.92071374,114.61,38050,420,187,203,,,,,,
232.45564647,114.6,38502,424,187,205,0.001,-67.34438685366982,38296,10.597650159869278,,
232.04018213999998,114.58,38958,428,187,207,0.001,-67.22593488531598,38754,9.267161548647106,,
,,39000,,,,0.001,-66.713851247515,38867,16.024648864712336,115.6,275.3735021829605
231.91362101,114.85,39434,432,187,210,0.001,-66.36761836682336,39217,17.039472434480313,,
231.22957208000003,115.01,39917,436,187,213,0.001,-66.57442149177926,39708,12.832564263304404,,
,,40000,,,,0.001,-66.79773350085242,39826,13.509894718558101,113.7,270.602001285553
230.95638267,115.31,40403,440,186,216,0.001,-66.61916956825861,40193,9.56396482122226,,
230.74977228999995,115.62,40886,444,186,218,0.001,-66.15125224629386,40670,11.297375174593334,,
,,41000,,,,0.001,-67.04453985152706,40795,8.712652294158936,115.9,282.5385674357414
240.52223175999998,118.06,41360,448,186,222,0.001,-66.48939126729965,41154,12.091503638920821,,
247.22238051,118.94,41845,452,186,224,0.001,-66.22877308679006,41629,12.378599000355553,,
,,42000,,,,0.001,-66.35296744631047,41869,12.227390732972518,125.1,285.09585345983504
251.59833618000005,119.21,42339,456,185,228,0.001,-65.99226004178406,42119,13.860971915917318,,
252.18428552999998,118.32,42807,460,185,230,0.001,-66.29076456619521,42605,11.410493429969339,,
,,43000,,,,0.001,-66.16028837173704,42842,12.414607108585418,112.7,264.4174685955048
254.05800538,117.81,43286,464,185,233,0.001,-66.0895867120652,43082,10.755626088096982,,
253.89649774999998,116.82,43750,468,185,235,0.001,-66.39420839339968,43548,9.45746156692505,,
,,44000,,,,0.001,-65.53893661499023,43889,13.071434125033292,119.1,271.6102318882942
253.60422641000002,115.97,44214,472,184,239,0.001,-66.01018708752048,44013,15.175191021734669,,
256.9746143,116.73,44715,476,185,241,0.001,-65.96159547567368,44501,15.537195533514023,,
,,45000,,,,0.001,-65.2896945515617,44871,12.38144872246719,120.2,282.51478749513626
257.23132072000004,116.44,45211,480,184,244,0.001,-65.3569875532581,44994,12.963983217875162,,
262.19552874,117.55,45694,484,184,247,0.001,-65.65828863779704,45476,11.632607392470042,,
,,46000,,,,0.001,-65.1155745286208,45861,13.527565978123592,122.5,270.11652863025665
266.52120776,118.67,46190,488,184,250,0.001,-65.56918510061796,45983,12.439130196805861,,
